"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","increase_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","change_in_insurance_reserves","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.0769841269841,"Up",8.87e+08,7.46e+08,1.3e+08,1.1e+07,1e+06,8e+06,2e+06,-5.16e+08,-2.68e+08,-4e+06,9.9e+07,-1.4e+07,-1.4e+07,8.5e+07,8.5e+07,-1.7e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,10619726540.7268,7515537869.54086,2996098632.9115,108090038.27448,-232052084.800849,999954605.848325,576717609.817129,1021301676.40856,12985648348,7357739017.06868,47298923.0035937,-161219609.116061,865105987.048786,1006055336.66074,9114979654.66574,1482104175.36662,392999832.410427,1089104342.95619,-1204408861.20855,3736262386.97722,-143289007.801028,3870668693.33427,3870668693.33427,12985648348,6.8e+07,1e+07,6.5e+07,3e+06,2e+06,6e+07,-3.3e+07,1.1e+08,-1.81e+08,-4.31e+08,2.5e+08,-5.8e+07,-2.39e+08,-6.3e+07,-42920868.8485313,4.1e+07,-4e+06,-2.6e+07,-1.55e+08,-1.55e+08,-1.55e+08,1.09e+08,0,0.11161,0.07666,-0.079995592905144,-0.0266731179707878,2.29225009337429,0.0684834409517877,0.41822,0.41752,5.45527,23.944355194609,0.38747,-0.0224602386420602,0.92647,43.6614614101286,53.2154157877575
"2","2010_Q3",18.0440625,"Down",8.78e+08,7.69e+08,1.3e+08,-2.1e+07,1e+06,-23000000.0000001,1e+06,-5.95e+08,-2.46e+08,-3e+06,33999999.9999999,-1.3e+07,-1.3e+07,2.1e+07,2.1e+07,6e+06,2.7e+07,2.7e+07,2.7e+07,2.7e+07,1.1032e+10,8.339e+09,2.611e+09,8.2e+07,3.25e+08,1.055e+09,4.85e+08,1.71e+09,1.4607e+10,7.682e+09,4.9e+07,1.45e+08,7.9e+08,1.204e+09,9.87e+09,1.477e+09,3.93e+08,1.084e+09,-1.204e+09,3.828e+09,6.36e+08,4.737e+09,4.737e+09,1.4607e+10,2.7e+07,7e+06,9.2e+07,3e+06,-1.6e+07,1.05e+08,1.7e+07,1.43e+08,-1.36e+08,-3.25e+08,1.89e+08,-4e+07,-1.76e+08,-6.3e+07,-1e+07,2.8e+07,999999.999999999,-4.4e+07,-7.7e+07,-7.7e+07,-7.7e+07,4.1e+07,8.39e+08,0.03872,0.03075,0.0057,0.00185,2.0836,0.05744,0.16606,0.16578,5.39992,29.13373,0.38747,0.00622,2.33333,12.53659,15.11765
"3","2010_Q4",20.24421875,"Up",1.071e+09,7.84e+08,1.28e+08,1.59e+08,1e+06,1.55e+08,3e+06,-5.75e+08,-2.58e+08,-4e+06,2.34e+08,-1.3e+07,-1.3e+07,2.21e+08,2.21e+08,-6.5e+07,1.56e+08,1.56e+08,1.56e+08,1.56e+08,1.1305e+10,8.466e+09,2.757e+09,8.2e+07,4.45e+08,1.035e+09,4.69e+08,1.816e+09,1.507e+10,7.766e+09,4.9e+07,2.47e+08,7.9e+08,1.208e+09,1.006e+10,1.48e+09,3.93e+08,1.087e+09,-1.203e+09,3.919e+09,8.14e+08,5.01e+09,5.01e+09,1.507e+10,1.56e+08,1.3e+07,8e+06,3e+06,6e+06,-1e+06,-1.3e+07,1.64e+08,6.5e+07,-3.89e+08,4.54e+08,-5.2e+07,1.3e+07,-6.3e+07,0,8e+06,-2e+06,-5.7e+07,1.2e+08,1.2e+08,1.2e+08,2.47e+08,8.39e+08,0.21849,0.14566,0.03114,0.01035,2.00798,0.05567,0.95836,0.95545,6.57951,30.77811,0.38703,0.01477,0.40385,1.59514,1.68376
"4","2011_Q1",22.0253225806452,"Up",9.36e+08,7.83e+08,1.3e+08,2.3e+07,1e+06,1.9e+07,3e+06,-4.94e+08,-2.52e+08,-5e+06,1.85e+08,-1.4e+07,-1.4e+07,1.71e+08,1.71e+08,-4.7e+07,1.24e+08,1.24e+08,1.24e+08,1.24e+08,1.1508e+10,8.383e+09,3.041e+09,8.4e+07,3.85e+08,1.015e+09,4.88e+08,1.699e+09,1.5095e+10,7.787e+09,4.9e+07,2.6e+08,8.07e+08,1.16e+09,1.0063e+10,1.484e+09,3.93e+08,1.091e+09,-1.201e+09,3.98e+09,7.69e+08,5.032e+09,5.032e+09,1.5095e+10,1.24e+08,1.1e+07,-3.5e+07,2e+06,3.7e+07,-7.4e+07,1.4e+07,1.14e+08,-1.46e+08,-3.38e+08,1.92e+08,1.9e+07,-1.27e+08,-6.3e+07,0,1.9e+07,-3e+06,-4.7e+07,-6e+07,-6e+07,-6e+07,1.96e+08,8.56e+08,0.19765,0.13248,0.02464,0.00821,1.9998,0.05671,0.76177,0.75946,5.75016,30.91327,0.38703,0.01261,0.50806,2.40306,2.54595
"5","2011_Q2",20.8622222222222,"Down",9.29e+08,7.82e+08,1.31e+08,1.6e+07,1e+06,1.2e+07,3e+06,-5.75e+08,-2.62e+08,-4e+06,8.8e+07,-1.3e+07,-1.3e+07,7.5e+07,7.5e+07,-1.4e+07,6.1e+07,6.1e+07,6.1e+07,6.1e+07,1.1704e+10,8.536e+09,3.1e+09,6.8e+07,3.79e+08,1.062e+09,5.03e+08,1.721e+09,1.5369e+10,7.931e+09,4.9e+07,2.96e+08,7.9e+08,1.185e+09,1.0251e+10,1.483e+09,3.93e+08,1.09e+09,-1.197e+09,3.977e+09,8.55e+08,5.118e+09,5.118e+09,1.5369e+10,6.1e+07,1.1e+07,6e+07,3e+06,-1e+07,6.7e+07,-7.5e+07,5.7e+07,-9.2e+07,-2.69e+08,1.77e+08,6.2e+07,-3e+07,-6.4e+07,10030813.5152618,3.1e+07,0,-3.3e+07,-6e+06,-6e+06,-6e+06,9.9e+07,8.39e+08,0.09473,0.06566,0.01192,0.00397,2.00293,0.05459,0.37437,0.3727,5.70149,31.41034,0.39278,0.00829,1.04918,4.64646,5.22727
"6","2011_Q3",18.68484375,"Down",9.75e+08,7.73e+08,1.32e+08,7e+07,1e+06,6.7e+07,2e+06,-8.01e+08,-2.53e+08,-6e+06,-8.5e+07,-1.4e+07,-1.4e+07,-9.9e+07,-9.9e+07,4.9e+07,-5e+07,-5e+07,-5e+07,-5e+07,1.1757e+10,8.717e+09,2.971e+09,6.9e+07,3.13e+08,1.106e+09,5.11e+08,2.015e+09,1.5702e+10,8.313e+09,4.9e+07,3.24e+08,7.9e+08,1.169e+09,1.0645e+10,1.487e+09,3.93e+08,1.094e+09,-1.195e+09,3.862e+09,9.03e+08,5.057e+09,5.057e+09,1.5702e+10,-5e+07,1.2e+07,-1.8e+07,4e+06,1e+06,-2.3e+07,2999999.99999999,-5.3e+07,-1.2e+08,-3.76e+08,2.56e+08,1.76e+08,5.6e+07,-6.3e+07,1e+06,-2e+06,-5e+06,-6.9e+07,-6.6e+07,-6.6e+07,-6.6e+07,-7.3e+07,8.39e+08,-0.08718,-0.05128,-0.00989,-0.00318,2.105,0.05343,-0.30662,-0.30544,5.97903,31.01122,0.38634,0.00085,-1.26,-7.20548,-6.18824
"7","2011_Q4",20.0303174603175,"Up",9.44e+08,8.12e+08,1.3e+08,2e+06,1e+06,-2e+06,3e+06,-6.56e+08,-2.6e+08,-4e+06,2.4e+07,-1.3e+07,-1.3e+07,1.1e+07,1.1e+07,8e+06,1.9e+07,1.9e+07,1.9e+07,1.9e+07,1.1529e+10,8.854e+09,2.609e+09,6.6e+07,3.08e+08,1.107e+09,5.12e+08,1.956e+09,1.5412e+10,8.357e+09,1.04e+08,1.91e+08,7.9e+08,1.184e+09,1.0626e+10,1.491e+09,3.93e+08,1.098e+09,-1.224e+09,3.816e+09,7.03e+08,4.786e+09,4.786e+09,1.5412e+10,1.9e+07,1.5e+07,8.8e+07,3e+06,-2.5e+07,1.1e+08,2.2e+07,1.44e+08,-8.3e+07,-2.89e+08,2.06e+08,-1.4e+07,-9.7e+07,-6.4e+07,-3.1e+07,-1.2e+07,0,-5.2e+07,-5e+06,-5e+06,-5e+06,3.9e+07,8.94e+08,0.02542,0.02013,0.00397,0.00123,2.22023,0.05801,0.1169,0.11655,5.80802,29.44615,0.39376,0.00545,3.36842,15.02564,24.41667
"8","2012_Q1",24.0566129032258,"Up",9.55e+08,8.27e+08,1.32e+08,-4e+06,1e+06,-7e+06,2e+06,-4.92e+08,-2.64e+08,1e+06,2e+08,-1.4e+07,-1.4e+07,1.86e+08,1.86e+08,-5.2e+07,1.34e+08,1.34e+08,1.34e+08,1.34e+08,1.1801e+10,8.779e+09,2.956e+09,6.6e+07,4.38e+08,1.087e+09,4.77e+08,1.832e+09,1.5635e+10,8.186e+09,1.04e+08,3.03e+08,8.21e+08,1.188e+09,1.0602e+10,1.489e+09,3.93e+08,1.096e+09,-1.22e+09,3.863e+09,9.01e+08,5.033e+09,5.033e+09,1.5635e+10,1.34e+08,4e+06,-4.2e+07,3e+06,1.6e+07,-6.1e+07,3e+06,9.9e+07,8.7e+07,-1.53e+08,2.4e+08,-2.4e+07,6.3e+07,-6.4e+07,-999999.999999996,3.4e+07,-1e+06,-3.2e+07,1.3e+08,1.3e+08,1.3e+08,2.04e+08,9.25e+08,0.20942,0.14031,0.02662,0.00857,2.1065,0.05916,0.82586,0.82307,5.88576,31.01888,0.39444,0.01291,0.47761,2.38725,2.435
"9","2012_Q2",25.5425396825397,"Up",9.86e+08,8.39e+08,1.31e+08,1.6e+07,1e+06,1.3e+07,2e+06,-5.82e+08,-2.74e+08,-4e+06,1.26e+08,-1.4e+07,-1.4e+07,1.12e+08,1.12e+08,-2.6e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,1.2153e+10,8.956e+09,3.131e+09,6.6e+07,4.24e+08,1.126e+09,4.83e+08,1.836e+09,1.6022e+10,8.267e+09,1.04e+08,3.88e+08,8.33e+08,1.223e+09,1.0815e+10,1.493e+09,3.93e+08,1.1e+09,-1.217e+09,3.884e+09,1.047e+09,5.207e+09,5.207e+09,1.6022e+10,8.6e+07,1.1e+07,6.6e+07,4e+06,6e+06,5.6e+07,-1.5e+07,1.48e+08,-1.03e+08,-3.04e+08,2.01e+08,3e+06,-1e+08,-6.4e+07,1e+06,3e+06,-2e+06,-6.2e+07,-1.4e+07,-1.4e+07,-1.4e+07,1.37e+08,9.37e+08,0.12779,0.08722,0.01652,0.00537,2.07701,0.05848,0.52996,0.52714,6.07603,32.08711,0.39439,0.00959,0.74419,3.74453,4.07143
"10","2012_Q3",27.8809523809524,"Up",1.02e+09,8.77e+08,1.32e+08,1.1e+07,2e+06,6e+06,3e+06,-6.87e+08,-2.87e+08,-4e+06,4.2e+07,-1.3e+07,-1.3e+07,2.9e+07,2.9e+07,3e+06,3.2e+07,3.2e+07,3.2e+07,3.2e+07,1.2231e+10,9.025e+09,3.139e+09,6.7e+07,2.63e+08,1.21e+09,4.84e+08,1.901e+09,1.6089e+10,8.414e+09,1.04e+08,3.59e+08,8.31e+08,1.237e+09,1.0945e+10,1.499e+09,3.93e+08,1.106e+09,-1.216e+09,3.851e+09,1.01e+09,5.144e+09,5.144e+09,1.6089e+10,3.2e+07,1.1e+07,6.3e+07,4e+06,-9e+06,6.8e+07,1.1e+07,1.17e+08,-1.12e+08,-2.99e+08,1.87e+08,-9.2e+07,-2.04e+08,-6.4e+07,2e+06,-9e+06,-3e+06,-7.4e+07,-1.61e+08,-1.61e+08,-1.61e+08,5.3e+07,9.35e+08,0.04118,0.03137,0.00622,0.00199,2.12772,0.05811,0.19701,0.19571,6.27982,31.67,0.39403,0.0061,2,12.67925,16
