"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.19875,"Up",496666000,-463903000,32763000,-15014000,-15014000,17749000,-7251000,-7040000,-211000,10498000,10498000,-3082000,7416000,7416000,7367000,7367000,212319060.427386,212319060.427386,226563575.980071,226563575.980071,235763789.302249,186843102.896003,6432586.18061017,44616025.0405208,118254948.940302,861489528.605709,677976341.886456,3592404.50161471,7634731.44077091,684351001.23243,1545840529.83814,381307864.37933,305112370.296766,76195494.0825643,204154784.076594,24637499.0407731,610100148.029248,508967089.915697,48898591.9262377,7634864.4239124,557865681.841934,1167965829.87118,450783964.286122,-1978141033.13465,59622629.9262763,-3238786.6549326,400788214.355337,377874699.966956,1545840529.83814,7416000,7416000,8510000,4908000,-32771000,-11937000,-6891000,-7224000,15344000,-3993000,11351000,-7810000,-7810000,-7810000,26259000,0,-10321000,0.06597,0.03574,0.01483,0.117461178213826,0.0400214168655555,-1.40098,1.16647213368173,2.78169290385829,0.455868155533663,0.23466,0.23287,15.81991,11.6225593213142,-0.32875,0.0468638089198827,-0.232237691245177,21.6112440593919,-35.9313744353079
"2","2011_Q1",10.373064516129,"Up",757423000,-705806000,51617000,-18895000,-18895000,32722000,-8450000,-8602000,152000,24272000,24272000,-7900000,16372000,16372000,16385000,16385000,233205000,233205000,89170000,89170000,184888000,99423000,7222000,44864000,38874000,606686000,747421000,43672000,20547000,791093000,1397779000,178854000,151112000,27742000,141068000,22581000,342503000,527900000,29734000,4655000,557634000,900137000,431325000,-1047737019.88079,57343000,-420000,488248000,497642000,1397779000,16372000,16372000,10972000,6800000,-19930999.9999999,14213000,-8168000,-27983000,97558000,-15769000,81789000,68019000,68019000,68019000,43694000,668968000,23495000,0.06815,0.0432,0.02163,0.03293,0.01172,1.43393,1.77133,1.8088,0.47859,0.47055,0.41854,21.7519,14.02165,0.67474,0.0137,0.01964,9.97306,13.31713
"3","2011_Q2",9.93253968253968,"Down",812327000,-774703000,37624000,-17628000,-17628000,19996000,-8104000,-8041000,-63000,11892000,11892000,-4361000,7531000,7531000,7741000,7741000,194003563.190871,194003563.190871,60354474.6733097,60354474.6733097,159699236.89925,97172382.3679991,8166221.27312994,56089658.3198264,22472100.3532328,511229657.13143,780502886.037848,57966948.4994618,21358172.8530764,839442249.58919,1350671906.72062,110952795.20689,94872043.2344113,16080751.9724786,134720488.641135,17250166.986409,262923450.656917,531395386.694768,29108219.3579208,3780711.85869587,560503606.052689,823427056.709606,427834178.571293,-462755009.940394,61626290.0245746,-2308154.4483558,510861761.881554,527244850.011015,1350671906.72062,7531000,7531000,12003000,3373000,-114102000,-91195000,-11570000,-18144000,10344000,17673000,28017000,-81322000,-81322000,-81322000,31999000,0,-89312000,0.04632,0.02462,0.00953,0.00532627392872463,0.00232619437814817,-11.53753,1.89420428877276,1.54786153204724,0.493667281488779,0.21385,0.18102,22.44059,14.3173468928952,-2.46725,0.00258789702670577,0.0903392304150589,6.9269794802027,30.5547956451026
"4","2011_Q3",9.19984375,"Down",861576000,-826315000,35261000,-17474000,-17474000,17787000,-9917000,-9794000,-123000,7870000,7870000,-2851000,5019000,5019000,4981000,4981000,136403000,136403000,89486000,89486000,159116000,130951000,9219000,66272000,37866000,515956000,788639000,58013000,17076000,849897000,1365853000,124565000,100123000,24442000,158819000,11917000,295301000,524157000,39628000,4158000,563785000,859086000,433258000,-147981003.313465,70065000,-5778000,497545000,506767000,1365853000,5019000,5019000,12034000,1181000,53366000,71600000,-15475000,-18116000,-51394000,-17570000,-68964000,-15480000,-15480000,-15480000,29821000,682976000,70563000,0.04093,0.02064,0.00578,0.00982999999999999,0.00365,14.16643,1.74722,1.69523,0.50004,0.13678,0.11597,23.65862,13.66244,1.93764,0.00405,0.0574,18.32846,30.72879
"5","2011_Q4",8.91571428571429,"Down",957018000,-909724000,47294000,-18248000,-18248000,29046000,-9665000,-9381000,-284000,19381000,19381000,-6979000,12402000,12402000,12430000,12430000,117928000,117928000,121108000,121108000,182668000,135167000,11393000,56642000,46489000,556871000,783639000,57640000,16763000,844940000,1401811000,173394000,138961000,34433000,168387000,10274000,352055000,509806000,52613000,4887000,562419000,914474000,439744000,-28201000,82495000,-6951000,487087000,487337000,1401811000,12402000,12402000,12811000,10951000,-621000,35543000,-8481000,-8505000,-19855000,-11457000,-45513000,-18475000,-18475000,-18475000,41857000,678193000,39734000,0.04942,0.03035,0.01299,0.02551,0.00887,3.19662,1.58177,1.87647,0.4838,0.34907,0.29513,26.87573,13.67876,1.11584,0.0102,0.03262,13.38522,19.28889
"6","2012_Q1",9.71,"Up",922791000,-870738000,52053000,-19869000,-19869000,32184000,-9428000,-9119000,-309000,22756000,22756000,-9495000,13261000,13261000,13266000,13266000,174988000,174988000,106198000,106198000,229070000,66164000,14289000,17428000,19619000,576420000,776789000,67619000,26742000,844408000,1420828000,202153000,172328000,29825000,143359000,15453000,360965000,493407000,61099000,5129000,554506000,915471000,440505000,-28201000,95761000,-2953000,505112000,505357000,1420828000,13261000,13261000,13228000,15592000,50860000,92941000,-6957000,-9756000,-29217000,17092000,-26125000,57060000,57060000,57060000,45412000,636766000,98810000,0.05641,0.03488,0.01438,0.02625,0.00934,7.44836,1.59689,1.81153,0.44817,0.40348,0.33671,28.06627,15.36275,3.00526,0.01103,0.08212,10.16863,14.34806
"7","2012_Q2",7.01555555555556,"Down",775395000,-766625000,8770000,-19861000,-19861000,-11091000,-9606000,-9028000,-578000,-20697000,-20697000,8001000,-12696000,-12696000,-12692000,-12692000,134989000,134989000,92702000,92702000,250925000,88200000,5715000,28363000,28488000,566816000,770298000,66572000,25695000,836870000,1403686000,121537000,96852000,24685000,253390000,18198000,393125000,486319000,65242000,4948000,551561000,944686000,441818000,-65808000,83069000,-320000,458759000,4.59e+08,1403686000,-12696000,-12696000,13158000,-3912000,-89441000,-92891000,-5660000,-7150000,74061000,-3574000,60042000,-39999000,-39999000,-39999000,2067000,739709000,-101035000,0.01131,-0.0143,-0.01637,-0.02765,-0.00904,7.96053,1.44182,2.05814,0.52698,-0.3937,-0.3937,24.05221,14.23038,-3.13403,-0.01004,-0.07994,292.55926,-54.52349
"8","2012_Q3",4.4115873015873,"Down",870355000,-852221000,18134000,-19217000,-19217000,-1083000,-10615000,-9782000,-833000,-11698000,-11698000,4144000,-7554000,-7554000,-7550000,-7550000,120683000,120683000,115002000,115002000,186253000,65958000,4053000,40045000,19442000,487896000,765784000,69069000,28192000,834853000,1322749000,133101000,105210000,27891000,208269000,5893000,347263000,470519000,42153000,4777000,512672000,859935000,442759000,-65808000,75519000,10107000,462577000,462814000,1322749000,-7554000,-7554000,13259000,-1544000,48314000,52475000,-8744000,-14515000,-59093000,6827000,-52266000,-14306000,-14306000,-14306000,12176000,678788000,47602000,0.02084,-0.00123999999999999,-0.00867,-0.01631,-0.00571,-6.3049,1.40498,1.85806,0.51316,-0.25495,-0.25495,29.38998,15.62021,1.60742,-0.00638,0.04021,45.83648,-515.33241
"9","2012_Q4",6.42241935483871,"Up",947413000,-919517000,27896000,-19272000,-19272000,8624000,-10235000,-9787000,-448000,-1611000,-1611000,604000,-1007000,-1007000,-1002000,-1002000,140177000,140177000,102565000,102565000,241230000,100706000,15344000,42759000,19573000,584678000,761276000,70580000,29703000,831856000,1416534000,180934000,147426000,33508000,231006000,4302000,416242000,457991000,69982000,5069000,527973000,944215000,443783000,-65808000,74517000,19595000,472087000,472319000,1416534000,-1007000,-1007000,13505000,13743000,-3247000,22994000,-9488000,-10230000,9937000,-3207000,6730000,19494000,19494000,19494000,22129000,688997000,8790000,0.02944,0.0091,-0.00106,-0.00212,-0.00071,-8.77246,1.40466,1.9991,0.4864,-0.0338,-0.0338,31.95861,15.92468,0.29651,-0.00081,0.00714,24.80094,63.63868
"10","2013_Q1",8.35483333333333,"Up",883707000,-841736000,41971000,-20669000,-20669000,21302000,-9273000,-8733000,-540000,12029000,59162000,-26142000,33020000,33020000,33023000,33023000,254289000,254289000,80537000,80537000,172009000,61200000,12314000,20938000,25815000,568035000,708110000,73589000,32712000,781699000,1349734000,128039000,95564000,32475000,300728000,3617000,432384000,362549000,64299000,4217000,426848000,859232000,445235000,-65808000,107540000,3535000,490502000,490502000,1349734000,33020000,33020000,12906000,-35722000,-6506000.00000001,3698000,114827000,113342000,3313999.99999999,-6242000,-2927999.99999999,114112000,114112000,114112000,34208000,663277000,168671000,0.04749,0.02411,0.03737,0.06732,0.02447,5.10768,1.31373,1.75174,0.49141,1.11237,1.08789,29.76747,16.52245,5.68165,0.02711,0.13847,11.95592,19.1995100000001
"11","2013_Q2",11.7965625,"Up",765476000,-738262000,27214000,-14510000,-14510000,12704000,-8551000,-8031000,-520000,4153000,4153000,-1598000,2555000,2555000,2555000,2555000,229808000,229808000,78896000,78896000,165381000,49581000,7579000,26244000,11824000,523666000,697382000,72362000,31485000,769744000,1293410000,94990000,70732000,24258000,237273000,6982000,339245000,401794000,63974000,4068000,465768000,805013000,446509000,-65808000,110095000,-2399000,488397000,488397000,1293410000,2555000,2555000,12609000,4507000,-31566000,-11895000,-1904000,-2707000,-23870000,13991000,-9879000,-24481000,-24481000,-24481000,25313000,639067000,-6559000,0.03555,0.0166,0.00334,0.00523,0.00198,-2.56712,1.54362,1.64828,0.49409,0.08536,0.08457,25.57298,16.31634,-0.21912,0.00214,-0.00551,16.16794,32.21497
"12","2013_Q3",14.3075,"Up",804696000,-772085000,32611000,-14048000,-14048000,18563000,-8310000,-7700000,-610000,10253000,10253000,-4288000,5965000,5965000,5965000,5965000,213463000,213463000,105987000,105987000,106401000,53835000,6541000,18848000,13087000,479686000,702891000,81470000,40593000,784361000,1264047000,108213000,79369000,28844000,171805000,4854000,284872000,400110000,81291000,4009000,481401000,766273000,447600000,-65808000,116060000,-77999.9999999995,497774000,497774000,1264047000,5965000,5965000,12435000,8061000,55218000,81679000,-3043999.99999999,-18349000,-78412000,-1263000,-79675000,-16345000,-16345000,-16345000,30998000,571915000,87459999.9999999,0.04053,0.02307,0.00741,0.01198,0.00472,14.6622,1.68387,1.5394,0.45245,0.19777,0.19542,26.68002,16.5039,2.89977,0.00518,0.07599,11.56371,19.31003
"13","2013_Q4",14.70109375,"Up",757970000,-716947000,41023000,-15490000,-15490000,25533000,-8490000,-7543000,-947000,17043000,17043000,-7633000,9410000,9410000,9410000,9410000,334509000,334509000,76982000,76982000,116098000,68137000,7766000,26372000,27626000,595726000,697751000,89655000,48778000,787406000,1383132000,113520000,84989000,28531000,159278000,10899000,283697000,487926000,89453000,5039000,577379000,861076000,462868000,-65808000,124263000,733000,522056000,522056000,1383132000,9410000,9410000,12763000,8e+06,21139000,51312000,-7645000,-9989000,95469000,-14539000,79723000,121046000,121046000,121046000,38296000,647204000,59423000,0.05412,0.03369,0.01241,0.01802,0.0068,6.31488,2.09987,1.64939,0.46793,0.31153,0.18926,25.09336,17.28319,1.96726,0.00843,0.04721,8.16521,12.2467
"14","2014_Q1",21.8385245901639,"Up",712869000,-581520000,131349000,-80298000,-11590000,51051000,-10219000,-9789000,-430000,40832000,40832000,-15371000,25461000,25461000,25461000,25461000,272027000,272027000,106808000,106808000,158328000,96142000,12893000,48636000,26994000,633305000,806046000,92694000,51817000,898740000,1532045000,150646000,112001000,38645000,254433000,4118000,409197000,480746000,96744000,5450000,577490000,986687000,4.69e+08,-65808000,148505000,-6339000,545358000,545358000,1532045000,25461000,25461000,13047000,18276000,-70544000,-13760000,-6926000,-116539000,68523000,513000,67817000,-62482000,-62482000,-62482000,64098000,735179000,1999000,0.18425,0.07161,0.03572,0.04669,0.01662,0.0785099999999987,1.54768,1.80925,0.47987,0.83665,0.59541,23.42498,17.92054,0.06569,0.01937,0.00145,7.22569,9.07234
"15","2014_Q2",26.23,"Up",733889000,-633140000,100749000,-22406000,-22406000,78343000,-8615000,-9646000,1031000,69728000,69728000,-26525000,43203000,43203000,43203000,43203000,207034000,207034000,112420000,112420000,179750000,117430000,10597000,37221000,22893000,616634000,804897000,90838000,49961000,895735000,1512369000,152045000,84398000,67647000,263068000,15743000,430856000,379431000,106330000,5680000,485761000,916617000,562878000,-65808000,190312000,-91630000,595752000,595752000,1512369000,43203000,43203000,14627000,26904000,-134950000,-50216000,-14777000,-14765000,-2717000,4101000,-12000,-64993000,-64993000,-64993000,92970000,642499000,-30232000,0.13728,0.10675,0.05887,0.07252,0.02857,-0.69977,1.43118,1.53859,0.42483,1.30314,0.99889,22.13643,17.96978,-0.91189,0.03317,-0.02248,4.68393,5.55844
"16","2014_Q3",35.668125,"Up",837858000,-759543000,78315000,-19368000,-19368000,58947000,-8859000,-9562000,703000,50088000,50088000,-17774000,32314000,32314000,32314000,32314000,333379000,333379000,120902000,120902000,135039000,123606000,11409000,62664000,41278000,712926000,818738000,94227000,53350000,912965000,1625891000,177575000,111724000,65851000,169815000,7236000,354626000,461913000,101986000,5521000,563899000,918525000,565984000,-65808000,221129000,-13939000,707366000,707366000,1625891000,32314000,32314000,14735000,-8932000.00000001,163112000,201229000,-14158000,-41347000,-15855000,-16185000,-33537000,126345000,126345000,126345000,73682000,631728000,240410000,0.09347,0.07035,0.03857,0.04568,0.01987,7.43981,2.01036,1.29851,0.38854,0.86191,0.82088,22.34824,18.86762,6.41247,0.02346,0.16683,4.04914,5.06131
"17","2014_Q4",26.8228125,"Down",833925000,-679458000,154467000,-79412000,-15124000,75055000,-9055000,-10123000,1068000,6.6e+07,6.6e+07,-24251000,41749000,41749000,41749000,41749000,401113000,401113000,108761000,108761000,188416000,84540000,8208000,62971000,13162000,782830000,827292000,93458000,52581000,920750000,1703580000,195831000,132750000,63081000,161944000,12015000,369790000,453632000,106813000,4982000,560445000,930235000,568237000,-65808000,259872000,11044000,773345000,773345000,1703580000,41749000,41749000,16417000,8542000,7846000,74554000,-15307000,-15490000,-16441000,28117000,8670000,67734000,67734000,67734000,91472000,615576000,108262000,0.18523,0.09,0.05006,0.05398,0.02451,2.59316,2.11696,1.20287,0.36134,1.10861,1.02391,22.14411,20.53546,2.8748,0.02992,0.07238,2.34458,2.85741
"18","2015_Q1",22.4313114754098,"Down",829939000,-710904000,119035000,-45106000,-20831000,73929000,-9315000,-9942000,627000,64614000,64614000,-22376000,42238000,42238000,42238000,42238000,425510000,425510000,138073000,138073000,254967000,84865000,18776000,36347000,29742000,903415000,825210000,92437000,51560000,917647000,1821062000,238189000,170199000,67990000,273351000,7776073.63376817,511540000,399440000,112633000,4893000,512073000,1023613000,569476000,-65808000,299101000,-5320000,797449000,797449000,1821062000,42238000,42238000,16360000,9623000,-72238000,-4016999.99999997,-6047000,-6993000,54996000,-16580000,35407000,24397000,24397000,24397000,90289000,672791000,34380000,0.14343,0.08908,0.05089,0.05297,0.02319,0.813960000000001,1.76607,1.28361,0.36945,1.1244,1.0685,22.09341,21.22851,0.91521,0.02859,0.02172,2.73877,3.34484
