"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",19.69,"Up",25767000,-23555000,-5889000,-9721000,-7945000,2212000,52000,-426000,478000,2264000,565000,2829000,-52074000,-52074000,-52074000,-52074000,26358000,26358000,6195000,7784000,1053000,6731000,48418000,554242000,700079000,-145837000,4041000,2184000,558283000,606701000,7.1e+07,12141000,58859000,8087000,3270000,79232000,193000,65208000,2125000,65401000,144633000,514142000,-52074000,462068000,462068000,606701000,-52074000,9721000,57083000,1397000,16127000,-29187000,-66837000,-96024000,-130095000,-2256000,104813000,24916000,24916000,24916000,11933000,338000,0.08585,-2.02096,-0.1127,-0.08583,0.61109,0.31301,0.00056,-1.40516,-1.39962,0.6953,12.46842,-0.0987,-2.18051,-11.76311
"2","2013_Q2",26.520625,"Up",28909000,-20204000,-2471000,-10738000,-6995000,8705000,-96000,-485000,389000,8609000,-50999.9999999991,8558000,5395999.99999999,5395999.99999999,5395999.99999999,5395999.99999999,5516000,5516000,6247000,9194000,956000,7324000,33311000,612813000,769383000,-156570000,2339000,965000,615152000,648463000,68351000,8485000,59866000,7840000,3378000,76336000,36657000,67436000,2230000,104093000,180429000,514712000,-46678000,468034000,468034000,648463000,5396000,10738000,2466999.99999999,-1746000,16855000,-50387000,-23707000,-74094000.0000001,36500000,-103000,36397000,-20842000,-20842000,-20842000,19443000,36802000,0.30112,0.186650000000001,0.01153,0.00831999999999999,0.43637,0.3855,0.0567500000000001,0.14561,0.14503,0.78008,12.6294,0.00942999999999999,1.60911,3.59403
"3","2013_Q3",35.60046875,"Up",45394000,-25966000,-2621000,-14815000,-8530000,19428000,-147000,-535000,388000,19281000,2992000,22273000,14471000,14471000,14471000,14471000,81898000,81898000,6271000,11993000,807000,7995000,116536000,681172000,852481000,-171309000,931000,931000,682103000,798639000,89461000,22630000,66831000,7881000,5020000,97487000,121000,73422000,2324000,73543000,171030000,659816000,-32207000,627609000,627609000,798639000,14471000,14815000,4380000,-723000,32943000,-60151000,-4430000,-64581000,-36500000,-416000,108020000,76382000,76382000,76382000,34243000,266000,0.42799,0.31879,0.02306,0.01812,1.1954,0.27251,0.00033,0.36727,0.36407,1.15207,15.92835,0.02063,-2.3839,-4.20177
"4","2013_Q4",43.5365625,"Up",57791000,-28322000,-2121000,-17423000,-8778000,29469000,-818000,-1088000,270000,28651000,-4956000,23695000,14596000,14596000,14596000,14596000,53100000,53100000,6228000,11023000,659000,10141000,91492000,1361121000,1549766000,-188645000,13283000,12333000,1374404000,1465896000,100513000,24012000,76501000,8793000,6860000,109451000,450085000,83422000,2878000,533507000,642958000,840549000,-17611000,822938000,822938000,1465896000,14596000,17423000,11538000,-1708000,41849000,-249201000,-442296000,-691497000,4.5e+08,-9510000,620850000,-28798000,-28798000,-28798000,46892000,450230000,0.50992,0.25257,0.01774,0.00996,0.83592,0.7813,0.30714,0.32825,0.32655,1.29967,18.50716,0.01076,8.46904,13.4762
"5","2014_Q1",50.3808196721311,"Up",75908000,-38115000,-3823000,-23621000,-10671000,37793000,-5920000,-5950000,30000,31873000,-58000,31815000,20124000,20124000,20124000,20124000,15555000,15555000,5631000,17137000,1184000,15740000,61856000,1446337000,1658573000,-212236000,13421000,13091000,1459758000,1521614000,112095000,2679000,109416000,9225000,9225000,121320000,4.6e+08,94753000,2989000,554753000,676073000,843028000,2513000,845541000,845541000,1521614000,20124000,23621000,10015000,10370000,64130000,-103702000,-6266000,-109968000,1e+07,-2592000,8293000,-37545000,-37545000,-37545000,61414000,4.6e+08,0.49788,0.26511,0.0238,0.01323,0.50986,0.79957,0.30231,0.42696,0.42484,1.61051,17.93947,0.01437,7.23687,11.75998
"6","2014_Q2",66.6493650793651,"Up",98004000,-49869000,-4557000,-30973000,-14339000,48135000,-6475000,-6505000,30000,41660000,-4470000,37190000,23589000,23589000,23589000,23589000,25314000,25314000,5889000,19713000,1495000,18218000,89276000,1833578000,2076709000,-243131000,14043000,12666000,1847621000,1936897000,139656000,24487000,115169000,15555000,12645000,155211000,5.87e+08,111777000,5147000,698777000,853988000,1056807000,26102000,1082909000,1082909000,1936897000,23589000,30973000,19652000,-2748000,71466000,-397534000,-1650000,-399184000,1.27e+08,-156999.999999999,337477000,9759000,9759000,9759000,79108000,5.87e+08,0.49115,0.24069,0.02178,0.01218,0.57519,0.78861,0.30306,0.4869,0.48272,2.02291,22.35245,0.01324,7.10024,11.66897
"7","2014_Q3",70.995625,"Up",127004000,-63708000,-3934000,-40021000,-19753000,63296000,-9117000,-7739000,-1378000,54179000,-11192000,42987000,27824000,27824000,27753000,27753000,36993000,36993000,3308000,29428000,1421000,28007000,110377000,1919988000,2203140000,-283152000,17029000,12702000,1937017000,2047394000,143328000,23475000,119853000,25549000,15170000,168877000,4.96e+08,130180000,5437000,626180000,795057000,1061046000,53855000,1114901000,1252337000,2047394000,27824000,40021000,25759000,-5364000,88240000,-123540000,-921000,-124461000,-9.1e+07,-1828000,47900000,11679000,11679000,11679000,103317000,4.96e+08,0.49838,0.21852,0.02216,0.01356,0.65359,0.63486,0.24226,0.54657,0.54267,2.50121,21.95681,0.01477,4.44271,7.25175
"8","2014_Q4",55.72546875,"Down",139127000,-75484000,-6495000,-45370000,-23619000,63643000,-9806000,-9846000,39999.9999999998,53837000,14782000,68619000,44641000,44641000,43739000,43739000,40644000,40644000,3105000,52825000,3223000,43541000,143261000,2626159000,2954681000,-328522000,51135000,51135000,2677294000,2820555000,177291000,8009000,169282000,18995000,17951000,196286000,5.9e+08,148423000,8115000,738423000,934709000,1553934000,97594000,1651528000,1885846000,2820555000,44641000,45370000,7068000,-4790000,92289000,-673058000,-58527000,-765436000,9.4e+07,597000,676798000,3651000,3651000,3651000,109013000,5.9e+08,0.45745,0.31438,0.02319,0.01551,0.72986,0.49564,0.20918,0.79306,0.78891,2.52261,29.94502,0.01667,5.03936,8.63184
"9","2015_Q1",60.7747540983607,"Up",131583000,-93520000,-6280000,-53641000,-33599000,38063000,-9855000,-10424000,569000,28208000,127952000,156160000,99917000,99917000,98674000,98674000,30183000,30183000,2827000,175651000,4600000,55444000,251711000,2791807000,3173951000,-382144000,51963000,50029000,2843770000,3095481000,196776000,26230000,170546000,69953000,3e+07,266729000,673500000,170039000,8447000,843539000,1110268000,1554743000,196268000,1751011000,1985213000,3095481000,99917000,53641000,-47299000,-1865000,104394000,-192068000,-222000,-192916000,83500000,-7389000,78061000,-10461000,-10461000,-10461000,91704000,673500000,0.28927,0.7499,0.0497,0.03188,0.9437,0.55927,0.21758,1.73331,1.70903,2.31139,30.75834,0.03488,7.01515,16.90137
"10","2015_Q2",69.6085714285714,"Up",101401000,-99794000,-8236000,-59677000,-31881000,1607000,-9982000,-10497000,515000,-8375000,18184000,9809000,6439000,6439000,5849000,5849000,31643000,31643000,2847000,142235000,4837000,45063000,215372000,2825672000,3267493000,-441821000,51437000,51437000,2877109000,3092481000,135025000,8801000,126224000,49005000,16546000,184030000,611579000,180355000,8844000,791934000,975964000,1680984000,202117000,1883101000,2116517000,3092481000,6439000,59677000,33355000,-328000,99143000,-146555000,-7000000.00000001,-153555000,-61921000,-2517000,55872000,1460000,1460000,1460000,61284000,611579000,0.01585,0.05768,0.00276,0.00189,1.17031,0.46112,0.19776,0.10018,0.0997699999999997,1.73673,32.25261,0.00201,9.46309,360.88114
