"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q2",9.09765625,"Up",48742000,-44099000,4643000,-5459000,-5459000,-816000,-79000,-79000,-895000,-895000,0,-895000,-834000,-834000,-834000,6672000,6672000,12064000,12064000,10498000,2692000,2555000,31926000,11391000,7299000,7299000,18690000,50616000,16097000,3617000,12480000,16205000,7560000,2400000,11872000,28077000,5240000,83043000,22539000,22539000,50616000,-834000,257000,2313000,1755000,-70000,-78000,1677000,1677000,1677000,-559000,4312000,1684000,0.09526,-0.01674,-0.01711,-0.037,-0.01648,-2.01918,1.97013,1.24571,0.08519,-0.09939,-0.09939,5.80867,2.68601,0.20069,-0.02424,0.04894,4.22182000000001,2.89216
"22","2016_Q3",10.43171875,"Up",58684000,-51457000,7227000,-5400000,-5400000,1827000,-79000,-79000,1748000,1748000,3.63797880709171e-12,1748000,1706000,1706000,1706000,6804000,6804000,14309000,14309000,10759000,2162000,2162000,34034000,11296000,7319000,7319000,18615000,52649000,16557000,3144000,13413000,16557000,7500000,2400000,11812000,28369000,5275000,84749000,24280000,24280000,52649000,1706000,263000,-1700000,324000,-175000,-192000,132000,132000,132000,2090000,4312000,215000,0.12315,0.03113,0.02907,0.07026,0.0324,0.126029999999999,2.05557,1.16841,0.0819,0.20331,0.20331,6.99348,2.89349,0.02562,0.04727,0.00596,-1.19234,-1.36398
"23","2016_Q4",12.9050793650794,"Up",47697000,-42887000,4810000,-5246000,-5246000,-436000,-78000,-78000,-514000,-514000,0,-514000,-520000,-520000,-520000,6260000,6260000,12738000,12738000,10923000,2173000,2173000,32094000,11103000,7325000,7325000,18428000,50522000,14956000,2381000,12575000,14956000,7472000,2400000,11784000,26740000,5297000,84229000,23782000,23782000,50522000,-520000,260000,-234000,-453000,-67000,-91000,-544000,-544000,-544000,-176000,4312000,-477000,0.10084,-0.00914,-0.0109,-0.02187,-0.01029,0.91731,2.14589,1.12438,0.08535,-0.06197,-0.06197,5.68414,2.83414,-0.05684,-0.01462,-0.01341,11.06818,4.46789
"24","2017_Q1",10.7991935483871,"Down",56651000,-50018000,6633000,-5015000,-5015000,1618000,-84000,-84000,1534000,1534000,-5.82076609134674e-11,1534000,1326000,1326000,1326000,7659000,7659000,15153000,15153000,11381000,1625000,1625000,35818000,11645000,7515000,7515000,19160000,54978000,16510000,3921000,12589000,18031000,7502000,2500000,11814000,29845000,5322000,85555000,25133000,25133000,54978000,1326000,277000,825000,2227000,-820000,-828000,1399000,1399000,1399000,1895000,4312000,1900000,0.11709,0.02856,0.02341,0.05276,0.02412,1.43288,1.98647,1.18748,0.07843,0.15802,0.15802,6.7512,2.99515,0.22643,0.03589,0.05143,-1.76623,-2.0686
"25","2017_Q2",6.27079365079365,"Down",244103000,-208071000,36032000,-26798000,-26798000,9234000,-1182000,-1101000,8052000,8052000,-2789000,5263000,5263000,5263000,5263000,8450000,8450000,14834000,14834000,11816000,2003000,2003000,37103000,11963000,7493000,7493000,19456000,56559000,17603000,4148000,13455000,18880000,7459000,2500000,11771000,30651000,5353000,86299000,25908000,25908000,56559000,5263000,1968000,-9994000,-1897000,-3570000,-3548000,-3542000,-3542000,-2855000,11202000,4312000,427000,0.14761,0.03783,0.02156,0.20314,0.09305,0.08113,1.9652,1.18307,0.07624,0.11847,0.61931,5.49485,0.5832,0.00961,0.13968,0.01133,-0.369399999999999,-0.448130000000002
"26","2017_Q3",8.98952380952381,"Up",259962000,-218635000,41327000,-27764000,-27764000,13563000,-1906000,-1064000,11657000,11657000,-4249000,7408000,7408000,7408000,7408000,8902000,8902000,15823000,15823000,11956000,1738000,1738000,38419000,11922000,7386000,7386000,19308000,57727000,19293000,4013000,15280000,20625000,7446000,2500000,11758000,32383000,5384000,85704000,25344000,25344000,57727000,7408000,2130000,-4205000,5598000,-1888000,-1790000,7460000,7460000,8466000,15693000,4312000,13849000,0.15897,0.05217,0.0285,0.2923,0.12833,1.86947,1.86274,1.27774,0.0747,0.88283,0.86871,30.98015,3.02029,1.65041,0.19967,0.37327,-0.29249,-0.33842
"27","2017_Q4",12.067619047619,"Up",-327023000,264693000,-62330000,37492000,37492000,-24838000,2831000,1908000,-22007000,-22007000,7038000,-14969000,-14969000,-14969000,-14969000,5232000,5232000,14857000,14857000,13619000,1466000,1466000,35174000,11949000,7241000,7241000,19190000,54364000,18025000,3776000,14249000,19689000,7421000,2500000,11733000,31422000,5429000,83257000,22942000,22942000,54364000,-14969000,-3319000,14244000,-4991000,4364000,4201000,-6345000,-6345000,-8038000,-28157000,4312000,-16587000,0.1906,0.07595,0.04577,-0.65247,-0.27535,1.10809,1.78648,1.36963,0.07932,-1.78388,-1.83715,-38.97193,2.73404,-1.9767,-0.43169,-0.47836,0.0326700000000003,0.0370400000000021
"28","2018_Q1",21.1526229508197,"Up",59462000,-52513999.9999999,6947999.99999999,-5838000,-5838000,1110000,-87000,-87000,1023000,2303000.00000001,0,2303000,2303000,2303000,2303000,113731000,113731000,41984000,41984000,98022000,9367000,9367000,263104000,67960000,64334000,29323000,132294000,395398000,66598000,36773000,29825000,167114000,16060000,12766000,74987000,242101000,140076000,22514000,153297000,153297000,395398000,2303000,247000.000000001,2808000,4158000,1951000,1994000,6152000,6152000,6152000.00000001,1357000.00000001,59331000,6116000,0.11685,0.01867,0.03873,0.01502,0.00582,2.65567,1.5744,1.57929,0.15005,0.274449999999999,0.25947,7.0862,18.26869,0.72885,0.01007,0.02674,-40.08843,-49.00901
"29","2018_Q2",28.43546875,"Up",322261000,-267101000,55160000,-45088000,-45088000,10072000,-7485000,-1072000,2587000,2587000,-3440000,-853000,-853000,-853000,-853000,80891000,80891000,56006000,56006000,114105000,12530000,12530000,263532000,111948000,273878000,12942000,385826000,649358000,72763000,43262000,29501000,186605000,23854000,20533000,83184000,269789000,390410000,-853000.000000015,379569000,379569000,649358000,-853000,2911000,-7357000,4265000,-2019000,7738000,-55499000,-55499000,-55725000,12983000,59330000,7047000,0.17117,0.03125,-0.00265,-0.00225000000000001,-0.00131000000000003,-8.26143,1.41225,0.71078,0.09137,-0.01797,-0.10054,6.78987,7.99732,0.14848,-0.00183999999999998,0.0152299999999999,-1.66071,-2.14069000000001
"30","2018_Q3",28.928253968254,"Up",355436000,-296436000,5.9e+07,-128069000,-128069000,-69069000,-2134000,-827000,-71203000,-71203000,-5822000,-77025000,-77025000,-77025000,-77025000,102873000,102873000,55165000,55165000,113147000,11738000,11738000,282923000,111950000,270539000,12784000,382489000,665412000,75914000,46021000,29893000,195650000,23963000,20504000,83293000,278943000,473747000,-77878000,386469000,386469000,665412000,-77025000,4047000,10022000,24753000,-2654000,-2557000,21794000,21794000,21982000,-65022000,59330000,-51832000,0.16599,-0.19432,-0.21671,-0.1993,-0.11576,0.672919999999998,1.44607,0.72177,0.08916,-9.17921,-8.9789,42.35796,46.05622,-6.17691,-0.16397,-0.11034,0.66967,0.63043
"31","2018_Q4",22.0993650793651,"Down",-503492000,413775000,-89717000,1.54e+08,1.54e+08,64283000,9420000,1700000,73703000,74405000,9262000,83667000,83667000,83667000,83667000,14090000,14090000,14345000,14345000,13046000,1620000,1620000,43101000,10632000,4705000.00000003,4705000,15337000.0000001,58438000,18049000,5240000,12809000,19529000,7601000,2800000,7601000,27130000,5703000,91349000,31308000,31308000,58438000,83667000,-6400000,-4594000,-22437000,5154000,-4744000,36411000,36411000,36449000,57883000,0,49181000,0.17819,-0.12767,-0.16617,2.67238,1.43172,0.58782,2.20703,0.86655,0,9.97075,9.66125,-60.00207,3.73102999999999,5.86099,2.15033,1.264,-0.243419999999999,-0.21919
"32","2019_Q1",18.3332786885246,"Down",1185838000,-964922000,220916000,-255821000,-251001000,-34905000,-11362000,-3091000,-46267000,-47092000,-16905000,-63997000,-63997000,-63997000,-63997000,126634000,126634000,57649000,57649000,122638000,11369000,11369000,318290000,108587000,273077000,16677000,381664000,699954000,76742000,43421000,33321000,206303000,27349000,23927000,81679000,287982000,480795000,-58208000,411972000,411972000,699954000,-63997000,15521000,3612000,58647000,-12517000,-2467000,-12026000,-12026000,-12688000,-19384000,54330000,-11384000,0.1863,-0.02943,-0.05397,-0.15534,-0.09143,0.17788,1.54283,0.69903,0.07762,-0.338979999999996,-0.339969999999996,6.28125000000001,2.18217,-0.0602999999999998,-0.12964,-0.02306,3.73009,2.07145
