"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",824.3359375,"Down",2543516.99623218,-7787000,-2983000,-4804000,-7787000,-305000,-305000,0,-8092000,-8092000,-8092000,-8092000,-8092000,-8850000,75589000,75589000,1087000,1087000,76676000,1698000,493000,493000,2191000,78867000,6305000,725000,5580000,67000,67000,6662000,42000,42000,10775000,17437000,155949000,-94519000,61430000,61430000,78867000,-8092000,160000,662000,-238000,-7508000,-531000,-531000,54000,54000,67752000,59713000,59713000,59713000,-7627000,11023000,-282.278946076892,-295.506646391668,-0.14407,-0.11221,11.50946,0.28385,0.13977,-35.40043,-35.40043,6.64106669527075,245.72301,-0.12208,8.46545,8.29151
"2","2015_Q1",928.426229508197,"Up",637838.998744058,-8957000,-3747000,-5210000,-8838000,-237000,-250000,13000,-9075000,-9075000,-9075000,-9075000,-9075000,-9075000,73849000,73849000,1156000,1076000,75321000,2760000,1053000,740000,3813000,79134000,4397000,735000,3662000,167000,167000,4859000,614000,301000,21274000,26133000,156596000,-103595000,53001000,53001000,79134000,-9075000,232000,596000,-238000,-8485000,-1045000,-1045000,3000,3000,7790000,-1740000,-1740000,-1740000,-8606000,20955000,-135.669468692297,-141.998625463889,-0.17122,-0.11468,15.50134,0.49307,0.2648,-23.46563,-23.46563,1.66563556509025,137.04703,-0.1217,6.14618,5.98484
"3","2015_Q2",867.52380952381,"Down",188000,-10336000,-4468000,-5868000,-10151000,-468000,-477000,9000,-10619000,-10619000,-10619000,-10619000,-10619000,-10619000,65295000,65295000,766000,686000,66401000,5332000,1041000,728000,6373000,72774000,4599000,1173000,3426000,2243000,2243000,7142000,1560000,1247000,22152000,29294000,157693000,-114213000,43480000,43480000,72774000,-10619000,253000,728000,2244000,-7394000,-1460000,-1460000,375000,375000,3e+05,-8554000,-8554000,-8554000,-9898000,20892000,-53.99468,-56.48404,-0.24423,-0.14592,9.29726,0.67374,0.28708,-26.44105,-26.44105,0.46812,108.26416,-0.16106,4.48606,4.37425
"4","2015_Q3",664.46875,"Down",565000,-11089000,-4437000,-6652000,-10524000,-471000,-477000,6000,-10995000,-10995000,-10995000,-10995000,-10995000,-10995000,53289000,53289000,628000,628000,54875000,7809000,1029000,716000,8838000,63713000,5037000,1562000,3475000,2035000,2035000,7377000,1762000,1449000,22284000,29661000,159261000,-125209000,34052000,34052000,63713000,-10995000,347000,962000,-312000,-9998000,-2724000,-2644000,713000,713000,636000,-12006000,-12006000,-12006000,-10177000,20827000,-18.62655,-19.46018,-0.32289,-0.17257,7.43866,0.87105,0.32689,-27.13262,-27.13262,1.39426,84.03093,-0.19412,3.18974,3.08457
"5","2015_Q4",539.46875,"Down",1049000,-11385000,-5181000,-6204000,-11165000,-479000,-501000,22000,-11644000,-11644000,-11644000,-11644000,-11644000,-11644000,40117000,40117000,1104000,1104000,42656000,9448000,1020000,707000,10468000,53124000,5284000,993000,4291000,1440000,1440000,8141000,1829000,1516000,21173000,29314000,160663000,-136853000,23810000,23810000,53124000,-11644000,379000,1411000,-1399000,-11253000,-1916000,-1916000,80000,80000,-3000,-13172000,-13172000,-13172000,-10786000,20761000,-10.64347,-11.1001,-0.48904,-0.21919,5.23965,1.23116,0.3908,-28.63316,-28.63316,2.57954,58.54995,-0.25095,1.79455,1.73363
"6","2016_Q1",441.852459016393,"Down",1011000,-11646000,-5008000,-6638000,-11543000,-489000,-512000,23000,-12032000,-12032000,-12032000,-12032000,-12032000,-12032000,73662000,73662000,838000,838000,75552000,10655000,618000,618000,11273000,86825000,5390000,1228000,4162000,2414000,2414000,12253000,1512000,1512000,27633000,39886000,195824000,-148885000,46939000,46939000,86825000,-12032000,486000,1302000,1424000,-8820000,-1874000,-1874000,636000,636000,44239000,33545000,33545000,33545000,-11057000,30570000,-11.41741,-11.90109,-0.25633,-0.13858,6.166,0.84974,0.35209,-28.202,-28.202,2.3697,110.02107,-0.15226,3.89726,3.73317
"7","2016_Q2",451.4296875,"Up",1096000,-12793000,-6204000,-6589000,-12723000,-703000,-735000,32000,-13426000,-13426000,-13426000,-13426000,-13426000,-13426000,59519000,59519000,894000,894000,62032000,12287000,618000,618000,12905000,74937000,5768000,1552000,4216000,2012000,2012000,14723000,1553000,1553000,25125000,39848000,197400000,-162311000,35089000,35089000,74937000,-13426000,529000,1378000,-317000,-11836000,-2158000,-2158000,301000,301000,-149000,-14143000,-14143000,-14143000,-12194000,30515000,-11.60858,-12.25,-0.38263,-0.17916,4.21327,1.13563,0.40721,-27.71817,-27.71817,2.26271,72.44176,-0.19992,2.37855,2.27965
"8","2016_Q3",328.453125,"Down",990000,-12512000,-6143000,-6369000,-13303000,-743000,-805000,62000,-14046000,-14046000,-14046000,-14046000,-14046000,-14046000,50218000,50218000,562000,562000,52503000,12815000,591000,591000,13406000,65909000,5301000,795000,4506000,1550000,1550000,17482000,1600000,1600000,25768000,43250000,199016000,-176357000,22659000,22659000,65909000,-14046000,539000,1334000,-778000,-12951000,-1015000,-1015000,399000,399000,4665000,-9301000,-9301000,-9301000,-12764000,34799000,-13.43737,-14.18788,-0.61989,-0.21311,3.00326,1.90873,0.52799,-28.87591,-28.87591,2.03525,46.5826,-0.23783,1.20801,1.15906
"9","2016_Q4",308.103174603175,"Down",1085000,-11137000,-5935000,-5202000,-11946000,-837000,-876000,39000,-12783000,-12783000,-12783000,-12783000,-12783000,-12783000,75111000,75111000,955000,955000,77783000,13628000,591000,591000,14219000,92002000,5931000,895000,5036000,1110000,1110000,18536000,1638000,1638000,22884000,41420000,239722000,-189140000,50582000,50582000,92002000,-12783000,558000,1219000,-350000,-11356000,-1421000,-1421000,36000,36000,37670000,24893000,24893000,24893000,-11388000,32741000,-11.01014,-11.78157,-0.25272,-0.13894,4.19632,0.81887,0.35587,-25.53765,-25.53765,2.16759,101.05183,-0.15046,3.72058,3.54679
"10","2017_Q1",281.16935483871,"Down",909000,-11644000,-5795000,-5849000,-12906000,-1643000,-1682000,39000,-14549000,-14549000,-14549000,-14549000,-14549000,-14549000,73488000,73488000,820000,820000,75438000,13589000,541000,541000,14130000,89568000,5870000,962000,4908000,2746000,2746000,9885000,841000,841000,40345000,50230000,243027000,-203689000,39338000,39338000,89568000,-14549000,654000,1343000,2253000,-10299000,-893000,-893000,282000,282000,9569000,-1623000,-1623000,-1623000,-12252000,40773000,-14.19802,-16.0055,-0.36985,-0.16244,7.63156,1.27688,0.45522,-23.8546,-23.8546,1.4904,64.49874,-0.17972,2.67018,2.53487
"11","2017_Q2",200.325396825397,"Down",941000,-12459000,-5874000,-6585000,-13145000,-1558000,-1637000,79000,-14703000,-14703000,-14703000,-14703000,-14703000,-14703000,58822000,58822000,931000,931000,60651000,14468000,540000,540000,15008000,75659000,5221000,1161000,4060000,2376000,2376000,8913000,966000,966000,40716000,49629000,244422000,-218392000,26030000,26030000,75659000,-14703000,694000,1743000,-492000,-12758000,-1594000,-1594000,339000,339000,-314000,-14666000,-14666000,-14666000,-12451000,41066000,-13.96918,-15.62487,-0.56485,-0.19433,6.80478,1.90661,0.54278,-24.07866,-24.07866,1.54105,42.62855,-0.21602,1.42607,1.35078
"12","2017_Q3",185.730158730159,"Down",956000,-12871000,-5759000,-7112000,-13905000,-1552000,-1654000,102000,-15457000,-15457000,-15457000,-15457000,-15457000,-15457000,46134000,46134000,660000,660000,48789000,14510000,478000,478000,14988000,63777000,6361000,1660000,4701000,2742000,2742000,10468000,1076000,1076000,40984000,51452000,246173000,-233848000,12325000,12325000,63777000,-15457000,738000,2131000,367000,-12221000,-874000,-874000,374000,374000,407000,-12688000,-12688000,-12688000,-13167000,41273000,-14.54498,-16.16841,-1.25412,-0.24236,4.66078,4.1746,0.64715,-25.20612,-25.20612,1.55897,20.09869,-0.28271,0.36918,0.34959
