"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",3.65444444444444,"Down",89936000,-48802000,41134000,-41961000,-827000,-177000,-177000,-1004000,-681000,970000,289000,289000,289000,289000,-71841820.7482283,-71841820.7482283,4393351.12875615,4393351.12875615,181276974.805234,9706983.9751277,20617599.0100597,123535489.160889,48193856.3064863,9598.03760758042,71397185.3734025,2850173.81261385,48203454.3440939,171738943.504983,59302431.4926219,60720976.2046025,113548015.167871,22897672.1835583,17674113.8977986,22898073.4000901,136446088.567961,291848227.364881,-87977000.0000251,-167055589.45007,-1522782.97776378,35292854.9370222,35292854.9370222,171738943.504983,289000,3159000,233000,-11364000,-7683000,-3715000,-3627000,9441000,-1869000,-1869000,-1869000,2332000,0,-13717000,0.45737,-0.0092,0.00321,-0.60882284182238,-0.391704556606867,-47.46367,0.0511122885696804,1.51035906349087,0.000317678526769912,0.00614,0.00608,1.91178,0.781167611847535,-0.29158,-0.521759017583699,-0.225487039633631,-4.20596185524948,51.3945827396673
"2","2012_Q1",3.28967741935484,"Down",109845000,-59793000,50052000,-41910000,8142000,-204000,-204000,7938000,7938000,-613000,7325000,5332000,5332000,5332000,4114000,4114000,3618000,3618000,92889000,8885000,8885000,109506000,39051000,34056000,32262000,1794000,73107000,182613000,17794000,17552000,46195000,25086000,23548000,25086000,71281000,291956000,-87977000,-88611000,-4036000,111332000,111332000,182613000,5332000,3380000,508000,4629000,13849000,-1759000,-1658000,-14120000,-1929000,-1929000,-1929000,11522000,0,15005000,0.45566,0.07412,0.04854,0.04789,0.0292,2.81413999999999,2.37052,0.64026,0,0.11321,0.11119,2.33222,2.36379,0.31858,0.03909,0.10999,-0.35706,-0.50528
"3","2012_Q2",3.08428571428571,"Down",95357000,-50564000,44793000,-39610000,5183000,-121000,-121000,5062000,5062000,-471000,4591000,4208000,4208000,4208000,26520190.2494094,26520190.2494094,3364632.95708128,3364632.95708128,74948008.3982554,8426255.3416241,6398133.66331344,113259086.94637,37471547.8978379,40143383.9874641,24909104.8755325,1472108.72912872,77614931.885302,190874018.831672,11656106.169126,10986757.9317992,34096578.2773764,25295025.9388139,24281045.3674005,25294892.19997,59391470.4773463,292565840.878373,-87976999.9999916,-68808886.8499766,-4297405.67407874,131482548.354326,131482548.354326,190874018.831672,4208000,3056000,139000,-4268000,3135000,-1879000,-1879000,431000,1687000,1687000,1687000,8239000,0,2563000,0.46974,0.05435,0.04413,0.18309678060746,0.115904852202289,0.60908,2.89454007047677,0.449224478836375,-0.000105892842256637,0.08925,0.08761,2.02259,2.77623996271749,0.05436,0.154821339194566,0.183333179877877,-0.161251048250174,-12.1129117465558
"4","2012_Q3",4.07587301587302,"Up",100445000,-51787000,48658000,-40659000,7999000,-127000,-127000,7872000,7872000,-738000,7134000,6558000,6558000,6558000,18274000,18274000,3410000,3410000,95042000,8811000,8811000,125537000,40403000,33581000,32001000,1580000,73984000,199521000,23702000,23308000,51101000,24500000,22578000,24500000,75601000,293360000,-87977000,-77845000,-3618000,123920000,123920000,199521000,6558000,3004000,319000,5192000,15073000,-2908000,-2766000,166000,12473000,12473000,12473000,11003000,1.81898940354586e-12,14025000,0.48442,0.07964,0.06529,0.05292,0.03287,2.13861,2.45664,0.61008,0,0.13813,0.13616,2.1157,2.61016,0.29541,0.04419,0.0945,-1.66082,-2.28454
"5","2012_Q4",3.89516129032258,"Down",88991000,-48971000,40020000,-40806000,-786000,-388000,-388000,-1174000,-1174000,175000,-999000,-1596000,-1596000,-1596000,5625000,5625000,3577000,3577000,114939000,10980000,10980000,135121000,44172000,33667000,31882000,1785000,77839000,212960000,33392000,33392000,66217000,23923000,21809000,23923000,90140000,293934000,-87977000,-79440000,-3697000,122820000,122820000,212960000,-1595000,2968000,403000,-8318000,-6542000,-6169000,-6104000,-3000,-12649000,-12649000,-12649000,2182000,0,-12480000,0.44971,-0.00883,-0.01793,-0.01299,-0.00749,7.81955,2.04058,0.73392,0,-0.03358,-0.03314,1.87219,2.58389,-0.26255,-0.01088,-0.08505,-2.57791,7.15649
"6","2013_Q1",4.58033333333333,"Up",111074000,-61369000,49705000,-43457000,6248000,80000.0000000001,80000.0000000001,6328000,-17034000,51112000,34078000,33493000,33493000,33493000,10353000,10353000,3627000,3627000,104167000,15260000,8825000,133407000,45933000,54381000,8654000,1792000,100314000,233721000,24657000,24657000,54906000,24457000,24457000,24457000,79363000,293999000,-87977000,-45948000,-5716000,154358000,154358000,233721000,33492000,3505000,-29756000,4478000,11719000,-7082000,-7031000,39999.9999999998,4728000,4728000,4728000,9753000,-2.91038304567337e-11,-43963000,0.44749,0.05625,0.30154,0.21698,0.1433,-1.3126,2.42973,0.51415,1.0842021724855e-19,0.70451,0.70046,2.33638,3.24684,-0.92474,0.18731,-0.24586,-1.06152,-1.65701
"7","2013_Q2",5.2375,"Up",95539000,-49936000,45603000,-41449000,4154000,-165000,-165000,3989000,3989000,-1539000,2450000,2269000,2269000,2269000,5914000,5914000,3123000,3123000,112152000,15792000,9847000,136981000,50519000,52693000,8084000,1772000,103212000,240193000,27619000,27619000,59038000,23929000,23929000,23929000,82967000,294401000,-87977000,-43679000,-5519000,157226000,157226000,240193000,2269000,3690000,1624000,-6522000,1061000,-5571000,-5500000,7916831.30839151,-4439000,-4439000,-4439000,7844000,0,-2710000,0.47732,0.04348,0.02375,0.01443,0.00945,-1.19436,2.32022,0.52769,0,0.0476,0.0471,2.00443,3.29863,-0.05686,0.01253,-0.01496,-0.75395,-1.42369
"8","2013_Q3",6.42,"Up",100504000,-53867000,46637000,-41370000,5267000,-122000,-122000,5145000,5145000,-2151000.00000001,2994000,1238000,1238000,1238000,9770000,9770000,3327000,3327000,103608000,15657000,9846000,132362000,53232000,50363000,7503000,1753000,103595000,235957000,22641000,22641000,54023000,23349000,23349000,23349000,77372000,294562000,-87977000,-42441000,-5559000,158585000,158585000,235957000,1238000,3744000,1659000,3120000,9761000,-5969000,-5905000,15110127.2669477,3856000,3856000,3856000,9011000,4.65661287307739e-10,8313000,0.46403,0.05241,0.01232,0.00781000000000004,0.00525000000000002,6.71486,2.4501,0.48789,1.73472347597681e-18,0.02582,0.02563,2.09628,3.30771,0.17339,0.00679999999999996,0.04569,-1.08423,-1.85495
"9","2013_Q4",6.6,"Up",88739000,-49732000,39007000,-41533000,-2526000,-151000,-151000,-2677000,-2677000,1073000,-1604000,-1600000,-1600000,-1600000,5198000,5198000,3480000,3480000,116080000,15832000,9491000,140590000,62739000,50646000,6908000,1951000,113385000,253975000,29369000,29369000,73900000,22515000,22515000,22515000,96415000,294987000,-87977000,-44041000,-5409000,157560000,157560000,253975000,-1600000,3844000,-1152000,-3550000,-2458000,-9795000,-9726000,7611999.99999999,-4572000,-4572000,-4572000,1318000,7612000,-13100000,0.43957,-0.02847,-0.01803,-0.01015,-0.0063,8.1875,1.90244,0.61193,0.02997,-0.0333,-0.03297,1.84669,3.27888,-0.27262,-0.00852,-0.0698,1.83156,-0.95566
"10","2014_Q1",5.65131147540984,"Down",112800000,-60350000,52450000,-45489000,6961000,-183000,-183000,6778000,6778000,-2627000,4151000,4219000,4219000,4219000,8162000,8162000,5007000,5007000,104211000,15706000,9081000,133086000,65942000,46917000,6256000,1973000,112859000,245945000,25464000,25464000,50584000,34149000,34149000,34149000,84733000,294572000,-87977000,-39822000,-5561000,161212000,161212000,245945000,4219000,4191000,1971000,11150000,21531000,-11055000,-10986000,-7581000,2964000,2964000,2964000,11152000,-1.86264514923096e-09,13874000,0.46498,0.06171,0.0374,0.02617,0.01715,3.28846,2.63099,0.5256,-6.93889390390723e-18,0.08766,0.08693,2.3438,3.34972,0.28828,0.0216,0.07102,-0.73189,-1.17253
