"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda"
"1","2014_Q3",32.74390625,"Down",9.52e+08,-7.59e+08,1.93e+08,-1.5e+08,-1.5e+08,4.3e+07,0,0,4.3e+07,4.3e+07,-1.6e+07,2.7e+07,2.7e+07,2.7e+07,2.7e+07,2.36e+08,2.36e+08,7.73e+08,7.73e+08,8.82e+08,5.5e+07,3.5e+07,1.946e+09,1.18e+08,4.09e+08,1e+06,5.27e+08,2.473e+09,5.04e+08,4.01e+08,1.03e+08,5.08e+08,7e+06,2e+06,7e+06,5.15e+08,1e+06,1.958e+09,1.958e+09,2.473e+09,2.7e+07,6e+06,1.6e+07,1.8e+07,6.7e+07,-1.2e+07,-4e+06,-4e+06,5.9e+07,5.9e+07,2e+06,6.1e+07,4.9e+07,0,7.1e+07,0.20273,0.04517,0.02836,0.01379,0.01092,2.62963,3.83071,0.26302,0,0.25234,0.25,8.8972,18.29907,0.66355,0.01374,-4.81633
"2","2014_Q4",27.32390625,"Down",1.07e+09,-8.57e+08,2.13e+08,-1.63e+08,-1.63e+08,5e+07,1e+06,1e+06,5.1e+07,5.1e+07,-1.7e+07,3.4e+07,3.4e+07,3.4e+07,3.4e+07,1.66e+08,1.66e+08,9.06e+08,9.06e+08,9.05e+08,5.5e+07,3.5e+07,2.032e+09,1.24e+08,4.02e+08,2115201.1919559,5.26e+08,2.558e+09,5.74e+08,4.54e+08,1.2e+08,5.78e+08,7e+06,2e+06,7e+06,5.85e+08,-2.1e+07,1.973e+09,1.973e+09,2.558e+09,3.2e+07,4e+06,1.4e+07,-9e+07,-40000000.0000001,-1.4e+07,-1.4e+07,0,-5.4e+07,-5.4e+07,-1.6e+07,-69999999.9999999,5.4e+07,-7.45058059692383e-09,-3.3e+07,0.19907,0.04673,0.03178,0.01723,0.01329,-0.97059,3.51557,0.2965,-3.46944695195361e-18,0.31776,0.31481,10,18.43925,-0.30841,0.01717,-3.07407
"3","2015_Q1",23.2544262295082,"Down",1.006e+09,-8.01e+08,2.05e+08,-1.79e+08,-1.79e+08,2.6e+07,-4e+06,-4e+06,2.2e+07,2.2e+07,-8e+06,1.4e+07,1.4e+07,1.4e+07,1.4e+07,1.95e+08,1.95e+08,8.51e+08,8.51e+08,9.49e+08,5.2e+07,3e+07,2.047e+09,1.24e+08,4.25e+08,4e+06,5.49e+08,2.596e+09,6.15e+08,4.9e+08,1.25e+08,6.2e+08,1e+07,0,1e+07,6.3e+08,-4.5e+07,1.966e+09,1.966e+09,2.596e+09,1.6e+07,7e+06,1.7e+07,3.8e+07,7.8e+07,-7e+06,-4.3e+07,-8e+06,2.7e+07,2.7e+07,2e+06,2.9e+07,3.3e+07,0,7.2e+07,0.20378,0.02584,0.01392,0.00712,0.00539,5.14286,3.30161,0.32045,0,0.13055,0.13057,9.38123,18.3335,0.67142,0.00709,-5.90909
"4","2015_Q2",22.8573015873016,"Down",8.63e+08,-7.08e+08,1.55e+08,-1.63e+08,-1.63e+08,-8e+06,-4e+06,-4e+06,-1.2e+07,-1.2e+07,2e+06,-1e+07,-1e+07,-1e+07,-1e+07,1.22e+08,1.22e+08,7.97e+08,7.97e+08,9.45e+08,4.3e+07,2e+07,1.907e+09,1.43e+08,5.59e+08,5e+06,7.02e+08,2.609e+09,5.25e+08,4.17e+08,1.08e+08,5.26e+08,2.6e+07,5e+06,1.61e+08,6.87e+08,-8.4e+07,1.922e+09,1.922e+09,2.609e+09,-1e+07,7e+06,1e+07,-2e+07,-1.3e+07,-3e+06,-1.86e+08,1.33e+08,-6.6e+07,-6.6e+07,-7e+06,-7.3e+07,-1e+06,1.35e+08,-2.6e+07,0.17961,-0.00927,-0.01159,-0.0052,-0.00383,2.6,3.62548,0.35744,0.05174,-0.09346,-0.09346,8.06542,17.96262,-0.24299,-0.0048,-13
"5","2015_Q3",17.416875,"Down",7.5e+08,-6.26e+08,1.24e+08,-1.51e+08,-1.51e+08,-2.7e+07,-2e+06,-2e+06,-2.9e+07,-2.9e+07,1e+07,-1.9e+07,-1.9e+07,-1.9e+07,-1.9e+07,1.14e+08,1.14e+08,6.65e+08,6.65e+08,8.92e+08,6.1e+07,3e+07,1.732e+09,1.43e+08,5.98e+08,4e+06,7.41e+08,2.473e+09,4.42e+08,3.36e+08,1.06e+08,4.48e+08,2.3e+07,4e+06,1.03e+08,5.51e+08,-7.1e+07,1.922e+09,1.922e+09,2.473e+09,-1.9e+07,9e+06,2e+07,8.4e+07,9.4e+07,-3e+06,-4.3e+07,-5.5e+07,-4e+06,-4e+06,-4e+06,-8e+06,-1.8e+07,8e+07,5.3e+07,0.16533,-0.036,-0.02533,-0.00989,-0.00768,-2.78947,3.86607,0.28668,0.03235,-0.17757,-0.17757,7.00935,17.96262,0.49533,-0.00938,1.88889
"6","2015_Q4",17.0721875,"Down",7.53e+08,-6.36e+08,1.17e+08,-1.53e+08,-1.53e+08,-3.6e+07,-4.65661287307739e-10,-4.65661287307739e-10,-3.6e+07,-2.91e+08,6.7e+07,-2.24e+08,-2.24e+08,-2.24e+08,-2.24e+08,1.26e+08,1.26e+08,5.64e+08,5.64e+08,7.71e+08,7.1e+07,2.4e+07,1.532e+09,1.62e+08,4.92e+08,5e+06,6.54e+08,2.186e+09,3.89e+08,2.92e+08,9.7e+07,3.89e+08,1.9e+07,4e+06,1.39e+08,5.28e+08,-1.17e+08,1.658e+09,1.658e+09,2.186e+09,-2.24e+08,1e+07,2.1e+08,1.67e+08,1.63e+08,-2e+06,-1.73e+08,4e+07,3e+07,3e+07,-1.8e+07,1.2e+07,-2.6e+07,1.2e+08,7.2e+07,0.15538,-0.04781,-0.29748,-0.1351,-0.10247,-0.32143,3.9383,0.31846,0.05489,-2.09346,-2.09346,7.03738,15.49533,0.6729,-0.12465,0.23077
"7","2016_Q1",15.374262295082,"Down",6.44e+08,-5.38e+08,1.06e+08,-1.52e+08,-1.52e+08,-4.6e+07,-2e+06,-2e+06,-4.8e+07,-1.86e+08,-6.3e+07,-2.49e+08,-2.49e+08,-2.49e+08,-2.49e+08,9e+07,9e+07,4.85e+08,4.85e+08,6.93e+08,2.4e+07,2.4e+07,1.292e+09,1.65e+08,3.75e+08,5e+06,5.4e+08,1.832e+09,3.05e+08,2.11e+08,9.4e+07,3.07e+08,1.4e+07,3e+06,1.22e+08,4.29e+08,-1.34e+08,1.403e+09,1.403e+09,1.832e+09,-2.49e+08,1.2e+07,2.48e+08,6.9e+07,8e+07,-3e+06,-1.21e+08,-1.2e+07,-5.3e+07,-5.3e+07,1.7e+07,-3.6e+07,-3.4e+07,1.08e+08,9.5e+07,0.1646,-0.07143,-0.38665,-0.17748,-0.13592,-0.38153,4.20847,0.30577,0.05895,-2.31207,-2.31207,5.9798,13.02742,0.88211,-0.16328,-0.52941
"8","2016_Q2",17.55328125,"Up",5.48e+08,-4.61e+08,8.7e+07,-1.52e+08,-1.52e+08,-6.5e+07,-2e+06,-2e+06,-6.7e+07,-6.7e+07,4e+06,-6.3e+07,-6.3e+07,-6.3e+07,-6.3e+07,1.31e+08,1.31e+08,4.13e+08,4.13e+08,6.33e+08,2.4e+07,2.4e+07,1.201e+09,1.59e+08,3.78e+08,7e+06,5.37e+08,1.738e+09,3.02e+08,2.08e+08,9.4e+07,3.02e+08,1.3e+07,3e+06,6.8e+07,3.7e+08,-1.11e+08,1.368e+09,1.368e+09,1.738e+09,-6.3e+07,1.2e+07,2.4e+07,1.16e+08,8.9e+07,-1e+06,1.49011611938477e-08,-5.7e+07,3.2e+07,3.2e+07,9e+06,4.1e+07,-5.3e+07,5.5e+07,5.8e+07,0.15876,-0.11861,-0.11496,-0.04605,-0.03625,-0.92063,3.97682,0.27047,0.03165,-0.58879,-0.58879,5.1215,12.78505,0.54206,-0.04387,1.43396
"9","2016_Q3",19.9959375,"Up",5.01e+08,-4.18e+08,8.3e+07,-1.4e+08,-1.4e+08,-5.7e+07,-2e+06,-2e+06,-5.9e+07,-5.9e+07,1.5e+07,-4.4e+07,-4.4e+07,-4.4e+07,-4.4e+07,1.36e+08,1.36e+08,3.54e+08,3.54e+08,5.89e+08,2.9e+07,2.9e+07,1.108e+09,1.61e+08,5.45e+08,6e+06,7.06e+08,1.814e+09,3.01e+08,2.05e+08,9.6e+07,3.04e+08,8e+06,2e+06,1.88e+08,4.92e+08,-1.19e+08,1.322e+09,1.322e+09,1.814e+09,-4.4e+07,1.3e+07,2e+06,9.5e+07,6.6e+07,-8e+06,-1.9e+08,1.25e+08,1e+06,1e+06,4e+06,5e+06,-4.4e+07,1.8e+08,2.8e+07,0.16567,-0.11377,-0.08782,-0.03328,-0.02426,-0.63636,3.64474,0.37216,0.09923,-0.41121,-0.41121,4.68224,12.35514,0.26168,-0.02914,-1
"10","2016_Q4",21.1998412698413,"Up",5.2e+08,-4.33e+08,8.7e+07,-1.4e+08,-1.4e+08,-5.3e+07,-3e+06,-3e+06,-5.6e+07,-5.6e+07,0,-5.6e+07,-5.6e+07,-5.6e+07,-5.6e+07,1.31e+08,1.31e+08,3.39e+08,3.39e+08,5.32e+08,2.2e+07,2.2e+07,1.024e+09,1.53e+08,5.34e+08,7e+06,6.87e+08,1.711e+09,2.88e+08,1.93e+08,9.5e+07,2.92e+08,6e+06,2e+06,1.51e+08,4.43e+08,-1.22e+08,1.268e+09,1.268e+09,1.711e+09,-5.6e+07,1.4e+07,1.5e+07,5.8e+07,3.1e+07,-1e+06,-999999.99999994,-3.5e+07,-5000000.00000001,-5000000.00000001,0,-5e+06,-3.9e+07,1.45e+08,1.8e+07,0.16731,-0.10192,-0.10769,-0.04416,-0.03273,-0.32143,3.50685,0.34937,0.08475,-0.52336,-0.52336,4.85981,11.85047,0.16822,-0.03946,-0.35897
"11","2017_Q1",19.6795161290323,"Down",5.38e+08,-4.5e+08,8.8e+07,-1.35e+08,-1.35e+08,-4.7e+07,-1e+06,-1e+06,-4.8e+07,-4.8e+07,-2.3e+07,-7.1e+07,-7.1e+07,-7.1e+07,-7.1e+07,1.06e+08,1.06e+08,3.54e+08,3.54e+08,4.83e+08,1.6e+07,1.6e+07,9.59e+08,1.43e+08,5.01e+08,5e+06,6.44e+08,1.603e+09,3.46e+08,2.46e+08,1e+08,3.47e+08,8e+06,1e+06,7.3e+07,4.2e+08,-1.42e+08,1.183e+09,1.183e+09,1.603e+09,-7.1e+07,1.4e+07,3.3e+07,7.3e+07,4.9e+07,-1e+06,8e+06,-8e+07,-2.3e+07,-2.3e+07,-2e+06,-2.5e+07,-3.3e+07,6.5e+07,6.2e+07,0.16357,-0.08736,-0.13197,-0.06002,-0.04429,-0.87324,2.76369,0.35503,0.04055,-0.65339,-0.65339,4.95101,10.8867,0.57056,-0.05653,1.24242
