"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",97.9987301587302,"Down",454234000,-197107000,257127000,-193880000,-153617000,-40263000,63247000,-13428000,-14444000,217000,799000,49819000,49819000,-14427000,35392000,35392000,34861000,34861000,1864869511.58474,1786744173.06132,78125338.5234166,296373610.444212,296373610.444212,218662962.14695,141073857.915001,-71004685.2412359,2520979942.0909,293615133.174672,1290156023.85539,-629350036.481039,657141680.955941,178738466.421052,297269250.993463,123863583.532722,950772428.503526,3471752370.59443,311883575.429073,132643960.891316,179239614.162405,1122457337.58475,35397639.9869593,1434340913.01382,728664480.350072,106159710.551605,-157861313.964342,834824190.901677,2269165103.9155,121127405.115495,1111837863.97335,-90177581.1005963,1142787627.89305,1202587266.67893,3471752370.59443,26875000,26875000,-1397000,2682000,-81620000,-1886000,2696000,2696000,223000,1033000,-53712000,-53712000,1908000,-51804000,0,0.56607,0.13924,0.07675,0.0920712531391375,0.0407464817305812,-0.978480759752573,1.70110864386611,0.214986026590173,1.2656,1.24184,16.49062,41.3680637185906,0.0578312855855691,-14.3396430306278
"2","2010_Q3",87.081875,"Down",467662000,-199354000,268308000,-200132000,-156270000,-43862000,68176000,-12822000,-14325000,-1014000,2517000,55354000,55354000,-16833000,38521000,38521000,37957000,37957000,717709000,614223000,103486000,335354000,335354000,370272000,132492000,132492000,1555827000,305936000,986577011.927697,-518486518.240519,665361000,199922000,329386000,136053000,971297000,2527124000,277454000,95161000,182293000,112041000,102291000,389495000,734339000,100558000,100558000,834897000,1224392000,140736000,1069015000,75380000,1285131000,1302732000,2527124000,44929000,44929000,-36189000,-14049000,-34678000,497000,2927000,2927000,-266000,3158000.00000001,13409000,13409000,2680000,16089000,734339000,0.57372,0.14578,0.08116,0.02914,0.01502,3.99447,0.93986,0.29058,1.37495,1.34958,16.94059,46.5526,0.01776,0.24393
"3","2010_Q4",95.98828125,"Up",471502000,-205172000,266330000,-191528000,-148654000,-42874000,74802000,-16893000,-14400000,-2749000,256000,57909000,57909000,-12824000,45085000,45085000,44764000,44764000,7.38e+08,630640000,107360000,368603000,368603000,402883000,142223000,142223000,1651709000,321507000,843797003.975899,-475730506.080173,708988000,206616000,351860000,150512000,1030495000,2682204000,296344000,99120000,197224000,114350000,105189000,410694000,733574000,109804000,109804000,843378000,1254072000,150139000,1113779000,159914000,1423832000,1428132000,2682204000,54951000,54951000,-20886000,-7111000,-49346000,-2514000,3394000,3394000,2152000,3032000,8637000,8637000,7780000,16417000,733574000,0.56485,0.15865,0.09494,0.03134,0.01669,4.02175,0.87812,0.2735,1.6162,1.59285,17.02358,51.40744,0.01971,-0.0591700000000006
"4","2011_Q1",111.798064516129,"Up",533720000,-233997000,299723000,-221939000,-176672000,-45267000,77784000,-20583000,-20548000,-338000,303000,57201000,57201000,10736000,67937000,67937000,67908000,67908000,1025187000,906551000,118636000,387996000,387996000,398100000,164063000,116042000,1975346000,333617000,812133000,-478516000,753801000,203881000,363981000,172963000,1087418000,3062764000,319700000,113440000,206260000,346927000,93104000,666627000,731100000,124518000,64780000,855618000,1522245000,156989000,1181687000,198020000,1536696000,1540519000,3062764000,95943000,95943000,-32872000,-14172000,-47657000,2.21e+08,3713000,3713000,-3191000,221522000,269808000,269808000,6103000,275911000,731100000,0.56157,0.14574,0.12724,0.04408,0.02217,2.9632,0.98814,0.23871,2.44168,2.39924,19.19028,55.25298,0.02834,-3.78082
"5","2011_Q2",121.916984126984,"Up",485121000,-207510000,277611000,-210493000,-167763000,-42730000,67118000,-18857000,-16766000,-3042000,951000,48261000,48261000,-15323000,32938000,32938000,33039000,33039000,791436000,627908000,163528000,388554000,388554000,429975000,187345000,187345000,1797310000,337625000,841902000,-504277000,773838000,198658000,369107000,206073000,1111463000,2908773000,306802000,111373000,195429000,120789000,110520000,427591000,731214000,136480000,136480000,867694000,1295285000,167906000,1214726000,229660000,1612292000,1613488000,2908773000,12163000,12163000,-17889000,-48214000,-69674000,-223378000,7638000,7638000,997000,-214743000,-272254000,-272254000,-6389000,-278643000,731214000,0.57225,0.13835,0.0681,0.02048,0.01136,4.20334,0.80279,0.25138,1.18402,1.1638,17.38536,57.77996,0.01332,-0.897259999999999
"6","2011_Q3",103.34671875,"Down",521656000,-228520000,293136000,-224950000,-176740000,-48210000,68186000,-10367000,-12041000,-2744000,4418000,57819000,57819000,-17797000,40022000,40022000,40048000,40048000,886248000,670301000,215947000,394913000,394913000,449337000,159158000,159158000,1889656000,348439000,875133000,-526694000,806150000,201425000,393125000,211600000,1154589000,3044245000,318528000,120514000,198014000,124316000,122953000,442844000,731331000,144155000,144155000,875486000,1318330000,174495000,1254774000,296565000,1725834000,1725915000,3044245000,107388000,107388000,-24697000,-51518000,-77872000,-2491999.99999994,2820000,2820000,532000,860000,30376000.0000001,30376000.0000001,12017000,42393000,731331000,0.56193,0.13071,0.07677,0.0232,0.01316,4.26709,0.76384,0.24023,1.42957,1.40534,18.62126,61.60613,0.01539,-2.27198
"7","2011_Q4",95.1250793650794,"Down",516514000,-220338000,296176000,-222254000,-176867000,-45387000,73922000,-18149000,-12341000,-6346000,538000,55773000,55773000,-9911000,45862000,45862000,45897000,45897000,910202000,671028000,239174000,375031000,375031000,445581000,146889000,146889000,1877703000,338942000,862143000,-523201000,753150000,180228000,371227000,201695000,1092092000,2969795000,301620000,113476000,188144000,113706000,112900000,415326000,731597000,129226000,129226000,860823000,1276149000,179843000,1300671000,212635000,1693149000,1693646000,2969795000,58107000,58107000,-24909000,-34383000,-62762000,-776000,2573000,2573000,259000,2056000,-2599000,-2599000,3326000,727000,731597000,0.57341,0.14312,0.08886,0.0271,0.01545,4.52103,0.75349,0.24635,1.63492,1.61291,18.39896,60.31236,0.01797,-2.41613
"8","2012_Q1",102.286290322581,"Up",550238000,-238332000,311906000,-215891000,-174614000,-41277000,96015000,-12021000,-11987000,-1710000,1676000,83994000,83994000,-24003000,59991000,59991000,60029000,60029000,813115000,574231000,238884000,398674000,398674000,433510000,152856000,99079000,1798155000,349501000,881912000,-532411000,949147000,259497000,468933000,209528000,1298648000,3096803000,319192000,129124000,190068000,139923000,114787000,459115000,731698000,161608000,76086000,893306000,1352421000,185337000,1359910000,198690000,1743937000,1744382000,3096803000,85077000,85077000,-35595000,9411000,-176024000,-4089000,1218000,1218000,1138000,-1733000,-92680000,-92680000,-4117000,-96797000,731698000,0.56686,0.1745,0.1091,0.03441,0.01938,3.91657,0.7753,0.23628,2.13376,2.10407,19.55845,61.98902,0.02276,-0.84796
"9","2012_Q2",102.845396825397,"Up",486277000,-207695000,278582000,-224216000,-171293000,-52923000,54366000,-8187000,-13196000,-1441000,6450000,46179000,46179000,-15235000,30944000,30944000,31005000,31005000,807050000,533812000,273238000,387619000,387619000,463369000,159410000,159410000,1817448000,369199000,925489000,-556290000,1001227000,258312000,480060000,262855000,1370426000,3187874000,302285000,109571000,192714000,141795000,140986000,444080000,731899000,171849000,171849000,903748000,1347828000,192344000,1390915000,256390000,1839649000,1840046000,3187874000,33850000,33850000,-34899000,-34647000,-84875000,-86000,3464000,3464000,341000,3719000,-47306000,-47306000,6887000,-40419000,731899000,0.57289,0.1118,0.06376,0.01685,0.00973,4.09261,0.7325,0.22959,1.09943,1.08588,17.24325,65.23347,0.0113,-1.38232
"10","2012_Q3",101.71746031746,"Down",510422000,-222522000,287900000,-214592000,-162256000,-52336000,73308000,-7289000,-12401000,-1619000,6731000,66019000,66019000,-17454000,48565000,48565000,48343000,48343000,835257000,456487000,378770000,373817000,373817000,449457000,152541000,152541000,1811072000,380656000,937723000,-557067000,977167000,241341000,466157000,269669000,1357823000,3168895000,286937000,119448000,167489000,130247000,129464000,417184000,732054000,167165000,167165000,899219000,1316403000,198495000,1439258000,214236000,1851888000,1852492000,3168895000,78256000,78256000,-41917000,-109990000,-155167000,-55000.0000000002,2647000,2748000,208000,2800000,-74111000,-74111000,-3214000,-77325000,732054000,0.56404,0.14362,0.09471,0.0261,0.01526,4.34118,0.71061,0.23101,1.71126,1.68972,18.06804,65.55356,0.01757,-1.4078
"11","2012_Q4",104.052419354839,"Up",498697000,-224567000,274130000,-204742000,-159364000,-45378000,69388000,-10838000,-11901000,-448000,1511000,58550000,58550000,-15686000,42864000,42864000,42877000,42877000,853621000,426457000,427164000,375800000,375800000,458428000,157592000,157592000,1845441000,397949000,974406000,-576457000,1059626000,268866000,489355000,301405000,1457575000,3303016000,296070000,113282000,182788000,137596000,137290000,433666000,732233000,201635000,201635000,933868000,1367534000,204558000,1481642000,248783000,1934882000,1935482000,3303016000,66720000,66720000,-37043000,-42371000,-99304000,-568000,2746000,2746000,376000,2554000,-30030000,-30030000,0,-30030000,732233000,0.54969,0.13914,0.08598,0.02215,0.01298,4.25544,0.70656,0.22169,1.51445,1.49684,17.61433,68.34141,0.01494,-1.74941
"12","2013_Q1",117.505666666667,"Up",573839000,-259293000,314546000,-247432000,-188865000,-58567000,67114000,-7955000,-13614000,-1532000,7191000,59159000,59159000,-15986000,43173000,43173000,43252000,43252000,921073000,463388000,457685000,398739000,398739000,455120000,161750000,69260000,1936682000,416938000,1012034000,-595096000,796270000,260939000,495418000,39913000,1506821000,3443503000,331319000,130867000,200452000,141081000,113043000,472400000,732414000,223149000,108095000,955563000,1427963000,212247000,1528327000,274532000,2015005000,2015540000,3443503000,87654000,87654000,-24465000,-35611000,-61040000,-101999.999999999,1653000,1653000,1964000,3515000,30129000,30129000,6802000,36931000,732414000,0.54814,0.11696,0.07537,0.02146,0.01256,4.09967,0.70848,0.21269,1.52312,1.50389,20.20773,70.95838,0.01456,-2.81102
"13","2013_Q2",117.301875,"Down",499672000,-228260000,271412000,-236260000,-185917000,-50343000,35152000,-11105000,-10977000,-1528000,1400000,24047000,24047000,-3875000,20172000,20172000,20151000,20151000,836832000,368629000,468203000,377548000,377548000,467321000,183479000,183479000,1865180000,422699000,1027789000,-605090000,1168924000,286722000,502145000,380057000,1591623000,3456803000,307444000,119340000,188104000,139296000,137598000,446740000,732586000,246260000,246260000,978846000,1425586000,218695000,1543187000,269436000,2031217000,2031217000,3456803000,24017000,24017000,-34540000,-9686000,-108282000,-93000,3135000,3135000,-10468000,-7426000,-91691000,-91691000,-3068000,-94759000,732586000,0.54318,0.07035,0.04033,0.00992,0.00583,4.17509,0.70184,0.21193,0.7072,0.69927,17.53604,71.28578,0.00669,-2.96558
"14","2013_Q3",117.9375,"Up",525321000,-225220000,300101000,-247172000,-195331000,-51841000,52929000,-3885000,-11664000,-865000,8644000,49044000,49044000,-14442000,34602000,34602000,34602000,34602000,834432000,366999000,467433000,395974000,395974000,484667000,187963000,187963000,1903036000,418530000,1032393000,-613863000,1161255000,277305000,501496000,382454000,1579785000,3482821000,293798000,129119000,164679000,137446000,135753000,431244000,732800000,247835000,247835000,980635000,1411879000,225788000,1577861000,267394000,2070942000,2070942000,3482821000,19737000,19737000,-23470000,-987000.000000015,-26284000,-47999.9999999851,3445000,3445000,-2107000,1290000.00000001,-5256999.99999997,-5256999.99999997,3627000,-1630000.00000001,732800000,0.57127,0.10076,0.06587,0.01671,0.00994,4.4129,0.68176,0.2104,1.21249,1.19863,18.40777,72.56787,0.01134,-1.92016
