"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",4.56796875,"Up",48711660,-39450943,9260717,-8210986,-8210986,1049731,-257947,-257947,791784,0,791784,-114351,677433,677433,649324,649324,-7018196.54979318,-7018196.54979318,6609522.69340907,6609522.69340907,472615.394546468,-6037810.83871776,3447601.70027402,40906992.6170571,102864917.605203,41140498.0322106,10696678.1767592,143771910.22226,147219511.922534,12234847.7013669,6039014.31847746,9986973.5517851,-152108.90743675,4983746.3074283,2315201.80944585,2668544.49395347,17066485.1013584,64531194.9067866,19231773.9710062,3113650.56736892,83762968.8777928,100829453.979151,265566903.490531,-218495823.798861,46390057.9433829,46390057.9433829,147219511.922534,677433,1608389,76301,5504998,7867121,-885357,-885357,-2390169,-199760,-3415460,3566304,3566304,3566304,2658120,0,7392112,0.19011,0.02155,0.01333,0.119374288831814,0.0337777530281503,11.38432,0.863163127412516,2.10857197358344,0.439948419861345,0.02015,0.01873,1.51175,1.35609507998089,0.22941,0.035758774028015,0.0976944913110698,-188.120767200312,10.9228192965708
"2","2016_Q1",4.30196721311475,"Down",58183000,-43772000,14411000,-12035000,-12035000,2376000,-1463000,-1463000,913000,-438000,475000,6143000,6618000,6618000,6422000,6422000,5103000,5103000,35078000,35078000,5737000,3049000,52091000,50260000,99934000,41344000,6067000,150194000,202285000,17983000,7346000,10454000,830000,10827000,1454000,9373000,29640000,96285000,11974000,3583000,108259000,137899000,272351000,-207694000,64386000,64386000,202285000,6618000,-4180000,2918000,989000,6345000,-2019000,-90304000,84569000.0000001,-4067000,81991000,-1968000,-1968000,-1968000,-1804000,97115000,-8977000,0.24768,0.04084,0.11038,0.09974,0.03175,-1.39785,1.75746,2.14175,0.48009,0.17968,0.19679,1.62785,1.80139,-0.25116,0.03702,-0.05175,-51.00443,38.72559
"3","2016_Q2",4.29046875,"Down",64797000,-49763000,15034000,-12465000,-12465000,2569000,-2182000,-2182000,387000,-165277.43247711,387000,-63000,324000,324000,324000,324000,8105830.51659773,8105830.51659773,42654803.9355303,42654803.9355303,6079971.70181784,5373113.77957259,63698170.433242,50887512.7943143,99217858.2982657,40579420.3225965,5840464.27441359,150105371.09258,213803541.525822,18955283.0995444,7216577.72717418,10247217.8160716,1132611.13581225,12728264.0641906,1836205.73018472,10892058.3353488,32816158.2995472,102446127.864404,10381167.6763313,3790045.97754369,112827295.540736,145643453.840283,273729238.669823,-205502574.90038,68160087.685539,68160087.685539,213803541.525822,324000,920000,2329000,-2563000,1010000,-581000,-581000,-1082000,-517000,-1717000,-1288000,-1288000,-1288000,3489000,0,408000,0.23202,0.03965,0.005,0.0520194037227287,0.0173732489906166,1.25926,1.95526812419583,2.14706517547219,0.486453860046218,0.00926,0.00896,1.85118,1.91179080667304,0.01166,0.0209537419906617,-0.0513948304370233,10.8896090667707,42.0592919011431
"4","2016_Q3",4.74625,"Up",66279000,-51131000,15148000,-12371000,-12371000,2777000,-2344000,-2344000,433000,119000,552000,-109000,443000.000000001,443000,443000,443000,6124410,6124410,39403131,39403131,4161439,4161439,56255274,47642438,99713515,39400482,7790358,147355953,203611227,18246606,7112505,9900746,1134551,12578423,2747862,9830561,31959580,94904843,11510946,3783923,106415789,138375369,272162261,-206926403,65235858,65235858,203611227,443000,922000,2664000,-1325000,2704000,486000,486000.000000007,-339000,-542000,-880999.999999993,2309000,2309000,2309000,3699000,96039394,2969000,0.22855,0.0419,0.00668,0.00679,0.00218,6.70203,1.7602,2.12116,0.47168,0.01266,0.01224,1.8935,1.8637,0.08482,0.00256,0.01718,24.30792,32.37846
"5","2016_Q4",4.27857142857143,"Down",64857000,-48903000,15954000,-11962000,-11962000,3992000,-2175000,-2175000,1817000,-2000,1815000,-407000,1408000,1408000,1408000,1408000,3868000,3868000,36744000,36744000,3153000,3153000,50681000,46452000,100113000,38429000,9161000,146565000,197246000,19079000,8657000,9832000,1325000,12985000,3354000,9631000,33389000,87462000,11548000,3351000,99010000,132399000,270366000,-205519000,64847000,64847000,197246000,1408000,950000,3436000,4459000,10253000,-2143000,-2143000,-7506000,-915000,-10366000,-2256000,-2256000,-2256000,4942000,88787000,7665000,0.24599,0.06155,0.02171,0.02171,0.00714,5.44389,1.5179,2.04171,0.45013,0.04058,0.03929,1.86919,1.8689,0.22091,0.00852,0.0464,17.18312,21.27229
"6","2017_Q1",3.87048387096774,"Down",72436000,-54689000,17747000,-13373000,-13373000,4374000,-2428000,-2428000,1946000,10000,1956000,6794000,8750000,8750000,8750000,8750000,5279000,5279000,44288000,44288000,5544000,5404000,63984000,51811000,99515000,38196000,7902000,151326000,215310000,24505000,13258000,10614000,2046000,15600000,2981000,12619000,42151000,91371000,7841000,2628000,99212000,141363000,270716000,-196769000,73947000,73947000,215310000,8750000,1181000,-3577000,-4825000,1529000,-357000,-6932000,7843000,-1029000,6814000,1411000,1411000,1411000,5555000,93417000,-6421000,0.245,0.06038,0.1208,0.11833,0.04064,-0.73383,1.51797,1.91168,0.43387,0.24754,0.23903,2.04925,2.092,-0.18165,0.04994,-0.03665,15.86643,20.15043
"7","2017_Q2",3.34301587301587,"Down",77617000,-60181000,17436000,-14383000,-14383000,3053000,-2434000,-2434000,619000,-8000,611000,-60000,551000,551000,551000,551000,4435000,4435000,47950000,47950000,6243000,6193000,66181000,52885000,99451000,37188000,8846000,152336000,218517000,30391000,17017000,12557000,2132000,13197000,2837000,10360000,45720000,88866000,9335000,4370000,98201000,143921000,270814000,-196218000,74596000,74596000,218517000,551000,1282000,2895000,3581000,8309000,-3945000,-3945000,-4482000,-726000,-5208000,-844000,-844000,-844000,4335000,90998000,4031000,0.22464,0.03933,0.0071,0.00739,0.00252,7.31579,1.44753,1.92934,0.41643,0.01594,0.01543,2.24489,2.15751,0.11659,0.00315,0.02304,19.9684,28.35342
"8","2017_Q3",3.17555555555556,"Down",79296000,-61007000,18289000,-14914000,-14914000,3375000,-2284000,-2284000,1091000,-4000,1087000,-695000,392000.000000001,391999.999999998,392000.000000001,392000.000000001,1159000,1159000,46460000,46460000,6876000,6876000,63169000,54331000,96470000,36179000,6874000,150801000,213970000,24814000,13195000,10863000,2210000,13594000,3653000,9941000,40618000,88930000,9345000,4264000,98275000,138893000,270903000,-195826000,75077000,75077000,213970000,391999.999999998,1341000,3599000,-3687000,1645000,-1912000,-1912000,-1977000,-1032000,-3009000,-3276000,-3276000,-3276000,4716000,91140000,-187999.999999998,0.23064,0.04256,0.00494000000000002,0.00521999999999999,0.00183,-0.479590000000001,1.5552,1.85001,0.42595,0.0113400000000001,0.011,2.29345,2.17142,-0.00544,0.00223,-0.00106999999999999,19.07994,26.66104
"9","2017_Q4",3.45460317460317,"Up",83473000,-63505000,19968000,-16431000,-16431000,3537000,-2004000,-2302000,1533000,4000,1537000,-577000,960000,960000,960000,960000,1876000,1876000,50607000,50607000,5891000,5891000,68393000,52590000,106391000,44509000,6918000,158981000,227374000,26354000,13059000,12401000,1978000,16078000,6941000,9137000,44410000,92670000,9428000,3987000,102098000,146508000,275732000,-194866000,80866000,80866000,227374000,960000,1370000,3498000,946000,6774000,-896000,-8933000,4122000,-1246000,2876000,717000,717000,717000,4907000,94648000,5534000,0.23922,0.04237,0.0115,0.01187,0.00422,5.76458,1.54004,1.81174,0.41627,0.02732,0.02655,2.37551,2.30132,0.15749,0.00519,0.02992,18.90605,26.22901
"10","2018_Q1",2.76344262295082,"Down",86332000,-66011000,20321000,-17583000,-17583000,2738000,-2724000,-2724000,14000,7.27595761418343e-12,14000,13756000,13770000,13770000,13770000,13770000,5630000,5630000,49457000,49457000,5783000,5783000,70246000,54335000,114548000,43179000,16405000,168883000,239129000,28453000,15597000,12661000,2571000,18682000,5755000,12927000,49706000,86762000,6908000,3797000,93670000,143376000,276849000,-181096000,95753000,95753000,239129000,13770000,1251000,-9289000,2773000,8505000,-2383000,-2383000,-3114000,-254000,-2368000,3754000,3754000,3754000,3989000,89333000,-9377000,0.23538,0.03171,0.1595,0.14381,0.05758,-0.680970000000001,1.41323,1.49735,0.37358,0.37682,0.36992,2.36248,2.62028,-0.2566,0.07172,-0.04884,20.98345,30.57085
