"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",63.6015873015873,"Up",5.236e+09,-4.309e+09,9.27e+08,-5.91e+08,-3.93e+08,-3.42e+08,3.36e+08,-5.8e+07,-5.8e+07,2.78e+08,-1.87e+08,9.1e+07,1.7e+07,1.08e+08,1.73e+08,-1.4e+07,1.59e+08,1.59e+08,2.517e+09,2.517e+09,5.776e+09,5.776e+09,1.282e+09,6.41e+08,6.41e+08,9.575e+09,3.334e+09,1.8307e+10,6.85e+09,8.774e+09,4.45e+08,2.238e+09,2.1641e+10,3.1216e+10,5.724e+09,1.961e+09,3.763e+09,1.203e+09,1.164e+09,1.164e+09,8.091e+09,6.249e+09,4.531e+09,4.531e+09,1.078e+10,1.8871e+10,1.2125e+10,-5.3e+07,-7.4e+07,7e+06,1.2005e+10,3.4e+08,1.2345e+10,3.1216e+10,1.73e+08,3.63e+08,-7.9e+07,6.2e+07,5.19e+08,-1.3e+08,0,1.004e+09,8.74e+08,-9.3e+07,1.1e+07,2.5e+07,-1.4e+07,-6.6e+07,-1.68e+08,1.225e+09,1.225e+09,2.9e+07,1.254e+09,6.99e+08,7.452e+09,6.14e+08,0.17704,0.06417,0.03037,0.01288,0.00509,3.86164,1.18341,1.52864,0.23872,0.56019,0.54928,18.44766,42.29645,2.16327,0.00736,0.02524,7.06009,14.6875
"2","2017_Q3",68.1530158730159,"Up",5.453e+09,-3.87e+09,1.583e+09,-1.054e+09,-6.44e+08,-4.82e+08,5.29e+08,-5.7e+07,-5.7e+07,4.72e+08,-1.88e+08,2.84e+08,-7.9e+07,2.05e+08,2.65e+08,-9e+06,2.56e+08,2.56e+08,2.671e+09,2.671e+09,5.676e+09,5.676e+09,1.093e+09,6.1e+08,4.83e+08,9.44e+09,3.745e+09,1.9991e+10,8.004e+09,9.158e+09,3.86e+08,2.443e+09,2.3736e+10,3.3176e+10,5.912e+09,1.666e+09,4.246e+09,2.2e+09,1.325e+09,1.325e+09,9.437e+09,6.325e+09,4.907e+09,4.907e+09,1.1232e+10,2.0669e+10,1.2161e+10,-6.1e+07,1.1e+08,-7e+07,1.214e+10,3.67e+08,1.2507e+10,3.3176e+10,2.65e+08,5.41e+08,1.56e+08,28999999.9999999,9.91e+08,-2.35e+08,-1.52e+08,9e+06,-3.78e+08,-4.17e+08,1.5e+07,6.7e+07,-5.2e+07,1e+06,-4.53e+08,1.6e+08,1.6e+08,2e+07,1.8e+08,1.07e+09,8.525e+09,9.43e+08,0.2903,0.09701,0.04695,0.02047,0.00772,3.68359,1.00032,1.65259,0.25696,0.89866,0.88493,19.14206,42.61593,3.31028,0.01187,0.03635,5.47103,11.06616
"3","2017_Q4",77.7371428571429,"Up",7.573e+09,-5.442e+09,2.131e+09,-1.219e+09,-5.2e+08,-5.55e+08,9.12e+08,-5.7e+07,-5.7e+07,8.55e+08,-2.2e+08,6.35e+08,2.69e+08,9.04e+08,7.79e+08,-3e+06,7.76e+08,7.76e+08,2.926e+09,2.926e+09,5.611e+09,5.611e+09,9.84e+08,5.4e+08,4.44e+08,9.521e+09,3.812e+09,2.0249e+10,7.927e+09,9.32e+09,4.58e+08,2.544e+09,2.4061e+10,3.3582e+10,5.941e+09,1.51e+09,4.431e+09,2.173e+09,1.524e+09,1.524e+09,9.638e+09,6.367e+09,4.375e+09,4.375e+09,1.0742e+10,2.038e+10,1.2204e+10,-8.3e+07,8.34e+08,-1.18e+08,1.2837e+10,3.65e+08,1.3202e+10,3.3582e+10,7.79e+08,4.83e+08,6.6e+07,-2.96e+08,1.032e+09,-1.97e+08,-4.1e+07,-4.5e+07,-2.83e+08,-4.64e+08,1.5e+07,1.5e+07,0,-1.5e+07,-5.15e+08,2.34e+08,2.34e+08,-5e+06,2.29e+08,1.395e+09,8.54e+09,6.33e+08,0.28139,0.12043,0.10247,0.05878,0.02311,0.81572,0.98786,1.54371,0.2543,2.71918,2.67799,26.53655,44.98213,2.2181,0.03167,0.02424,4.02437,6.1557
"4","2018_Q1",84.3847540983607,"Up",6.294e+09,-4.323e+09,1.971e+09,-1.028e+09,-4.53e+08,-5.85e+08,9.43e+08,-7.4e+07,-7.4e+07,8.69e+08,-2.08e+08,6.61e+08,-9.6e+07,5.65e+08,5.65e+08,-5e+06,5.6e+08,5.6e+08,2.593e+09,2.593e+09,5.481e+09,5.481e+09,1.546e+09,4.96e+08,4.69e+08,9.62e+09,3.363e+09,2.0938e+10,7.179e+09,7.619e+09,3.73e+08,2.404e+09,2.4301e+10,3.3921e+10,5.504e+09,1.513e+09,3.991e+09,1.918e+09,2.43e+09,1.641e+09,9.852e+09,6.092e+09,4.14e+09,3.684e+09,1.0232e+10,2.0084e+10,1.2213e+10,-8.5e+07,1.301e+09,5.8e+07,1.3487e+10,3.5e+08,1.3837e+10,3.3921e+10,5.65e+08,6.27e+08,-1.011e+09,5.2e+08,7.01e+08,-1.43e+08,-1e+07,-9.3e+07,-2.46e+08,-6.44e+08,-3.5e+07,3.1e+07,-6.6e+07,-24000000.0000001,-7.54e+08,-2.99e+08,-2.99e+08,2.1e+07,-2.78e+08,1.57e+09,8.01e+09,2.043e+09,0.31316,0.14983,0.08897,0.04047,0.01651,3.64821,0.97645,1.45147,0.23614,1.96051,1.92738,22.03473,47.21678,7.15236,0.02351,0.07862,3.45032,5.74443
"5","2018_Q2",82.89640625,"Down",5.282e+09,-3.867e+09,1.415e+09,-8.17e+08,-4.4e+08,-4.71e+08,5.98e+08,-5.3e+07,-5.3e+07,5.45e+08,-1.85e+08,3.6e+08,-1.29e+08,2.31e+08,2.66e+08,-7e+06,2.59e+08,2.59e+08,2.579e+09,2.579e+09,5.271e+09,5.271e+09,9.66e+08,5.77e+08,3.89e+08,8.816e+09,3.349e+09,1.6961e+10,6.899e+09,7.451e+09,3.32e+08,2.279e+09,2.031e+10,2.9126e+10,5.477e+09,1.326e+09,4.151e+09,2.307e+09,1.53e+09,1.53e+09,9.314e+09,4.747e+09,3.251e+09,3.251e+09,7.998e+09,1.7312e+10,1.1871e+10,-8.7e+07,0,-3.12e+08,1.1472e+10,3.42e+08,1.1814e+10,2.9126e+10,2.66e+08,5.09e+08,-2.8e+07,-2.74e+08,4.73e+08,-2.01e+08,-1.08e+08,2.5e+07,-2.84e+08,-1.054e+09,-3.05e+08,9e+06,-3.14e+08,1.11e+09,-3e+08,-1.11e+08,-1.11e+08,-3.9e+07,-1.5e+08,1.107e+09,7.054e+09,7.61e+08,0.26789,0.11321,0.04903,0.02192,0.00889,2.93822,0.94653,1.46538,0.24219,0.91056,0.89526,18.56982,40.33188,2.67543,0.01402,0.0344,4.04246,7.48328
"6","2018_Q3",85.1974603174603,"Up",5.013e+09,-3.518e+09,1.495e+09,-9.56e+08,-5.69e+08,-4.84e+08,5.39e+08,-5e+07,-5e+07,4.89e+08,-1.57e+08,3.32e+08,-7.3e+07,2.59e+08,2.59e+08,3e+06,2.62e+08,2.62e+08,2.78e+09,2.78e+09,4.928e+09,4.928e+09,1.107e+09,6.3e+08,4.77e+08,8.815e+09,3.281e+09,1.6786e+10,6.602e+09,7.417e+09,3.26e+08,2.441e+09,2.0067e+10,2.8882e+10,5.454e+09,1.358e+09,4.096e+09,1.618e+09,1.442e+09,1.442e+09,8.514e+09,5.409e+09,3.122e+09,3.122e+09,8.531e+09,1.7045e+10,1.1851e+10,-1.05e+08,1.36e+08,-3.82e+08,1.15e+10,3.37e+08,1.1837e+10,2.8882e+10,2.59e+08,4.93e+08,-2.6e+07,-3.14e+08,4.12e+08,-1.83e+08,0,3.83e+08,2e+08,-2.21e+08,-1.06e+08,2.7e+07,-1.33e+08,-5000000.00000024,-3.86e+08,2.26e+08,2.26e+08,-2.5e+07,2.01e+08,1.032e+09,7.027e+09,6.08e+08,0.29822,0.10752,0.05226,0.02213,0.00907,2.32061,1.03535,1.43998,0.2433,0.93116,0.91679,17.8164,40.87145,2.16086,0.01437,0.02765,4.11531,7.87941
"7","2018_Q4",66.6504761904762,"Down",5.178e+09,-3.725e+09,1.453e+09,-8.54e+08,-4.91e+08,-5.08e+08,5.99e+08,-5.4e+07,-5.4e+07,5.45e+08,-7.6e+07,4.69e+08,-3e+06,4.66e+08,4.66e+08,-4e+06,4.62e+08,4.62e+08,2.475e+09,2.475e+09,5.096e+09,5.096e+09,9.51e+08,6.26e+08,3.25e+08,8.522e+09,3.186e+09,1.7163e+10,6.77e+09,7.593e+09,4.07e+08,2.393e+09,2.0349e+10,2.8871e+10,5.4e+09,1.345e+09,4.055e+09,1.58e+09,1.542e+09,1.542e+09,8.522e+09,5.98e+09,3.013e+09,3.013e+09,8.993e+09,1.7515e+10,1.1346e+10,-1.34e+08,2.74e+08,-4.64e+08,1.1022e+10,3.34e+08,1.1356e+10,2.8871e+10,4.66e+08,5.12e+08,-1.091e+09,2.63e+08,1.5e+08,-2.9e+07,-2.89e+08,3.62e+08,4.4e+07,1.459e+09,-8.02e+08,4e+06,-8.06e+08,-1.1e+09,-4.97e+08,-3.03e+08,-3.03e+08,-2e+06,-3.05e+08,1.111e+09,7.56e+09,1.348e+09,0.28061,0.11568,0.08922,0.04068,0.016,2.91775,1,1.54236,0.26185,1.67634,1.6558,18.7881,39.99274,4.89115,0.02353,0.06147,4.57696,8.48915
"8","2019_Q1",61.8540983606557,"Down",5.28e+09,-3.836e+09,1.444e+09,-1.3e+09,-4.59e+08,-5.05e+08,1.44e+08,2.57e+08,-4.9e+07,4.01e+08,-4.7e+07,3.54e+08,-8.3e+07,2.71e+08,2.71e+08,3e+06,2.74e+08,2.74e+08,2.899e+09,2.899e+09,5.181e+09,5.181e+09,9.86e+08,6.27e+08,3.59e+08,9.066e+09,3.179e+09,1.7329e+10,5.939e+09,7.606e+09,3.55e+08,3.429e+09,2.0508e+10,2.9574e+10,5.881e+09,1.666e+09,4.215e+09,1.942e+09,1.63e+09,1.63e+09,9.453e+09,5.47e+09,2.926e+09,2.926e+09,8.396e+09,1.7849e+10,1.1304e+10,-1.36e+08,4.78e+08,-2.44e+08,1.1402e+10,3.23e+08,1.1725e+10,2.9574e+10,2.71e+08,5.09e+08,1.306e+09,-1.338e+09,7.48e+08,2.12e+08,-3.3e+07,-7e+07,1.09e+08,-1.447e+09,-83999999.9999999,7e+06,-91000000.0000001,1.102e+09,-4.8e+08,3.77e+08,3.77e+08,4.7e+07,4.24e+08,6.53e+08,7.412e+09,-3.9e+08,0.27348,0.02727,0.05189,0.02337,0.00926,-1.42336,0.95906,1.5223,0.25063,1.01953,1.00876,19.64651,42.42605,-1.45116,0.01473,-0.01768,6.91118,31.34028
"9","2019_Q2",56.1893650793651,"Down",4.89e+09,-3.622e+09,1.268e+09,-8.59e+08,-5.07e+08,-4.7e+08,4.09e+08,-6.1e+07,-6.1e+07,3.48e+08,-1.42e+08,2.06e+08,-3.8e+07,1.68e+08,1.68e+08,-5e+06,1.63e+08,1.63e+08,1.868e+09,1.868e+09,5.234e+09,5.234e+09,1.088e+09,7.28e+08,3.6e+08,8.19e+09,5.219e+09,1.9168e+10,6.468e+09,8.806e+09,3.56e+08,3.538e+09,2.4387e+10,3.2577e+10,5.632e+09,1.517e+09,4.115e+09,1.511e+09,2.195e+09,2.195e+09,9.338e+09,7.893e+09,4.129e+09,4.129e+09,1.2022e+10,2.136e+10,1.0919e+10,-1.49e+08,4.94e+08,-3.51e+08,1.0913e+10,3.04e+08,1.1217e+10,3.2577e+10,1.68e+08,4.74e+08,-3.42e+08,-3.66e+08,-6.6e+07,-2.19e+08,-1.911e+09,3.08e+08,-1.822e+09,1.479e+09,-4.93e+08,7e+06,-5e+08,-4.8e+07,8.87e+08,-1.001e+09,-1.001e+09,-3e+07,-1.031e+09,8.83e+08,9.404e+09,3.36e+08,0.2593,0.08364,0.03333,0.01453,0.005,2.06135,0.87706,1.90425,0.28867,0.61049,0.60602,18.31461,40.87266,1.25843,0.00865,0.01358,8.53454,18.42543
"10","2019_Q3",41.568125,"Down",4.851e+09,-3.679e+09,1.172e+09,-8.47e+08,-4.89e+08,-4.67e+08,3.25e+08,-3.7e+07,-3.7e+07,2.88e+08,-2.287e+09,-1.999e+09,-1.16e+08,-2.115e+09,-2.115e+09,-4e+06,-2.119e+09,-2.119e+09,2.88e+09,2.88e+09,4.611e+09,4.611e+09,9.99e+08,6.71e+08,3.28e+08,8.49e+09,5.037e+09,1.5989e+10,6.293e+09,5.784e+09,3.3e+08,3.582e+09,2.1026e+10,2.9516e+10,5.443e+09,1.603e+09,3.84e+09,1.471e+09,2.06e+09,2.06e+09,8.974e+09,7.698e+09,3.974e+09,3.974e+09,1.1672e+10,2.0646e+10,1.0796e+10,-1.5e+08,-1.668e+09,-4.28e+08,8.55e+09,3.2e+08,8.87e+09,2.9516e+10,-2.115e+09,4.72e+08,3.392e+09,-9.8e+07,1.651e+09,-2.17e+08,-10000000.0000002,2000000.00000006,-2.25e+08,-2.08e+08,-1.47e+08,3e+06,-1.5e+08,3999999.99999988,-4.07e+08,1.019e+09,1.019e+09,-7e+06,1.012e+09,7.97e+08,9.169e+09,5.98e+08,0.2416,0.067,-0.43682,-0.2389,-0.07179,-0.28221,0.94607,2.32762,0.31065,-8.19222,-8.25509,18.75435,33.05498,2.31192,-0.09372,0.02717,7.89084,19.35077
