"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.3657142857143,"Down",571905000,-526560000,45345000,-22516000,-22516000,22829000,-343000,28000,-371000,22486000,-1697000,20789000,-2539000,18250000,18250000,18250000,18250000,381910758.66146,381910758.66146,513050458.547438,513050458.547438,310898460.284106,24748092.340869,32444414.91503,563660.208206246,1230607769.83387,90563675.8237676,99917373.627165,37912001.4182214,22858366.4108611,39147005.7980826,262857449.458996,1493465219.29287,313365392.760985,333022271.387918,-19656878.6269328,313850.779297334,55461220.8151483,55461220.8151483,369140464.35543,11298305.8787036,29238564.4144413,29238489.1822424,40536870.2931449,409677334.648575,765355857.693257,360858956.066003,-42154929.1138143,1083787884.64429,1083787884.64429,1493465219.29287,18250000,10291000,1297000,-23928000,5910000,-9459000,-70000,-9229000,-65000,-16512000,1158000,-17670000,228000,-16349000,-19668000,-19668000,-1007000,-20675000,33120000,0,2272000,0.07929,0.03992,0.03191,0.00631288140510698,0.00439765803556567,0.12449,3.28958363657105,0.376928984485118,0.00780263356435551,0.28784,0.28535,9.02016,17.3668508175425,0.03583,0.00604341298416103,-0.116402881375626,-5.17851643513332,-5.21229463159282
"2","2010_Q3",13.9734375,"Down",589449000,-543303000,46146000,-23032000,-23032000,23114000,-572000,107000,-679000,22542000,0,22542000,-2513000,20029000,20029000,20029000,20029000,351477000,351477000,413448000,413448000,389023000,48672000,35013000,3526000,1202620000,127105000,95732000,37912000,19367000,38453000,268396000,1471016000,290305000,281494000,8811000,333000,48586000,48586000,339224000,11202000,25168000,25168000,36370000,375594000,727224000,381237000,-12767000,1095422000,1095422000,1471016000,20029000,10127000,681000,-55250000,-24413000,-9483000,-69000,-9477000,-80000,-14488000,394000,-14882000,12000,-14556000,-48446000,-48446000,-645000,-49091000,33241000,11535000,-28979000,0.07829,0.03921,0.03398,0.01828,0.01362,-1.44685,3.54521,0.34288,0.00784,0.31949,0.31672,9.40245,17.47335,-0.46225,0.01769,-0.0256,-10.22659,-14.70719
"3","2010_Q4",15.04640625,"Up",613864000,-566672000,47192000,-23379000,-23379000,23813000,1263000,51000,1212000,25076000,-452000,24624000,-2155000,22469000,22469000,22469000,22469000,346299000,346299000,426868000,426868000,380644000,53246000,40472000,3526000,1207057000,129171000,97953000,37912000,21829000,38212000,263376000,1470433000,276073000,264080000,11993000,348000,53211000,53211000,329632000,11110000,24064000,24064000,35174000,364806000,714030000,397840000,-5971000,1105627000,1105627000,1470433000,22469000,9798000,-1036000,-17591000,13640000,-9761000,22000,111000,-78000,-20831000,194000,-21025000,606000,-20303000,-6552000,-6552000,1374000,-5178000,33611000,11458000,8414000,0.07688,0.03879,0.0366,0.02032,0.01528,0.37447,3.66183,0.32995,0.00779,0.36418,0.36072,9.94966,17.92027,0.13638,0.01969,0.00737,-9.96224,-14.06127
"4","2011_Q1",16.5724193548387,"Up",626925000,-578193000,48732000,-23318000,-23318000,25414000,-1778000,73000,-1851000,23636000,-4575000,19061000,-51000,19010000,19010000,19010000,19010000,346345000,346345000,455930000,455930000,361570000,50266000,43979000,2437000,1214111000,127442000,100218000,37912000,23975000,38331000,262957000,1477068000,263268000,258422000,4846000,362000,58844000,58844000,322474000,11019000,24350000,24350000,35369000,357843000,713247000,413212000,-6962000,1119225000,1119225000,1477068000,19010000,9614000,4060000,-22655000,10029000,-6818000,-144000,-6262000,-77000,-3772000,1506000,-5278000,330000,-3519000,247999.999999996,247999.999999996,-202000,46000,35028000,11381000,5606000,0.07773,0.04054,0.03032,0.01698,0.01287,0.2949,3.76499,0.31972,0.00771,0.3128,0.31021,10.31585,18.41648,0.09224,0.01646,0.00485,-9.56275,-13.18029
"5","2011_Q2",14.7926984126984,"Down",538312000,-500688000,37624000,-21843000,-21843000,15781000,-363000,72000,-435000,15418000,-3973268.67509111,15418000,-905000,14513000,14513000,14513000,14513000,333527000,333527000,419138000,419138000,395729000,50754000,41618000,2418000,1199148000,147962000,96945000,37912000,20567000,38466000,278683000,1477831000,247135000,245492000,1643000,377000,56135000,56135000,303647000,10925000,24576000,24576000,35501000,339148000,712501000,428590000,-2136000,1138683000,1138683000,1477831000,14513000,8429000,1645000,-10413000,14174000,-25584000,-495000,-24329000,-80000,-3715000,839000,-4554000,15000,-3780000,-13935000,-13935000,1117000,-12818000,24210000,11302000,-10882000,0.06989,0.02932,0.02696,0.01275,0.00982,-0.74981,3.94915,0.29784,0.00765,0.23823,0.23605,8.83652,18.69175,-0.17863,0.01236,-0.00926,-13.30958,-20.41854
"6","2011_Q3",12.533125,"Down",585549000,-547798000,37751000,-23105000,-23105000,14646000,843000,112000,731000,15489000,-480000.000000002,15009000,-308000,14701000,14701000,14701000,14701000,306508000,306508000,453012000,453012000,396264000,48290000,36771000,7716000,1204074000,151472000,97507000,37912000,22996000,36599000,277880000,1481954000,258598000,255864000,2734000,384000,52218000,52218000,311200000,10818000,25235000,25235000,36053000,347253000,701809000,433502000,-338000,1134701000,1134701000,1481954000,14701000,8958000,1911000,-2.8e+07,-2430000,-10594000,-4000.00000000012,-5198000,-1e+05,-19510000,616000,-20126000,26000,-19584000,-27212000,-27212000,193000,-27019000,23604000,11202000,-14682000,0.06447,0.02501,0.02511,0.01296,0.00992,-0.99871,3.86913,0.30603,0.00756,0.24439,0.24192,9.734,18.86295,-0.24407,0.01255,-0.01254,-12.51085,-20.16291
"7","2011_Q4",12.0125396825397,"Down",570083000,-535448000,34635000,-22874000,-22874000,11761000,-90000,112000,-202000,11671000,-145000,11526000,8341000,19867000,19867000,19867000,19867000,253845000,253845000,462532000,462532000,429785000,49190000,32098000,10486000,1195352000,156381000,107837000,37912000,32554000,37371000,289013000,1484365000,280753000,277297000,3456000,401000,48694000,48694000,329848000,10709000,24860000,24860000,35569000,365417000,681244000,446937000,-8961000,1118948000,1118948000,1484365000,19867000,8767000,-10985000,-29227000,-11578000,-13392000,-41000,-9483000,-92000,-28357000,151000,-28508000,-6000,-28455000,-49516000,-49516000,-3147000,-52663000,20528000,11110000,-30432000,0.06075,0.02063,0.03485,0.01776,0.01338,-1.53179,3.62395,0.32657,0.00748,0.33907,0.33717,9.72954,19.09696,-0.51938,0.0172,-0.02635,-11.82458,-20.63898
"8","2012_Q1",14.7437096774194,"Up",559086000,-530261000,28825000,-21843000,-21843000,6982000,-551000,145000,-696000,6431000,-7252000,-821000,3699000,2878000,2878000,2878000,2878000,283920000,283920000,425936000,425936000,391580000,99565000,84723000,6667000,1201001000,163660000,110664000,37912000,37420000,35332000,298997000,1499998000,290895000,285671000,5224000,419000,60636000,60636000,351950000,10600000,21700000,21700000,32300000,384250000,680277000,449193000,-13450000,1115748000,1115748000,1499998000,2878000,9330000,-15263000,57673000,54618000,-21457000,-61000,-21468000,-91000,-2128000,965000,-3093000,-49000,-2268000,30882000,30882000,-807000,30075000,16312000,11019000,48829000,0.05156,0.01249,0.00515000000000001,0.00258,0.00192,16.9663,3.41242,0.34439,0.00735,0.05008,0.0496900000000001,9.72848,19.41478,0.84966,0.00251,0.04252,-16.73008,-39.08636
"9","2012_Q2",12.7980952380952,"Down",593417000,-552909000,40508000,-22501000,-22501000,18007000,419000,53000,366000,18426000,-10182000,8244000,-2646000,5598000,5598000,5598000,5598000,256668000,256668000,475739000,475739000,403989000,82252000,64318000,11199000,1218648000,167853000,110114000,37912000,37061000,35141000,303261000,1521909000,307807000,301988000,5819000,437000,57223000,57223000,365467000,10488000,22142000,22142000,32630000,398097000,680216000,453627000,-9759000,1123812000,1123812000,1521909000,5598000,8455000,3007000,-40881000,-23821000,-11482000,9572000,-1885000,-94000,-2570000,1365000,-3935000,-1000,-2665000,-28371000,-28371000,1119000,-27252000,26462000,10925000,-23255000,0.06826,0.03034,0.00943,0.00498,0.00368,-4.15416,3.3345,0.35424,0.00718,0.09738,0.09676,10.32317,19.55,-0.40455,0.00484,-0.0201,-9.28664,-13.64708
"10","2012_Q3",13.6211111111111,"Up",630031000,-584040000,45991000,-22779000,-22779000,23212000,-539000,-91000,-448000,22673000,-4944000,17729000,-4149000,13580000,13580000,13580000,13580000,280812000,280812000,457969000,457969000,387665000,74722000,60517000,9442000,1201168000,168483000,107577000,37912000,36288000,33377000,291789000,1492957000,281130000,277042000,4088000,458000,62400000,62400000,343988000,10361000,22169000,22169000,32530000,376518000,667945000,462597000,-13831000,1116439000,1116439000,1492957000,13580000,8988000,4075000,14792000,41435000,-8746000,-66000,188000.000000002,-106000,-18466000,891000,-19357000,22999.9999999999,-18549000,23074000,23074000,1070000,24144000,32200000,10819000,42395000,0.073,0.03684,0.02155,0.01216,0.0091,3.12187,3.49189,0.33725,0.00725,0.2384,0.23742,11.06035,19.59937,0.74426,0.01181,0.03688,-8.38488,-11.63161
