"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",4.77032786885246,"Down",4612000,-6843000,-2231000,-10771000,-7730000,-1824000,-5906000,-3041000,-13002000,-1103000,-1075000,-1076000,1000,-28000,-14105000,-14105000,-14106000,-14106000,-14106000,-14106000,20667000,20667000,830000,830000,8073000,14047000,1329000,12718000,43617000,7306000,1234000,1034000,8540000,52157000,9771000,4358000,5413000,18379000,5616000,12763000,28150000,29016000,1948000,345000,1603000,30964000,59114000,190084000,-197041000,-6957000,-6957000,52157000,-14106000,343000,2694000,2525000,-8544000,-1349000,-1739000,5000,5000,-30457000,-1114000,-11397000,-11397000,-11397000,-12659000,29016000,-0.48374,-2.81917,-3.05854,2.0276,-0.27045,1.54945,-8.49705,0.55632,-0.36705,-0.36705,0.12001,-0.18103,-0.58758,-0.65953,-0.64213
"2","2016_Q2",4.57421875,"Down",5456000,-6528000,-1072000,-10998000,-7599000,-1279000,-6320000,-3399000,-12070000,-1298000,-1081000,-1082000,1000,-217000,-13368000,-13368000,-13368000,-13368000,-13368000,-13368000,5729000,5729000,3865209.53614468,3865209.53614468,11916000,8818000,1371000,7447000,26463000,11413000,1189000,1035000,12602000,39065000,11764000,6655000,5109000,15279000,5889000,9390000,27043000,29091000,2692000,429000,2263000,31783000,58826000,190648000,-210409000,-19761000,-19761000,39065000,-13368000,372000,1264000,1242000,-10490000,-4456000,-4456000,8000,8000,-42223320.5068973,8000,-14938000,-14938000,-14938000,-11698000,29091000,-0.19648,-2.21224,-2.45015,0.67648,-0.3422,0.97855,-2.97687,0.74468,-0.34984,-0.34984,0.14278,-0.51715,-1.11196,-1.99709,-1.93554
"3","2016_Q3",3.81015625,"Down",299000,-863000,-564000,-10154000,-7190000,-1402000,-5788000,-2964000,-10718000,-1397000,-1377000,-1377000,0,-20000,-12115000,-12115000,-12115000,-12115000,-12115000,-12115000,9429000,9429000,1710000,1710000,11193000,12205000,1783000,10422000,34537000,12238000,1094000,974000,13332000,47869000,11111000,5957000,5154000,20594000,8644000,11950000,31705000,44135000,3114000,302000,2812000,47249000,78954000,191439000,-222524000,-31085000,-31085000,47869000,-12115000,484000,1294000,257000,-10080000,-1304000,-1304000,102000,102000,-26152320.5068973,15084000,3700000,3700000,3700000,-10234000,44135000,-1.88629,-35.84615,-40.51839,0.38974,-0.25309,1.08932,-2.53994,0.922,-0.31686,-0.31686,0.00782,-0.813,-0.74951,-3.39124,-3.2381
"4","2016_Q4",3.38,"Down",357000,-1183000,-826000,-10053000,-7399000,-1570000,-5829000,-2654000,-10879000,-3267000,-1706000,-1707000,1000,-1561000,-14146000,-14146000,-14146000,-14146000,-14146000,-14146000,14607000,14607000,3e+05,3e+05,10398000,17342000,2209000,15133000,42647000,11908000,1276000,1174000,13184000,55831000,7297000,1679000,5618000,26306000,12006000,14300000,33603000,44213000,11524000,3656000,7868000,55737000,89340000,203161000,-236670000,-33509000,-33509000,55831000,-14146000,469000,4052000,2125000,-7500000,-924000,-1124000,274000,274000,-221999.999999993,13802000,5178000,5178000,5178000,-10410000,44213000,-2.31373,-30.47339,-39.62465,0.42216,-0.25337,1.26914,-2.66615,0.79191,-0.35102,-0.35102,0.00885999999999999,-0.8315,-0.6364,-2.844,-2.72139
"5","2017_Q1",5.45403225806452,"Up",16125000,-17292000,-1167000,-9341000,-6916000,-1350000,-5566000,-2425000,-10508000,-499000,-1785000,-1785000,0,1286000,-11007000,-11007000,-11007000,-11007000,-11007000,-11007000,14198000,14198000,4200000,4200000,8082000,9454000,3023000,6431000,35934000,11560000,1270000,1173000,12830000,48764000,11314000,4980000,6334000,25915000,6515000,19400000,37229000,44290000,10898000,3918000,6980000,55188000,92417000,204024000,-247677000,-43653000,-43653000,48764000,-11007000,383000,1256000,9282000,-86000,-359000,-159000,155000,155000,13613000,36000,-209000,-209000,-209000,-10125000,44290000,-0.07237,-0.65166,-0.6826,0.25215,-0.22572,0.96522,-2.11708,0.90825,-0.25287,-0.25287,0.37045,-1.00288,-0.95423,-2.97205,-2.86372
"6","2017_Q2",6.6947619047619,"Up",1227000,-1042000,185000,-11137000,-8223000,-1072000,-7151000,-2914000,-10952000,-17009000,-1736000,-1737000,1000,-15273000,-27961000,-27961000,-27961000,-27961000,-27961000,-27961000,49301000,49301000,3272000,3272000,10216000,15421000,4698000,10723000,78210000,11353000,1265000,1173000,12618000,90828000,11883000,5561000,6322000,31691000,10291000,21400000,43574000,44368000,29923000,3623000,26300000,74291000,117865000,248601000,-275638000,-27037000,-27037000,90828000,-27961000,467000,16800000,-1270000,-11964000,-319000,-319000,21923000,21923000,-637000,47386000,35103000,35103000,35103000,-10485000,44368000,0.15077,-8.92584,-22.7881,1.03418,-0.30785,1.79488,-4.3594,0.48848,-0.53956,-0.53956,0.02368,-0.52173,-0.59172,0.47048,0.45042
"7","2017_Q3",5.6384126984127,"Down",698000,-826000,-128000,-12585000,-9334000,-1871000,-7463000,-3251000,-12713000,4360000,-1791000,-1792000,1000,6151000,-8353000,-8353000,-8353000,-8353000,-8353000,-8353000,53927000,53927000,1820000,1820000,15358000,21796000,5117000,16679000,92901000,11388000,1262000,1175000,12650000,105551000,13972000,6486000,7486000,39687000,13787000,25900000,53659000,44412000,24467000,3582000,20885000,68879000,122538000,267004000,-283991000,-16987000,-16987000,105551000,-8353000,537000,-4353000,250000,-11919000,-457000,-457000,17794000,17794000,-792000,17002000,4626000,4626000,4626000,-12176000,44412000,-0.18338,-18.21347,-11.96705,0.49173,-0.07914,1.73132,-7.21363,0.42076,-0.14588,-0.14588,0.01219,-0.29666,-0.16097,0.78146,0.74845
"8","2017_Q4",8.00428571428571,"Up",12197000,-10212000,1985000,-13628000,-10012000,-2510000,-7502000,-3616000,-11643000,426999.999999996,-1842000,-1843000,1000,2269000,-11216000,-11216000,-11216000,-11216000,-11216000,-11216000,34413000,34413000,1042000,1042000,18453000,21596000,5091000,16505000,75504000,11318000,1311000,1229000,12629000,88133000,15839000,6799000,9040000,31793000,10873000,20920000,47632000,44458000,22618000,3215000,19403000,67076000,114708000,268632000,-295207000,-26575000,-26575000,88133000,-11216000,570000,195999.999999996,-9361000,-19811000,-341000,-341000,656000,656000,-18000,638000,-19514000,-19514000,-19514000,-11073000,44458000,0.16274,-0.95458,-0.91957,0.422049999999999,-0.12726,1.58515,-4.31639,0.50444,-0.19186,-0.19186,0.20865,-0.4546,-0.27693,-0.90716,-0.86275
"9","2018_Q1",8.33475409836065,"Up",19920000,-15630000,4290000,-17146000,-12218000,-2959000,-9259000,-4928000,-12856000,-11790000,-1873000,-1875000,2000,-9917000,-24646000,-24646000,-24646000,-24646000,-24646000,-24646000,57389000,57389000,20326000,20326000,19375000,25601000,4862000,20739000,122691000,11564000,1456000,1378000,13020000,135711000,18221000,11014000,7207000,37971000,20151000,17820000,56192000,44504000,33028000,3238000,29790000,77532000,133724000,321840000,-319853000,1987000,1987000,135711000,-24646000,623000,13555000,-15891000,-26359000,-1046000,-1046000,418000,418000,26100000,50381000,22976000,22976000,22976000,-12233000,44504000,0.21536,-0.64538,-1.23725,-12.40362,-0.18161,2.18342,67.29945,0.32793,-0.4216,-0.4216,0.34076,0.03399,-0.30994,1.0533,1.00226
"10","2018_Q2",7.261875,"Down",26190000,-20620000,5570000,-16862000,-13092000,-3246000,-9846000,-3770000,-11292000,6478000,-1864000,-1866000,2000,8342000,-4814000,-4814000,-4814000,-4814000,-4814000,-7542000,78916000,78916000,26171000,26171000,30441000,18485000,4374000,14111000,154013000,12955000,1657000,1584000,14612000,168625000,21340000,13443000,7897000,19290000,9670000,9620000,40630000,44551000,25780000,3343000,22437000,70331000,110961000,385059000,-327395000,57664000,57664000,168625000,-4814000,658000,-6112000,-27186000,-37454000,-497000,-497000,378000,378000,19458004.5953816,59478000,21527000,21527000,21527000,-10634000,44551000,0.21268,-0.43116,-0.28797,-0.130789999999999,-0.04473,3.79062,1.92426999999999,0.2642,-0.10939,-0.10939,0.37987,0.83639,-0.05892,3.23162,3.0433
