"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",7.619,"Up",-1101352000,1073769000,-27583000,24806000,4604000,9440000,10762000,-2777000,6949000,8355000,-1406000,4172000,-2648000,1524000,-342000,1182000,882000,882000,882000,4768000,4768000,5741000,5741000,12465000,10850000,22974000,243022000,51855000,35602000,5636000,10617000,294877000,317851000,29375000,16279000,12754000,2187000,32153000,183751000,87402000,87402000,271153000,303306000,14545000,14545000,14545000,317851000,882000,-9485000,722000,-3119000,696000,-665000,-74992000,-30077000,8342000,84035000,5924000,5924000,5924000,-12262000,185938000,0.02504,0.00252,-8e-04,0.06064,0.00277,0.71452,20.85294,0.58498,0.0586,0.0586,-73.17953,0.96645,1.99847,0.10754,34.10091,-14.77491,-65.23947
"2","2013_Q2",8.9534375,"Up",471861000,-451241000,20620000,-13122000,-3579000,-4839000,-4704000,7498000,-3298000,-3379000,81000,4200000,-643129.199586214,4200000,-443000,3757000,3757000,3757000,3757000,8000,8000,2536000,2536000,26369000,24198000,28913000,238947000,51670000,34354000,5636000,11680000,290617000,319530000,31087000,16469000,14180000,2462000,34185000,183751000,87708000,87708000,271459000,305644000,13886000,13886000,13886000,319530000,3757000,4839000,2625000,275000.000000002,-243000,16000,-227000,-4437000,-371000,-4808000,-4760000,-4760000,-4760000,12337000,186213000,0.0437,0.01589,0.00796,0.27056,0.01176,0.84578,22.01095,0.58277,0.24962,0.24962,31.3511,0.92261,0.2948,0.02847,1.181,15.09322,24.83396
"3","2013_Q3",10.1146875,"Up",488196000,-465437000,22759000,-13697000,-3820000,-4864000,-5013000,9062000,-3420000,-3505000,85000,5642000,47000,5689000,-220000,5469000,5469000,5469000,5469000,463000,463000,6039000,6039000,21243000,21243000,27745000,240036000,50008000,33033000,5636000,11339000,290044000,317789000,35202000,22821000,11858000,2533000,38350000,185856000,81039000,81039000,266895000,305245000,12544000,12544000,12544000,317789000,5469000,4864000,612000,13850000,-1676000,16000,-1660000,-6811000,-4516000,-11735000,455000,455000,455000,13926000,188389000,0.04662,0.01856,0.0112,0.43599,0.01721,0.72347,24.33394,0.59281,0.36336,0.36336,32.43602,0.83343,0.45253,0.04355,1.24538,13.49461,20.73781
"4","2013_Q4",10.706875,"Up",490574000,-468336000,22238000,-14781000,-4604000,-5212000,-4965000,7457000,-3256000,-3349000,93000,4201000,0,4201000,723000,4924000,4924000,4924000,4924000,182000,182000,6293000,6293000,15319000,15319000,23623000,292059000,55022000,35680000,8407000,10935000,347081000,370704000,33747000,21189000,11842000,2583000,36754000,243243000,83934000,83934000,327177000,363931000,6773000,6773000,6773000,370704000,4924000,5212000,1217000,13132000,-1120000,16000,-31528000,-7187000,30530000,18115000,-281000,-281000,-281000,12669000,245826000,0.04533,0.0152,0.01004,0.727,0.01328,0.64273,53.73261,0.66313,0.32715,0.32715,32.59402,0.45,0.47751,0.03599,1.45959,19.38938,32.9414
"5","2014_Q1",10.6439344262295,"Down",485428000,-478817000,6611000,-498000,-4555000,-6048000,10105000,6113000,-3849000,-3949000,1e+05,2264000,-5.82076609134674e-11,2264000,1656000,3920000,3920000,3920000,3920000,4115000,4115000,7342000,7342000,21898000,20570000,35496000,288729000,67396000,47005000,9324000,11067000,356125000,391621000,28575000,20567000,8008000,2619000,38857000,173509000,84584000,79627000,258093000,296950000,94671000,94671000,94671000,391621000,3920000,6048000,-13865000,2365000,-1710000,16000,-13604000,-7563000,-70355000,15172000,3933000,3933000,3933000,12161000,176128000,0.01362,0.01259,0.00808,0.04141,0.01001,0.9135,3.13665,0.44974,0.24696,0.24396,30.58211,5.9643,0.47647,0.03231,1.92934,14.14464,28.13888
"6","2014_Q2",10.6936507936508,"Up",482021000,-465354000,16667000,-12661000,-4527000,-5966000,-2168000,4006000,-3923000,-4027000,104000,83000,1480000,1563000,-135000,1428000,1428000,1428000,1428000,1352000,1352000,8659000,8659000,25099000,22471000,37735000,284752000,74344000,45272000,9324000,19748000,359096000,396831000,26757000,22308000,4412000,2680000,38131000,186053000,83557000,83557000,269610000,307741000,89090000,89090000,89090000,396831000,1428000,5966000,-6615000,779000,-2747000,36999.9999999999,-2710000,-9625000,11921000,-832000,-2763000,-2763000,-2763000,9972000,188733000,0.03458,0.00831,0.00296,0.0160299999999999,0.0036,0.98961,3.45427,0.4756,0.07661,0.07644,25.8586,4.77934,0.51634,0.03059,6.7402,18.79071,46.77509
"7","2014_Q3",12.83375,"Up",763845000,-736897000,26948000,-25427000,-10682000,-7270000,-7475000,1521000,-3593000,-3712000,119000,-2072000,53000,-2019000,3911000,1892000,1892000,1892000,1892000,864000,864000,35397000,35397000,38021000,34742000,88622000,348205000,120493000,72781000,29116000,18596000,468698000,557320000,67362000,55818000,11544000,2710000,79340000,299681000,96942000,77810000,396623000,475963000,81357000,81357000,81357000,557320000,1892000,7270000,-7464000,1698000,1763000,2104000,-101553000,-9625000,109396000,99367000,-488000,-488000,-488000,8791000,302391000,0.03528,0.00199,0.00248,0.02326,0.00339,1.11699,5.8503,0.54258,0.10107,0.10107,40.80542,4.34618,0.51418,0.02396,5.08721,34.29951,198.2426
"8","2014_Q4",14.1821875,"Up",827760000,-791466000,36294000,-27815000,-6988000,-8369000,-12458000,8479000,-5070000,-5162000,92000,3409000,-49000,3360000,803000.000000001,4163000,4163000,4163000,4163000,3269000,3269000,32169000,32169000,32391000,29801000,82179000,344196000,122026000,73655000,29716000,18655000,466222000,548401000,54798000,41759000,13039000,29084000,94226000,146445000,97031000,77675000,243476000,337702000,210700000,210700000,210699000,548401000,4163000,8369000,-6578000,5954000,-1002000,-9.31322574615479e-10,-2133000,-9844000,-125562000,-1416000,2405000,2405000,2405000,16848000,175529000,0.04385,0.01024,0.00503,0.01976,0.00759,0.87215,1.60277,0.32007,0.21515,0.21504,42.78006,10.88934,0.50875,0.02898,2.36464,10.22436,20.3160800000001
"9","2015_Q1",15.0050819672131,"Up",591242000,-546250000,44992000,-52011000,-14683000,-11680000,-25648000,-7019000,-3579000,-3730000,151000,-10598000,169000,-10429000,-3225000,-13654000,-13654000,-13654000,-13654000,15170000,15170000,23435000,23435000,24648000,22064000,75322000,391499000,130142000,77780000,40328000,12034000,521641000,596963000,54852000,33575000,21277000,29083000,93977000,254403000,58092000,35146000,312495000,406472000,190522000,190522000,190491000,596963000,-13654000,11680000,22074000,20100000,-8482000,5738000,-49754000,-12347000,53268000,41555000,11901000,11901000,11901000,4661000,283486000,0.0761,-0.01187,-0.02309,-0.07168,-0.02287,0.80149,2.13381,0.47488,-0.59358,-0.59489,25.70315,8.28259,0.53676,-0.00246,-0.90428,57.56619,-38.2271
"10","2015_Q2",13.4492063492063,"Down",480457000,-442730000,37727000,-39288000,-10446000,-11502000,-17340000,-1561000,-3121000,-4278000,1157000,-4682000,30000,-4652000,1681000,-2971000,-2971000,-2971000,-2971000,4863000,4863000,27120000,27120000,24197000,21179000,75961000,478202000,189748000,87844000,86029000,15875000,667950000,743911000,67677000,44808000,22869000,8275000,87777000,397875000,80707000,35676000,478582000,566359000,177602000,177602000,177552000,743911000,-2971000,11502000,2375000,10906000,-882000.000000002,563000.000000001,-125748000,-13440000,117989000,104535000,-10307000,-10307000,-10307000,9941000,406150000,0.07852,-0.00325,-0.00618,-0.01673,-0.00399,0.86539,3.18982,0.54597,-0.12146,-0.12086,19.64246,7.26088,0.54947,0.01576,-4.52373,40.36686,-257.07047
