"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.1731746031746,"Down",4.27e+09,-3.456e+09,8.14e+08,-6.05e+08,-6.05e+08,2.09e+08,-1.78e+08,-7.4e+07,-1.04e+08,3.1e+07,-2e+06,2.9e+07,-5.3e+07,-2.4e+07,-2.4e+07,-2.3e+07,-4.7e+07,-4.7e+07,2514360825.72835,2514360825.72835,-2387172201.95313,-2387172201.95313,2208165955.44366,407879056.201633,407879016.433549,2743233635.42051,5301226753.88056,933386545.075804,144581380.06299,393094009.416757,-48222431.0361023,443933586.632159,6234613298.95636,8977846934.37688,2657132490.95064,2657132490.95064,210842676.24315,763645090.072101,763645090.072101,3631620257.26589,1857896460.75109,4542182560.88043,3492549443.58777,27013546.2612026,1022619571.03146,6400079021.63152,10031699278.8974,3048346279.12183,434650239.48012,-4382106981.63246,-1508838347.4065,454986002.885961,-1053852344.52054,8977846934.37688,-2.4e+07,1.59e+08,4.5e+07,-5.7e+07,1.23e+08,-1.25e+08,-3.6e+07,-1.61e+08,8.5e+07,1e+06,0,8.6e+07,4.8e+07,4.8e+07,-1.96e+08,-1.48e+08,3.68e+08,0,2.39e+08,0.19063,0.04895,-0.01101,-0.42687171473771,-0.0420088238321177,-5.08511,1.08024245467706,19.8765497400339,0.266267157039682,-0.19421,-0.19421,17.64463,-3.70252526169682,0.9876,-0.069631836135719,0.441384680520985,7.58314950690926,25.4723302880581
"2","2010_Q3",9.50125,"Down",4.528e+09,-3.686e+09,8.42e+08,-6.7e+08,-6.7e+08,1.72e+08,-8.4e+07,-7.7e+07,-7000000.00000003,8.8e+07,-6000000.00000001,8.2e+07,-4.3e+07,3.9e+07,3.9e+07,-1.1e+07,2.8e+07,2.8e+07,1.683e+09,1.683e+09,2.84e+09,2.84e+09,2.901e+09,2.99e+08,2.99e+08,7.723e+09,5.541e+09,1.249e+09,1.6e+08,6.32e+08,5e+07,4.07e+08,6.79e+09,1.4513e+10,2.613e+09,2.613e+09,3.16e+08,1.497e+09,1.497e+09,4.426e+09,4.288e+09,4.376e+09,3.405e+09,2.1e+08,7.61e+08,8.664e+09,1.309e+10,3.036e+09,1.063e+09,-3.452e+09,6.47e+08,7.76e+08,1.423e+09,1.4513e+10,3.9e+07,1.62e+08,-9.9e+07,-4.2e+07,59999999.9999999,-2.15e+08,2.3e+07,-1.92e+08,80999999.9999999,7.45058059692383e-09,-3.72529029846191e-09,78999999.9999999,-5.3e+07,-5.3e+07,-3.8e+07,-9.1e+07,3.34e+08,4.604e+09,1.2e+08,0.18595,0.03799,0.00618,0.01968,0.00193,4.28571,1.74492,9.19888,0.31723,0.1157,0.1157,18.71074,2.67355,0.49587,0.00288,0.01154,8.74551,16.98256
"3","2010_Q4",9.74328125,"Up",4.962e+09,-4.12e+09,8.42e+08,-6.4e+08,-6.4e+08,2.02e+08,-1.52e+08,-9e+07,-6.2e+07,5e+07,-8e+06,4.2e+07,-5.5e+07,-1.3e+07,-1.3e+07,-7e+06,-2e+07,-2e+07,1.665e+09,1.665e+09,3.461e+09,3.461e+09,2.993e+09,2.84e+08,2.84e+08,8.403e+09,5.869e+09,1.384e+09,1.63e+08,6.91e+08,7.1e+07,4.59e+08,7.253e+09,1.5656e+10,2.813e+09,2.813e+09,3.77e+08,1.742e+09,1.742e+09,4.932e+09,4.595e+09,4.41e+09,3.398e+09,2.52e+08,7.6e+08,9.005e+09,1.3937e+10,3.042e+09,1.043e+09,-3.226e+09,8.59e+08,8.6e+08,1.719e+09,1.5656e+10,-1.3e+07,1.66e+08,-1.21e+08,-1.32e+08,-1e+08,-2.58e+08,3.7e+07,-2.21e+08,2.6e+08,0,-2.1e+07,2.31e+08,-9e+07,-9e+07,7.2e+07,-1.8e+07,3.68e+08,4.972e+09,3.3e+07,0.16969,0.04071,-0.00403,-0.01163,-0.00128,-1.65,1.70377,8.10762,0.31758,-0.08264,-0.08264,20.50413,3.54959,0.13636,-0.00108,0.00297000000000001,8.98641,16.37129
"4","2011_Q1",12.0451612903226,"Up",5.072e+09,-4.19e+09,8.82e+08,-7.15e+08,-7.15e+08,1.67e+08,-8.8e+07,-7.5e+07,-1.3e+07,7.9e+07,-2.24e+08,-1.45e+08,-2.1e+07,-1.66e+08,-1.66e+08,-1.1e+07,-1.77e+08,-1.77e+08,2.005e+09,2.005e+09,2.736e+09,2.736e+09,2.977e+09,3.27e+08,3.27e+08,8.045e+09,6.165e+09,1.42e+09,1.61e+08,6.83e+08,5.8e+07,5.18e+08,7.585e+09,1.563e+10,3.107e+09,3.107e+09,4.26e+08,1.774e+09,1.774e+09,5.307e+09,4.319e+09,4.499e+09,3.415e+09,2.42e+08,8.42e+08,8.818e+09,1.4125e+10,3.048e+09,8.66e+08,-3.27e+09,6.44e+08,8.61e+08,1.505e+09,1.563e+10,-1.66e+08,1.65e+08,4.7e+07,7.95e+08,8.41e+08,-2.76e+08,-9e+06,-2.85e+08,-2.14e+08,-1.49011611938477e-08,-1.3e+07,-2.17e+08,3.39e+08,3.39e+08,1e+06,3.4e+08,3.32e+08,4.745e+09,8.72e+08,0.1739,0.03293,-0.0349,-0.11761,-0.01132,-4.92655,1.51592,9.38538,0.30358,-0.7314,-0.7314,20.95868,2.66116,3.60331,-0.0174,0.08112,8.25301,16.40719
"5","2011_Q2",14.4998412698413,"Up",5.402e+09,-4.461e+09,9.41e+08,-6.68e+08,-6.68e+08,2.73e+08,-7.8e+07,-7.4e+07,-4e+06,1.95e+08,-9e+06,1.86e+08,-6.2e+07,1.24e+08,1.24e+08,-2.1e+07,1.03e+08,1.03e+08,2.215e+09,2.215e+09,3.55e+09,3.55e+09,3.337e+09,3.9e+08,3.9e+08,9.492e+09,6.329e+09,1.435e+09,1.61e+08,7.12e+08,5.2e+07,5.1e+08,7.764e+09,1.7256e+10,3.358e+09,3.358e+09,4.89e+08,1.847e+09,1.847e+09,5.694e+09,4.795e+09,4.523e+09,3.412e+09,2.62e+08,8.49e+08,9.318e+09,1.5012e+10,3.039e+09,9.69e+08,-3.181e+09,1.327e+09,9.17e+08,2.244e+09,1.7256e+10,1.24e+08,1.82e+08,-1.4e+07,-7.25e+08,-4.33e+08,-2.82e+08,-6.8e+07,-3.5e+08,4.89e+08,4.89e+08,-4e+06,9.74e+08,1.91e+08,1.91e+08,1.9e+07,2.1e+08,4.55e+08,5.284e+09,-4.9e+08,0.17419,0.05054,0.01907,0.0459,0.00597,-4.75728,1.66702,6.68984,0.30621,0.42387,0.4187,22.23045,3.40329,-2.01646,0.00855,-0.04066,6.74505,11.24176
"6","2011_Q3",12.0315625,"Down",5.62e+09,-4.572e+09,1.048e+09,-7.53e+08,-7.53e+08,2.95e+08,-1.29e+08,-8.1e+07,-4.8e+07,1.66e+08,-4.6e+07,1.2e+08,-6.4e+07,5.6e+07,5.6e+07,-8999999.99999999,47000000.0000001,39999999.9999999,1.804e+09,1.804e+09,3.539e+09,3.539e+09,4.032e+09,4.01e+08,4.01e+08,9.776e+09,6.448e+09,1.418e+09,1.61e+08,7.2e+08,4.8e+07,4.89e+08,7.866e+09,1.7642e+10,3.515e+09,3.515e+09,5.18e+08,1.886e+09,1.886e+09,5.919e+09,4.786e+09,4.54e+09,3.384e+09,2.69e+08,8.87e+08,9.326e+09,1.5245e+10,3.045e+09,1.009e+09,-3.079e+09,1.475e+09,9.22e+08,2.397e+09,1.7642e+10,5.6e+07,1.92e+08,-3.8e+07,-4.46e+08,-2.36e+08,-1.5e+08,1.7e+07,-1.33e+08,-20999999.9999999,3e+06,-2.9e+07,-4.7e+07,-4.16e+08,-4.16e+08,5e+06,-4.11e+08,4.87e+08,5.304e+09,-45000000.0000002,0.18648,0.05249,0.00712,0.01669,0.00227,-1.125,1.65163,6.36003,0.30065,0.16327,0.14388,22.93878,3.97959,-0.18367,0.00327,-0.00368,7.18686,11.86441
"7","2011_Q4",11.68,"Down",6.062e+09,-4.973e+09,1.089e+09,-6.77e+08,-6.77e+08,4.12e+08,-8.2e+07,-8.6e+07,4e+06,3.3e+08,-2.5e+07,3.05e+08,-9.4e+07,2.11e+08,2.11e+08,-4.3e+07,1.68e+08,1.6e+08,2.126e+09,2.126e+09,4.008e+09,4.008e+09,4.037e+09,3.41e+08,3.41e+08,1.0512e+10,6.263e+09,1.354e+09,1.57e+08,6.7e+08,5.5e+07,4.72e+08,7.617e+09,1.8129e+10,3.371e+09,3.371e+09,5.24e+08,1.924e+09,1.924e+09,5.819e+09,5.559e+09,4.35e+09,3.226e+09,2.42e+08,8.82e+08,9.909e+09,1.5728e+10,3.049e+09,1.169e+09,-3.219e+09,1.499e+09,9.02e+08,2.401e+09,1.8129e+10,2.11e+08,1.73e+08,-1.3e+08,-5.57e+08,-3.03e+08,-3.06e+08,7.4e+07,-2.32e+08,9.58e+08,-1e+06,-2e+06,9.48e+08,4.13e+08,4.13e+08,-9.1e+07,3.22e+08,5.85e+08,6.083e+09,-1.84e+08,0.17964,0.06796,0.02639,0.06664,0.00883,-1.15,1.8065,6.5506,0.33554,0.65574,0.57143,24.84426,4.09426,-0.7541,0.01301,-0.01434,6.7641,9.60437
"8","2012_Q1",11.6825806451613,"Up",5.683e+09,-4.815e+09,8.68e+08,-7.24e+08,-7.24e+08,1.44e+08,-1.14e+08,-8.9e+07,-2.5e+07,3e+07,-2.3e+07,6999999.99999994,1.9e+07,2.6e+07,2.6e+07,-999999.999999993,2.5e+07,1.8e+07,2.772e+09,2.772e+09,2.849e+09,2.849e+09,3.856e+09,3.35e+08,3.35e+08,9.812e+09,6.375e+09,1.442e+09,1.57e+08,6.54e+08,1.45e+08,4.86e+08,7.817e+09,1.7629e+10,3.668e+09,3.668e+09,4.12e+08,1.849e+09,1.849e+09,5.929e+09,4.789e+09,5.287e+09,4.002e+09,2.44e+08,1.041e+09,1.0076e+10,1.6005e+10,3.053e+09,1.187e+09,-3.991e+09,7.49e+08,8.75e+08,1.624e+09,1.7629e+10,2.6e+07,1.68e+08,7.9e+07,1.472e+09,1.745e+09,-2.29e+08,4.2e+07,-1.87e+08,-8.64e+08,1e+06,-1e+07,-8.81e+08,6.77e+08,6.77e+08,-3.1e+07,6.46e+08,3.12e+08,5.201e+09,1.536e+09,0.15274,0.02534,0.00317,0.01108,0.00102,85.33333,1.65492,9.8553,0.29503,0.0737699999999998,0.0642900000000001,23.29098,1.02049,6.29508,0.00215,0.12682,7.78526,16.86806
"9","2012_Q2",9.59412698412698,"Down",5.533e+09,-4.607e+09,9.26e+08,-6.62e+08,-6.62e+08,2.64e+08,-1.93e+08,-1.01e+08,-9.2e+07,7.1e+07,-1.5e+07,5.6e+07,-4.8e+07,8e+06,8e+06,-1.2e+07,-4e+06,-1.1e+07,2.083e+09,2.083e+09,3.53e+09,3.53e+09,3.969e+09,4.06e+08,4.06e+08,9.988e+09,6.528e+09,1.474e+09,1.57e+08,6.72e+08,1.48e+08,4.97e+08,8.002e+09,1.799e+10,3.571e+09,3.571e+09,4.45e+08,1.865e+09,1.865e+09,5.881e+09,5.186e+09,5.146e+09,3.885e+09,2.53e+08,1.008e+09,1.0332e+10,1.6213e+10,3.054e+09,1.176e+09,-3.867e+09,8.63e+08,9.14e+08,1.777e+09,1.799e+10,8e+06,1.7e+08,-3.8e+07,-8.94e+08,-7.54e+08,-2.76e+08,-1.9e+07,-2.95e+08,3.5e+08,0,-1.7e+07,3.26e+08,-7.23e+08,-7.23e+08,3.4e+07,-6.89e+08,4.34e+08,5.631e+09,-6.88e+08,0.16736,0.04771,-0.00199,-0.00619000000000001,-0.000609999999999999,62.54545,1.69835,9.1238,0.31301,-0.04508,-0.04508,22.67623,1.4877,-2.81967,-0.00032,-0.0548,8.17512,13.43939
"10","2012_Q3",10.3634920634921,"Up",5.15e+09,-4.141e+09,1.009e+09,-6.97e+08,-6.97e+08,3.12e+08,-1.2e+08,-8.3e+07,-3.7e+07,1.92e+08,-2.6e+07,1.66e+08,-6.3e+07,1.03e+08,1.03e+08,-1.1e+07,9.2e+07,8.4e+07,2.156e+09,2.156e+09,3.174e+09,3.174e+09,3.94e+09,3.79e+08,3.79e+08,9.649e+09,6.499e+09,1.453e+09,1.54e+08,6.44e+08,1.38e+08,5.17e+08,7.952e+09,1.7601e+10,3.324e+09,3.324e+09,2.75e+08,1.821e+09,1.821e+09,5.42e+09,5.395e+09,4.974e+09,3.732e+09,2.44e+08,9.98e+08,1.0369e+10,1.5789e+10,3.057e+09,1.26e+09,-3.87e+09,9.47e+08,8.65e+08,1.812e+09,1.7601e+10,1.03e+08,1.67e+08,-6.3e+07,96000000.0000005,3.03e+08,-2.05e+08,-1.2e+07,-2.17e+08,98000000.0000002,0,-7.3e+07,1.7e+07,1.03e+08,1.03e+08,-3e+07,73000000.0000002,4.79e+08,5.67e+09,4.33e+08,0.19592,0.06058,0.01631,0.04636,0.00477,5.15476,1.78026,8.71358,0.32214,0.34426,0.33871,21.10656,1.83197,1.77459,0.00739,0.03476,7.33612,11.26282
