"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",11.0073015873016,"Down",-5773781.84538756,5455732.66166341,-318049.183724151,-7954000,-5350000,-2144000,-7954000,-124000,-147000,23000,-8078000,-8078000,-8078000,-8078000,-8078000,-8078000,6868000,6868000,1203000,1203000,8505000,446000,122000,122000,688000,9193000,344000,179000,165000,4589000,4589000,35322000,-30718000,4604000,4604000,9193000,-8078000,3000,5679000,-271000,-2667000,1000,1000,1000,1000,-2e+06,9070000,6404000,6404000,6404000,-7951000,4245000,-1.75456,-0.87871,1.85334,0.99674,0.46176,-0.12086,-0.12086,-0.0864473165030712,0.06888,-0.91287,0.3299,0.32977
"2","2017_Q4",4.40222222222222,"Down",-1202927.28179585,1059244.22055447,-143683.061241384,-11804000,-11716000,-50000,-11804000,-162000,0,-162000,-11966000,-11966000,-11967000,-11967000,-11967000,-11967000,4475000,4475000,1195000,1195000,6374000,501000,130000,130000,631000,7005000,564000,182000,382000,3759000,3759000,45931000,-42685000,3246000,3246000,7005000,-11967000,5000,10729000,-15000,-1248000,-60000,-60000,-60000,-60000,-1050000,-1085000,-2393000,-2393000,-2393000,-11799000,3195000,-3.68669,-1.70835,1.69566,1.15804,0.4561,-0.17572,-0.17572,-0.0182957721676904,0.04766,-1.85794,0.10848,0.10844
"3","2018_Q1",1.78852459016393,"Down",425000,-479000,-54000,-411000,-342000,-39000,-465000,173000,40000,133000,-292000,-292000,-292000,-292000,-292000,-292000,2446000,2446000,1778000,1778000,4449000,487000,386000,386000,873000,5322000,544000,30000,514000,2693000,2982000,45317000,-42977000,2340000,2340000,5322000,-292000,8000,-424000,-214000,-922000,-20000,-20000,-20000,-20000,-1046000,-1087000,-2029000,-2029000,-2029000,-457000,2149000,-0.12479,-0.05487,1.65206,1.27436,0.4038,-0.00429,-0.00429,0.00624,0.03437,-0.06111,0.64989,0.63871
"4","2018_Q2",1.01265625,"Down",464000,-479000,-15000,-4120000,-3917000,-47000,-4135000,61000,-5000.00000000001,66000,-4074000,-4074000,-4077000,-4077000,-4077000,-4077000,8199000,8199000,2658000,2658000,11531000,482000,368000,368000,850000,12381000,1080000,176000,904000,1080000,1351000,58084000,-47054000,11030000,11030000,12381000,-4077000,8000,2979000,-884000,-1974000,-3000,-3000,-3000,-3000,-2149000,7730000,5753000,5753000,5753000,-4127000,0,-0.36963,-0.32929,10.67685,0.12248,5.55111512312578e-17,-0.06127,-0.06127,0.00697,0.16577,-0.36076,1.98667,1.98283
"5","2018_Q3",0.700952380952381,"Down",744000,-722000,22000,-4358000,-3870000,-48000,-4336000,152000,110000,42000,-4184000,-4184000,-4184000,-4184000,-4184000,-4184000,7670000,7670000,3796000,3796000,12665000,153000,350000,350000,503000,13168000,1412000,607000,805000,3212000,3465000,60941000,-51238000,9703000,9703000,13168000,-4184000,8000,3165000,-1331000,-2342000,-64000,-64000,-64000,-64000,1800000,1877000,-529000,-529000,-529000,-4328000,1800000,-0.43121,-0.31774,3.94303,0.35711,0.1367,-0.05836,-0.05836,0.01038,0.13534,-0.3559,1.35628,1.35378
"6","2018_Q4",0.447460317460318,"Down",2619000,-2528000,91000,-1616000,-1533000,-38000,-1525000,44000,43000,1000,-1481000,-1481000,-1481000,-1481000,-1481000,-1481000,7811000,7811000,1846000,1846000,11230000,145000,533000,533000,678000,11908000,1711000,1005000,706000,3111000,3347000,61280000,-52719000,8561000,8561000,11908000,-1481000,12000,517000,1175000,223000,-4000,-4000.00000000001,-4000.00000000001,496000,-600000.000000001,-578000,141000,141000,141000,-1513000,1400000,-0.17299,-0.12437,3.60977,0.39096,0.11757,-0.02052,-0.02052,0.03628,0.1186,-0.14524,4.23728,4.20393
"7","2019_Q1",0.339180327868852,"Down",1184000,-1149000,35000,-1414000,-1331000,-38000,-1379000,70000,41000,29000,-1309000,-1309000,-1306000,-1306000,-1306000,-1306000,7708000,3759000,1475000,373000,10180000,150000,503000,503000,653000,10833000,1310000,342000,968000,3010000,3229000,61629000,-54025000,7604000,7604000,10833000,-1306000,15000,349000,524000,-418000,-8000,-8000,-8000,-3934000,3e+05,3e+05,-4052000,-4052000,-4052000,-1364000,1700000,-0.17175,-0.12056,3.38206,0.42464,0.15693,-0.01809,-0.01809,0.0164,0.10534,-0.13714,4.40469,4.35678
"8","2019_Q2",0.338730158730159,"Down",420000,-391000,29000,-1519000,-1392000,-82000,-1490000,41000,26000,15000,-1449000,-1449000,-1449000,-1449000,-1449000,-1449000,7714000,2385000,1498000,1498000,9595000,145000,486000,486000,631000,10226000,1100000,359000,741000,3600000,3801000,61899000,-55474000,6425000,6425000,10226000,-1449000,12000,263000,380000,-794000,-7000,-7000,-7000,-1387000,8e+05,807000,-1374000,-1374000,-1374000,-1478000,2500000,-0.22553,-0.1417,2.66528,0.5916,0.24447,-0.0199,-0.0199,0.00577,0.08826,-0.15878,3.52774,3.49933
"9","2019_Q3",0.1653125,"Down",4388000,-4063000,325000,-1641000,-1466000,-72000,-1316000,22000,2000,20000,-1294000,-1294000,-1294000,-1294000,-1294000,-1294000,7852000,2797000,2094000,2094000,12613000,145000,468000,468000,613000,13226000,3322000,2467000,855000,7622000,7805000,62189000,-56768000,5421000,5421000,13226000,-1294000,11000,290000,-627000,-1620000,-4000,-4000,-4000,270000,1762000,1762000,412000,412000,412000,-1305000,4300000,-0.2387,-0.09784,1.65482,1.43977,0.32512,-0.01778,-0.01778,0.06028,0.07447,-0.13065,2.72184,2.69909
"10","2019_Q4",0.13328125,"Down",5743000,-5320000,423000,-1641000,-1565000,-66000,-1218000,0,23000,-23000,-1218000,-1218000,-1218000,-1218000,-1218000,-1218000,7846000,3068000,2087000,2087000,13001000,134000,469000,469000,603000,13604000,4068000,3204000,864000,9018000,9184000,62406000,-57986000,4420000,4420000,13604000,-1218000,13000,217000,333000,-655000,-1000,-1000,-1000,276000,650000,650000,271000,271000,271000,-1205000,4950000,-0.27557,-0.08953,1.44167,2.07783,0.36386,-0.0167,-0.0167,0.07876,0.06061,-0.12773,2.40332,2.37767
"11","2020_Q1",0.135483870967742,"Up",2010000,-1853000,157000,-1346000,-1282000,-113000,-1189000,-3000,-9000,6000,-1192000,-1192000,-1192000,-1192000,-1192000,-1192000,7203000,4432000,1278000,81000,9636000,112000,569000,569000,681000,10317000,1067000,418000,649000,6887000,7035000,62460000,-59178000,3282000,3282000,10317000,-1192000,12000,335000,-668000,-1513000,-1000,-1000,-1000,2007000,870000,870000,1364000,1364000,1364000,-1177000,5820000,-0.36319,-0.11554,1.39916,2.14351,0.56412,-0.01635,-0.01635,0.02756,0.04501,-0.12886,1.17502,1.16316
"12","2020_Q2",0.115714285714286,"Down",86735,-73310,13425,-110685,-88185,-22500,-97260,3337.57787988675,-31326.1872382954,17660.754668389,-97260,-97260,-97260,-97260,-97260,-97260,537000.000000001,486000,1161000,79999.9999999998,2990000,134000,927000,927000,1061000,4051000,1467000,593000,874000,1467000,1822000,62675000,-60446000,2229000,2229000,4051000,-1268000,12000,215000,207000,-834000,-12000,-12000,-12000,2708000,-5820000,-5820000,-3946000,-3946000,-3946000,-85259.9999999998,0,-0.04363,-0.02401,2.03817,0.81741,0,-0.00133,-0.00133,0.00119,0.03045,-0.03764,6.29838,5.52128
"13","2020_Q3",0.2234375,"Up",2000,-250,1750,-95406,-80606,-14800,-93656,7000,-29328.167510157,7000,-86656,-86656,-86656,-86656,-86656,-86656,884000,884000,1026000,81000,2350000,122000,783000,783000,905000,3255000,1342000,610000,732000,1457000,2059000,62747000,-61551000,1196000,1196000,3255000,1084085,-12000,-215000,-348502,508583,-18166,-18166,-18166,-2738166,-7131750.74882652,5869990,3640407,3640407,3640407,-105656,412000,-0.07245,-0.02662,1.6129,1.72157,0.12657,-0.00118,-0.00118,3e-05,0.01634,-0.0453,4.46733,5.03972
"14","2020_Q4",0.37453125,"Up",-2.91038304567337e-11,-1.45519152283669e-11,1.81898940354586e-12,-70945,-54144,-16801,-70945,0,-15632.06402694,0,-70945,-70945,-70945,-70945,-70945,-70945,224000,224000,1067000,93000.0000000001,1674000,111000,737000,737000,848000,2522000,1533000,635000,898000,1692000,2202000,62828000,-62508000,320000,320000,2522000,-70946,538.698728117495,-434986.211646823,68041,-2905,3.63797880709171e-12,-3.63797880709171e-12,-3.63797880709171e-12,-4.65661287307739e-10,-3392553.33115273,150000,147095.000000001,147095.000000001,147095.000000001,-145238.281019153,414000,-0.2217,-0.02813,0.98936,6.88125,0.16416,-0.00156,-0.00156,-7.79270311473956e-20,0.00705,-0.07173,-2.74324348010952,-2.67813
"15","2021_Q1",0.49327868852459,"Up",0,0,0,-149096,-132296,-16800,-149096,-9864,-2864,-7000,-158960,-151960,-24660,-24660,-24660,-24660,136222,136222,1793910,1793910,1939132,227561,242025,242025,469586,2408718,2728043,345383,2382660,2728043,2880878,100,-472260,-472160,-472160,2408718,-24660,17670,-399357.292144248,1861645,1854655,-42925,-42925,-42925,-42925,-47154.9999999991,-47155,1764575,1764575,1764575,-131426,152835,0.05223,-0.01024,0.71081,-6.10149,0.06345,-0.00054,-0.00054,0,-0.01041,0.07723,-0.126410000000001,-0.11142
