"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2020_Q2",165.31253968254,"Down",283169000,-140603000,142566000,-150265000,-150265000,-7699000,-373000,-516000,-1190000,674000,143000,-8072000,-8072000,99000,-7973000,-7973000,-7973000,-7973000,661941000,661941000,135225000,135225000,434974000,57670000,18286000,24381000,1289810000,209074000,349682000,47388000,13990000,28243000,260061000,558756000,1848566000,346343000,253557000,12662000,80124000,394998000,286539000,286539000,316640000,711638000,195506000,965975000,-24553000,1136928000,1136928000,1848566000,-7973000,9276000,9041000,10825000,21169000,-9212000,-9253000,-9212000,-90000,3000,11960000,11960000,545000,12505000,1577000,30747000,3091000,0.50347,-0.02719,-0.02816,-0.00701,-0.00431,-0.38768,3.26536,0.62593,0.01663,-0.28474,-0.28474,10.11282,40.60312,0.11039,-0.00548,0.00213,-400.24984,81.98389
"30","2020_Q3",207.4621875,"Up",623525000,-304548000,318977000,-190373000,-190373000,128604000,-640000,-753000,-1205000,452000,113000,127964000,127964000,-26410000,101554000,101554000,101554000,101554000,626414000,626414000,326266000,326266000,484138000,62918000,19866000,31696000,1499736000,207912000,342700000,46764000,13990000,27372000,254574000,550612000,2050348000,445149000,312932000,31711000,100506000,503842000,273604000,273604000,303542000,807384000,194393000,1067529000,-18958000,1242964000,1242964000,2050348000,101554000,10223000,10114000,-159021000,-37129999.9999999,-4072000,-4080000,-4072000,-6964000,3813000,-37389000,-37389000,1862000,-35527000,138827000,39903000,2143999.99999994,0.51157,0.20625,0.16287,0.0817,0.04953,0.02111,2.9766,0.64956,0.01946,3.62085,3.54749,22.23143,44.31718,0.0764399999999983,0.06525,0.00138,-4.22476,-4.56059999999997
"31","2020_Q4",266.0721875,"Up",1077759000,-463862000,613897000,-285242000,-285242000,328655000,-99000,-366000,-959000,593000,267000,328556000,328556000,-73020000,255536000,255536000,255536000,255536000,1156556000,1156556000,312913000,312913000,305298000,82672000,21117000,51099000,1857439000,205695000,324716000,46068000,13990000,27546000,237112000,530411000,2387850000,523413000,303013000,56947000,163453000,571850000,266111000,266111000,295879000,867729000,208346000,1323065000,-11290000,1520121000,1520121000,2387850000,255536000,11138000,11187000,260362000,538223000,-7967000,-7967000,-7967000,-149000,-5586000,524670000,524670000,5472000,530142000,339793000,30431000,665208000,0.56961,0.30494,0.2371,0.1681,0.10702,2.60319,3.24812,0.57083,0.01274,9.08928,8.96712,38.33531,54.06989,23.66109,0.14066,0.36617,-3.31415,-3.42647
"32","2021_Q1",320.216885245902,"Up",561188000,-262538000,298650000,-244005000,-244005000,54645000,-1579000,-1756000,-2674000,918000,177000,53066000,53066000,-19608000,33457999.9999999,33457999.9999999,33457999.9999999,33457999.9999999,1089361000,1089361000,215718000,215718000,278242000,67478000,16924000,44244000,1650799000,213074105.576672,516906000,41945000,13990000,37194000,423777000,516906000,2167705000,421600000,231632000,36920000,153048000,468368000,255112000,255112000,255112000,723480000,203589000,1257379000,-16743000,1444225000,1444225000,2167705000,33457999.9999999,9893000,6396000,24208000,73955000,-10918000,-10918000,-10918000,-229000,-127811000,-64774000.0000001,-64774000.0000001,-2421000,-67195000,64538000,3.72529029846191e-09,97436000,0.53217,0.09737,0.05962,0.02317,0.01543,2.91219,3.52458,0.50095,0,1.19246,1.17401,20.001,51.47284,3.47266,0.01969,0.05734,-16.87937,-19.93524
"33","2021_Q2",338.597301587302,"Up",504678000,-244175000,260503000,-198671000,-198671000,61832000,-181000,-414000,-896000,482000,233000,61651000,61651000,-13527000,48124000,48124000,48124000,48124000,956712000,956712000,218807000,218807000,457704000,92975000,28048000,61089000,1726198000,222348000,342709000,41383000,13990000,40817000,246519000,565057000,2291255000,554254000,393635000,40967000,119652000,600533000,271735000,271735000,271735000,872268000,209040000,1223339000,-13392000,1418987000,1418987000,2291255000,48124000,9971000,-526000,-93901000,-36332000,-15515000,-15515000,-15515000,-85000,-82182000,-134029000,-134029000,1380000,-132649000,71803000,0,-24086000,0.51618,0.12252,0.09536,0.03391,0.021,-0.5005,2.87444,0.61471,0,1.71534,1.69415,17.98888,50.57876,-0.85853,0.02846,-0.01425,-13.32412,-15.47276
"34","2021_Q3",411.0828125,"Up",721902000,-354814000,367088000,-238907000,-238907000,128181000,-501000,-453000,2559522.34093979,-264235.22570004,-48000,127680000,127680000,-25617000,102063000,102063000,102063000,102063000,746211000,746211000,370361000,370361000,636270000,90708000,26611000,50282000,1843550000,223687000,343195000,40819000,13990000,39580000,248806000,566882000,2410432000,634096000,497125000,17191000,119780000,682963000,263723000,263723000,263723000,946686000,207046000,1271596000,-14896000,1463746000,1463746000,2410432000,102063000,9960000,9859000,-258224000,-136342000,-11204000,-20157749.8062415,-11204000,-9195000,-62088000,-209634000,-209634000,-866999.999999999,-210501000,138141000,9.31322574615479e-10,-105670000,0.5085,0.17756,0.14138,0.06973,0.04234,-1.03534,2.69934,0.64676,2.16840434497101e-19,3.68047,3.64797,26.03231,52.78374,-3.81054,0.05908,-0.06117,-5.40181,-5.82154
"35","2021_Q4",386.85875,"Down",1187752000,-566531000,621221000,-327825000,-327825000,293396000,-439000,-630000,5091963.12125305,-727180.300933387,191000,292957000,292957000,-60014000,232943000,232943000,232943000,232943000,998261000,998261000,334541000,334541000,550749000,111056000,28231000,68773000,1994607000,221013000,331948000,40252000,13990000,40881000,236825000,552961000,2547568000,679640000,482059000,26769000,170812000,727930000,254896000,254896000,254896000,982826000,210067000,1373832000,-19157000,1564742000,1564742000,2547568000,232943000,11271000,8808000,147022000,400044000,-14596000,-22460533.0749886,-14596000,-4496000,-134072000,251376000,251376000,674000,252050000,304667000,0,497107000,0.52302,0.24702,0.19612,0.14887,0.09144,2.13403,2.74011,0.62811,0,8.4244,8.35041,42.95512,56.58898,17.9779,0.12802,0.27319,-3.27656,-3.40244
"36","2022_Q1",297.684193548387,"Down",736007000,-377268000,358739000,-277441000,-277441000,81298000,1052000,1315000,4591422.34093979,-402535.22570004,-263000,82350000,82350000,-13531000,68819000,68819000,68819000,68819000,843527000,843527000,302688000,302688000,506796000,99117000,25610000,55264000,1752128000,219456098.144342,580122000,262137000,13990000,64217000,239778000,580122000,2332250000,491586000,327487000,12426000,151673000,541684000,251741000,251741000,251741000,793425000,211095000,1352685000,-24955000,1538825000,1538825000,2332250000,68819000,11676000,-14618000,-120894000,-55017000,-9694000,-20528549.8062415,-9694000,-248000,-89140000,-153851000,-153851000,-883000,-154734000,92974000,0,-24083000.0000001,0.48741,0.11046,0.0935,0.04472,0.02951,-0.349949999999999,3.23459,0.5156,-2.71050543121376e-20,2.55652,2.52047,27.34154,57.16501,-0.894649999999992,0.03843,-0.0134500000000001,-9.07272,-10.37574
"37","2022_Q2",261.846612903226,"Down",614461000,-319709000,294752000,-238411000,-238411000,56341000,661000,162000,-1052000,1214000,499000,57002000,57002000,-12153000,44849000,44849000,44849000,44849000,695230000,695230000,321996000,321996000,839509000,92993000,30655000,43746000,1949728000,219657000,343867000,39120000,13990000,63215000,227542000,563524000,2513252000,752268000,604104000,18864000,129300000,799758000,241087000,241087000,241087000,1040845000,214783000,1297545000,-39921000,1472407000,1472407000,2513252000,44849000,11705000,4865000,-90340000,-28921000,-12467000,-12467000,-12467000,-43000,-100036000,-141424000,-141424000,-6873000,-148297000,68046000,0,-22608000,0.47969,0.09169,0.07299,0.03046,0.01785,-0.50409,2.4379,0.7069,0,1.67491,1.66428,22.94734,54.98775,-0.84431,0.02617,-0.01319,-10.21706,-12.33968
"38","2022_Q3",312.23953125,"Up",875614000,-453693000,421921000,-294090000,-294090000,127831000,1087000,846000,-13948203.9015663,4626725.37616673,241000,128918000,128918000,-27394000,101524000,101524000,101524000,101524000,419259000,419259000,434674000,434674000,925043000,134309000,36151000,73781000,1913285000,221308000,331756000,38552000,13990000,60410000,218804000,553064000,2466349000,681738000,482928000,39340000,159470000,728624000,221886000,221886000,221886000,950510000,219378000,1348823000,-52362000,1515839000,1515839000,2466349000,101524000,11313000,13010000,-333772000,-207925000,-11787000,3618916.34373581,-11787000,-5059000,-52430000,-272142000,-272142000,-3829000,-275971000,139144000,0,-179021000,0.48186,0.14599,0.11595,0.06698,0.04116,-1.76334,2.62589,0.62705,0,3.82864,3.80496,33.02085,57.1648,-6.75118,0.05842,-0.10302,-3.01313,-3.27979
