"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","other_adjustments","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.88921875,"Up",1546839000,-1511744000,35095000,-28656000,-17246000,-1005000,-10405000,6439000,-5888000,-5888000,551000,551000,0,551000,551000,551000,-72000,479000,18142564.4027099,18142564.4027099,529125640.19654,529125640.19654,274711187.294858,-28018125.5042782,-25581955.5204277,14731473.6483571,-17167643.6322077,793961266.38983,461012810.384939,45542579.1878097,42030762.1439041,3936998.30336219,506555389.572749,1300516655.96258,441585352.187483,407813197.082276,33772155.1052066,995108053.232283,1288075.70069557,993819977.531587,1436757428.67848,-287787656.928307,-287787658.23596,-287751558.7048,1149005869.97368,185195139.592696,-33706248.6122977,151488890.980399,151510785.988898,1300516655.96258,551000,5167000,1135000,-90375000,-83522000,-2712000,-205025000,297300000,-8432000,288868000,321000,321000,321000,11606000,0,-81481000,0.02269,0.00416,0.00031,0.0382314772581794,0.00753654230565446,-170.10647,-1.11547813892026,5.99992878704228,3.89877204325271e-05,0.01565,0.01565,50.55029,4.95063219553153,-2.66278,0.0134583652166972,-0.26802256089963,-0.365837575968872,0.456900498838277
"2","2011_Q1",8.34838709677419,"Up",2755274000,-2703380000,51894000,-38358000,-18348000,-1096000,-18914000,13536000,-7984000,-7984000,5552000,5552000,387000,5939000,5939000,5939000,-159000,5780000,2361000,2361000,553066000,553066000,586831000,55387000,36714000,1942000,16731000,1197645000,422684000,51987000,40065000,11922000,474671000,1672316000,543791000,443469000,100322000,207890000,9157000,198733000,751681000,643819000,643819000,643819000,1395500000,290578000,-13762000,276816000,276816000,1672316000,5939000,7349000,3478000,-71002000,-54236000,-7141000,-7141000,68656000,-8628000,59146000,-2231000,-2231000,-2231000,20885000,0,-57645000,0.01883,0.00491,0.0021,0.02088,0.00346,-9.97318000000001,1.59329,5.04125,0,0.18889,0.18889,90.04163,9.04627,-1.88382,0.00628,-0.06261,-0.11305,-0.17442
"3","2011_Q2",8.00253968253968,"Down",3551072000,-3494822000,56250000,-40077000,-21110000,-1163000,-17804000,16173000,-7880000,-7880000,8293000,8293000,0,8293000,8293000,8293000,-2e+05,8093000,1422395.19909671,1422395.19909671,490284453.26782,490284453.26782,671387687.568381,92993125.1680927,62291901.8401426,-1916824.54945238,32618047.8774026,1256087661.20339,406485396.538354,53484806.9373968,38976829.2853653,14366250.5655459,459970203.47575,1716057864.67914,509028965.937506,388694017.639241,120334948.298264,-166684.410760909,6669808.09976814,-6836492.51052913,508840940.440506,880684635.642769,880684636.078654,880672602.9016,1389513543.34211,335871786.802435,-9320167.12923409,326551619.6732,326544321.337034,1716057864.67914,8293000,7505000,2760000,-78524000,-59966000,-2179000,-2179000,75966000,-10335000,65631000,3486000,3486000,3486000,23678000,0,-57025000,0.01584,0.00455,0.00228,0.00617700758060687,0.000733652564781845,-7.04621,2.40763271297342,4.30801123765257,-1.29959068108424e-05,0.26448,0.26448,116.0481,10.6716134348228,-1.86356,0.00146137826110092,0.0159179369665433,-0.256645808010376,-0.738610166279426
"4","2011_Q3",6.79125,"Down",3412148000,-3367577000,44571000,-37768000,-18809000,-1204000,-17755000,6803000,-7651000,-7651000,-848000,-848000,0,-848000,-848000,-848000,-113000,-961000,7523000,7523000,415790000,415790000,635709000,104073000,65348000,1361000,37364000,1163095000,413405000,52676000,39143000,13533000,466081000,1629176000,436864000,321894000,114970000,106852000,1196000,105656000,543716000,752777000,752777000,752777000,1296493000,346340000,-13657000,332683000,332683000,1629176000,-848000,7601000,1401000,-7472000,682000.000000007,-1296000,-1296000,13460000,-11020000,2289999.99999999,1676000,1676000,1676000,14404000,0,5635999.99999999,0.01306,0.00199,-0.00028,-0.00289,-0.00059,-5.86472,2.13916,3.89708,0,-0.03141,-0.03141,111.5081,10.87199,0.18418,-0.00089,0.00518999999999997,-0.52229,-1.10584
"5","2011_Q4",6.48269841269841,"Down",3765765000,-3716486000,49279000,-37755000,-17166000,-1216000,-19373000,11524000,-7947000,-7947000,3577000,1858000,-101512.02577727,1858000,1858000,1858000,-142000,1716000,10872000,10872000,438331000,438331000,598818000,110431000,60409000,10384000,39638000,1158452000,410043000,49365000,37927000,11438000,459408000,1617860000,469994000,362700000,107294000,218154000,3373000,214781000,688148000,612562000,612562000,612562000,1300710000,336720000,-19570000,317150000,317150000,1617860000,1858000,7619000,1392000,41636000,52505000,-3041000,-3041000,-34500000,-11107000,-46115000,3349000,3349000,3349000,19143000,0,-26370767.3018445,0.01309,0.00306,0.00046,0.00541,0.00106,-4.53167438375439,1.68343,4.10125,0,0.05608,0.05608,123.06422,10.36438,-0.861792163450843,0.00185,-0.0411752489330866,-0.56794,-0.94342
"6","2012_Q1",7.67725806451613,"Up",4106744000,-4047246000,59498000,-36616000,-16797000,-1217000,-18602000,22882000,-12454000,-12454000,10428000,10117000,-68000,10049000,10049000,10049000,-229000,9820000,4328000,4328000,621670000,621670000,664144000,130496000,61561000,23224000,45711000,1420638000,408850000,47137000,36710000,10427000,455987000,1876625000,693606000,575776000,117830000,85222000,19481000,65741000,778828000,782508000,782508000,782508000,1561336000,335784000,-20495000,315289000,315289000,1876625000,10049000,7634000,1613000,-29874000,-10578000,-6853000,-6853000,21900000,-11013000,10887000,-6544000,-6544000,-6544000,30516000,2.91038304567337e-11,-6143000,0.01449,0.00557,0.00239,0.03115,0.00523,-0.625560000000002,1.82407,4.95208,1.35525271560688e-20,0.32092,0.32092,134.20732,10.30356,-0.200750000000001,0.00895,-0.00559999999999998,-0.14183,-0.18914
"7","2012_Q2",7.52349206349206,"Down",3975481000,-3920162000,55319000,-46085000,-21153000,-1574000,-23358000,9234000,-10634000,-10634000,-1400000,-1400000,379636.978163819,-1400000,-1400000,-1400000,-108000,-1508000,7462000,7462000,542518000,542518000,671860000,132350000,67676000,26892000,37782000,1354190000,728785000,78768000,65136000,13632000,807553000,2161743000,594034000,463638000,130396000,130440000,13184000,117256000,724474000,1003024000,1003024000,1003024000,1727498000,453711000,-19466000,434245000,434245000,2161743000,-1400000,9216000,1332000,-50911000,-41763000,-5184000,-189689000,245700000,-11114000,234586000,3134000,3134000,3134000,18450000,0,196496373.242719,0.01392,0.00232,-0.00038,-0.00347,-7e-04,12.4064443754228,1.8692,3.97816,0,-0.04928,-0.04928,129.91768,14.19101,6.42145433432808,-0.00105,0.165534308765803,-0.40444,-0.8081
"8","2012_Q3",8.51412698412698,"Up",3916063000,-3825388000,90675000,-62066000,-22640000,-2288000,-37138000,28609000,-10544000,-10544000,18065000,18065000,450000,18515000,18515000,18515000,-309000,18206000,4561000,4561000,449947000,449947000,504086000,103326000,58953000,13991000,30382000,1061920000,707258000,100616000,67849000,13108000,807874000,1869794000,540008000,407437000,132571000,108367000,6952000,101415000,648375000,784894000,784894000,784894000,1433269000,456123000,-19598000,436525000,436525000,1869794000,18515000,12181000,1493000,225874000,258063000,-14542000,-11935000,-232900000,-13977000,-249029000,-2901000,-2901000,-2901000,40790000,4.65661287307739e-10,251672000,0.02315,0.00731,0.00465,0.04171,0.00974,13.82357,1.63782,3.28336,0,0.59497,0.59497,127.97592,14.26552,8.22458,0.01491,0.20605,-0.11182,-0.15943
"9","2012_Q4",9.11741935483871,"Up",4617194000,-4534574000,82620000,-64416000,-22709000,-1511000,-40196000,18204000,-10633000,-10633000,7571000,7571000,-678000,6893000,6893000,6893000,-316000,6577000,1073000,1073000,680438000,680438000,593727000,123718000,62031000,30138000,31549000,1398956000,700913000,107427000,64623000,13681000,808340000,2207296000,843403000,704459000,138944000,154399000,945000,153454000,997802000,779879000,779879000,779879000,1777681000,448325000,-18710000,429615000,429615000,2207296000,6893000,11266000,9e+05,-45659000,-26600000,-4571000,-4571000,42400000,-14717000,27683000,-3488000,-3488000,-3488000,29470000,0,-20082000,0.01789,0.00394,0.00142,0.01531,0.00298,-3.05337,1.40204,4.13785,0,0.21493,0.21493,150.88869,14.03971,-0.65627,0.00544,-0.0166,-0.03641,-0.05894
"10","2013_Q1",11.8131666666667,"Up",5117259000,-5012385000,104874000,-70580000,-29208000,-1651000,-39721000,34294000,-10210000,-10210000,24084000,24084000,-1349000,22735000,22735000,22735000,-479000,22256000,5977000,5977000,696762000,696762000,634667000,169527000,65432000,48062000,56033000,1506933000,712322000,110497000,60822000,17349000,822819000,2329752000,922634000,759698000,162936000,122561000,34474000,88087000,1045195000,848096000,848096000,848096000,1893291000,456131000,-19670000,436461000,436461000,2329752000,22735000,12795000,4278000,2944000,42751999.9999999,-13443000,-20293000,-2600000,-14955000,-17555000,4904000,4904000,4904000,47089000,7.45058059692383e-09,37939000,0.02049,0.0067,0.00435,0.05099,0.00955,1.70466,1.44177,4.33782,-1.73472347597681e-18,0.72732,0.72732,167.23069,14.26343,1.23984,0.01733,0.02953,-0.126929999999996,-0.174289999999999
