"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",4.94475409836066,"Down",5336354,-4734051,602303,-6248576,-6140591,-107985,-5646273,-125432,-172864,47432,-5771705,-4634377,-4634377,-4634377,-4634377,-4634377,2010325,2010325,3089932,3089932,4626569,388006,388006,10114832,29752,10308841,6126558,4181991,292,10338593,20453425,6894675,6894675,856449,3476631,1127423,491956,11227755,175294,175294,175294,11403049,25,21126912,-12028388,-48173,9050376,9050376,20453425,-4634377,187941,3317754,382027,-746655,-3699319,1979290,1222634,1222634,4510,1227144,-5458332,856449,0.11287,-1.05808,-0.86845,-0.51206,-0.22658,0.90088,1.25995,0.04187,-0.65366,-0.65366,0.75267,1.27651,-0.45966,0.2114,0.20436
"2","2018_Q2",5.60375,"Up",5996685,-4515713,1480972,-3286518,-3194013,-92505,-1805546,-160389,-146928,-13461,-1965935,-905038.000000002,-905038.000000002,-905038.000000002,-905038.000000002,-905038,448345,448345,3083668,3083668,3738723,1227995,1227995,8498731,25095.0000000001,10125675,5943368,4181991,316,10150770,18649501,7154659,7154659,923960,483243.000000001,483243,191693.103893036,8561862,175915,175915,175915,8737777,25,24656911,-14701902,-43310,9911724,9911724,18649501,-905038,187847,-579646,-753295,-2050132,67512,487515,-1562617,-1562617,637.000000000004,-1561980,-1617699,923960,0.24697,-0.30109,-0.15092,-0.09131,-0.04853,0.99263,0.88156,0.04954,-0.09411,-0.0941100000000002,0.62354,1.03062,-0.08219,-0.29401,-0.26342
"3","2018_Q3",3.74634920634921,"Down",9663657,-7938340,1725317,-3903683,-3726585,-177098,-2178366,-190539,-207271,16732,-2368905,-4457022,-4457022,-4457022,-4457022,-4457022,1799024,1799024,5019988,5019988,3487210,1978291,1978291,12284513,323777,11255088,6850135,4404658,295,11578865,23863378,8168146,8168146,1931754,4245598,1726717,627177,14345498,440906,167573,987573,15333071,25,25994589,-17390448,-73859,8530307,8530307,23863378,-4457022,250027,2766249,1177763,-262983,761793,761793,1366737,1366737,-16058,1350679,-1928339,2478421,0.17854,-0.22542,-0.46121,-0.52249,-0.18677,0.85633,1.79748,0.10386,-0.45004,-0.45004,0.97577,0.86133,-0.38927,-0.35232,-0.31188
"4","2018_Q4",2.10349206349206,"Down",10195968,-7763617,2432351,-4361659,-4262707,-98952,-1929308,-149661,-188457,38796,-2078969,-1221361,-1221361,-1221361,-1221361,-1221361,1586413,1586413,6625980,6625980,3905498,5051727,1602017,17169618,286131,11279401,6795851,4483069,481,11565532,28735150,8471948,8471948,3452389,7816951,5749610,978918,19741288,436686,163353,819353,20560641,25.0000000000002,26851537,-18605459,-71594,8174509,8174509,28735150,-1221361,258753,-100992,-410166,-1473766,1218028,1218128,-223369,-223369,10758,-212611,-1670555,3835056,0.23856,-0.18922,-0.11979,-0.14941,-0.0425,0.86973,2.51521,0.13346,-0.11836,-0.11836,0.98804,0.79215,-0.09813,-1.34605,-1.16552
"5","2019_Q1",2.5344262295082,"Up",11984967,-8970438,3014529,-4097872,-3794774,-303098,-1083343,-273090,-299132,26042,-1356433,-594462,-594462,-594462,-594462,-594462,901459,901459,3634726,3634726,4214316,1214157,1214157,9964658,226409,11076120,6352273,4723549,298,11302529,21267187,7892738,7892738,2820227,1849866,938050,585364,12562831,408297,134964,736297,13299128,25,27280949,-19206271,-106644,7968059,7968059,21267187,-594462,255308,-356862,708079,12063,-685551,-685551,-673488,-673488,-11466,-684954,-828035,3148227,0.25153,-0.09039,-0.0496,-0.07461,-0.02795,0.79319,1.66905,0.14803,-0.06036,-0.06036,1.217,0.80911,-0.05158,-2.71337,-2.07392
"6","2019_Q2",3.39825396825397,"Up",4993399,-3321332,1672067,-4002064,-3766068,-235996,-2329997,-259394,-280603,21209,-2589391,-4605452,-4605452,-4605452,-4605452,-4605452,2717623,2717623,2269730,2269730,3520022,942023,942023,9449398,216031,11016257,6292406,4723549,302,11232288,20681686,8487664,8487664,2349339,3556627,440092,585003,14393630,214493,105416,1832272,16225902,24.9999999999964,28493844,-23893294,-144791,4455784,4455784,20681686,-4605452,250986,1731436,3187774,564744,1444836,1279306,1854311,1854311,-38147,1816164,-2079011,3967118,0.33486,-0.46662,-0.92231,-1.03359,-0.22268,0.6565,3.64154,0.19182,-0.44906,-0.44906,0.48688,0.43446,-0.5332,-0.601,-0.53626
"7","2019_Q3",2.4696875,"Down",10801524,-7812080,2989444,-4220956,-3896374,-324582,-1231512,-455352,-479022,23670,-1686864,-1423604,-1423604,-1423604,-1423604,-1423604,945389,945389,7391438,7391438,3249590,1475186,1475186,13061603,209641,10718668,5994817,4723549,302,10928309,23989912,10107641,10107641,4709948,3291734,333732,689730,18109323,328752,115406,2392679,20502002,25,28665586,-25055896,-121805,3487910,3487910,23989912,-1423604,359871,256058,-3759963,-4567638,2776888,2772443,-1795195,-1795195,22961,-1772234,-871641,6773875,0.27676,-0.11401,-0.1318,-0.40815,-0.05934,0.72126,5.87802,0.28236,-0.1344,-0.1344,1.01975,0.32928,-0.13442,-6.6868,-4.73279
"8","2019_Q4",1.58140625,"Down",11304731,-8070930,3233801,-4581476,-4230372,-351104,-1347675,-496314,-517391,21077,-1843989,-471812,-471812,-471812,-471812,-471812,806245,806245,8415106,8415106,3418460,1581636,1581636,14221447,209520,10500766,5776915,4723549,302,10710286,24931733,9793111,9793111,7529842,2064758,311184,857479,19387711,196259,97481.0000000001,1775842,21163553,16.9999999999418,29251923,-25350392,-133368,3768180,3768180,24931733,-471812,288921,-920298,-1174474,-2277663,2176262,2153692,-127582,-127582,-11563,-139145,-1058754,9109425,0.28606,-0.11921,-0.04174,-0.12521,-0.01892,0.73353,5.61639,0.36537,-0.0438800000000001,-0.0438800000000001,1.05149,0.35049,-0.03609,-7.84241,-6.16111
"9","2020_Q1",1.00370967741935,"Down",5930346,-4884658,1045688,-4195504,-3878186,-317318,-3149816,-494940,-516984,22044,-3644756,-2901132,-2901132,-2901132,-2901132,-2901132,1173000,1173000,3665000,3665000,3319000,1766000,1766000,9923000,207000,10339000,5559000,4724000,56000,10546000,20469000,10140000,9753000,4904000,2164000,1973000,43999.9999999999,17208000,2600000,2583000,3909000,21117000,1903315.1965129,30737000,-31346000,-38000,-647000,-647000,20470000,-2901132,505222,-345196,4757663,2016557,-1700986,-1745441,270466,270466,94749,365215,-2644594,6213000,0.17633,-0.53114,-0.4892,4.48398,-0.14173,0.57665,-32.63833,0.30353,-0.26,-0.26,0.53147,-0.05798,-0.35531,-1.90577,-1.60009
"10","2020_Q2",0.796507936507936,"Down",5723049,-4131989,1591060,-4254485,-3937729,-316756,-2663425,-401370,-459320,57950,-3064795,-1949623,-1949623,-1949623,-1949623,-1949623,612936,612936,4260345,4260345,2884640,1179349,1179349,8937270,203487,10126755,5343557,4723549,59649,10330242,19267512,8447946,8096351,5669607,1937689,1733660,86088,16055242,2772220,2759831,3884578,19939820,17.0000000009313,32765380,-33296054,-141651,-672308,-672308,19267512,-1950000,389000,-881000,1550000,-892000,475000,434000,-458000,-458000,-103000,-561000,-2274425,6781965,0.27801,-0.46539,-0.34066,2.8999,-0.10119,0.55666,-29.65876,0.35199,-0.15605,-0.156049999999999,0.458070000000001,-0.0538099999999998,-0.21951,-2.71235,-2.3162
