"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",28.6390625,"Up",2238000,-1246000,992000,-436000,-208000,-228000,556000,-63000,-23000,-40000,493000,493000,491000,-403000,-403000,-403000,6737000,6737000,3843000,3843000,3633000,1541000,1340000,15754000,542000,1103000,1089000,1645000,17399000,5880000,4988000,892000,223000,6839000,4000,4000,189000,7028000,97986000,-88080000,465000,10371000,10371000,17399000,511000,-403000,-2000,158000,611000,1278000,-42000,-42000,4911000,6147000,6147000,6149000,554000,921000,0.44325,0.24844,-0.18007,-0.03886,-0.02316,2.30355,0.67766,0.05293,-0.22947,-0.22947,1.27434,5.90536,-0.03568,-10.49819,-10.46043
"2","2015_Q1",23.5744262295082,"Down",8844000,-5654000,3190000,-3202000,-2794000,-408000,-12000,-53000,-20000,-33000,-65000,-65000,-65000,-750000,-750000,-750000,7435000,7435000,2656000,2656000,6869000,1969000,899000,18929000,456000,111000,38000,567000,19496000,8082000,7120000,962000,1072000,9607000,46000,46000,116000,9723000,98134000,-88830000,469000,9773000,9773000,19496000,-65000,-750000,45000,180000,1312000,1472000,-45000,-45000,-299000,1128000,1128000,1128000,33000,523000,0.3607,-0.00136000000000003,-0.0848,-0.07674,-0.03847,1.97033,0.99488,0.02683,-0.39578,-0.39578,4.66702,5.15726,-0.07252,-209.45455,576
"3","2015_Q2",31.3012698412698,"Up",12587000,-7436000,5151000,-3882000,-3340000,-542000,1269000,-45000,-23000,-22000,1224000,1224000,1224000,1129000,1129000,1129000,8869000,8869000,3126000,3126000,10826000,991000,991000,23812000,539000,86000,86000,625000,24437000,8276000,7061000,1215000,739000,10741000,89000,89000,159000,10900000,100742000,-87701000,496000,13537000,13537000,24437000,1224000,1129000,49000,221000,-3835000,-2341000,-112000,-112000,3769000,1316000,1316000,1316000,1318000,1796000,0.40923,0.10082,0.0897,0.0834,0.0462,2.21693,0.8052,0.0735,0.5837,0.5649,6.5076,6.99876,0.07321,-5.36646,-5.57368
"4","2015_Q3",71.5109375,"Up",16232000,-8792000,7440000,-4283000,-3629000,-654000,3157000,-42000,-26000,-16000,3115000,3115000,2192000,2111000,2111000,2111000,10173000,10173000,2506000,2506000,9847000,1084000,1084000,23610000,732000,111000,111000,843000,24453000,6373000,4911000,1462000,1594000,8422000,87000,87000,157000,8579000,101004000,-85590000,460000,15874000,15874000,24453000,2192000,2111000,52000,142000,655999.999999999,3042000,-248000,-248000,-1181000,1613000,1613000,1613000,3209000,525000,0.45835,0.19449,0.13005,0.13298,0.08633,2.80337,0.54044,0.02147,1.0535,1.04113,8.10061,7.92195,0.12805,-3.00654000000001,-3.05606999999995
"5","2015_Q4",72.86875,"Up",18335000,-9205000,9130000,-5390000,-4651000,-739000,3740000,7000,-22000,29000,3747000,3747000,4398000,4256000,4256000,4256000,34966000,34966000,7568000,7568000,7985000,707000,707000,51226000,812000,68000,68000,880000,52106000,7576000,5203000,2373000,765000,8343000,85000,85000,155000,8498000,124942000,-81334000,0,43608000,43608000,52106000,4398000,4256000,80000,303000,-2711000,2070000,-180000,-180000,23295000,25185000,25185000,25185000,3820000,72000,0.49795,0.20398,0.23212,0.0976,0.08168,6.14,0.19487,0.00138,2.06402,1.99531,8.89185,21.1484,0.09725,-9.13455,-9.32995
"6","2016_Q1",50.4959016393443,"Down",17249000,-9678000,7571000,-6085000,-5210000,-875000,1486000,48000,-14000,62000,1534000,1534000,1657000,1284000,1284000,1284000,34640000,34640000,10110000,10110000,7732000,740000,740000,53222000,2429000,51000,51000,2480000,55702000,10212000,7295000,2917000,93000,10305000,77000,77000,77000,10382000,125370000,-80050000,0,45320000,45320000,55702000,1657000,1284000,85000,229000,-296000,1675000,-1702000,-1702000,74000,47000.0000000075,47000.0000000075,46999.9999999925,1571000,0,0.43892,0.08615,0.07444,0.02833,0.02305,5.16468,0.22908,-2.16840434497101e-19,0.55098,0.52571,7.40173,19.44731,0.02828,-22.04965,-23.3109
"7","2016_Q2",33.825,"Down",8425000,-5280000,3145000,-5114000,-4310000,-804000,-1969000,3000,-6990.13725304388,3000,-1966000,-1966000,-1977000,-1989000,-1989000,-1989000,30140000,30140000,6034000,6034000,11536000,1011000,1011000,48721000,2590000,63000,63000,2653000,51374000,6659000,5929000,730000,1039000,7698000,74000,74000,74000,7772000,125640000,-82039000,1000,43602000,43602000,51374000,-1977000,-1989000,151000,229000,-2601000,-4198000,-311000,-311000,14000,-4495000,-4495000,-4502000,-1818000,0,0.37329,-0.23371,-0.23608,-0.04562,-0.03872,6.32905,0.17825,0,-0.85365,-0.85365,3.61588,18.7133,-0.04554,16.57866,15.30726
"8","2016_Q3",24.2359375,"Down",7126000,-4604000,2522000,-6444000,-5590000,-854000,-3922000,6000.00000000001,-2222.06105016702,6000,-3916000,-3916000,-3916000,-3916000,-3916000,-3916000,25441000,25441000,5186000,5186000,14594000,1704000,1704000,46925000,3139000,42000,42000,3181000,50106000,9507000,7470000,2037000,365000,9872000,101000,101000,101000,9973000,126087000,-85955000,1000,40133000,40133000,50106000,-3916000,-3916000,185000,383000,-663000,-4011000,-736000,-736000,63000,-4684000,-4684000,-4685000,-3737000,0,0.35392,-0.55038,-0.54954,-0.09758,-0.07815,4.75334,0.2485,1.35525271560688e-20,-1.67968,-1.67968,3.05653,17.21412,-0.09733,6.80787,6.48674
"9","2016_Q4",22.6179365079365,"Down",8261000,-5179000,3082000,-6232000,-5423000,-809000,-3150000,-16000,3.63797880709171e-12,-16000,-3166000,-3166000,-3177000,-3177000,-3177000,-3177000,19587000,19587000,5074000,5074000,14017000,1061000,1061000,39739000,3313000,38000,38000,3351000,43090000,5303000,3371000,1932000,295000,5598000,99000,99000,99000,5697000,126523000,-89132000,2000,37393000,37393000,43090000,-3177000,-3177000,219000,508000,-2991000,-5441000,-426000,-426000,0,-5867000,-5867000,-5864000,-2931000,0,0.37308,-0.38131,-0.38458,-0.08496,-0.07373,7.09879,0.15235,0,-1.35885,-1.35885,3.53336,15.99358,-0.08474,6.6827,6.2181
"10","2017_Q1",20.3814516129032,"Down",7186000,-8258000,-1072000,-5860000,-4790000,-1070000,-6932000,-11000,0,-11000,-6943000,-7800000,-7805000,-7805000,-7805000,-7805000,16629000,16629000,5640000,5640000,9469000,882000,882000,32620000,2325000,33000,33000,2358000,34978000,4933000,3257000,1676000,5.82076609134674e-11,4933000,107000,107000,107000,5040000,126876000,-96937000,-1000,29938000,29938000,34978000,-7805000,-7805000,250000,1291000,3361000,-2903000,-124000,-124000,69000,-2958000,-2958000,-2958000,-6682000,0,-0.14918,-0.96465,-1.08614,-0.26071,-0.22314,6.61261,0.16835,-1.6940658945086e-21,-3.3369,-3.3369,3.07225,12.79949,-0.25978,2.48863,2.39887
