"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",12.85765625,"Down",20358211,-4357560,16000651,-12524201,-4302218,-3034138,-5187845,3476450,-50082,96821,-2399516.64057601,3426368,342309,3768677,3768677,3768677,3768677,3768677,499347604.810734,499347604.807353,27882449.5264982,-22876895.9913551,-2770317.24806342,-20106578.7445609,711867228.03363,444683686.603141,-52637544.5629817,-43252948.2310943,392046142.040159,1103913370.07379,-31746652.8492682,-22069170.0308058,-9677482.81846238,15524510.0527223,-4179069.74976813,-1345668.0988394,-20401212.546314,62119305.5988539,113732453.359917,113732453.359917,175851758.958771,155450546.412457,842822565.496227,131386838.049164,948462823.661333,948462823.661333,1103913370.07379,3768677,3034138,-59656,-2305959,4437200,30891018,-92045219,-3527500,0,-767987,-4295487,-91903506,-91903506,-232036,-92135542,6510588,0,0.78596,0.17076,0.18512,0.234463267953165,0.157504056819472,33.9849446598475,0.194147535621293,0.101408020559131,0.06595,0.06595,0.35627,16.3219629263075,0.158658235247414,-146.573940331359,-226.060024281075
"2","2014_Q4",9.06875,"Down",32583990,-7755589,24828401,-14002811,-4294965,-3966640,-5741206,10825590,-488238,69678,-737220.546858671,10337352,-1340747,8996605,8996605,8996605,8996605,8996605,319807675.936911,319807675.935784,10594188.5088327,-14155484.663785,581848.250645527,-14737332.9148536,398030500.344543,631696144.867714,17825083.4790061,20330259.5896352,649521228.34672,1047551728.69126,-2789329.61642273,-3620688.34360194,831358.727179205,12052437.0175741,167556.416743956,-35172.6996131348,9430663.81789533,107055612.532951,41334304.4533058,41334304.4533058,148389916.986257,157820580.804152,844084366.498742,53270294.3497212,889731147.887111,889731147.887111,1047551728.69126,8996605,3966640,1886941,-972859,13877327,-1558635,-112206529,-1278500,0,0,-1278499.99999999,-99607702,-99607702,-601908,-100209610,14792230,0,0.76198,0.33224,0.27611,0.0692977559843884,0.0474813522731574,17.5522982199492,0.184212511873764,0.123709340186377,0.15746,0.15746,0.57029,15.5145909754358,0.0478327450824715,-46.0275901104531,-70.4056580936917
"3","2015_Q1",7.63213114754098,"Down",35333108,-7182709,28150399,-16225412,-4755397,-4626024,-6843991,11924987,-92297,34193,93929,11832690,-3004439,8828251,8828251,8828251,8828251,8828251,204821183,204821183,3375759,2167291,1780548,386743,233211457,818616446,47273367,47273367,865889813,1099101270,10872051,5224349,5647702,15677553,1647409,525170,28197013,184665874,13024124,13024124,197689998,225887011,845119634,28094625,873214259,873214259,1099101270,8828251,4626024,2708409,-12333901,3828783,-27406912,-46802796,76558643,0,-11220812,65337831,22363818,22363818,-346805,22017013,16551011,200343427,0.79671,0.3375,0.24986,0.01011,0.00803,8.27079,0.25868,0.18228,0.15458,0.15458,0.61867,15.28969,0.00812,-0.27054,-0.37549
"4","2015_Q2",8.91634920634921,"Up",35642460,-3523073,32119387,-18825793,-7214280,-4857427,-6754086,13293594,322443,-70215,383642,13616037,36846.0000000009,13652883,13652883,13652883,13652883,13652883,134715783,134715783,2370668,22104570,1826853,20277717,166486165,1020728663,53611896,53611896,1074340559,1240826724,14748854,7787237,6961617,25325629,1741147,618908,41815630,299577256,11670157,11670157,311247413,353063043,846016173,41747508,887763681,887763681,1240826724,13652883,4857427,-246275,-1371228,16892807,-3357383,-207434058,124559457,-2087435.9891634,-4218263,120341194,-70200057,-70200057,94656.9999999999,-70105400,18151021,324902885,0.90116,0.37297,0.38305,0.01538,0.011,3.98143,0.3977,0.26184,0.23899,0.23899,0.6239,15.53977,0.01115,10.47804,14.30667
"5","2015_Q3",8.7153125,"Down",74946432,-3541546,71404886,-23044979,-5281535,-8303555,-9459889,48359907,-804880,-882070,383643,47555027,-6341763,41213264,41213264,41213264,41213264,41213264,80344476,80344476,3238832,43228937,2244245,40984692,138475064,1286812958,62753927,62753927,1349566885,1488041949,14971359,8025172,6946187,42360541,2452340,535101,59784240,485927672,16803205,16803205,502730877,562515117,846881622,82960772,925526832,925526832,1488041949,41213264,8303555,6684745,-26252679,29948885,-5608058,-278864916,203385328,-4315562,-4248735,194821031,-54095000,-54095000,-276307,-54371307,56663462,528288213,0.95275,0.64526,0.5499,0.04453,0.0277,2.31625,0.60778,0.35502,0.72263,0.72121,1.3141,16.22802,0.02802,7.90534,9.26271
"6","2015_Q4",7.5875,"Down",93283708,-4347222,88936486,-35308823,-7506740,-13536900,-14265183,53627663,-4348782,-4611072,383642,49278881,5382442,54661323,54661323,54661323,54661323,54661323,22034919,22034919,2123758,61553531,4033795,57519736,98254221,1632153404,92604050,90734982,1724757454,1823011675,17050931,9259449,7791482,65708060,5261647,557297,88020638,748344288,11291513,11291513,759635801,847656439,847803786,137622095,975355236,975355236,1823011675,54661323,13536900,-5009918,-27044679,36143626,-7844105,-369575660,285764135,-5755083,-4743447,275265605,-58166429,-58166429,-143128,-58309557,67164563,814052348,0.9534,0.57489,0.58597,0.05604,0.02998,1.11626,0.86907,0.44654,0.96656,0.96602,1.64951,17.24695,0.03036,11.79219,14.76882
"7","2016_Q1",6.52393442622951,"Down",85335229,-652841,84682388,-42368366,-9833474,-15894060,-16640832,42314022,-6174561,-7045296,794469,36139461,-15978549,20160912,20160912,20160912,20160912,20160912,46411962,46411962,2288073,56752065,2247706,54504359,105559417,1667815764,68802995,68802995,1736618759,1842178176,16547980,6826503,9721477,66265643,5314750,708210,88128373,746354613,22095953,22095953,768450566,856578939,848760046,157783007,985599237,985599237,1842178176,20160912,15894060,15400918,16586292,68042182,1458088,-54540207,22316025,-10873171,-780275,10662579,24164554,24164554,212489,24377043,58208082,812620256,0.99235,0.49586,0.23626,0.02046,0.01094,1.19779,0.86909,0.44112,0.36055,0.3602,1.52611,17.62617,0.01108,13.16326,18.10767
"8","2016_Q2",5.68546875,"Down",50515776,-755804,49759972,-37899607,-5611310,-16192745,-16095552,11860365,-6524839,-7015031,552901,5335526,-6626647,-1291121,-1291121,-1291121,-1291121,-1291121,47321200,47321200,2132043,46857289,2283533,44573756,96399367,1651940553,69872467,69872467,1721813020,1818212387,13497534,6018390,7479144,65978785,6576388,592284,86052707,731833039,26450872,26450872,758283911,844336618,850181682,156491886,973875769,973875769,1818212387,-1291121,16192745,6437084,8443351,29782059,-606,-1241826.00000003,-15657054,-11853983,-42047,-27553084,987149.000000007,987149.000000007,-77911,909238,28053110,797811824,0.98504,0.23479,-0.0255600000000001,-0.00133,-0.00071,1.12024,0.86699,0.43879,-0.0235900000000001,-0.02359,0.92281,17.79061,-0.000719999999999998,26.75249,63.27719
"9","2016_Q3",3.9128125,"Down",33611233,-466218,33145015,-37908777,-5203915,-16365517,-16339345,-4763762,-6576114,-7129802,552922,-11339876,4194288,-7145588,-7145588,-7145588,-7145588,-7145588,43581900,43581900,2070638,34959193,2548623,32410570,80637311,1635413456,69951547,69951547,1705365003,1786002314,11031414,5056055,5975359,65978785,7114264,532788,84124463,715158576,19920570,19920570,735079146,819203609,851249688,149346298,966798705,966798705,1786002314,-7145588,16365517,-4383921,10131785,14967793,-2489,-113000,-17619197,-999482,-57738,-18676417,-3821624,-3821624,82324,-3739300,11601755,781137361,0.98613,-0.14173,-0.2126,-0.00739,-0.004,0.95855,0.84734,0.43737,-0.13263,-0.13263,0.62388,17.94536,-0.00404,63.57275,-154.82626
"10","2016_Q4",4.52730158730159,"Up",35734988,-1193265,34541723,-38666518,-5166239,-16385921,-17114358,-4124795,-6826873,-7304549,670836,-10951668,15991292,5039624,5039624,5039624,5039624,5039624,31839639,31839639,2886237,26772479,2079074,24693405,62880666,1619778410,77554327,72592892,1697332737,1760213403,11456081,5699438,5756643,65978786,8666657,556364,86101524,700715644,496758,496758,701212402,787313926,852410824,154385922,972899477,972899477,1760213403,5039624,16385921,-21930671,4960124,4454998,-3934,-408035,-15370197,-99988,2.91038304567337e-11,-15470185,-11423222,-11423222,-319039,-11742261,12261126,766694430,0.96661,-0.11543,0.14103,0.00518,0.00286,0.73031,0.80924,0.43557,0.0936,0.0936,0.66368,18.06882,0.0029,59.93371,-178.15547
