"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"1","2016_Q3",11.53984375,"Up",51581000,-26707000,24874000,-14098000,-14098000,10776000,-6544000,-6876000,332000,4232000,1408000,-609000,799000,799000,799000,799000,5209000,5209000,51756000,13507000,13507000,70472000,5876000,170029000,128697000,8553000,32779000,175905000,246377000,15514000,5321000,10193000,24080000,199435000,12042000,0,211477000,235557000,104938000,-90852000,-3266000,10820000,10820000,246377000,799000,293000,-4982000,-6199000,-10089000,-405000,-405000,-405000,-405000,-38917000,56176000,56176000,-6093000,11166000,672000,672000,672000,11069000,201085000,5074000,0.48223,0.20891,0.01549,0.07384,0.00324,6.35044,2.92658,21.77052,0.81617,0.05231,0.04734,3.37695,0.70837,0.33219,0.00357,0.02266
"2","2016_Q4",12.8044444444444,"Up",50959000,-26341000,24618000,-12727000,-12727000,11891000,-5278000,-5557000,279000,6613000,6613000,180000,6793000,6793000,6793000,6793000,3394000,3394000,51744000,13686000,13686000,68824000,5952000,169958000,128697000,8553000,32708000,175910000,244734000,13842000,3556000,10286000,15492000,199488000,11951000,0,211439000,226931000,105005000,-84059000,-3143000,17803000,17803000,244734000,6793000,310000,579000.000000004,954000.000000001,8636000,-386000,-386000,-386000,-386000,-7034000,-421999.999999993,-422000,4000,-7452000.00000001,797999.999999993,797999.999999993,797999.999999993,12201000,201138000,12589000,0.48309,0.23334,0.1333,0.38156,0.02776,1.85323,4.44255,12.74678,0.82186,0.37542,0.26459,2.81626,0.98389,0.69573,0.02942,0.05452
"3","2017_Q1",13.0696774193548,"Up",53822000,-27605000,26217000,-16208000,-16208000,10009000,-5569000,-5726000,157000,4440000,4440000,12647000,17087000,17087000,17087000,17087000,2181000,2181000,62185000,14490000,14490000,78856000,7590000,198574000,134390000,27138000,30758000,206164000,285020000,24883000,9153000,15730000,41567000,201541000,7854000,3024000,209395000,250962000,105079000,-66972000,-4049000,34058000,34058000,285020000,17087000,331000,-11761000,3947000,9604000,-1962000,-1962000,-1962000,-54643000,14622000,151000,151000,-335000,14438000,-30601000,-30601000,-30601000,10340000,203191000,-322000,0.48711,0.18596,0.31747,0.5017,0.05995,-0.01884,1.89708,7.36867,0.7129,0.675,0.80765,2.12617,1.34542,-0.01272,0.06971,-0.00131
"4","2017_Q2",15.4188888888889,"Up",66788000,-39116000,27672000,-16823000,-16823000,10849000,-4911000,-4933000,114000,5938000,-178000,2055000,1877000,1877000,1877000,1877000,3982000,3982000,60886000,15293000,15293000,80161000,7604000,201542000,134303000,26962000,31468000,209146000,289307000,18319000,7556000,10763000,53719000,191996000,7717000,2916000,199713000,253432000,104828000,-65095000,-3858000,35875000,35875000,289307000,1877000,354000,4132000,-8703000,-2340000,-368000,-368000,-368000,824000,7204000,679000,679000.000000001,-5792000,2091000,575000,575000,575000,11203000,197846000,76999.9999999981,0.41433,0.16244,0.0281000000000001,0.0523199999999999,0.00649,0.04102,1.49223,7.06431,0.68386,0.10019,0.0956000000000001,3.56499,1.91493,0.0041099999999999,0.00777000000000001,0.00032
"5","2017_Q3",15.5468253968254,"Up",72086000,-40020000,32066000,-18407000,-18407000,13659000,-3981000,-4050000,93000,9678000,9678000,-2795000,6883000,6883000,7439000,7439000,2802000,2802000,67826000,12876000,12876000,83504000,8393000,199027000,134620000,26787000,31932000,207420000,290924000,21933000,8759000,13174000,54783000,188735000,5570000,883000,194305000,249088000,103165000,-57656000,-3673000,41836000,41836000,290924000,6883000,417000,3591000,-2185000,8706000,-199000,-199000,-199000,-111000,-7978000,418000,418000,-1777000,-9337000,-742000,-742000,-742000,14076000,196585000,14487000,0.44483,0.18948,0.1032,0.17781,0.02557,1.94744,1.52427,5.95392,0.67573,0.39388,0.37983,3.81682,2.21514,0.76706,0.03049,0.05938
"6","2017_Q4",17.0255555555556,"Up",73340000,-40372000,32968000,-18534000,-18534000,14434000,-3950000,-4027000,135000,10484000,10484000,-3110000,7374000,7374000,7374000,7374000,2960000,2960000,64761000,13692000,13692000,81413000,8457000,197494000,134620000,26611000,32102000,205951000,287364000,21492000,7096000,14396000,44892000,187453000,5318000,712000,192771000,237663000,103573000,-50282000,-3590000,49701000,49701000,287364000,7374000,421000,2116000,4114000,14025000,-485000,-485000,-485000,-1177000,-10913000,274000,274000,-352000,-10991000,1857000,1857000,1857000,14855000,195303000,21594000,0.44952,0.19681,0.10055,0.14837,0.02566,2.9284,1.81353,4.78186,0.67964,0.38637,0.37643,3.84274,2.60415,1.13144,0.02946,0.08626
"7","2018_Q1",20.4255737704918,"Up",73563000,-41400000,32163000,-21605000,-21605000,10558000,-3609000,-3879000,96000,6949000,6949000,-3430000,3519000,3519000,3519000,3519000,3248000,3248000,63296000,12949000,12949000,79493000,8859000,193925000,134620000,26436000,32419000,202784000,282277000,22380000,3686000,18694000,38230000,186190000,4533000,571000,190723000,228953000,103832000,-47535000,-2973000,53324000,53324000,282277000,3519000,434000,4101000,1245000,9299000,-969000,-969000,-969000,-652000,-9012000,60000,60000,-59000,-9779000,-1132000,-1132000,-1132000,10992000,194040000,14698000,0.43722,0.14352,0.04784,0.06599,0.01247,4.17675,2.07934,4.29362,0.68741,0.1828,0.18286,3.82134,2.77,0.76351,0.01702,0.05835
"8","2018_Q2",24.16453125,"Up",73942000,-42133000,31809000,-22068000,-22068000,9741000,-3516000,-3654000,95000,6225000,3841000,-809000,3032000,3032000,3032000,3032000,2283000,2283000,58059000,16179000,16179000,76521000,8662000,193242000,134620000,26260000,32362000,201904000,278425000,20227000,6641000,13586000,30227000,188165000,5141000,1138000,193306000,223533000,104025000,-45304000,-3829000,54892000,54892000,278425000,3032000,560000,3788000,1040000,8420000,-363000,-363000,-363000,-893000,-3613000,20000,20000,-3279000,-6872000,655000,655000,655000,10301000,198165000,11787000,0.43019,0.13174,0.04101,0.05524,0.01089,3.88753,2.53154,4.07223,0.71174,0.15774,0.15342,3.84676,2.8557,0.61321,0.01174,0.04565
"9","2018_Q3",34.0904761904762,"Up",81101000,-45306000,35795000,-20993000,-20993000,14802000,-3575000,-3583000,272000,11227000,11227000,-1908000,9319000,9319000,9319000,9319000,5688000,5688000,76870000,22606000,22606000,105164000,9243000,194134000,134620000,27224000,32290000,203377000,308541000,27837000,13733000,14104000,51837000,186349000,5262000,379000,191611000,243448000,105085000,-36765000,-3227000,65093000,65093000,308541000,9319000,557000,1555000,-13886000,-2455000,-640000,-640000,-640000,-13142000,1.2e+07,587000,587000,1107000,12926000,-2671000,-2671000,-2671000,15359000,194349000,2741000,0.44136,0.18251,0.11491,0.14316,0.0302,0.29413,2.02874,3.74,0.6299,0.48363,0.47034,4.20891,3.37814,0.14225,0.03811,0.01035
"10","2018_Q4",34.1457142857143,"Up",83349000,-47138000,36211000,-23253000,-23253000,12958000,-3568000,-3836000,223000,9390000,9390000,-1436000,7954000,7954000,7954000,7954000,6603000,6603000,89433000,16187000,16187000,112223000,10585000,213523000,146328000,35140000,32055000,224108000,336331000,26161000,8760000,17401000,64161000,188529000,6652000,558000,195181000,259342000,110269000,-29599000,-3681000,76989000,76989000,336331000,7954000,479000,2172000,-15596000,-4991000,-525000,-525000,-525000,-7913000,1.2e+07,172000,172000,-8e+05,10603000,-2301000,-2301000,-2301000,13437000,196529000,-1248000,0.43445,0.15547,0.09543,0.10331,0.02365,-0.1569,1.74908,3.36856,0.58433,0.41046,0.4032,4.30121,3.973,-0.0644,0.03113,-0.00445
