"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.21290322580645,"Down",268248089,-178132021,90116068,-32492713,-12058701,-20434012,57623355,4062706,586517,3476189,61686061,61686061,-19808978,41877083,41877083,41877083,41877083,402624254,381101955,126272547,126272547,177119455,33725210,33725210,739741466,341854037,145087877,28220949,28220949,515162863,1254904329,52234323,52234323,104257581,58001501,58001501,58001501,162259082,419487849,655040546,18116852,1092645247,1092645247,1254904329,41877083,12481581,2096366,18465496,74920526,-27171098,-15311369,-18047886,-18793598,-32738657,978068,-51477718,5394922,5394922,5394922,70104936,0,81208312,0.33594,0.21481,0.15611,0.03833,0.03337,1.93921,7.09533,0.1485,-1.0842021724855e-19,0.1464,0.14587,0.93778,3.81981,0.2839,0.0657,0.05273,0.07058,0.44878,-5.74317,-6.98717
"12","2013_Q1",7.9835,"Up",260349122,-171230430,89118692,-30300010,-11738057,-18561953,58818682,4653819,3490940,1162879,63472501,58472501,-18873867,39598634,39598634,39598634,39598634,450481520,389678664,109579693,109579693,159930266,24671561,24671561,744663040,349938172,141834034,29256089,0,521028295,1265691335,70570590,43200002,87957442,56773337,56773337,56773337,144730779,427350591,676039254,17570711,1120960556,1120960556,1265691335,39598634,12559311,1233865,28004801,81396611,-19825160,-1565317,-58227387,-18557993,3790899.00000001,3790899,-14592515,8576709,8576709,8576709,71377993,-9.31322574615479e-10,98431501,0.3423,0.22592,0.1521,0.03533,0.03129,2.48573,8.46617,0.12911,0,0.13929,0.13883,0.91579,3.94302,0.34624,0.06528,0.04938,0.08358,0.46865,-6.31121,-7.65882
"13","2013_Q2",9.369375,"Up",269498969,-176035466,93463503,-29609864,-10926288,-18683576,63853639,1900273,495413,1404860,65753912,65753912,-20323345,45430567,45430567,45430567,45430567,518504952,442552961,121927126,121927126,130069690,24755707,24755707,795257475,348055549,158211405,28607847,28607847,534874801,1330132276,33001922,33001922,109655312,58029136,58029136,58029136,167684448,438134150,701368056,22945622,1162447828,1162447828,1330132276,45430567,13805949,1739,38184279,97422534,-12665470,-706899,-32881808,-18599926,6592272,6592272,-11666429,52874297,52874297,52874297,77659588,0,123501742,0.3468,0.23693,0.16857,0.03908,0.03415,2.71847,7.25234,0.14425,0,0.15937,0.15876,0.94538,4.07777,0.43323,0.06525,0.05246,0.10119,0.40941,-6.67664,-8.12021
"14","2013_Q3",9.9221875,"Up",286973898,-184361279,102612619,-31016348,-12152166,-18864182,71596271,5532668,625717,4906951,77128939,77128939,-25031542,52097397,52097397,52097397,52097397,595238017,502721765,120187023,120187023,116001970,24044587,24044587,855471597,345931734,136977928,27895756,27895756,510805418,1366277015,43789630,43789630,103883711,55383634,55383634,55383634,159267345,452955188,733268066,20786416,1207009670,1207009670,1366277015,52097397,13760683,-2285954,11290886,74863012,-11386032,175443,-5185589,-20101765,9438521,9438521,-9508618.99999999,60168804,60168804,60168804,85356954,-1.49011611938477e-08,110293350,0.35757,0.24949,0.18154,0.04316,0.03813,2.11706,8.2349,0.13195,0,0.18185,0.18089,1.00171,4.21318,0.38499,0.07017,0.05719,0.08737,0.38585,-6.97352,-8.31381
"15","2013_Q4",12.3240625,"Up",288621626,-182659141,105962485,-32306239,-13199557,-19106682,73656246,7387008,474084,6912924,81043254,81043254,-25522293,55520961,55520961,55520961,55520961,226676955,226676955,152437232,152437232,117406559,27330903,27330903,523851649,351066630,114270623,707939261,370268798,1173276514,1697128163,50339389,50339389,120590431,53730295,53730295,321230295,441820726,464680829,768527760,22098848,1255307437,1255307437,1697128163,55520961,14768345,-5935673,-12973226,51380407,-13658818,-70561,-588550411,-20196338,6495949,6495949,261125194,-276044810,-276044810,-276044810,88424591,267500000,87314840,0.36713,0.2552,0.19237,0.04423,0.03271,1.57265,4.34406,0.35196,0.15762,0.19318,0.19228,1.00422,4.36767,0.3038,0.07027,0.04803,0.05538,0.36376,0.461670000000001,0.55424
"16","2014_Q1",13.4768852459016,"Up",326769678,-198075383,128694295,-33058638,-13218027,-19840611,95635657,8502281,5129503,3372778,104137938,104137938,-34256914,69881024,69881024,69881024,69881024,309591724,309591724,143046590,143046590,120074164,28473764,28473764,601186242,357021225,107005522,698875445,366175000,1162902192,1764088434,97978214,56510321,119980414,50879337,50879337,316504337,436484751,487600459,818027861,21975363,1327603683,1327603683,1764088434,69881024,20519178,-2546164,5818839,93672877,-17283738,28456.9999999999,-6638811,-20262316,15850829,15850829,-4119297,82914768.9999999,82914768.9999999,82914768.9999999,116154835,273125000,138946850,0.39384,0.29267,0.21385,0.05264,0.03961,1.98833,5.0107,0.32878,0.15483,0.24204,0.2399,1.1318,4.59828,0.48125,0.07018,0.05458,0.08413,0.28995,-0.31395,-0.38131
"17","2014_Q2",12.3922222222222,"Down",335739344,-204440537,131298807,-34121261,-13632034,-20489227,97177546,4514544,325158,4189386,101692090,101692090,-33126019,68566071,68566071,68566071,68566071,374688291,374688291,171337311,171337311,128349467,29225906,29225906,703600975,358920465,108967579,693563904,361350000,1161451948,1865052923,64399679,64399679,167121024,49258818,49258818,313008818,480129842,499272749,866166533,19483799,1384923081,1384923081,1865052923,68566071,19825402,-2434350,11764823,97721946,-16382885,-285354,-17299667,-20380923,6227631,6227631,-15325712,65096567,65096567,65096567,117002948,263750000,145510905,0.39107,0.28944,0.20422,0.04951,0.03676,2.1222,4.21013,0.34668,0.14142,0.23657,0.23367,1.15837,4.77829,0.50204,0.07032,0.05239,0.0857,0.29725,-0.94817,-1.1416
"18","2014_Q3",12.4046875,"Up",338436964,-204144736,134292228,-34456790,-14222716,-20234074,99835438,5786565,398005.000000001,5388560,105622003,105622003,-28895257,76726746,76726746,76726746,76726746,391650469,391650469,178281000,178281000,125211874,38564835,38564835,733708178,358316077,109797786,688212038,356525000,1156325901,1890034079,55820675,55820675,128813323,51607443,51607443,313482443,442295766,510728431,919492148,17517734,1447738313,1447738313,1890034079,76726746,19767143,619860,-52730109,44383640,-13830112,-398302,-11169562,-20427399,5349339,5349339,-16251900,16962178,16962178,16962178,119602581,261875000,81937617,0.3968,0.29499,0.22671,0.053,0.0406,1.06791,5.6959,0.30551,0.13856,0.26418,0.26187,1.1653,4.98481,0.28212,0.07033,0.05516,0.04652,0.26624,-1.08506,-1.29989
"19","2014_Q4",14.2553125,"Up",350913912,-212288220,138625692,-35419865,-13747925,-21671940,103205827,786780,406491,380289,103992607,103992607,-31655724,72336883,72336883,72336883,72336883,433486636,433486636,186412048,186412048,135597900,44483202,44483202,799979786,363385115,104108686,682958805,351700000,1150452606,1950432392,68613408,68613408,143113179,49804142,49804142,309804142,452917321,523891482,959485823,14137766,1497515071,1497515071,1950432392,72336883,20155085,1487609,-8631330,85348247,-19746350,-530136,-17055611,-23401131,-2392490,7607467,-26456469,41836167,41836167,41836167,123360912,2.6e+08,126638956,0.39504,0.29411,0.20614,0.0483,0.03709,1.75068,5.58984,0.30245,0.1333,0.24861,0.24699,1.20602,5.14664,0.43523,0.08042,0.05297,0.07007,0.3235,-1.40633,-1.68098
"20","2015_Q1",15.2109836065574,"Up",350410939,-215737971,134672968,-36057605,-14277108,-21780497,98615363,5404427,4887073,517354,104019790,104019790,-33044911,70974879,70974879,70974879,70974879,497429804,497429804,168008704,168008704,141757884,49441302,49441302,856637694,373390992,114642567,677868776,346875000,1165902335,2022540029,104829571,71456983,133431163,59571421,59571421,317696421,451127584,571551360,988548070,11313015,1571412445,1571412445,2022540029,70974879,17628675,15923091,-4757369.00000001,99769276,-22335807,-930987,-34188643,-23422556,20773644,40784569,-1637465,63943168,63943168,63943168,116244038,265625000,122195773,0.38433,0.28143,0.20255,0.04517,0.03509,1.72168,6.42007,0.28708,0.13133,0.24259,0.23826,1.19769,5.37103,0.41766,0.08006,0.04977,0.06443,0.33001,-1.99412,-2.3506
"21","2015_Q2",15.1390476190476,"Down",368937455,-225845046,143092409,-35383903,-13796352,-21587551,107708506,709384,612025,97359,108417890,108417890,-31234449,77183441,77183441,77183441,77183441,549911648,549911648,201782059,201782059,145563949,33509205,33509205,930766861,372616211,115497100,672554933,342050000,1160668244,2091435105,73284660,73284660,163702407,58000242,58000242,314250242,477952649,585150889,1019527620,8803947,1613482456,1613482456,2091435105,77183441,21279105,2290121,7199179,107951846,-15160351,-1150642,-15130941,-23619837,-15917968,9131177,-40339061,52481844,52481844,52481844,128987611,256250000,152260888,0.38785,0.29194,0.2092,0.04784,0.0369,1.97271,5.68572,0.29622,0.12252,0.26161,0.25849,1.2505,5.46885,0.51608,0.08006,0.05229,0.07898,0.30602,-2.27667,-2.72645
"22","2015_Q3",13.83046875,"Down",379258477,-233715046,145543431,-37410601,-15095357,-22315244,108132830,2317343,754052,1563291,110450173,110450173,-35891736,74558437,74558437,74558437,74558437,569896553,569896553,196059680,196059680,150772495,38483395,38483395,955212123,375320843,114740646,667267418,337225000,1157328907,2112541030,69936200,69936200,155308717,55852607,55852607,310227607,465536324,593297066,1046567738,7139902,1647004706,1647004706,2112541030,74558437,21192122,536813.000000002,-12351497,83935875,-18429478,66350,-18677488,-23574089,-20379809,4678242,-45273482,19984905,19984905,19984905,129324952,254375000,134435713,0.38376,0.28512,0.19659,0.04527,0.03529,1.80309,6.15041,0.28266,0.12041,0.25364,0.25065,1.29018,5.60285,0.45733,0.0802,0.05014,0.06869,0.31618,-2.43976,-2.91791
"23","2015_Q4",14.1378125,"Up",389829139,-237932439,151896700,-35634080,-14128619,-21505461,116262620,-214878,495468,-710346,116047742,116047742,-37715317,78332425,78332425,78332425,78332425,564528197,564528197,208203616,208203616,164604063,41867345,41867345,979203221,388188954,94424586,662194610,332400000,1144808150,2124011371,83892258,83892258,181629886,43785884,43785884,271285884,452915770,601958202,1070899025,-1761626,1671095601,1671095601,2124011371,78332425,21237868,-5759995,-2536439,91273859,-28692994,-847274,-18999108,-24956211,-26594319,6198939,-77643107,-5368356,-5368356,-5368356,137500488,227500000,143986372,0.38965,0.29824,0.20094,0.04687,0.03688,1.83815,5.3912,0.27103,0.10711,0.26772,0.26519,1.33234,5.71139,0.49211,0.08529,0.05318,0.07413,0.31859,-2.45111,-2.89885
"24","2016_Q1",12.8088524590164,"Down",405592635,-242349123,163243512,-36581029,-13596366,-22984663,126662483,2013168,3129266,-1116098,128675651,128675651,-40280095,88395556,88395556,88395556,88395556,556104882,551557527,195969400,195969400,174695411,57239099,57239099,984008792,412720270,95156539,656787327,327575000,1164664136,2148672928,100585976,66353774,131006546,69524621,69524621,295149621,426156167,614262976,1109384621,-1130836,1722516761,1722516761,2148672928,88395556,16890072,30906679,-64937735,71254572,-35615395,-911069,-36930124,-24840302,-18168233,10160138,-47295118,-12970670,-12970670,-12970670,143552555,233125000,83279520,0.40248,0.31229,0.21794,0.05132,0.04114,0.94212,7.51114,0.2474,0.1085,0.30397,0.30116,1.39472,5.92326,0.28638,0.08542,0.05591,0.04112,0.28101,-2.24991,-2.54993
"25","2016_Q2",14.05953125,"Up",405567786,-246876998,158690788,-37841798,-14750589,-23091209,120848990,-1279378,790041,-2069419,119569612,119569612,-39289618,80279994,80279994,80279994,80279994,636065982,626470720,223989470,223989470,188624776,11465302,11465302,1060145530,414695494,71063732,651407365,322750000,1137166591,2197312121,79419180,79419180,195323204,44283828,44283828,253033828,448357032,624626227,1126220944,-1892082,1748955089,1748955089,2197312121,80279994,22839030,3600375,45149129,151868528,-19812368,135904,-1413636,-24759481,-33907218,10678450,-75541699,74913193,74913193,74913193,143688020,208750000,208314399,0.39128,0.29797,0.19794,0.0459,0.03654,2.59485,5.42765,0.25636,0.095,0.27758,0.27558,1.40233,6.04734,0.72029,0.08561,0.05247,0.10405,0.30841,-2.97392,-3.53595
"26","2016_Q3",15.38375,"Up",423800778,-257028219,166772559,-38026838,-14955050,-23071788,128745721,-1137011,774102,-1911113,127608710,127608710,-41123468,86485242,86485242,86485242,86485242,644829496,499493964,219442950,219442950,176226597,15104858,15104858,1055603901,431695399,73457358,646502548,317925000,1151655305,2207259206,81823157,81823157,169083833,46377195,46377195,253252195,422336028,655592119,1132806657,-3475598,1784923178,1784923178,2207259206,86485242,22950757,6956836,-13131409,103261426,-34503497,-2423636,-174703278,-24575020,-29084884,18604319,-55534904,-126976756,-126976756,-126976756,151696478,206875000,145185040,0.39352,0.30379,0.20407,0.04845,0.03918,1.67873,6.24308,0.23661,0.09372,0.29946,0.29673,1.46744,6.18042,0.50271,0.08509,0.05449,0.07123,0.28415,-2.88704,-3.4017
"27","2016_Q4",16.2861904761905,"Up",429643276,-255821376,173821900,-39609619,-16024504,-23585115,134212281,115701,916556,-800855,134327982,134327982,-42263336,92064646,92064646,92064646,92064646,686754034,534518281,229236789,229236789,179353603,13471694,13471694,1108816120,450781365,57458514,641217673,313100000,1149457552,2258273672,71000819,71000819,156479263,50529019,50529019,245529019,402008282,672566246,1184141924,-442780,1856265390,1856265390,2258273672,92064646,23063974,7277549,-21119469,101286700,-36664697,-128878,-24203699,-25883191,-4300493,26166259,-42058684,35024317,35024317,35024317,157276255,1.95e+08,141755425,0.40457,0.31238,0.21428,0.0496,0.04077,1.53974,7.08603,0.21657,0.08635,0.31996,0.31697,1.49318,6.45127,0.49266,0.08995,0.05612,0.06744,0.28114,-3.12669,-3.664
"28","2017_Q1",18.8629032258065,"Up",419912916,-250745919,169166997,-41231054,-16741134,-24489920,127935943,1118526,2306429,-1187903,129054469,129054469,-40293075,88761394,88761394,88761394,88761394,723498272,546477075,211591745,211591745,189311437,30587575,30587575,1154989029,465822467,49894363,638913974,308275000,1154630804,2309619833,79963630,79963630,149857979,71212620,71212620,249337620,399195599,700710714,1210984825,-1271305,1910424234,1910424234,2309619833,88761394,19733669,24470328,-12333860,120631531,-29309861,-4861556,-51125495,-25913664,-14758578,25861020,-57547242,11958794,11958794,11958794,147669612,178125000,146318966,0.40286,0.30467,0.21138,0.04646,0.03843,1.64845,7.70722,0.20896,0.07712,0.30822,0.30496,1.45811,6.63377,0.50808,0.08998,0.0531,0.06775,0.29195,-3.6932,-4.26286
"29","2017_Q2",17.5914285714286,"Down",453535250,-277734465,175800785,-41373665,-16221408,-25152257,134427120,437784,1472527,-1034743,134864904,134864904,-37308163,97556741,97556741,97556741,97556741,736281428,559645625,249457918,249457918,197088251,11730076,11730076,1194557673,473151849,61512162,634070982,303450000,1168734993,2363292666,77714280,77714280,274355864,77915264,77915264,114165264,388521128,719247328,1254778976,745234,1974771538,1974771538,2363292666,97556741,25181854,10101644,-1649068,131191171,-27104992,-588361,-36502091,-25896377,-13749153,17237232,-81520530,13168550,13168550,13168550,159608974,36250000,168163077,0.38762,0.2964,0.2151,0.0494,0.04128,1.72375,4.35404,0.19674,0.01534,0.33944,0.33469,1.57801,6.87095,0.5851,0.0901,0.0591,0.0805,0.26545,-4.38592,-5.20752
"30","2017_Q3",16.498253968254,"Down",443139073,-275931278,167207795,-41343281,-16099871,-25243410,125864514,2079249,1736138,343111,127943763,127943763,-39407816,88535947,88535947,88535947,88535947,765132594,580579352,229250339,229250339,196540222,13775396,13775396,1204698551,482588291,49260381,627546573,298625000,1159395245,2364093796,82920929,82920929,271140517,79641856,79641856,89016856,360157373,723853402,1276901865,3181156,2003936423,2003936423,2364093796,88535947,25246466,5385301,13198834,132366548,-29024177,2371935,-20780171,-25899817,-37877833,4692668,-90652650,20933727,20933727,20933727,151110980,9375000.00000001,174693453,0.37733,0.28403,0.19979,0.04418,0.03745,1.97314,4.44308,0.17972,0.00397,0.30879,0.30546,1.54553,6.98912,0.60928,0.09033,0.05468,0.08347,0.29253,-5.00134,-6.00453
"31","2017_Q4",18.1368253968254,"Up",438627786,-267398126,171229660,-42157008,-17386729,-24770279,129072652,1759391,2139387,-379996,130832043,130832043,-40601708,90230335,90230335,90230335,90230335,740650696,561999767,240505816,240505816,206657817,16047166,16047166,1203861495,493663599,51663435,622442665,293800000,1167769699,2371631194,79903534,79903534,264922840,80443155,80443155,80443155,345365995,730663165,1289596619,6005415,2026265199,2026265199,2371631194,90230335,24430231,3668291,-29330482,88998375,-29789911,648746,-23278169,-28620863,-46303928,9966852,-84299791,-18579585,-18579585,-18579585,153502883,0,134984198,0.39038,0.29426,0.20571,0.04453,0.03805,1.496,4.5442,0.17044,0,0.31697,0.31437,1.54087,7.11815,0.47419,0.10054,0.05642,0.06407,0.3172,-4.825,-5.73825
"32","2018_Q1",20.8490163934426,"Up",459570469,-279280443,180290026,-46295960,-21735468,-24560492,133994066,4161928,4094335,67593,138155994,138155994,-7687095,130468899,130468899,130468899,130468899,722272550,569734496,231121788,231121788,216765583,14403902,14403902,1184563823,492479330,57782418,617228341,288975000,1167490089,2352053912,89898467,89898467,243647007,58888644,58888644,58888644,302535651,740327551,1301997327,7193383,2049518261,2049518261,2352053912,130468899,24712357,-16597204,9862633.99999999,148446686,-17872082,213709,2847861,-28397983,-85661835,15873715,-143559818,7734728.99999999,7734728.99999999,7734728.99999999,158706423,7.8e+07,158384070,0.3923,0.29156,0.28389,0.06366,0.05547,1.21396,4.8618,0.14761,0.03316,0.45832,0.45849,1.61442,7.19971,0.55638,0.09976,0.07266,0.07244,0.21766,-4.05952,-4.80822
"33","2018_Q2",21.835,"Up",465420105,-292791704,172628401,-44113068,-18063810,-26049258,128515333,3244598,2037605,1206993,131759931,131759931,-20511188,111248743,111248743,111248743,111248743,627710069.746989,463531194.880783,226808236.744006,226808236.744006,216871821.334135,17222988.8596206,17222988.8596206,1088613116.68475,496020258.018249,100503501.419886,612589857.587413,284150267.744114,1209113617.02555,2297726733.7103,107801840.055837,105456889.342562,233214362.65586,52888252.5816889,52983289.5696252,53685814.092601,286900176.748461,756153066.154307,1250758879.71002,3914611.09751002,2010826556.96184,2010826556.96184,2297726733.7103,111248743,28046434,519386,7634485,147449048,-26180490,45322,29473479,-28028132,-166305331,36267047,-222333463,-45410936,-45410936,-45410936,156561767,0,158526950,0.37091,0.27613,0.23903,0.063666688758407,0.0555977474487446,1.42498,4.64592158545455,0.143006197252807,0.0329480086813381,0.40489,0.40088,1.69392,7.19723439624262,0.57697,0.10201,0.0734780766749943,0.0849773178545232,0.25194,-3.48975763878177,-4.19309178352069
"34","2018_Q3",21.3949206349206,"Down",454981440,-282176968,172804472,-46121468,-18921003,-27200465,126683004,2289774,2844133,-554359,128972778,128972778,-19948796,109023982,109023982,109023982,109023982,467719947,296699141,239406379,239406379,212375655,23575408,23575408,943077389,499673418,141305695,608052782,279325000,1249031895,2192109284,106784447,106784447,214434674,56175298,56175298,56175298,270609972,764930202,1157048214,-479104,1921499312,1921499312,2192109284,109023982,27862245,4554038,3495241,144935506,-25500258,-3011103,-185656947,-30123981,-129903997,16729546,-186902978,-227624419,-227624419,-227624419,154545249,23125000,152489028,0.37981,0.27844,0.23962,0.05674,0.04973,1.39867,4.39797,0.14083,0.01055,0.4012,0.39772,1.67428,7.07091,0.56114,0.11085,0.06955,0.07621,0.27631,-2.87679,-3.50951
