"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",34.4414285714286,"Up",124782000,-74887000,49895000,-57787000,-29255000,-28532000,-7892000,-603000,-815000,212000,-8495000,-46177000,-58000,-46235000,-46235000,-46235000,-46235000,66918000,66918000,84840000,84840000,35450000,10303000,7702000,197511000,12807000,15184000,2215000,1554000,11415000,27991000,225502000,114669000,65498000,30822000,30822000,145491000,47406000,38802000,8604000,70449000,215940000,34306000,-290279000,9562000,9562000,225502000,-46235000,1303000,40932000,4979000,979000,-2085000,-5099000,869000,869000,869000,-3251000,-3251000,-3251000,-6589000,23043000,-3637000,0.39986,-0.06325,-0.37053,-4.83529,-0.20503,0.07866,1.35755,22.58314,0.10219,-8.79026,-8.79026,23.72373,-48.66596,-0.69147,-0.57786,-0.04546,6.65883,5.55943
"2","2018_Q1",41.1586885245902,"Up",188261000,-114800000,73461000,-63967000,-32672000,-31295000,9494000.00000001,-44000,-326000,282000,9450000,7112000,-171000,6941000,6941000,6941000,6941000,177250000,177250000,120553000,120553000,32740000,14374000,11367000,344917000,14736000,12244000,2030000,1382000,8832000,26980000,371897000,128757000,72344000,34501000,34501000,163258000,56360000,48511000,7849000,56360000,219618000,435617000,-283338000,152279000,152279000,371897000,6941000,1453000,6270000,-8564000,6100000,-2558000,-2669000,132347000,132347000,106901000,110332000,110332000,110332000,10947000,0,-4000.00000000745,0.39021,0.05043,0.03687,0.0455800000000002,0.01866,-0.000580000000002204,2.11271,1.44221,0,0.0706500000000005,0.070649999999997,1.91633,1.55007,-4.000000000004e-05,0.0332699999999999,-2.00000000000755e-05,-16.19165,-18.66969
"3","2018_Q2",36.47921875,"Down",136576000,-73464000,63112000,-70014000,-35888000,-34126000,-6902000,397000,-51000,448000,-6505000,-6505000,-129000,-6634000,-6634000,-6634000,-6634000,160750000,160750000,106094000,106094000,38062000,31905000,30546000,336811000,16835000,6834000,1892000,1382000,3560000,23669000,360480000,111776000,111776000,33948000,33948000,145724000,21280000,13549000,7731000,21280000,167004000,445149000,-251673000,193476000,193476000,360480000,-6634000,1656000,4759000,-14418000,-14637000,-3407000,-3407000,1544000,1544000,1544000,-16500000,-16500000,-16500000,-5246000,0,-22942000,0.4621,-0.05054,-0.04857,-0.03429,-0.0184,3.45825,2.31129,0.86318,0,-0.06668,-0.06668,1.37279,1.94472,-0.2306,-0.03089,-0.10683,30.64239,23.29035
"4","2018_Q3",57.2726984126984,"Up",156810000,-79058000,77752000,-77884000,-37688000,-40196000,-132000.000000002,304000,-57000,361000,171999.999999998,172000,354000,526000,526000,526000,526000,174167000,174167000,123612000,123612000,39431000,16570000,15131000,353780000,20212000,7676000,1754000,1382000,4540000,27888000,381668000,111026000,111026000,39151000,39151000,150177000,19726000,12435000,7291000,19726000,169903000,462912000,-251147000,211765000,211765000,381668000,525999.999999998,1950000,5650000,-4957000,3169000,-5606000,-5606000,15854000,15854000,15854000,13417000,13417000,13417000,1818000,2.3283064365387e-10,-9099000,0.49584,-0.00084,0.00335,0.00248000000000002,0.00138000000000001,-17.29848,2.35575,0.80232,0,0.00511999999999997,0.00431999999999973,1.52759,2.06294,-0.08864,0.00227,-0.03931,-95.80143,1319.44697
"5","2018_Q4",47.1296825396825,"Down",173381000,-94388000,78993000,-90742000,-45372000,-45370000,-11749000,2050000,-112000,2162000,-9699000,-9699000,172000,-9527000,-9527000,-9527000,-9527000,179727000,137670000,133895000,133895000,68803000,15371000,13867000,397796000,23260000,7302000,1615000,1382000,4305000,30562000,428358000,147255000,147255000,38543000,38543000,185798000,20684000,13376000,7308000,20684000,206482000,482557000,-260674000,221876000,221876000,428358000,-9527000,2218000,12093000,-2613000,2171000,-4350000,-46250000,8082000,8082000,7582000,-36497000,-36497000,-36497000,-9531000,0,-16666000,0.4556,-0.06776,-0.05495,-0.04294,-0.02224,1.74934,2.14101,0.93062,0,-0.08913,-0.08913,1.62214,2.07586,-0.15593,-0.03928,-0.06871,18.8571,15.29722
"6","2019_Q1",53.4875409836066,"Up",275739000,-163448000,112291000,-106804000,-55804000,-5.1e+07,5487000,1212000,-126000,1338000,6699000,6699000,79000,6778000,6778000,6778000,6778000,197710000,155564000,183078000,183078000,35585000,16562000,15374000,432935000,25264000,6798000,1477000,1382000,3939000,32062000,464997000,148562000,91986000,45442000,45442000,194004000,26342000,19594000,6748000,26342000,220346000,498564000,-253896000,244651000,244651000,464997000,6778000,2565000,17513000,-3637000,23219000,-4964000,-4870000,-455000,-455000,-454999.999999993,17894000,17894000,17894000,8052000,-5.82076609134674e-11,-628000,0.40724,0.0199,0.02458,0.0277,0.01458,-0.0926500000000028,2.23158,0.90065,0,0.06193,0.07498,2.51936,2.23532,-0.00574000000000002,0.02501,-0.00232,-24.55415,-36.0324400000003
"7","2019_Q2",80.277619047619,"Up",206662000,-105771000,100891000,-111631000,-55893000,-55738000,-10740000,869000,-98000,967000,-9871000,-9871000,139000,-9732000,-9732000,-9732000,-9732000,263901000,236500000,174195000,174195000,33398000,48874000,21888000,520368000,30777000,76987000,1338000,1382000,74267000,107764000,628132000,146923000,146923000,41939000,41939000,188862000,78336000,15297000,63039000,78336000,267198000,624561000,-263628000,360934000,360934000,628132000,-9732000,2849000,18207000,-22028000,-10704000,-5071000,9874000,10091000,10091000,108116000,107286000,107286000,107286000,-7891000,0,-35129000,0.48819,-0.05197,-0.04709,-0.02696,-0.01549,3.60964,2.75528,0.7403,0,-0.08777,-0.08777,1.86389,3.25526,-0.31683,-0.02215,-0.07997,33.44329,24.57179
"8","2019_Q3",122.30125,"Up",250101000,-135892000,114209000,-124595000,-62601000,-61994000,-10386000,669000,-571000,1240000,-9717000,-9717000,384000,-9333000,-9333000,-9333000,-9333000,386496000,375509000,204037000,204037000,39443000,19975000,19063000,649951000,48402000,122472000,1200000,1382000,119890000,170874000,820825000,201732000,201732000,36536000,36536000,238268000,121875000,13889000,107986000,121875000,360143000,733639000,-272961000,460682000,460682000,820825000,-9333000,2828000,18528000,12715000,24738000,-18100000,-1600000,9054000,9054000,90389000,113527000,113527000,113527000,-7558000,-9.31322574615479e-10,-13327000,0.45665,-0.04153,-0.03732,-0.02026,-0.01137,1.42794,2.72781,0.78176,0,-0.08145,-0.08145,2.18255,4.02023,-0.1163,-0.01602,-0.02288,51.13734,37.21317
"9","2019_Q4",137.43203125,"Up",260928000,-142451000,118477000,-145026000,-76539000,-68487000,-26549000,1298000,-767000,2065000,-25251000,-25251000,96000,-25155000,-25155000,-25155000,-25155000,387495000,385999000,196044000,196044000,73531000,29821000,28908000,686891000,61878000,148536000,1061000,1382000,146093000,210414000,897305000,241519000,241519000,35912000,35912000,277431000,156097000,12932000,143165000,156097000,433528000,761895000,-298116000,463777000,463777000,897305000,-25155000,3493000,24067000,7848000,10253000,-14883000,-5383000,5620000,5620000,5620000,10490000,10490000,10490000,-23056000,0,-30187000,0.45406,-0.10175,-0.09641,-0.05424,-0.02803,1.20004,2.4759,0.93478,0,-0.21551,-0.21551,2.23543,3.97328,-0.25862,-0.04058,-0.0487,16.80669,14.59546
"10","2020_Q1",115.111129032258,"Down",411230000,-249583000,161647000,-179031000,-100239000,-78792000,-17384000,1304000,-930000,2234000,-16080000,-16080000,363000,-15717000,-15717000,-15717000,-15717000,515479000,515479000,332673000,332673000,49714000,27797000,25943000,925663000,103262000,441309000,76668000,74116000,290525000,544571000,1470234000,313574000,198347000,39861000,39861000,358301000,318765000,15370000,303395000,413507000,771808000,1012230000,-313833000,698426000,698426000,1470234000,-15717000,6499000,51420000,-52782000,-10580000,-46554000,-113186000,3416000,3416000,254203000,130437000,130437000,130466000,-10885000,99608000,-110584000,0.39308,-0.04227,-0.03822,-0.0225,-0.01069,7.03595,2.58348,1.10507,0.06775,-0.13243,-0.13243,3.46503,5.88495,-0.93178,-0.01407,-0.09902,38.20588,23.92263
