"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",2.4340625,"Down",60579000,-51400000,9179000,-14025000,-14025000,-4846000,-3907000,-3907000,-8753000,-8753000,-69000,-8822000,-8822000,-8822000,-8822000,226497209.592616,226497209.592616,-70929343.2128448,-70929343.2128448,-2147720.20751934,-65894775.5223585,-4522988.39251327,87525370.649893,127717600.83389,4176141.48365362,2979101.26345612,131893742.317544,219419112.967437,19251828.0120634,-6459474.31410727,25711302.3261707,-111632963.374586,-4036568.98984347,4768877.25594715,-8805446.24579062,207540051.133643,95907087.7590571,100769549.828594,23205809.2723798,123512025.20838,123512025.20838,219419112.967437,-8822000,4898000,3436000,23314000,22826000,-1875000,-1850000,-137000,53000,55000,-2000,-84000,20892000,20892000,20892000,52000,0,21560000,0.15152,-0.07999,-0.14563,0.231263924894969,0.0867318301902781,-2.44389,4.47347910138734,0.686371585300178,0.314052481725815,-0.07252,-0.07252,0.49795,1.02185243064973,0.17722,0.103015652552283,0.555981211417964,20.2430062557183,43.4485402292471
"2","2011_Q1",3.40709677419355,"Up",75272000,-56720000,18552000,-15459000,-15459000,3093000,-3711000,-3711000,-618000,-618000,106000,-512000,-512000,-512000,-512000,27270000,27270000,53332000,53332000,29021000,2613000,1539000,112236000,126857000,8722000,1885000,135579000,247815000,45589000,15107000,30482000,49617000,11083000,3614000,7469000,95276000,144893000,99060000,4046000,102922000,102922000,247815000,-512000,4793000,3372000,-19773000,-12120000,-3703000,-3668000,-141000,49000,-18000,67000.0000000005,-92000.0000000009,-15880000,-15880000,-15880000,7886000,84783000,-15696000,0.24647,0.04109,-0.0068,-0.00497,-0.00207,30.65625,2.26205,1.40779,0.34212,-0.00421000000000001,-0.00421000000000001,0.61864,0.84588,-0.129,-0.00258,-0.07896,7.29305,18.59457
"3","2011_Q2",3.66222222222222,"Up",69006000,-45977000,23029000,-16657000,-16657000,6372000,-3963000,-3963000,2409000,2409000,2648000,5057000,5057000,5057000,5057000,-16846736.5308719,-16846736.5308719,75859114.4042816,75859114.4042816,40420656.7358398,16374341.8407862,3415246.13083776,115807376.450036,125080716.388703,11056952.8387821,1409049.57884796,136137669.227485,251945045.677521,46721890.6626455,19680241.4380358,27041649.2246098,114845571.124862,14063356.3299478,3485290.91468428,10578065.4152635,34746899.6221189,149592470.746981,98590233.3904688,3807230.24254006,102352574.93054,102352574.93054,251945045.677521,5057000,4895000,3252000,-22613000,-9409000,-2266000,-2248000,-2542000,-1057000,837000,-1894000,-3599000,-15256000,-15256000,-15256000,11267000,0,-16260000,0.33372,0.09234,0.07328,-0.0393229749649895,-0.0140122767300927,-3.21535,1.20023029953755,1.46011863823327,0.354578339424728,0.04133,0.03757,0.56403,0.834991689783424,-0.1329,-0.0169177175174275,-0.144288737139321,4.41803458142722,10.5402624235843
"4","2011_Q3",2.37140625,"Down",78406000,-54863000,23543000,-17364000,-17364000,6179000,-4011000,-4011000,2168000,2168000,-61999.9999999995,2106000,2106000,2106000,2106000,19416000,19416000,46902000,46902000,39036000,3952000,2861000,109306000,122509000,11815000,1253000,134324000,243630000,35495000,15011000,20484000,122467000,11062000,3791000,7271000,11062000,133529000,98892000,11209000,110101000,110101000,243630000,2106000,4944000,3106000,2522000,12678000,-2598000,-4582000,0,-694000,449000,-1143000,-694000,7402000,7402000,7402000,11123000,86887000,11109000,0.30027,0.07881,0.02686,0.01913,0.00864000000000001,5.27493,0.89253,1.21279,0.35664,0.0171,0.01536,0.63649,0.89379,0.09018,0.01012,0.0534,6.0659,10.9194
"5","2011_Q4",2.49126984126984,"Up",67916000,-50644000,17272000,-12991000,-12991000,4281000,-4795000,-4795000,-514000,-514000,18000,-496000,-496000,-496000,-496000,50216000,50216000,14332000,14332000,32993000,3146000,1870000,100687000,119169000,11513000,953000,130682000,231369000,27280000,9954000,17326000,111630000,9490000,3791000,5699000,9490000,121120000,99536000,10713000,110249000,110249000,231369000,-496000,4946000,3853000,29591000,37894000,-1268000,-1240000,0,28000,59000,-31000,-5854000,30800000,30800000,30800000,9227000,84265000,37532000,0.25431,0.06303,-0.0073,-0.0045,-0.00214,-75.66935,0.90197,1.0986,0.3642,-0.00402,-0.00402,0.55025,0.89323,0.30408,-0.00243,0.18398,3.69015,7.95352
"6","2012_Q1",3.33629032258065,"Up",51461000,-52514000,-1053000,-13608000,-13608000,-14661000,-3595000,-3595000,-18256000,-18256000,1000,-18255000,-18255000,-18255000,-18255000,4526000,4526000,29192000,29192000,28896000,39440000,2118000,102054000,115212000,10824000,266000,126036000,228090000,34079000,11892000,22187000,120504000,15087000,2943000,12144000,15087000,135591000,100041000,-7542000,92499000,92499000,228090000,-18255000,3385000,4970000,2584000,-7315999.99999999,-1259000,-1297000,-1.86264514923096e-09,58000,82000,-24000,-37077000,-45690000,-45690000,-45690000,-11276000,86425000,-9952000.00000001,-0.02046,-0.2849,-0.35473,-0.19735,-0.08003,0.545169999999999,0.84689,1.46586,0.37891,-0.14784,-0.18752,0.41677,0.74913,-0.0806,-0.09409,-0.0513,-7.26313,-5.58618
"7","2012_Q2",3.75047619047619,"Up",96100000,-60681000,35419000,-18601000,-18601000,16818000,-4411000,-4411000,12407000,12407000,-96000,12311000,12311000,12311000,12311000,4831000,4831000,103381000,103381000,18665000,27009000,1681000,153886000,112214000,11525000,969000,123739000,277625000,33405000,11908000,21497000,159293000,13896000,2943000,10953000,13896000,173189000,99667000,4769000,104436000,104436000,277625000,12311000,4395000,3477000,-65572000,-45389000,-1184000,-1167000,36700000,-1110000,412000,-1522000,46861000,305000,305000,305000,21213000,89150000,-45447000,0.36856,0.17501,0.12811,0.11788,0.04434,-3.69158,0.96606,1.65833,0.32112,0.09945,0.09205,0.77631,0.84365,-0.36713,0.05934,-0.21904,3.97487,5.01362
"8","2012_Q3",3.75365079365079,"Up",94279000,-60688000,33591000,-20866000,-20866000,12725000,-4299000,-4299000,8426000,8426000,-86000,8340000,8340000,8340000,8340000,50571000,50571000,48852000,48852000,13438000,48132000,1597000,160993000,109830000,11759000,1205000,121589000,282582000,40404000,13584000,26820000,157279000,12784000,2943000,9841000,12784000,170063000,99411000,13108000,112519000,112519000,282582000,8340000,4309000,3368000,65319000,81336000,-1754000,-1725000,-11700000,-1212000,50000,-1262000,-33871000,45740000,45740000,45740000,17034000,91875000,80685000,0.35629,0.13497,0.0884599999999999,0.07412,0.02951,9.67446,1.02361,1.51142,0.32513,0.06695,0.06057,0.75684,0.90326,0.64771,0.0384,0.37152,2.4248,3.24589
"9","2012_Q4",4.64532258064516,"Up",70820000,-68674000,2146000,-15837000,-15837000,-13691000,-153000,-153000,-13844000,-13844000,-468000,-14312000,-14312000,-14312000,-14312000,2500000,2500000,32813000,32813000,8601000,2343000,1680000,46257000,106512000,11656000,1104000,118168000,164425000,36875000,9704000,27171000,38875000,27343000,2943000,24400000,27343000,66218000,99410000,-1203000,98207000,98207000,164425000,-14312000,4197000,2783000,31761000,24429000,-2701000,-2671000,-114875000,-892000,109000,-1001000,-69829000,-48071000,-48071000,-48071000,-9494000,0,20034000,0.0303,-0.19332,-0.20209,-0.14573,-0.08704,-1.3998,1.18989,0.67427,0,-0.10722,-0.10458,0.53054,0.7357,0.15008,-0.11399,0.15957,0.26332,0.1826
"10","2013_Q1",5.612,"Up",46155000,-32729000,13426000,-16603000,-16603000,-3177000,-83000,-83000,-3260000,-3260000,-359000,-3619000,-3619000,-3619000,-3619000,2159000,2159000,26542000,26542000,17521000,6415000,2188000,52637000,104425000,11553000,1003000,115978000,168615000,37479000,11161000,26318000,42479000,32150000,7353000,24797000,32150000,74629000,98808000,-4822000,93986000,93986000,168615000,-3619000,4108000,1504000,-1926000.00000001,66999.9999999925,-1951000,-1921000,3e+06,-1487000,250000,-1737000,1513000,-341000,-341000,-341000,931000,7.45058059692383e-09,-2587000.00000001,0.29089,-0.06883,-0.07841,-0.03851,-0.02146,0.714840000000001,1.23913,0.79404,2.77555756156289e-17,-0.02699,-0.02626,0.34416,0.70082,-0.01929,-0.02869,-0.02051,-2.31901,0.67957
