"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.926875,"Down",140966000,-80276000,60690000,-38393000,-20543000,-16672000,-1178000,22297000,1223000,1223000,23520000,23520000,-5964000,17556000,19948000,19948000,19948000,187151217.8858,137770105.187278,49381112.6985215,114495771.353283,114495771.353283,37224247.614096,31325006.6160487,11473785.4461244,370196243.469227,34964596.8380196,118023092.406385,51110587.7981558,6679416.48457554,9114829.98219602,152987689.244405,523183932.713632,132202928.949369,82549730.1523003,27283181.5628141,22370017.234255,-10466791.8641975,-10999153.4881378,532361.798558964,121736004.419062,27473601.3436311,3507547.2328457,24018485.5801426,27473601.3436311,149209605.762693,283042631.705575,67787227.7988753,23144467.4464885,373974326.950939,373974326.950939,523183932.713632,19948000,2937000,861000,-36437000,-12691000,-3989000,-3989000,-3989000,-2705000,-15000,932000,-14464000,-14464000,-765000,-15229000,25234000,0,-9228000,0.43053,0.15817,0.14151,0.137241661604144,0.0996680813842161,-0.4626,2.84528819191514,0.401282087118786,-2.0428967346175e-07,0.46119,0.4547,3.2591,8.71223851218845,-0.21335,0.126931094106367,0.143910024476052,23.9163666570566,190.055794208347
"2","2011_Q1",15.1309677419355,"Up",148654000,-83911000,64743000,-40782000,-24588000,-15275000,-919000,23961000,393000,-146000,24354000,24354000,-4624000,19730000,31408000,31408000,31408000,140554000,130914000,9640000,119893000,119893000,77593000,23727000,10156000,361767000,34569000,108821000,48360000,3166000,8874000,143390000,505157000,90133000,56185000,3602000,30346000,12192000,6803000,5389000,102325000,28864000,5155000,23709000,28864000,131189000,258441000,88453000,27074000,373968000,373968000,505157000,31408000,3090000,-4778000,5226000,34946000,-12011000,-12011000,-12011000,-7463000,-21000,108000,27591000,27591000,1757000,29348000,27051000,0,24890000,0.43553,0.16119,0.21128,0.08399,0.06217,0.79247,3.53547,0.3508,0,0.72511,0.71713,3.43193,8.63368,0.57463,0.07797,0.06179,-5.19589,-5.86595
"3","2011_Q2",14.3611111111111,"Down",137652000,-75607000,62045000,-37688000,-20905000,-15862000,-921000,24357000,663000,663000,25020000,25020000,-6254000,18766000,18906000,18906000,18906000,133081594.038067,132065048.270907,1016545.7671595,125162576.215572,125162576.215572,96729584.1286347,20774914.4613171,10573571.5179585,375748668.843591,36033717.7206601,106351219.197872,46981887.4006147,3400361.17180815,8781640.00593466,142384936.918532,518133605.762123,74862523.6835435,47711506.6158999,-1589560.52093804,28740577.5885817,20978847.2880658,12291884.4960459,8686962.73381368,95841415.1936459,29530549.552123,5447984.2557181,24065088.1399525,29530549.552123,125371964.745769,257158456.098142,106902424.067042,28700760.8511705,392761641.016354,392761641.016354,518133605.762123,18906000,3263000,3116000,-22570000,2715000,-4412000,-4428000,-4428000,-2390000,-88000,1494000,1819000,1819000,-315000,1504000,27620000,0,6892000,0.45074,0.17695,0.13735,0.0518336127986188,0.0391873062052613,0.36454,3.92905476936162,0.319514304293738,6.80965578205835e-08,0.43522,0.42839,3.16878,9.01790799593718,0.15866,0.0482679686312108,0.0287416585079828,-11.2900622190189,-44.1378472361155
"4","2011_Q3",10.3840625,"Down",138154000,-82777000,55377000,-38059000,-20001000,-17137000,-921000,17318000,92000,92000,17410000,17410000,-3898000,13512000,13586000,13586000,13586000,145688000,135564000,10124000,128802000,128802000,100392000,21766000,11689000,396648000,38408000,106948000,46515000,5059000,8795000,145356000,542004000,74303000,48828000,2967000,22508000,21655000,11013000,10642000,95958000,30393000,5176000,25217000,30393000,126351000,265879000,120945000,28829000,415653000,415653000,542004000,13586000,3550000,2899000,-9246000,10789000,-4245000,-4229000,-4229000,-6715000,-476000,-266000,3808000,3808000,-662000,3146000,20868000,3.5527136788005e-15,11275000,0.40084,0.12535,0.09834,0.03269,0.02507,0.8299,4.13356,0.30398,0,0.31181,0.30747,3.17078,9.53967,0.25877,0.03046,0.02528,-6.98141,-8.41252000000003
"5","2011_Q4",9.4468253968254,"Down",128498000,-79651000,48847000,-35054000,-16473000,-17592000,-989000,13793000,-259000,-259000,13534000,10415000,-3244000,7171000,6592000,6592000,6592000,154922000,132253000,22669000,132048000,132048000,92822000,26652000,12393000,406444000,40837000,106149000,46515000,5176000,8868000,146986000,553430000,75163000,50559000,7387000,17217000,21395000,10145000,11250000,96558000,31775000,5271000,26504000,31775000,128333000,269029000,127535000,28533000,425097000,425097000,553430000,6592000,3753000,6238000,-3435000,13148000,-5972000,-5972000,-5972000,-18497000,-8000,-147000,-5496000,-5496000,2185000,-3311000,17546000,0,11383000,0.38014,0.10734,0.0513,0.01551,0.01191,1.72679,4.20932,0.30189,0,0.15142,0.15034,2.95167,9.76471,0.26147,0.01443,0.02492,-8.82948,-11.23193
"6","2012_Q1",11.653064516129,"Up",112495000,-73607000,38888000,-37757000,-22343000,-14393000,-1021000,1131000,721000,552000,1852000,-2377000,-218000,-2595000,-2770000,-2770000,-2770000,143206000,117639000,25567000,132485000,132485000,80283000,34512000,11672000,390486000,42338000,100554000,46515000,1642000,8959000,142892000,533378000,65755000,44828000,3310000,17617000,25489000,14689000,10800000,91244000,34795000,6475000,28320000,34795000,126039000,254045000,124767000,28527000,407339000,407339000,533378000,-2770000,3959000,6658000,3596000,11443000,-4258000,-4258000,-4258000,-7122000,-606000,-18173000,-13852000,-13852000,-762000,-14614000,5090000,2.8421709430404e-14,4646000,0.34569,0.01005,-0.02462,-0.0068,-0.00519,-1.67726,4.27958,0.30942,-5.29395592033938e-23,-0.06395,-0.06346,2.59714,9.40411,0.10726,-0.00627,0.01051,-28.13477,-126.61892
"7","2012_Q2",12.9204761904762,"Up",105787000,-66043000,39744000,-36546000,-20059000,-15115000,-1372000,3198000,411000,411000,3609000,1034000,-268000,766000,1069000,1069000,1069000,150743000,125418000,25325000,103414000,103414000,83164000,34604000,10730000,371925000,41247000,99318000,46515000,1706000,9031000,140565000,512490000,59207000,38225000,2670000,18312000,19407000,8180000,11227000,78614000,44324000,6999000,37325000,44324000,122938000,236968000,125836000,26748000,389552000,389552000,512490000,1069000,4213000,8694000,20715000,34691000,-3120000,-3120000,-3120000,-2892000,-277000,-22110000,9689000,9689000,-1910000,7779000,7411000,0,25274000,0.3757,0.03023,0.01011,0.00274,0.00209,23.64266,4.73103,0.31559,0,0.02621,0.02589,2.59403,9.55229,0.61975,0.00246,0.05825,-20.34044,-47.13665
"8","2012_Q3",12.6760317460317,"Down",115658000,-71929000,43729000,-32559000,-16706000,-14502000,-1351000,11170000,1775000,1775000,12945000,13089000,-4288000,8801000,8928000,8928000,8928000,149020000,120266000,28754000,100850000,100850000,80609000,27352000,10626000,357831000,39668000,98067000,46515000,1706000,9131000,137735000,495566000,68195000,42031000,7172000,18992000,14714000,6071000,8643000,82909000,44898000,5920000,38978000,44898000,127807000,205323000,134764000,27672000,367759000,367759000,495566000,8928000,4405000,-863000,17642000,30112000,1111000,-1089000,-1089000,-2318000,-246000,-33895000,-6101000,-6101000,949000,-5152000,15575000,9.09494701772928e-13,38616000,0.37809,0.09658,0.07719,0.02428,0.01802,4.32527,4.31595,0.34753,-8.470329472543e-22,0.22908,0.22555,2.96764,9.43625,0.99084,0.02164,0.09358,-9.5679,-13.34109
"9","2012_Q4",12.3024193548387,"Down",117515000,-71788000,45727000,-32786000,-16806000,-14564000,-1416000,12941000,65000,65000,13006000,10003000,-4268000,5735000,5735000,5735000,5735000,173665000,151034000,22631000,101412000,101412000,87611000,23338000,6340000,386026000,38779000,96848000,46515000,1708000,9326000,135627000,521653000,75202000,50343000,5872000,18987000,18369000,7404000,10965000,93571000,49606000,6471000,43135000,49606000,143177000,209208000,140499000,28769000,378476000,378476000,521653000,5735000,4491000,7064000,10157000,27447000,-2467000,-2467000,-2467000,3688000,-182000,852000,31987000,31987000,-1219000,30768000,17432000,0,29390000,0.38912,0.11012,0.0488,0.01515,0.01099,5.12467,4.12549,0.3783,0,0.15216,0.14962,3.11794,10.04181,0.77978,0.0134,0.06866,-9.96243,-13.41975
"10","2013_Q1",16.7248333333333,"Up",112971000,-74425000,38546000,-31008000,-15556000,-13895000,-1557000,7538000,181000,-426000,7719000,5680000,-806000,4874000,4849000,4849000,4849000,172247000,146564000,25683000,83914000,83914000,81482000,33503000,9075000,371146000,39523000,126573000,60391000,12444000,7529000,166096000,537242000,68269000,41044000,8131000,19094000,17479000,2080000,15399000,85748000,61883000,16832000,24940000,61883000,147631000,212558000,147328000,29725000,389611000,389611000,537242000,4849000,4677000,-7133000,16134000,18527000,-3557000,-3557000,-3557000,-23005000,-765000,289000,-4189000.00000001,-4189000.00000001,-281000,-4470000,12215000,-1.45519152283669e-11,25598000,0.3412,0.06673,0.04292,0.01245,0.00903,5.27903,4.32833,0.37892,-1.35525271560688e-20,0.12736,0.12568,2.9673,10.23353,0.67236,0.01074,0.0567,-14.10127,-22.85049
