"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.19796875,"Up",450577000,-286254000,164323000,-112108000,-111309000,-799000,52215000,-7507000,-7569000,44708000,44708000,-18407000,26301000,26301000,26301000,26301000,246107790.499964,246107790.499964,6423284.30232298,6423284.30232298,518899737.836472,54926033.6281643,54926033.6281643,826356846.266923,210173324.682853,437663692.48442,-227490367.801567,211559741.914496,226202198.033023,421733066.597349,1248089912.86427,417583790.711359,134749777.463484,282834013.247875,33886199.1535107,33886199.1535107,451469989.864869,78802899.2394191,78802899.2394191,718091149.33807,1169561139.20294,76637463.5892081,1317396.53838599,562782.605810054,78528773.6613326,78528773.6613326,1248089912.86427,26301000,17054000,670000,-34957000,9068000,-13769000,-13769000,-313000,-451000,-5152000,-5152000,-5152000,69269000,0,38950000,0.36469,0.11588,0.05837,1.00622361531831,0.132773711576107,1.48093,1.98913346778974,8.96632153539768,0.587235168208167,0.29772,0.29658,5.10049,0.887899176085466,0.44091,0.420627415361103,0.250241591584569,-2.85504765347085,-8.77770383903835
"2","2011_Q1",18.1661290322581,"Up",621498000,-394720000,226778000,-136074000,-135918000,-156000,90704000,-7790000,-7790000,82914000,82914000,-34502000,48412000,48412000,48412000,48412000,187762000,187762000,9908000,9908000,185209000,44414000,44414000,427293000,211319000,448109000,-236790000,224137000,218624000,435456000,862749000,271768000,85843000,185925000,25067000,25067000,296835000,69595000,69595000,435752000,732587000,78205000,0,51957000,130162000,130162000,862749000,48412000,17074000,46218000,57397000,169101000,-12893000,-12893000,-625000,-50226000,105982000,105982000,105982000,107778000,366157000,186784000,0.36489,0.14594,0.0779,0.37194,0.05611,3.85822,1.4395,5.62827,0.42441,0.54757,0.54757,7.02957,1.47222,2.11265,0.17304,0.33006,1.65521,1.96678
"3","2011_Q2",21.1292063492063,"Up",467377000,-289063000,178314000,-108891000,-109493000,602000,69423000,-11002000,-11002000,58421000,58421000,-23408000,35013000,35013000,35013000,35013000,155845069.833345,155845069.833345,10129155.232559,10129155.232559,125529420.721176,48186405.4572786,48186405.4572786,339690051.244359,214706475.105716,464709352.505193,-250002877.399478,224948752.695168,215507850.655659,439655227.800884,779345279.045243,237958653.096214,112256574.178839,125702078.917375,18593683.6154964,18593683.6154964,256552336.71171,70948866.9201936,70948866.9201936,363300616.88731,619852953.59902,80448345.470264,-465048.846128665,79510655.7980633,159492325.446222,159492325.446222,779345279.045243,35013000,17385000,-25755000,4023000,30666000,-12324000,-12324000,-25312000,-25312000,-6970000,-6970000,-6970000,86808000,0,101915000,0.38152,0.14854,0.07491,0.102181294893897,0.0200587628079642,2.91078,1.35031217740342,4.1498153215341,0.372174110597278,0.39566,0.39451,5.28151,1.80271610797151,1.15167,0.0522166948796324,0.193751136138477,3.54368588449028,5.92736961301278
"4","2011_Q3",20.18875,"Down",446041000,-296209000,149832000,-118084000,-117682000,-402000,31748000,-10508000,-10508000,21240000,21240000,-8620000,12620000,12620000,12620000,12620000,144552000,144552000,8716000,8716000,207430000,56633000,56633000,417331000,219161000,484503000,-265342000,220241000,214728000,439402000,856733000,263294000,166314000,96980000,15415000,15415000,278709000,78238000,78238000,395387000,674096000,83151000,-102000,99590000,182637000,182637000,856733000,12620000,17172000,10995000,-30201000,10586000,-21289000,-21289000,-24463000,-25535000,-36238000,-36238000,-36240000,48920000,317149000,6050000,0.33592,0.07118,0.02829,0.0691000000000001,0.01473,0.4794,1.49737,3.69091,0.37018,0.14247,0.14202,5.03529,2.06176,0.0683,0.02183,0.01047,3.52815,5.43647
"5","2011_Q4",21.5669841269841,"Up",486784000,-310816000,175968000,-115095000,-115061000,-34000,60873000,-6178000,-6326000,54695000,54695000,-22025000,32670000,32670000,32670000,32670000,144982000,144982000,7869000,7869000,278540000,57363000,57363000,488754000,223783000,504542000,-280759000,217612000,213679000,441395000,930149000,290298000,187973000,102325000,18335000,18335000,308633000,86531000,86531000,403437000,712070000,85922000,-103000,132260000,218079000,218079000,930149000,32670000,16641000,32480000,-58700000,23091000,-22362000,-22362000,-312000,-301000,428000,428000,430000,77514000,316906000,18477000,0.36149,0.12505,0.06711,0.14981,0.03512,0.56556,1.58361,3.26519,0.3407,0.36856,0.36748,5.49151,2.46019,0.20844,0.05257,0.02973,2.21797,2.82431
"6","2012_Q1",22.9535483870968,"Up",680257000,-429910000,250347000,-141445000,-141587000,142000,108902000,-7693000,-7956000,101209000,101209000,-40815000,60394000,60394000,60394000,60394000,152362000,152362000,9027000,9027000,213075000,41693000,41693000,416157000,227306000,521860000,-294554000,222857000,210395000,450163000,866320000,267647000,133679000,133968000,27684000,27684000,295331000,91303000,91303000,289842000,585173000,88603000,-103000,192654000,281147000,281147000,866320000,60394000,16904000,-8587000,79555000,148266000,-21261000,-21261000,-119702000,-119627000,7378000,7378000,7380000,125806000,198539000,224915000,0.36802,0.16009,0.08878,0.21481,0.06971,3.72413,1.40912,2.08138,0.22918,0.68115,0.67805,7.67222,3.17089,2.53668,0.10577,0.3939,0.36705,0.42402
"7","2012_Q2",21.1977777777778,"Down",495952000,-307185000,188767000,-114210000,-114195000,-15000,74557000,-4574000,-4782000,69983000,69983000,-27910000,42073000,42073000,42073000,42073000,180439000,180439000,7994000,7994000,196463000,41777000,41777000,426673000,229871000,537692000,-307821000,222531000,209881000,452402000,879075000,237387000,139216000,98171000,21616000,21616000,259003000,94921000,94921000,293532000,552535000,93350000,-1452000,234727000,326540000,326540000,879075000,42073000,17322000,-28921000,15421000,45895000,-17117000,-17117000,-13000,-739000,28039000,28039000,28077000,91879000,198611000,118093000,0.38062,0.15033,0.08483,0.12884,0.04786,2.80686,1.64737,1.69209,0.22593,0.47355,0.47109,5.58215,3.67535,1.32919,0.06785,0.19045,0.19778,0.24373
"8","2012_Q3",16.4419047619048,"Down",454879000,-308358000,146521000,-115325000,-115307000,-18000,31196000,-4993000,-4773000,26203000,26203000,-10374000,15829000,15829000,15829000,15829000,130174000,130174000,12308000,12308000,210353000,48521000,48521000,401356000,251705000,569534000,-317829000,222314000,209664000,474019000,875375000,252243000,161808000,90435000,19188000,19188000,271431000,107960000,107960000,306645000,578076000,98347000,-51600000,250556000,297299000,297299000,875375000,15829000,16892000,11365000,-15422000,28664000,-28729000,-28729000,-14000.0000000149,-50162000,-50227000,-50227000,-50265000,48088000,198685000,14311000,0.32211,0.06858,0.0348,0.05324,0.01808,0.9041,1.47867,1.94443,0.22697,0.18061,0.17992,5.19031,3.39228,0.16329,0.02621,0.0237,1.4247,2.19615
"9","2012_Q4",12.6801612903226,"Down",468527000,-316989000,151538000,-117136000,-117722000,586000,34402000,-4666000,-4782000,29736000,29736000,-12314000,17422000,17422000,17422000,17422000,102438000,102438000,9416000,9416000,286877000,53182000,53182000,451913000,280866000,614145000,-333279000,218575000,208935000,499441000,951354000,295195000,207472000,87723000,18524000,18524000,313719000,135780000,135780000,334540000,648259000,101806000,-66637000,267979000,303095000,303095000,951354000,17422000,16928000,52657000,-72015000,14992000,-27718000,-27718000,-14000,-15051000,-27777000,-27777000,-27736000,51330000,198760000,-36089000,0.32343,0.07343,0.03718,0.05748,0.01831,-2.07146,1.4405,2.1388,0.20892,0.20263,0.20207,5.44926,3.52518,-0.41974,0.02732,-0.0566,1.87652,2.7999
"10","2013_Q1",17.7008333333333,"Up",737869000,-482056000,255813000,-144405000,-144375000,-30000,111408000,-5359000,-5215000,106049000,106049000,-42106000,63943000,63943000,63943000,63943000,256297000,256297000,11024000,11024000,215082000,33459000,33459000,515862000,278369000,625344000,-346975000,224968000,208160000,503337000,1019199000,284925000,176125000,108800000,27851000,27851000,312776000,136418000,136418000,335261000,648037000,105905000,-66644000,331921000,371162000,371162000,1019199000,63943000,17007000,-5750000,105035000,180235000,-26320000,-26320000,-14000.0000000009,-21000,153894000,153894000,153859000,128415000,198843000,249236000,0.34669,0.15099,0.08666,0.17228,0.06274,3.89778,1.6493,1.74597,0.1951,0.75278,0.74947,8.68674,4.36959,2.93419,0.09052,0.35281,-0.44741,-0.515709999999999
