"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.3246031746032,"Up",668751000,-352255000,316496000,-194764000,-86705000,-47696000,-60363000,121732000,-20610000,-20087000,-523000,101122000,101122000,-36662000,64460000,64460000,188000,64648000,64648000,385265507.378729,385265507.378729,335974538.561466,335974538.561466,263991128.777752,68373155.5985783,-69227787.1629205,202447113.376225,985231174.717947,3082692539.72176,4525029988.59933,-1442337448.87757,330662442.807835,-66661040.8711306,397323478.448104,3413354982.52959,4398586157.24754,440938792.473126,412668998.936469,28269793.5366571,144708808.719904,167995123.111167,79250433.3451216,968060324.578706,1217818662.52751,930836700.652408,403716052.107235,527120648.545173,2148655363.17992,3116715687.75862,849394895.551848,413995583.361006,18214692.1016326,1281605171.01449,265298.474432734,1281870469.48892,4398586157.24754,64460000,47696000,118444000,-67980000,162620000,-34152000,-314000,-34466000,-10742000,-147728000,4006000,4006000,-154464000,-26310000,-26310000,-26310000,169428000,0,103958000,0.47326,0.18203,0.09667,0.120334614451285,0.0338807463848474,1.60806,1.23267446580533,2.41789429146217,0.366767328019145,1.4296,1.41787,14.78851,28.2816241026714,2.29889,0.23754,0.0422269695522276,0.13397205731994,0.16616,-49.1115305617265,-35620.131352632
"2","2010_Q3",22.34515625,"Up",385825000,-147736000,238089000,-214058000,-86935000,-47160000,-79963000,24031000,-24157000,-19003000,-5154000,-126000,-126000,-867000,-992999.999999993,-992999.999999993,60000,-932999.999999993,-932999.999999993,32310000,32310000,104871000,104871000,144037000,74659000,-10602429.0543068,69378000,281218000,3039535000,4526634000,-1487099000,427159000,24877000,402282000,3466694000,3747912000,120169000,65494000,54675000,1362000,338122000,183354000,459653000,1076678000,1071485000,432078000,639407000,2148163000,2607816000,849105000,326028000,-34748000,1140385000,-289000,1140096000,3747912000,-992999.999999993,47160000,17464000,32341000,95972000,-59962000,11519000,-48443000,-11351000,-45328000,2455000,2455000,-54224000,-6695000.00000001,-6695000.00000001,-6695000.00000001,71191000,1078040000,44437000,0.61709,0.06228,-0.00242000000000001,-0.00082,-0.00025,-47.62808,0.6118,2.28737,0.28764,-0.0205500000000003,-0.0203700000000002,8.50003,25.12359,0.97898,0.25007,0.00317,0.01351,-12.16613,14.68908,43.51588
"3","2010_Q4",24.85265625,"Up",307683000,-81303000,226380000,-226196000,-86746000,-47582000,-91868000,184000,-12551000,-19266000,6715000,-12367000,-12367000,7403000,-4964000,-4964000,141000,-4823000,-4823000,19854000,19854000,84717000,84717000,173464000,87670000,16415000,69379000,278035000,3050217000,4564700000,-1514483000,444229000,30558000,413671000,3494446000,3772481000,129407000,70660000,58747000,83000,344816000,192298000,474306000,1075523000,1103991000,451470000,652521000,2179514000,2653820000,850792000,309699000,-41400000,1119091000,-430000,1118661000,3772481000,-4964000,47582000,-6987000,21603000,57234000,-57303000,606000,-56697000,-11362000,-2645000,1014000,1014000,-12993000,-12456000,-12456000,-12456000,47766000,1075606000,4663000,0.73576,6e-04,-0.01568,-0.00431,-0.00128,-0.96683,0.58619,2.37232,0.28512,-0.10612,-0.10514,6.7697,24.62246,0.1026,0.24999,0.00198,0.00141,-2.3558,22.10258,5737.78261
"4","2011_Q1",26.8922580645161,"Up",468112000,-154881000,313231000,-227061000,-94557000,-48025000,-84479000,86170000,-16421000,-19233000,2812000,69749000,69749000,-24799000,44950000,44950000,35000,44985000,44985000,116096000,116096000,147605000,147605000,211928000,87877000,21514000,102537000,475629000,3072436000,4607865000,-1535429000,436128000,8046000,428082000,3508564000,3984193000,226136000,165536000,60600000,75080000,295745000,172401000,596961000,1124681000,1095555000,466628000,628927000,2220236000,2817197000,855114000,343131000,-30784000,1167461000,-465000,1166996000,3984193000,44950000,48025000,-37960000,152000,55167000,-64022000,622000,-63400000,-11391000,123934000,3623000,3623000,104475000,96242000,96242000,96242000,134195000,1199761000,95124000,0.66914,0.18408,0.0961,0.03855,0.01129,2.11457000000001,0.79675,2.41406,0.30113,0.98742,0.97742,10.27508,25.62582,2.08798,0.25003,0.01628,0.02747,0.253220000000001,8.0753,12.5759
"5","2011_Q2",27.4184126984127,"Up",628440000,-283806000,344634000,-218299000,-90950000,-48862000,-78487000,126335000,-18237000,-17959000,-278000,108098000,108098000,-39744000,68354000,68354000,195000,68549000,68549000,108375000,108375000,169037000,169037000,140641000,61360000,14727356.8410582,79281000,418053000,3068954000,4629088000,-1560134000,454927000,10028000,444899000,3523881000,3941934000,188945000,114458000,74487000,157376266.790228,288745000,182520000,477690000,1122694000,1110632000,483121000,627511000,2233326000,2711016000,862106000,399339000,-29867000,1231578000,-660000,1230918000,3941934000,68354000,48862000,88690000,-75115000,130791000,-51817000,-2009000,-53826000,-11446000,-77243000,4003000,4003000,-84686000,-7721000,-7721000,-7721000,175197000,1122694000,88009000,0.5484,0.20103,0.10908,0.05569,0.01739,1.28388,0.87516,2.20243,0.28481,1.49791,1.48445,13.73249,26.91209,1.92315,0.25011,0.02309,0.0254,0.16698,5.78959,8.02879999999932
"6","2011_Q3",26.3471875,"Down",388505000,-117055000,271450000,-250882000,-88708000,-49415000,-112759000,20568000,-15804000,-17355000,1551000,4764000,4764000,-751000,4013000,4013000,42000,4055000,4055000,85964000,85964000,121865000,121865000,145280000,68337000,7461000,69482000,353109000,3090683000,4677407000,-1586724000,481252000,10755000,470497000,3571935000,3925044000,147334000,95460000,51874000,2e+08,279297000,180484000,626631000,941551000,1134419000,503922000,630497000,2075970000,2702601000,863797000,391079000,-31731000,1223145000,-702000,1222443000,3925044000,4013000,49415000,-19140000,23207000,57495000,-87286000,91000,-87195000,-12156000,18720000,725000,725000,7288999.99999997,-22411000,-22411000,-22411000,69983000,1141551000,6655000,0.6987,0.05294,0.01044,0.00332,0.00103,1.64118,0.5635,2.21082,0.29084,0.0884099999999999,0.0875800000000002,8.47062,26.66837,0.1451,0.26504,0.00463,0.0019,2.99778,15.08348,51.32181
"7","2011_Q4",28.3869841269841,"Up",352592000,-67165000,285427000,-284174000,-89087000,-50341000,-144746000,1253000,-25394000,-17307000,-8087000,-24141000,-24141000,8394000,-15747000,-15747000,106000,-15641000,-15641000,19836000,19836000,119576000,119576000,160375000,83604000,7688000,69083000,299787000,3160879000,4775365000,-1614486000,478571000,24640000,453931000,3639450000,3939237000,159465000,99599000,59866000,221102000,301096000,207444000,681663000,936857000,1133271000,505409000,627862000,2070128000,2751791000,864566000,363125000,-39437000,1188254000,-808000,1187446000,3939237000,-15747000,50341000,-7753000,29206000,56047000,-124523000,-1764000,-126287000,-12158000,16270000,0,0,4112000,-66128000,-66128000,-66128000,51594000,1157959000,-52117000,0.80951,0.00355,-0.04436,-0.01317,-0.00397,3.33208,0.43979,2.3174,0.29396,-0.34089,-0.33772,7.68459,25.89748,-1.13587,0.26498,-0.001,-0.01498,-0.77732,22.05921,908.31844
"8","2012_Q1",30.8485483870968,"Up",517651000,-145463000,372188000,-270264000,-89753000,-51851000,-128660000,101924000,-15579000,-16981000,1402000,86345000,86345000,-31202000,55143000,55143000,181000,55324000,55324000,21937000,21937000,209246000,209246000,189799000,96598000,7793000,85408000,420982000,3218944000,4857035000,-1638091000,636081000,53435000,582646000,3855025000,4276007000,245556000,186755000,58801000,322618000,279394000,206968000,847568000,930858000,1272550000,557118000,715432000,2203408000,3050976000,869226000,406125000,-49331000,1226020000,-989000,1225031000,4276007000,55143000,51851000,-49665000,-49620000,7709000,-117365000,25874000,-91491000,-12169000,95378000,2674000,2674000,85883000,2101000,2101000,2101000,153775000,1253476000,17992000,0.71899,0.1969,0.10688,0.04516,0.01294,0.32521,0.49669,2.49053,0.29314,1.20476,1.19305,11.27264,26.69846,0.3918,0.265,0.01799,0.0048,0.21996,8.00871,12.08291
"9","2012_Q2",31.1698412698413,"Up",657645000,-242747000,414898000,-280275000,-95850000,-54163000,-130262000,134623000,-11731000,-17159000,5428000,122892000,122892000,-44057000,78835000,78835000,84000,78919000,78919000,218060000,218060000,210735000,210735000,123329000,77330000,2299000,43700000,552124000,3234930000,4902834000,-1667904000,650043000,33815000,616228000,3884973000,4437097000,210414000,132544000,77870000,205055000,273865000,198150000,689334000,1188076000,1265135000,578563000,686572000,2453211000,3142545000,871200000,471265000,-46840000,1295625000,-1073000,1294552000,4437097000,78835000,54163000,129738000,-96363000,166373000,-84965000,8496000,-76469000,-12215000,139456000,732000,732000,106219000,196123000,196123000,196123000,188786000,1393131000,51515000,0.63088,0.2047,0.12,0.06096,0.01779,0.65276,0.80095,2.42752,0.31397,1.7131,1.69839,14.27553,28.12419,1.11824,0.26515,0.02306,0.01303,0.15478,6.22435,8.72860999999992
"10","2012_Q3",32.5522222222222,"Up",409768000,-91959000,317809000,-302429000,-91884000,-55537000,-155008000,15380000,-20742000,-18252000,-2490000,-5361999.99999999,-5361999.99999999,1474000,-3888000,-3888000,212000,-3676000,-3676000,32565000,32565000,154828000,154828000,117850000,82664000,5986000,29200000,305243000,3260597000,4958630000,-1698033000,666911000,50371000,616540000,3927508000,4232751000,133375000,82395000,50980000,19403000,314623000,197749000,467401000,1203160000,1281508000,594428000,687080000,2484668000,2952069000,873988000,453824000,-45845000,1281967000,-1285000,1280682000,4232751000,-3888000,55537000,18134000,25299000,95082000,-91417000,-5442000,-96859000,-13603000,-170695000,580000,580000,-183718000,-185495000,-185495000,-185495000,70917000,1222563000,3325000.00000001,0.77558,0.03753,-0.00897000000000001,-0.00287,-0.00087,-0.90452,0.65306,2.30508,0.28883,-0.07972,-0.07898,8.88598,27.79995,0.0721,0.29499,0.00262,0.00088,-3.70049,16.78015,77.37308
