"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.34857142857143,"Down",5958000,-6175402.42010622,-259364983.047549,-10410000,-3048000,-7362000,-4452000,759000,192000,567000,-3693000,978000,-2715000,-274000,-2989000,-2750000,-2750000,-2750000,39056000,4044000,35012000,298000,298000,41539595.5429323,11033000,11033000,50387000,7772000,75461000,14458000,35935000,83233000,133620000,20100000,14519000,5581000,19551000,15228000,41434000,81697000,79151000,81697000,123131000,735932000,-684330000,10489000,10489000,133620000,-2989000,745000,-1080000,-12814000,-15876000,3511000,3880000,18000,18000,8000,-11988000,-11988000,-11988000,-3707000,1783000,9.63246305484279,-0.74723,-0.46156,-0.26218,-0.02058,1.21608,11.73906,0.01334,-0.14048,-0.14048,0.30435,0.5358,-0.02926,10.05476,8.37219
"2","2010_Q3",9.33515625,"Down",5838000,0,-135931989.82853,-9892000,-3290000,-6602000,-4054000,273000,105000,168000,-3781000,4123000,342000,-625000,-283000,-283000.000000004,-283000.000000004,-283000.000000004,32195000,3235000,28960000,-439309.322635408,-439309.322635408,25561357.3257594,11207000,11207000,43402000,7073000,77122000,15833000,36221000,84195000,127597000,18617000,13445000,5172000,23240000,20577000,43598000,72999000,70453000,72999000,116597000,728513000,-684608000,1.1e+07,1.1e+07,127597000,-291000,703000,-3221000,591000,-2217000,5729000,1356000,94000,94000,52000,-809000,-809000,-809000,-3351000,1741000,5.55628983290567,-0.69442,-0.0484800000000006,-0.0257299999999951,-0.00222000000000001,0.9955,10.59973,0.01364,-0.01443,-0.01443,0.29772,0.13545,-0.00330000000000002,9.08803,7.51208999999998
"3","2010_Q4",9.1571875,"Down",7802000,2008401.21005311,-57604994.9142648,-8009000,-3074000,-4935000,-207000,1779000,51000,1728000,1572000,-12996000,-11424000,-419000,-11843000,-11843000,-11843000,-11843000,24069000,3796000,20273000,95999.9999999995,95999.9999999995,14686678.6628797,11122000,11122000,35287000,968000,76313000,15833000,35412000,77281000,112568000,18905000,11339000,7566000,16073000,16073000,36680000,76984000,74438000,76984000,113664000,737413000,-696451000,-1096000,-1096000,112568000,-11854000,669000,12364000,-8852000,-7674000,7962000,8276000,-2000,-2000,-41000,561000,561000,561000,462000,1702000,2.94266991645284,-0.02653,-1.51794,10.80566,-0.10521,0.96202,-103.70803,0.01512,-0.60312,-0.60312,0.39733,-0.05582,-0.15264,-48.41342,108.05314
"4","2011_Q1",9.5208064516129,"Up",3940000,1337501.21005311,-14473998.3047549,-6585000,-3417000,-3168000,-2645000,1948000,34000,1914000,-697000.000000001,1504000,807000.000000002,3935000,4742000,4503000,4503000,4503000,22697000,3346000,19351000,993000,993000,7906559.55429323,13329000,8754000,37019000,559000,37981000,12251000,25030000,38540000,75559000,17456000,8597000,8859000,14330000,14330000,33488000,38576000,35658000,38576000,72064000,737636000,-691947000,3495000,3495000,75559000,17547000,95000,-58000.0000000019,-3663000,13899000,899999.999999999,1028000,-178000,-87000,-177999.999999999,14749000,14749000,14749000,-2550000,1702000,1.48214330548428,-0.67132,1.14289,1.28841,0.0596,1.10544,20.61917,0.02253,0.22938,0.22938,0.2007,0.17803,0.10287,8.23333,7.93762000000001
"5","2011_Q2",10.5612698412698,"Up",3896000,-525000,3371000,-5431000,-3445000,-1986000,-2060000,-338000,-386000,48000,-2398000,-1159000,-3557000,13585000,10028000,10032000,10032000,10032000,16520000,6033000,10487000,1383000,1383000,4212000,9181000,9181000,31296000,795000,102062000,76757000,24284000,102857000,134153000,24936000,13032000,11904000,13357000,13330000,44570000,56201000,50791000,76230000,120800000,738088000,-682460000,13353000,13353000,134153000,10028000,564000,-12230000,2549000,911000,8860000,-23169000,-55000,-78637.2253340083,24945000,2687000,2687000,2687000,-1496000,26306000,0.86525,-0.52875,2.57495,0.75129,0.07478,0.70218,9.04666,0.19609,0.51123,0.51123,0.19854,0.68047,0.10465,-6.54144,-4.75049
"6","2011_Q3",13.0965625,"Up",7463000,-1623000,5840000,-7091000,-3854000,-3237000,-1251000,-1700000,-677000,-1023000,-2951000,2178000,-773000.000000001,-141000.000000002,-914000,-913999.999999998,-914000,-914000,13441000,3441000,1e+07,1038000,1038000,2594000,11066000,9897000,28139000,679000,98617000,75157000,23460000,99296000,127435000,17442000,10628000,6814000,14022000,13984000,42315000,51335000,46907000,71449000,113764000,739331000,-683380000,13671000,13671000,127435000,-914000,785000,516000.000000004,-8432000,-8045000,-8893000,453000,0,-24062.9480011294,5e+06,-2592000,-2592000,-2592000,-466000,30965000,0.78253,-0.16763,-0.12247,-0.0668600000000001,-0.00717000000000001,0.66499,8.32156,0.24299,-0.04658,-0.0465099999999999,0.38031,0.69667,-0.00952,-37.60515,-14.00799
"7","2011_Q4",12.6828571428571,"Down",5742000,-703000,5039000,-6432000,-3962000,-2470000,-1393000,-967000,-699000,-268000,-2360000,-1853000,-4213000,128000,-4085000,-4089000,-4089000,-4089000,12251000,2251000,1e+07,1719000,1719000,1960000,10887000,9693000,26817000,678000,94971000,72237000,22734000,95649000,122466000,17552000,10072000,7480000,14476000,14476000,42454000,49101000,44626000,69301000,111755000,740264000,-687273000,10711000,10711000,122466000,-4088000,750000,2843000,-560000,-1055000,-26000,-137000,2000,2000.00000000001,2000,-1190000,-1190000,-1190000,-643000,30626000,0.87757,-0.2426,-0.71212,-0.38176,-0.03339,0.63167,10.43367,0.25008,-0.20756,-0.20669,0.29147,0.5437,-0.04521,-28.57698,-13.19095
"8","2012_Q1",14.4795161290323,"Up",12936000,-2058000,10878000,-5920000,-3322000,-2598000,4958000,1338000,-535000,1873000,6296000,-1308000,4988000,-302000,4686000,4686000,4686000,4686000,17041000,7041000,1e+07,6110000,6110000,1301000,7778000,7541000,32230000,455000,87898000,58326000,17334000,88353000,120583000,16119000,11065000,5054000,17524000,16284000,43643000,40125000,34429000,60411000,104054000,732697000,-682232000,16529000,16529000,120583000,4686000,691000,1072000,568000,7017000,7029000,-2279000,52000,52000,52000,4790000,4790000,4790000,5649000,30286000,0.84091,0.38327,0.36224,0.2835,0.03886,0.73849,6.29524,0.25116,0.23816,0.23674,0.65746,0.416,0.0539,2.34466,2.67144
"9","2012_Q2",13.5290476190476,"Down",5636000,-155000,5481000,-6233000,-3416000,-2817000,-752000,66000,-701000,767000,-686000,-87000,-773000,35000,-738000,1133000,1133000,1133000,11294000,9777000,1517000,1992000,1992000,1345000,8913000,8676000,23544000,375000,87879000,56855000,16130000,88254000,111798000,12036000,7893000,4143000,12234000,11507000,27206000,38914000,32880000,65349000,92555000,741910000,-680387000,19243000,19243000,111798000,-738000,678000,219000,-328000,-369000,-13049000,-4555000,160000,160000,7660000,2736000,2736000,2736000,-74000,29371000,0.9725,-0.13343,0.20103,0.05888,0.01013,0.8654,4.8098,0.26271,0.05749,0.05749,0.28596,0.97635,0.01294,-244.28378,-24.03856
"10","2012_Q3",17.6384126984127,"Up",5742000,-435000,5307000,-6708000,-3857000,-2851000,-1401000,-1273000,-762000,-511000,-2674000,-1316000,-3990000,-338000,-4328000,-2529000,-2529000,-2529000,10385000,8885000,1500000,817000,817000,2698000,7196000,6959000,21096000,644000,82854000,56273000,11687000,83498000,104594000,10974000,6746000,4228000,9085000,8673000,30419000,26157000,20623000,55723000,86142000,743386000,-682654000,18452000,18452000,104594000,-4328000,662000,3310000,-376000,-732000.000000002,0,-242000,82000,82000,81999.9999999972,-892000,-892000,-892000,-739000,39926000,0.92424,-0.24399,-0.44044,-0.13706,-0.02418,0.69351,4.66844,0.38172,-0.12806,-0.12806,0.29075,0.93434,-0.02992,-39.97429,-21.08565
