"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.225,"Up",175644000,-126593000,49051000,-87019000,-77754000,-9265000,-37968000,-2449000,-2449000,-40417000,-40417000,22100000,-18317000,-18317000,-18317000,-20942000,67282005.9811996,67282005.9811996,-336801346.425368,-336801346.425368,261134824.904263,92020657.9804874,27024029.2281209,83636142.4405812,136417780.82127,208002927.406666,138327714.232012,27972629.6366893,34926492.7128278,344420204.471252,428056346.911833,49994526.5328347,76488445.4962698,-22192725.7993368,-199627149.18562,-149632622.652786,-30938786.5791555,-35592165.3799264,4653378.80077085,-30125673.6905885,-179758296.343374,245007608.951329,-9298248.96910951,389958803.028526,-19026842.4370495,606655244.438212,607814643.255207,428056346.911833,-18317000,10687000,-6178000,79423000,65615000,-7806000,-8531000,-1292598431.85606,1271000,1271000,-2236000,54848000,54848000,2490000,57338000,-27281000,0,22236000,0.27926,-0.21616,-0.11923,-0.00249796290545417,-0.0352822330216367,-1.06179,5.86663440520283,-0.278589795042706,0.00115403219873486,-0.32724,-0.84542,2.74465,9.37674374763665,0.34746,-0.00240322037620867,-0.0241786945074085,-392.901978659142,-24.3681493438709
"2","2011_Q1",7.2841935483871,"Up",185528000,-130004000,55524000,-97633000,-88481000,-9152000,-42109000,-3377000,-5415000,-45486000,-45486000,13231000,-32255000,-32255000,-32255000,-34880000,55043000,55043000,144643000,144643000,268591000,75452000,41703000,543729000,129601000,202682000,131327000,30630000,36939000,332283000,876012000,175139000,139312000,34883000,27000,175166000,13967000,1376000,12591000,13967000,189133000,262547000,-24835000,432977000,13564000,684267000,686879000,876012000,-32255000,10707000,16541000,-41244000,-46251000,-6861000,-6847000,-365673477.285353,4.65661287307739e-10,4.65661287307739e-10,-3425000,-56523000,-56523000,634000,-55889000,-31402000,0,-92738000,0.29928,-0.22697,-0.188,-0.05078,-0.03982,2.65877,3.10408,0.27535,0,-0.54402,-0.55673,2.89368,10.67228,-1.44643,-0.04511,-0.13232,1.75285,1.30716
"3","2011_Q2",6.44238095238095,"Down",285599000,-161918000,123681000,-100703000,-91506000,-9197000,22978000,-1380000,-1380000,21598000,21598000,-8780000,12818000,12818000,12818000,10193000,58221498.0062668,58221498.0062668,296150282.141789,296150282.141789,245927308.365246,61393364.0065042,43696740.257293,661692452.519806,125066406.39291,198153857.531111,126962761.922663,31623540.1211036,37345252.4290574,323220431.842916,984912884.362722,199219074.489055,143518434.834577,53786908.5997789,61358633.0618734,260577707.550929,34397345.5263852,19515138.4599755,14882207.0664097,34126307.8968628,294704015.447791,268499213.68289,-27413833.6769635,423264398.990491,22858030.8123498,687221835.187263,690208868.914931,984912884.362722,12818000,9880000,-4062000,-58010000,-39374000,11254000,11254000,3e+06,1160000,1160000,1059000,-27061000,-27061000,560000,-26501000,32858000,0,-5118000,0.43306,0.08046,0.03569,-0.0816456790315153,-0.0541800889927878,-0.50211,2.37410186493239,0.439256598347569,-0.000384677399578288,0.15852,0.12032,4.44146,10.7167687507878,-0.07959,-0.0728539265412638,-0.0672662684975305,120.699218719714,9.20133644795698
"4","2011_Q3",5.6784375,"Down",273814000,-171152000,102662000,-112818000,-104320000,-8498000,-10156000,-3427000,-3427000,-13583000,-13583000,-45483000,-59066000,-59066000,-59066000,-61691000,66532000,66532000,253483000,253483000,215255000,49500000,37869000,584770000,122064000,193986000,123903000,31452000,37007000,316050000,900820000,170898000,120783000,49352000,44160000,215058000,39728000,25582000,14146000,39728000,254786000,267446000,-22848000,379739000,18893000,643244000,646034000,900820000,-59066000,9311000,61701000,1995000.00000001,13941000,-7171000,-7171000,34142000,0,0,30830000,37600000,37600000,390000,37990000,-845000,-1.45519152283669e-11,39462000,0.37493,-0.03709,-0.2253,-0.09549,-0.06848,-0.63967,2.71913,0.39438,0,-0.95753,-1.40172,4.24999,9.98386,0.61251,-0.08519,0.05754,78.73609,6.551
"5","2011_Q4",5.32507936507936,"Down",173243000,-125857000,47386000,-91549000,-83048000,-8501000,-44163000,-3570000,-3570000,-47733000,-47733000,-14854000,-62587000,-62587000,-62587000,-65212000,64295000,64295000,147528000,147528000,204213000,38202000,28212000,454238000,119653000,191859000,122903000,30462000,36999000,311512000,765750000,143328000,105783000,37209000,4761000,148089000,40805000,27422000,13383000,40805000,188894000,265124000,-17800000,314201000,12732000,574271000,576856000,765750000,-62587000,9247000,1117000,99516000,47293000,-6950000,-6950000,-39609000,1038000,1038000,-42061000,-1718000,-1718000,-519000,-2237000,-34916000,0,72504000,0.27352,-0.25492,-0.37642,-0.11305,-0.08516,-1.11182,3.06733,0.32745,0,-1.00659,-1.00659,2.67412,8.86404,1.11915,-0.10027,0.11738,1.84142,1.45586
"6","2012_Q1",6.31274193548387,"Up",153872000,-116299000,37573000,-87320000,-79207000,-8113000,-49747000,-796000,276000,-50543000,-50543000,-12442000,-62985000,-62985000,-62985000,-65610000,43023000,43023000,115673000,115673000,233070000,27563000,19880000,419329000,117147000,190636000,121935000,29203000,38112000,307783000,727112000,163676000,129193000,31925000,4108000.00000001,167784000,46514000,31429000,15085000,46514000,214298000,265730000,-17800000,247941000,14071000,509956000,512814000,727112000,-62985000,10198000,5786000,35239000,-11762000,-6693000,-6693000,2467000,-3000,-3000,-3113000,-21568000,-21568000,296000,-21272000,-39549000,0,1439000,0.24418,-0.3233,-0.42639,-0.12794,-0.09023,-0.02193,2.49922,0.41789,4.33680868994202e-19,-1.01111,-1.01111,2.37131,7.85868,0.0221800000000001,-0.11145,0.00257,1.08784,0.86484
"7","2012_Q2",5.74206349206349,"Down",285098000,-160727000,124371000,-96545000,-89072000,-7473000,27826000,3684000,3684000,31510000,31510000,292000,31802000,31802000,31802000,29177000,51669000,51669000,255259000,255259000,236240000,29222000,23373000,572390000,117098000,169746000,100885000,29618000,37829000,286844000,859234000,182762000,150472000,31770000,90008000,272770000,44476000,29149000,15327000,44476000,317246000,263843000,-15688000,276426000,14364000,538959000,541988000,859234000,31802000,8745000,-8708000,-124245000,-92406000,18224000,18224000,85900000,1000,1000,82791000,8609000,8609000,37000,8646000,36571000,0,-69742000,0.43624,0.0976,0.10234,0.05383,0.03396,-2.39031,2.09843,0.58534,0,0.44899,0.34354,4.38727,8.29363,-1.07323,0.05534,-0.11892,-1.41284,-1.85686
"8","2012_Q3",5.67857142857143,"Down",281123000,-170470000,110653000,-101087000,-94157000,-6930000,9566000,-4571000,-4571000,4995000,4995000.00000001,-2196000,2799000,2799000,2798999.99999999,174000.000000015,27986000,27986000,254903000,254903000,215794000,24371000,18663000,523054000,114323000,167748000,99998000,29128000,37230000,282071000,805125000,146276000,113762000,31385000,74258000,220534000,43547000,29627000,13920000,43547000,264081000,264428000,-15252000,275942000,13003000,538135000,541044000,805125000,2799000,9489000,1281000,-12443000,1126000,-5408000,-5408000,-15750000,-1000,-1000,-19126000,-23408000,-23408000,-275000,-23683000,19055000,-3.72529029846191e-09,3400000,0.39361,0.03403,0.000619999999999968,0.000320000000000001,0.000220000000000005,19.54023,2.37176,0.4881,-3.46944695195361e-18,0.00267000000000017,0.00267000000000001,4.32098,8.27115,0.05226,0.0059,0.00581999999999999,-1.4687,-2.92557
"9","2012_Q4",6.09048387096774,"Up",147906000,-144106000,3800000,-86489000,-78511000,-7978000,-82689000,-3359000,-3359000,-86048000,-86048000,-750000,-86798000,-86798000,-86798000,-89212000,59139000,59139000,143697000,143697000,189066000,30870000,20895000,422772000,94919000,164247000,94619000,28853000,39318000,259166000,681938000,131819000,99166000,29476000,4108000,135927000,43217000,29968000,13249000,150142000,286069000,204647000,-14930000,186074000,17171000,392966000,395869000,681938000,-86798000,8342000,17472000,123013000,62029000,-1632000,-1632000,-23331000,-4605.56330183079,-4732.27836028271,-29866000,30531000,30531000,622000,31153000,-74347000,106925000,47784000,0.02569,-0.55906,-0.60317,-0.22536,-0.13082,-0.53562,3.11029,0.72264,0.1568,-1.32801,-1.89097,2.20174,5.84965,0.71131,-0.15795,0.08751,-0.64274,-0.5779
"10","2013_Q1",6.50183333333333,"Up",119938000,-110594000,9344000,-80282000,-73121000,-7161000,-70938000,2435000,7398000,-68503000,-68503000,-2246000,-70749000,-70749000,-70749000,-71532000,52003000,52003000,91072000,91072000,211734000,32187000,23811000,386996000,89093000,161547000,89189000,29034000,41414000,250640000,637636000,160639000,129021000,28188000,926999.999999993,161566000,47229000,33533000,13696000,154362000,315928000,205233000,-14848000,113831000,14770000,318990000,321708000,637636000,-70749000,7835000,5477000,57880000,443000,-2371000,-5639000,0,19000,19000.0000000001,-1673000,-6869000,-6869000,-267000,-7135999.99999999,-63103000,107133000,-5348000,0.07791,-0.59146,-0.59641,-0.22235,-0.11218,0.0747599999999993,2.39528,0.98203,0.16802,-1.00715,-1.00715,1.6887,4.49124,-0.0753,-0.14712,-0.01123,-0.87365,-0.77716
"11","2013_Q2",6.48015625,"Down",287756000,-157320000,130436000,-90308000,-82895000,-7413000,40128000,4001000,4001000,44129000,44129000,-2469000,41660000,41660000,41660000,40877000,28072000,28072000,255703000,255703000,201951000,34547000,26683000,520273000,83894000,160141000,88964000,28412000,40973000,244035000,764308000,175758000,139939000,31156000,80415000,256173000,46311000,33737000,12574000,153613000,409786000,204396000,-13595000,153980000,6638000,351423000,354522000,764308000,41660000,6956000,1011000,-150187000,-100560000,506000,506000,79489000,0,0,77994000,-22060000,-22060000,-1871000,-23931000,47084000,107302000,-100128000,0.45329,0.13945,0.14205,0.1153,0.05348,-2.44949,2.03094,1.15588,0.14039,0.57525,0.44337,4.04948,4.94538,-1.40906,0.08339,-0.19705,1.68274,1.97443
"12","2013_Q3",6.8871875,"Up",249646000,-153994000,95652000,-84174000,-76841000,-7333000,11478000,28000,4655000,11506000,11506000,-1435000,10071000,10071000,10071000,9288000,29959000,29959000,229290000,229290000,187230000,32216000,32216000,478695000,76019000,160986000,88943000,28407000,43636000,237005000,715700000,161372000,127688000,33684000,44034000,205406000,44785000,33769000,11016000,152262000,357668000,205276000,-13563000,162551000,936000,355204000,358032000,715700000,10071000,6472000,3847000,13130000,33520000,-2575000,-4055000,-40989000,1.45519152283669e-11,0,-42483000,-13018000,-13018000,14905000,1887000,17950000,107477000,29940000,0.38315,0.04598,0.0372,0.02594,0.01298,3.22351,2.33048,0.99898,0.15017,0.13061,0.10066,3.5106,4.99494,0.42103,0.02113,0.05867,4.31855,6.75362
"13","2013_Q4",7.76078125,"Up",178229000,-118820000,59409000,-76430000,-68741000,-7689000,-17021000,-3095000,-1120000,-20116000,-20116000,-1037000,-21153000,-21153000,-21153000,-22919000,37399000,37399000,157371000,157371000,190870000,24465000,24465000,410105000,73957000,166847000,88922000,29060000,48865000,240804000,650909000,157197000,123672000,33525000,5810000,163007000,45492000,33849000,11643000,153148000,316155000,206471000,-13563000,138960000,2884000,334754000,334754000,650909000,-21153000,6265000,988000,88498000,74598000,-2826000,-8535000,-38500000,0,0,-40667000,25396000,25396000,-17956000,7440000,-10756000,107656000,75953000,0.33333,-0.0955,-0.12859,-0.06847,-0.03521,-3.31398,2.51587,0.94444,0.16539,-0.3154,-0.31548,2.45268,4.60666,1.04522,-0.04309,0.15567,-6.53189,-4.12767
"14","2014_Q1",8.5272131147541,"Up",127170000,-97909000,29261000,-74608000,-66106000,-8502000,-45347000,-3494000,-1531000,-48841000,-48841000,-658000,-49499000,-49499000,-49499000,-49499000,36793000,36793000,92203000,92203000,263492000,29115000,22468000,421603000,71341000,133314000,88901000,29212000,12902000,242260000,663863000,200536000,157120000,37991000,25660000,226196000,45213000,35271000,9942000,153048000,379244000,206495000,-11091000,77038000,12177000,284619000,284619000,663863000,-49499000,5850000,-1678000,28820000,-16507000,-3995000,-10443000,25660000,1652000,1652000,26496000,-454000,-454000,-152000,-606000,-39497000,107835000,-14014000,0.23009,-0.35659,-0.38923,-0.17391,-0.07456,0.28312,1.86388,1.33246,0.16244,-0.64792,-1.45086,1.66459,3.72553,-0.18344,-0.11146,-0.03202,-1.79867,-1.56663
"15","2014_Q2",8.43095238095238,"Down",351874000,-186977000,164897000,-103220000,-95307000,-7913000,61677000,-4891000,-2243000,56786000,56786000,-1474000,55312000,55312000,55312000,55312000,23557000,23557000,289222000,289222000,246197000,29671000,23212000,588647000,68735000,170147000,88883000,29147000,49826000,238882000,827529000,194817000,153600000,37578000,140587000,335404000,42019000,35275000,6744000,150036000,485440000,207176000,-9013000,131576000,12350000,342089000,342089000,827529000,55312000,5697000,1077000,-186884000,-124798000,-4004000,-4004000,114927000,1591000,1591000,115749000,-13053000,-13053000,-183000,-13236000,67374000,108017000,-122040000,0.46863,0.17528,0.15719,0.16169,0.06684,-2.20639,1.75504,1.41905,0.13053,0.7149,0.59365,4.54794,4.42147,-1.57736,0.11397,-0.24799,1.2536,1.36939
"16","2014_Q3",7.72078125,"Down",231893000,-141087000,90806000,-79995000,-73149000,-6846000,10811000,-5569000,-2957000,5242000,5242000,-1873000,3368999.99999999,3368999.99999999,3369000,3368999.99999999,28985000,28985000,196660000,196660000,208796000,26728000,20236000,461169000,65839000,175316000,88866000,29367000,54747000,241155000,702324000,140069000,101004000,36352000,60206000,200275000,42886000,35265000,7621000,151086000,351361000,207931000,-7991000,134159000,16864000,350963000,350963000,702324000,3368999.99999999,5460000,1355000,83279000,93463000,-2057000,-6579000,-80391000,414000,414000,-81353000,5531000,5531000,-103000,5428000,16271000,108200000,99366000.0000001,0.39159,0.04662,0.01453,0.0096,0.0048,29.49421,2.30268,1.00113,0.15406,0.0434000000000002,0.0428799999999998,2.98704,4.5208,1.27995,0.00826,0.19792,4.86848,7.32726
"17","2014_Q4",7.30125,"Down",168572000,-103265000,65307000,-67933000,-59789000,-8144000,-2626000,1796000,3833000,-830000,-830000,-304000,-1134000,-1134000,-1134000,-1134000,33462000,33462000,143090000,143090000,185583000,29484000,23559000,391619000,61881000,174044000,88847000,28403000,54106000,235925000,627544000,137585000,98914000,35094000,0,137585000,41364000,35101000,6263000,149750000,287335000,209261000,-8667000,132246000,7369000,340209000,340209000,627544000,-1134000,5222000,822000,64767000,69677000,-2284000,-2474000,-60196000,-789000,217000,-61785000,5418000,5418000,-941000,4477000,2596000,108386000,65383000,0.38741,-0.01558,-0.00673,-0.00333,-0.00181,-57.65697,2.84638,0.84458,0.17271,-0.0146,-0.0146,2.17103,4.38154,0.84207,-0.00072,0.13345,28.86133,-28.53161
"18","2015_Q1",8.36245901639344,"Up",134606000,-97690000,36916000,-76030000,-67648000,-8382000,-39114000,-445000,1319000,-39559000,-39559000,-1980000,-41539000,-41539000,-41539000,-41539000,37635000,37635000,109848000,109848000,207229000,29321000,23312000,384033000,58093000,132008000,88833000,27821000,13008000,240778000,624811000,168867000,123251000,42993000,15261000,184128000,40575000,35043000,5532000,149149000,333277000,210841000,-8443000,89932000,-796000,291534000,291534000,624811000,-41539000,4857000,2498000,32722000,-1462000,-1950000,-12009000,15235000,69000,68999.9999999999,14503000,1032000,1032000,3141000,4173000,-34257000,108574000,-1504999.99999999,0.27425,-0.29058,-0.3086,-0.14248,-0.06648,0.0362299999999891,2.08568,1.14318,0.17377,-0.53539,-0.64741,1.7349,3.75751,-0.0193999999999999,-0.0925,-0.00342000000000001,-2.07079000000001,-1.81365000000001
"19","2015_Q2",9.39730158730159,"Up",284179000,-156913000,127266000,-90334000,-82418000,-7916000,36932000,525000,2546000,37457000,37457000,-1638000,35819000,35819000,35819000,35819000,23236000,23236000,261888000,261888000,181488000,29932000,23955000,496544000,55588000,128636000,88820000,26675000,10918000,236600000,733144000,165997000,131586000,32427000,94344000,260341000,39913000,35322000,4591000,148689000,409030000,208250000,-3147000,124929000,-5918000,324114000,324114000,733144000,35819000,4703000,1756000,-132626000,-90348000,-2392000,-2392000,79083000,837000,2239000,79140000,-13600000,-13600000,-799000,-14399000,41635000,108776000,-91745000,0.44784,0.12996,0.12604,0.11051,0.04886,-2.56135,1.90728,1.26199,0.14837,0.46068,0.38148,3.65489,4.16851,-1.17995,0.07741,-0.19404,2.05452,2.31615
"20","2015_Q3",8.63,"Down",230504000,-128807000,101697000,-83105000,-75502000,-7603000,18592000,-3957000,-2021000,14635000,14635000,-1817000,12818000,12818000,12818000,12818000,26714000,26714000,220401000,220401000,171396000,28271000,22533000,446782000,54701000,128697000,88808000,27210000,10414000,235774000,682556000,147683000,112064000,33706000,42624000,190307000,39940000,35385000,4555000,148909000,339216000,209541000,-107000,136944000,-3038000,343340000,343340000,682556000,12818000,4454000,1835000,38573999.9999999,57681000,-3518000,-3518000,-51719000,2578000,3091000,-49926000,4237000,4237000,-759000,3478000,23046000,108969000,59919000,0.44119,0.08066,0.05561,0.03733,0.01878,4.6746,2.34769,0.98799,0.15965,0.16351,0.13505,2.94029,4.37962,0.76432,0.02763,0.12172,3.56917,4.42421
"21","2015_Q4",9.48921875,"Up",175780000,-98178000,77602000,-76835000,-68162000,-8673000,767000,-2837000,683000,-2070000,-2070000,-1547000,-3617000,-3617000,-3617000,-3617000,41592000,41592000,153040000,153040000,184845000,26001000,19455000,405478000,53810000,126926000,88795000,26868000,9031000,233112000,638590000,155822000,117080000,35645000,25000,155847000,39908000,35389000,4519000,66609000,222456000,293808000,-38000,132437000,-10073000,416134000,416134000,638590000,-3617000,4193000,1503000,58978000,61057000,-2601000,-2601000,-42599000,-27000,0,-43515000,14941000,14941000,-63000,14878000,4960000,26701000,62884000,0.44147,0.00436,-0.02058,-0.00869,-0.00566,-17.38568,2.60177,0.53458,0.04181,-0.04312,-0.04312,2.09574,4.96136,0.74973,-0.00565,0.13026,-3.00222,-19.4146
"22","2016_Q1",8.65967213114754,"Down",153331000,-102263000,51068000,-80416000,-71395000,-9021000,-29348000,-611000,257000,-29959000,-29959000,-493000,-30452000,-30452000,-30452000,-30452000,49801000,49801000,115607000,115607000,208883000,17196000,16709000,391487000,55808000,130614000,88782000,26500000,8370000,239737000,631224000,163667000,122620000,39224000,14969000,178636000,39643000,35093000,4550000,39643000,218279000,323731000,-20000.0000000001,101047000,-11813000,412945000,412945000,631224000,-30452000,4029000,2101000,26513000,2191000,-5856000,-9900000,14969000,1217000,1235000,15249000,7540000,7540000,669000,8209000,-25319000,-1.49011611938477e-08,-4169000,0.33306,-0.1914,-0.1986,-0.07374,-0.04824,0.136900000000004,2.19153,0.52859,0,-0.32942,-0.46308,1.65869,4.46712,-0.0451,-0.06521,-0.00921,1.96694,1.69691
"23","2016_Q2",9.519375,"Up",274053000,-141661000,132392000,-87064000,-78830000,-8234000,45328000,-5537000,-4916000,39791000,39791000,-1401000,38390000,38390000,38390000,38390000,35136000,35136000,233210000,233210000,186149000,16203000,14346000,470698000,55631000,130968000,88769000,26777000,8480000,241174000,711872000,141384000,110268000,28375000,78969000,220353000,38860000,34866000,3994000,38860000,259213000,325864000,-2408000,138451000,-9248000,452659000,452659000,711872000,38390000,4157000,1924000,-115930000,-71459000,-4957000,-3113000,6.4e+07,-2494000,384000,60565000,-14007000,-14007000,-658000,-14665000,49485000,0,-70001000,0.48309,0.1654,0.14008,0.08481,0.05393,-1.82342,2.13611,0.57265,0,0.40861,0.40231,2.91695,4.81798,-0.74507,0.08002,-0.14242,-0.71003,-0.77515
"24","2016_Q3",11.04,"Up",245594000,-134961000,110633000,-89765000,-81477000,-8288000,20868000,-2488000,-2141000,18380000,36042000,-1937000,34105000,34105000,34105000,34105000,67619000,67619000,205058000,205058000,151446000,15052000,12670000,439175000,53399000,130843000,88757000,26306000,8525000,233350000,672525000,141856000,106482000,31605000,5331000,147187000,39031000,34824000,4207000,39031000,186218000,326747000,-1691000,171607000,-10356000,486307000,486307000,672525000,34105000,4180000,-14844000,65779000,89220000,-2510000,20619000,-73638000,-543000,1712000,-75122000,34717000,34717000,-2234000,32483000,25048000,-1.16415321826935e-10,90254000,0.45047,0.08497,0.13887,0.07013,0.05071,2.64636,2.98379,0.38292,2.16840434497101e-19,0.36271,0.35566,2.6119,5.17188,0.95985,0.06671,0.1718,-2.69958,-3.24032
"25","2016_Q4",11.2287301587302,"Up",187850000,-108975000,78875000,-84140000,-75720000,-8420000,-5265000,820000,1251000,-4445000,-4445000,-1294000,-5739000,-5739000,-5866000,-5866000,124628000,124628000,158262000,158262000,157002000,12063000,11136000,451955000,55775000,131299000,88743000,26235000,9054000,236182000,688137000,155806000,118264000,35795000,0,155806000,39439000,34844000,4595000,39439000,195245000,328658000,-936000,164800000,-9219000,483303000,492892000,688137000,-5739000,4204000,4116000,65279000,67860000,-4676000,-4676000,-5331000,529000,529000,-5742000,57442000,57442000,-433000,57009000,-1061000,0,60836000,0.41988,-0.02803,-0.03123,-0.0119,-0.00852,-10.37095,2.90075,0.39612,0,-0.06235,-0.06235,1.99668,5.13709,0.64663,-0.00925,0.11428,117.46277,23.67104
