"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",18.12765625,"Up",446708000,-239891000,206817000,-161618000,-148536000,-13082000,45199000,-9093000,1167000,36106000,36106000,-7208000,28898000,28898000,28931000,28931000,81490000,81490000,263652000,263652000,360467000,80371000,64954000,785980000,121511000,957492000,499727000,209773000,179240000,1151241000,1937221000,264428000,208287000,50050000,192720000,461791000,247668000,85829000,161839000,713494000,1175285000,320535000,-25773000,489445000,-22271000,761936000,761936000,1937221000,28898000,9022000,25884000,6041000,69845000,-12099000,-12099000,-49579999.9999999,-16999.9999999925,27377000,-51497000.0000001,6249000,6249000,-3698000,2551000,54221000,470469000,55371000,0.46298,0.10118,0.06476,0.03797,0.01493,1.9139,1.70203,1.5425,0.24286,0.30755,0.30172,4.74868,8.09967,0.58861,0.02083,0.03741,7.17395,8.60592
"37","2019_Q4",20.45140625,"Up",426217000,-234828000,191389000,-150900000,-138362000,-12538000,40489000,-7313000,2232000,33176000,33176000,-2128000,31048000,31048000,31048000,31048000,88216000,88216000,223385000,223385000,340314000,79930000,63934000,731845000,127077000,928488000,487049000,201044000,170798000,1127803000,1859648000,264786000,200352000,53331000,135823000,407905000,229368000,82252000,147116000,674387000,1082292000,322738000,-25574000,519551000,-39359000,777356000,777356000,1859648000,31048000,8472000,8188000,66904000,114612000,-13412000,-13412000,-73562000,-111000,0,-93620000,7580000,7580000,-854000,6726000,48961000,452315000,104581000,0.44904,0.095,0.07285,0.03994,0.0167,3.36837,1.79416,1.39227,0.24323,0.32995,0.32246,4.5295,8.26113,1.11141,0.02192,0.07168,7.43651,8.99254
"38","2020_Q1",17.2162903225806,"Down",311941000,-181793000,130148000,-152804000,-140383000,-12421000,-22656000,-8914000,135000,-31570000,-31570000,2352000,-29218000,-29218000,-29218000,-29218000,106666000,106666000,140455000,140455000,456639000,85590000,75671000,789350000,132760000,948304000,493423000,203743000,177190000,1171198000,1960548000,344931000,276300000,56527000,170998000,523246000,226690000,73483000,153207000,669949000,1193195000,324556000,-24163000,489382000,-22422000,767353000,767353000,1960548000,-29218000,9480000,4138000,38297000,22697000,-17864000,-35761000,32346000,-200000.000000002,368000,31784000,18720000,18720000,-270000,18450000,-13176000,450576000,4905000,0.41722,-0.07263,-0.09367,-0.03808,-0.0149,-0.16788,1.50856,1.55495,0.22982,-0.31033,-0.3026,3.31316,8.15015,0.0521,-0.01957,0.0034,-26.10124,-15.17964
"39","2020_Q2",13.8846031746032,"Down",442276000,-246602000,195674000,-154994000,-141754000,-13240000,40680000,-2635000,6480000,38045000,38045000,-9151000,28894000,28894000,28894000,28894000,166635000,166635000,259530000,259530000,412690000,95267000,74219000,934122000,150969000,959851000,487864000,200787000,209683000,1200954000,2135076000,276037000,224282000,39229000,364137000,648908000,272427000,72289000,200138000,726201000,1375109000,308089000,-27609000,517004000,-37517000,759967000,759967000,2135076000,28894000,8997000,24440000,-156013000,-93682000,-16953000,-16953000,197527000,-21808000,130000,174770000,64135000,64135000,-4166000,59969000,49677000,462508000,-114138000,0.44243,0.09198,0.06533,0.03802,0.01353,-3.95023,1.43953,1.80943,0.21662,0.30638,0.302,4.68965,8.05827,-1.21026,0.01996,-0.07635,5.95594,7.27318
"40","2020_Q3",18.790625,"Up",296996000,-174941000,122055000,-125235000,-115215000,-10020000,-3180000.00000001,1834000,13997000,-1346000,-175615000,7931000,-167684000,-167684000,-167684000,-167684000,164416000,164416000,214004000,214004000,379169000,82972000,66348000,840561000,149618000,779343000,465696000,55579000,209322000,1019095000,1859656000,250644000,204980000,39234000,84323000,343620000,262637000,65712000,196925000,891488000,1235108000,342571000,-26607000,348376000,-39792000,624548000,624548000,1859656000,-167684000,9360000,168990000,62695000,73361000,-8144000,-13378000,-23750000,-14999.9999999963,0,-65601000,-5618000.00000001,-5618000.00000001,3399000,-2219000.00000001,6179999.99999999,637504000,52800000,0.41097,-0.0107099999999999,-0.5646,-0.26849,-0.09017,-0.31488,2.44619,1.9776,0.34281,-1.7812,-1.80745,3.1548,6.63418,0.56086,-0.10936,0.03463,76.55146,-148.76981
"41","2020_Q4",20.39890625,"Up",475559000,-274826000,200733000,-137224000,-127085000,-10139000,63509000,-5717000,7010000,57792000,57792000,-5360000,52432000,52432000,52432000,52432000,286656000,286656000,239650000,239650000,324852000,73988000,66667000,925146000,145758000,783962000,474973000,56041000,201076000,1041162000,1966308000,298541000,245053000,43162000,58246000,371410000,255353000,60636000,194717000,906364000,1277774000,345381000,-26329000,400805000,-31323000,688534000,688534000,1966308000,52432000,10311000,10108000,70021000,142872000,-5806000,-20571000,-377000,-190000,0,-591000,121710000,121710000,530000,122240000,73820000,665634000,143395000,0.4221,0.13355,0.11025,0.07615,0.02667,2.73488,2.4909,1.85579,0.33852,0.55677,0.55677,5.04995,7.31153,1.52271,0.03258,0.08909,5.13381,5.96731
"42","2021_Q1",28.2881967213115,"Up",374629000,-235506000,139123000,-171378000,-158477000,-12901000,-32255000,-15445000,-2518000,-47700000,-47700000,7124000,-40576000,-40576000,-40576000,-40576000,366119000,366119000,138482000,138482000,352544000,55482000,35164000,912627000,146495000,810036000,484339000,56658000.0000001,269039000,1067973000,1980600000,307146000,276209000,30937000,84126000,391272000,263120000,58628000,204492000,913684000,1304956000,347901000,-25939000,360228000,-6546000,675644000,675644000,1980600000,-40576000,10840000,14246000,121177000,105687000,-8310000,-8310000.00000001,-12601000,48000,118000,-12512000,84865000,84865000,-5402000,79463000,-21415000,650564000,84328000,0.37136,-0.0861,-0.10831,-0.0600600000000001,-0.02049,-2.07827,2.33246,1.93143,0.32847,-0.430819999999999,-0.430820000000001,3.97767,7.17374,0.89536,-0.02553,0.05306,-13.28251,-8.81863
"43","2021_Q2",32.1406349206349,"Up",651600000,-321600000,3.3e+08,-253900000,-173900000,-12700000,76100000,-8400000,9e+06,67700000,320200000,-47700000,272500000,272500000,272500000,272500000,397289000,397289000,328841000,328841000,336314000,140747000,96962000,1203191000,1192278000,4705838000,1557875000,2032057000,1115906000,5905366000,7108557000,467374000,138665000,328709000,228965000,696339000,1402791000,198846000,1203945000,2577781000,3274120000,3240376000,-21143000,632650000,-17446000,3834437000,3834437000,7108557000,272500000,20300000,-208500001,-162900000,-78600001,-28800000,142500000,-9200000,-12200000,3e+05,-30400000,33499999,33499999,-2300000,31199999,96400000,1174990000,-47600000,0.50645,0.11679,0.4182,0.07107,0.03833,-0.17468,1.72788,0.85387,0.16529,2.3195,2.18753,5.54638,32.63851,-0.40517,0.0425,-0.00742,8.06744,10.21946
"44","2021_Q3",30.4209375,"Down",913600000,-357800000,555800000,-448500000,-221100000,-20300000,107300000,-31400000,-2500000,75900000,75900000,15800000,91699999.9999999,91699999.9999999,91700000,91700000,415204000,415204000,325275000,325275000,335346000,178225000,123197000,1254050000,1264886000,4725158000,1556637000,2021908000,1146613000,6017784000,7271834000,522004000,426577000,95426999.9999999,265628000,787632000,1417091000,196233000,1220858000,2744739000,3532371000,3026854000,-90000,724393000,-11694000,3739463000,3739463000,7271834000,91700000.0000001,43200000,14600001,29599999.9999999,179100001,-9.2e+07,-9.2e+07,-8.9e+07,18100000,18100000,-70900000,16200001,16200001,4200000,20400001,150500000,1327648000,72300000,0.60836,0.11745,0.10037,0.02452,0.01261,0.78844,1.59218,0.94462,0.18257,0.78055,0.73613,7.77651,31.83009,0.61541,0.01414,0.01115,6.06275,8.50367
"45","2021_Q4",27.7775,"Down",856500000,-328400000,528100000,-452100000,-217700000,-15800000,7.6e+07,-25800000,2900000,50200000,50200000,-66200000,-1.6e+07,-1.6e+07,-1.6e+07,-1.6e+07,508177000,508177000,255223000,255223000,385311000,190700000,142539000,1339411000,1330326000,4718392000,1537047000,2025175000,1156170000,6057968000,7397379000,569584000,453638000,115946000,270571000,840155000,1474252000,241205000,1233047000,2835298000,3675453000,3039469000,-512000,708391000,-25422000,3721926000,3721926000,7397379000,-1.6e+07,44400000,97100000,20800000,146300000,-78100000,-59500000,14300000,7e+05,1100000,1.5e+07,101800000,101800000,-5600000,96200000,120400000,1361046000,129300000,0.61658,0.08873,-0.01868,-0.0043,-0.00216,-8.08125,1.59424,0.98751,0.18399,-0.17017,-0.17017,9.10926,39.58435,1.37516,-0.00244,0.01972,7.08363,11.22196
"46","2022_Q1",24.2520967741936,"Down",711747000,-262336000,449411000,-504096000,-236971000,-19200000,-54685000,-41004000,-439000,-95689000,-95658000,69446000,-26212000,-26212000,-26212000,-26212000,352200000,352200000,105300000,105300000,533500000,174700000,120500000,1165700000,1451400000,5130700000,1528600000,1960100000,1.642e+09,6582100000,7747800000,620100000,491200000,128900000,245900000,8.66e+08,2173600000,163600000,2.01e+09,3198900000,4064900000,3053500000,-25500000,682200000,-27300000,3682900000,3682900000,7747800000,-26212000,47922000,-13309000,23056000,31457000,-123354000,-152864000,-15284000,-22467000,2770000,-37772000,-159179000,-159179000,2948000,-156231000,-6763000,1025300000,-176507000,0.63142,-0.07683,-0.03683,-0.00712,-0.00338,6.73382,1.34607,1.10372,0.13233,-0.27878,-0.27878,7.56975,39.16929,-1.87723,-0.00381,-0.02565,-99.52684,-12.30868
"47","2022_Q2",21.4993548387097,"Down",1040200000,-450800000,589400000,-495099999,-243100000,-17500000,94300001,-23300000,8100000,71000001,71000001,15700000,86700001,86700001,86700001,86700001,2.45e+08,2.45e+08,413100000,413100000,552400000,1.93e+08,135700000,1403500000,1534500000,5141400000,1518100000,1974400000,1648900000,6675900000,8079400000,644699999,536799999,107900000,511800000,1156499999,1688400000,1.44e+08,1544400000,3222400000,4378899999,2986200000,-35700000,781300000,-31300000,3700500000,3700500000,8079399999,86700000,42600000,24400000,-338999999,-185299999,-124300000,-124300000,2.45e+08,-34300000,9384841.08733565,205100000,-104499999,-104499999,-3e+06,-107499999,136900001,1.534e+09,-342099998,0.56662,0.09066,0.08335,0.02343,0.01073,-3.94579,1.21358,1.18333,0.18987,0.4662,0.4662,5.59335,19.89826,-1.83953,0.01252,-0.04942,9.41563,13.66914
"48","2022_Q3",22.4078260869565,"Up",1115700000,-449100000,666600000,-537600000,-252600000,-18700000,1.29e+08,-20700000,11800000,108300000,108300000,-2900000,105400000,105400000,105400000,105400000,178300000,178300000,3.76e+08,3.76e+08,6.04e+08,183400000,126200000,1341700000,1600100000,5214400000,1507200000,1982700000,1724500000,6814500000,8156200000,644199999,531799999,112400000,392100000,1036299999,2262300000,119300000,2.143e+09,3329700000,4365999999,2997600000,-34100000,886700000,-6e+07,3790200000,3790200000,8156199999,105400000,48800000,43500000,-60500001.0000001,137199999,-118700000,-118700000,-83200000,-1e+05,1e+05,-83299999.9999999,-64800001,-64800001,-2500000,-67300001,177800000,1067400000,1499999,0.59747,0.11562,0.09447,0.02781,0.01292,0.01423,1.2947,1.15192,0.13087,0.57066,0.52542,6.04061,20.52084,0.0081199999999999,0.0148,0.000209999999999995,5.00055999999999,6.89225
