"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","dividend_payout_ratio"
"1","2010_Q4",2.605,"Up",70736000,48832000,66000,21838000,7947000,12422000,10014000,1469000,-29370000,-20053000,21313000,21313000,21313000,-8236000,13077000,13077000,13077000,13077000,719901287.656986,-128218454.320022,33037542.1192155,5479755.02089223,8862751.09815288,400780180.01893,1039843061.59415,410106255.557593,486545948.76145,23525970.0110469,920178174.33009,34626685.43329,-3117377.5640338,88154116.5887029,119664887.264064,119664887.264064,1039843061.59415,-360401000,-275000,395288000,397219000,-3922000,-368000,0,0,-4290000,32528000,32528000,32528000,0,0.3013,0.18487,6.97264234014838,0.0240910724134179,0.33388,0.32468,1.80601,2.98165550563359,0.10014,0.29992
"2","2011_Q1",3.08693548387097,"Up",68107000,46937000,615000,20555000,7575000,11593000,11593000,1387000,-35498000,-20659000,11950000,11950000,11950000,-5754000,6196000,6196000,6196000,6196000,224532000,133645000,46486000,5407000,9446000,384321000,803837000,487263000,153622000,23162000,664047000,34079000,-3109000,108819000,139790000,139790000,803837000,-289943000,-126000,154017000,152142000,-3921000,-368000,3731000,-3853000,-4411000,-142212000,-142212000,-142212000,23162000,0.17546,0.09097,4.75032,0.02881,0.15841,0.15269,1.74129,3.57398,0.10025,0.63283
"3","2011_Q2",2.97984126984127,"Down",64333000,48004000,257000,16072000,8353000,6311000,6311000,1408000,-26185000,-15072000,23076000,23076000,23076000,-9178000,13898000,13898000,13898000,13898000,64815904.114338,289869151.440007,53603652.6269282,5635498.32636926,10700916.3006157,371253273.327023,795878396.135282,524283414.814136,96486767.0795168,22795593.329651,643565775.223303,34280938.1889033,-3104707.4786554,121135544.470432,152312620.911979,152312620.911979,795878396.135282,226000,-399000,119582000,123016000,-5000,-666614.466997336,4353847.70917294,-4403681.90918781,-5000,123237000,123237000,123237000,0,0.3587,0.21603,4.24462671995054,0.0281538091955274,0.35285,0.34032,1.63331,3.91712483145547,0.00013,0.00036
"4","2011_Q3",2.38390625,"Down",53672000,49524000,-21000,4169000,9343000,-6680000,-6680000,1506000,-25852000,-14699000,13121000,13121000,13121000,-5572000,7549000,7549000,7549000,7549000,95945000.0000001,356739000,55582000,6087000,12026000,370358000,896737000,535643000,180461000,22427000,738531000,34990000,-3102000,126317000,158206000,158206000,896737000,-258952000,-559000,334684000,329859000,-3944000,-735000,3103758.21161795,-3012058.77461175,-4679000,66228000,66228000,66228000,22427000,0.24447,0.14065,4.66816,0.02501,0.19363,0.18651,1.3767,4.058,0.10116,0.52245
"5","2011_Q4",2.24507936507937,"Down",49413000,49634000,122000,-343000,8727000,-10556000,-10556000,1486000,-29343000,-18827000,1243000,1243000,1243000,-268000,975000,975000,975000,975000,153476000,328838000,53490000,6597000,13013000,411534000,966948000,538733000,249210000,22059000,810002000,35959000,-3102000,124088000,156946000,156946000,966948000,-278642000,-590000,207543000,219270000,-5000,-368000,1235789.60825399,-1071906.25272982,-373000,-59745000,-59745000,-59745000,22059000,0.02516,0.01973,5.16102,0.02281,0.0249,0.0242,1.26192,4.0081,0.00013,0.00513
"6","2012_Q1",2.39741935483871,"Up",58443000,51823000,430000,6190000,8382000,-3603000,-3603000,1411000,-42929000,-19236000,-3722000,-3722000,-3722000,1409000,-2313000,-2313000,-2313000,-2313000,99146000,229685000,48560000,7116000,12996000,496523000,894026000,547057000,175273000,21691000,744021000,36947000,-3101000,116158000,150005000,150005000,894026000,-271673000,-783000,259816000,247149000,-8816000,-368000,4999.99999999814,22999.9999999981,-9156000,-33680000,-33680000,-33680000,21691000,-0.06369,-0.03958,4.95997,0.02426,-0.059,-0.05759,1.4907,3.82614,0.22487,-3.8115
"7","2012_Q2",2.32587301587302,"Down",60247000,48640000,-36000,11643000,8442000,1761000,1761000,1440000,-26174000,-17844000,16229000,16229000,16229000,-6356000,9873000,9873000,9873000,9873000,100796000,325968000,47835000,8441000,11798000,441818000,936656000,543341000,215418000,21324000,780083000,37908000,-3101000,121765000,156573000,156573000,936656000,-24412000,-1524000,119686000,121367000,-254000,-367000,91000,-142000,-672000,96283000,96283000,96283000,21324000,0.26937,0.16388,4.98223,0.02277,0.25066,0.24351,1.52958,3.97512,0.00645,0.02573
"8","2012_Q3",2.19730158730159,"Down",59928000,55694000,-16000,4250000,10203000,-7493000,-7493000,1540000,-29437000,-17499000,12992000,12992000,12992000,-5215000,7777000,7777000,7777000,7777000,85626000,356325000,60008000,8915000,17744000,587555000,1116173000,571577000,361879000,20956000,954412000,38538000,-3101000,126323000,161761000,161761000,1116173000,-61099000,-685000,97615000,95891000,-4017000,-368000,0,-50000,-4435000,30357000,30357000,30357000,20956000,0.21679,0.12977,5.90014,0.01877,0.19605,0.19261,1.51074,4.07785,0.10127,0.51652
"9","2012_Q4",2.67354838709677,"Up",74537000,59512000,215000,14810000,8283000,4949000,4949000,1578000,-36301000,-24262000,13974000,13974000,13974000,-5718000,8256000,8256000,8256000,8256000,52883000,365675000,59241000,8838000,18019000,475256000,979912000,581388000,211922000,20588000,813898000,37827000,-3101000,131287000,166014000,166014000,979912000,-80537000,-138000,93642000,95051000,-3218000,-368000,116000,-1694000,-5164000,9350000,9350000,9350000,20588000,0.18748,0.11076,4.90259,0.02101,0.20806,0.20408,1.87841,4.18369,0.0811,0.38978
"10","2013_Q1",3.08033333333333,"Up",75227000,67274000,278000,7675000,7930000,-1695000,-1695000,1440000,-34275000,-31588000,9364000,9364000,9364000,-4958000,4406000,4406000,4406000,4406000,89050000,347392000,52142000,8968000,17282000,410901000,925735000,581312000,160688000,20221000,762221000,39103000,-3101000,127511000,163514000,163514000,925735000,-51446000,-351000,49057000,44993000,-11467000,-368000,9.31322574615479e-10,5000,-11830000,-18283000,-18283000,-18283000,20221000,0.12448,0.05857,4.6615,0.02184,0.11093,0.10723,1.89398,4.11675,0.2887,2.60259
