"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.6096825396825,"Up",2602115000,-1841640000,760475000,-598360000,-576217000,-22143000,162115000,162115000,162115000,-61506000,100609000,100609000,100609000,100609000,333537000,333537000,1323980000,1323980000,2211457000,277257000,277257000,4146231000,477269000,545262000,204907000,167632000,172723000,1022531000,5168762000,1328869000,1185177000,65083000,185260000,185260000,1514129000,5e+08,469067000,299567000,169500000,969067000,2483196000,158792000,2802369000,-283579000,2677582000,7984000,2685566000,5168762000,100609000,100609000,22143000,1110000,15783000,139645000,-9850000,-9850000,-65772000,-75622000,-63544000,-9306000,2581000,-70269000,-6246000,-6246000,2980000,-3266000,184258000,5e+08,251697000,0.29225,0.0623,0.03866,0.03746,0.01946,2.50173,2.73836,0.92465,0.09673,0.63367,0.63205,16.38911,16.86443,1.58528,0.40022,10.922415602549,0.04492,0.06887,0.63159,0.90342,1.02682
"2","2010_Q3",29.870625,"Up",2847186000,-2024876000,822310000,-621517000,-598331000,-23186000,200793000,200793000,200793000,-76326000,124467000,124467000,124467000,124467000,411872000,411872000,1353918000,1353918000,2164548000,280159000,280159000,4210497000,469150000,539713000,201326000,164657000,173730000,1008863000,5219360000,1386862000,1286681000,64687000,188511000,188511000,1575373000,5e+08,470780000,296823000,173957000,970780000,2546153000,157613000,2815427000,-308540000,2664500000,8707000,2673207000,5219360000,124467000,124467000,23186000,537000,64617000,212807000,-18062000,-18062000,-1920999.99999999,-19983000,-65083000,-53831000,3888000,-115026000,77798000,77798000,537000,78335000,223979000,5e+08,346860000,0.28881,0.07052,0.04372,0.04656,0.02385,2.78676,2.6727,0.95247,0.0958,0.78649,0.78451,17.9909,16.83654,2.19175,0.41125,7.75862165469281,0.05202,0.09519,0.52289,0.39347,0.4389
"3","2010_Q4",33.94734375,"Up",2950560000,-2097529000,853031000,-640542000,-618449000,-22093000,212489000,212489000,212489000,-80704000,131785000,131785000,131785000,131785000,531731000,531731000,1394870000,1394870000,2182413000,282287000,282287000,4391301000,478436000,544033000,207237000,152248000,184548000,1022469000,5413770000,1482446000,1371718000,64584000,238439000,238439000,1720885000,5e+08,415103000,239326000,175777000,915103000,2635988000,157535000,2880155000,-268502000,2769188000,8594000,2777782000,5413770000,131785000,131785000,22093000,2190000,59902000,215970000,-31019000,-31019000,-15387000,-46406000,-64686000,-6301000,2208000,-68779000,100785000,100785000,19074000,119859000,234582000,5e+08,344169000,0.28911,0.07202,0.04466,0.04744,0.02434,2.61159,2.55177,0.94895,0.09236,0.8364,0.83434,18.72622,17.57512,2.18433,0.41054,6.2844831205098,0.0532,0.0932,0.49084,-0.13527,-0.14933
"4","2011_Q1",37.0141935483871,"Up",2807728000,-1990600000,817128000,-602681000,-573670000,-21910000,214447000,186386000,186386000,-67736000,118650000,118650000,118650000,118650000,529968000,529968000,1364406000,1364406000,2224717000,295796000,295796000,4414887000,484130000,566027000,209548000,157392000,199087000,1050157000,5465044000,1606155000,1374930000,64600000,115659000,115659000,1971814000,2.5e+08,440516000,258807000,181709000,690516000,2662330000,157636000,2934535000,-298352000,2793819000,8895000,2802714000,5465044000,118650000,118650000,21910000,10237000,-40556000,110241000,-22772000,-26448000,-7565000,-30337000,-64585000,-5569000,3659000,-66495000,13409000,13409000,-15172000,-1763000,236357000,5e+08,240765000,0.29103,0.07638,0.04226,0.04233,0.02171,2.0292,2.239,0.94991,0.09149,0.75316,0.75067,17.82266,17.73437,1.52831,0.40997,6,0.04895,0.06432,0.54433,-0.12679,-0.13975
"5","2011_Q2",37.945873015873,"Up",2974198000,-2125404000,848794000,-656814000,-634269000,-22545000,191980000,191980000,191980000,-65465000,126515000,126515000,126515000,126515000,465882000,465882000,1490744000,1490744000,2236758000,301845000,301845000,4495229000,479816000,594475000,229276000,155543000,209656000,1074291000,5569520000,1515153000,1369542000,70950000,238483000,238483000,2003636000,2.5e+08,437016000,252432000,184584000,687016000,2690652000,157543000,2982748000,-270029000,2870262000,8606000,2878868000,5569520000,126515000,126515000,22545000,68000,-95717000,53411000,-14534000,-14534000,-33903000,-48437000,-64600000,-9095000,1138000,-72557000,-67583000,-67583000,3497000,-64086000,214525000,5e+08,169739000,0.28539,0.06455,0.04254,0.04395,0.02272,1.34165,2.24354,0.93462,0.08977,0.80259,0.79742,18.86786,18.20851,1.0768,0.40981,6.4051722931634,0.05008,0.04448,0.51061,0.15904,0.17772
"6","2011_Q3",38.06421875,"Up",3184984000,-2268870000,916114000,-674563000,-651635000,-22928000,241551000,241551000,241551000,-89739000,151812000,151812000,151812000,151812000,516728000,516728000,1565889000,1565889000,2251595000,299079000,299079000,4633291000,486283000,597427000,227935000,151042000,218450000,1083710000,5717001000,1596316000,1492041000,70755000,261099000,261099000,2107415000,2.5e+08,428290000,243928000,184362000,678290000,2785705000,156767000,3023737000,-258480000,2922024000,9272000,2931296000,5717001000,151812000,151812000,22928000,1559000,20241000,196540000,-27214000,-27214000,-4222999.99999999,-31437000,-70950000,-46321000,1966000,-115305000,49798000,49798000,1048000,50846000,264479000,5e+08,347245000,0.28764,0.07584,0.04766,0.05179,0.02655,2.28734,2.19857,0.95033,0.08746,0.96545,0.95963,20.25491,18.58262,2.20831,0.45121,7,0.05772,0.08997,0.46735,-0.06325,-0.06925
"7","2011_Q4",41.5495238095238,"Up",3285560000,-2337028000,948532000,-701432000,-679967000,-21465000,247100000,247100000,247100000,-95268000,151832000,151832000,151832000,151832000,534801000,534801000,1531046000,1531046000,2250309000,330157000,330157000,4646313000,479547000,658858000,277924000,153319000,227615000,1138405000,5784718000,1702272000,1587326000,70134000,288388000,288388000,2240660000,2.5e+08,402667000,212876000,189791000,652667000,2893327000,155653000,3051467000,-325392000,2881728000,9663000,2891391000,5784718000,151832000,151832000,21465000,810000,73350000,247457000,-22184000,-22184000,-67003000,-89187000,-70686000,-57943000,980000,-127649000,30621000,30621000,-12548000,18073000,268565000,5e+08,414999000,0.2887,0.07521,0.04621,0.05251,0.02625,2.73328,2.07364,1.00067,0.08643,0.97207,0.96639,21.03512,18.44967,2.65695,0.45255,7,0.05865,0.10938,0.46555,-0.12958,-0.14084
"8","2012_Q1",46.3527419354839,"Up",3014135000,-2121535000,892600000,-655389000,-628501000,-21998000,237211000,210175000,210175000,-75218000,134957000,134957000,134957000,134957000,525054000,525054000,1461011000,1461011000,2440111000,328534000,328534000,4754710000,500204000,947860000,279775000,261608000,406477000,1448064000,6202774000,1680966000,1440762000,70021000,331582000,331582000,2012548000,5e+08,936635000,493721000,442914000,1436635000,3449183000,155651000,3070394000,-482038000,2744007000,9584000,2753591000,6202774000,134957000,134957000,21998000,-5595000,-23841000,127519000,-30629000,-39537000,-31807000,-62436000,-70133000,-8719000,223000,-78629000,-13546000,-13546000,3799000,-9747000,259209000,5e+08,279957000,0.29614,0.0787,0.04477,0.04901,0.02176,2.07442,2.36253,1.25261,0.08061,0.8676,0.86139,19.37703,17.64045,1.79976,0.45087,6,0.04894,0.06681,0.51967,-0.09666,-0.10562
"9","2012_Q2",46.1830158730159,"Down",3181288000,-2262177000,919111000,-690943000,-667958000,-22985000,228168000,228168000,228168000,-81913000,146255000,146255000,146255000,146255000,424424000,424424000,1605469000,1605469000,2264398000,307255000,307255000,4601546000,500845000,993438000,292893000,246590000,453955000,1494283000,6095829000,1723308000,1559874000,77168000,208061000,208061000,1931369000,5e+08,770466000,487932000,282534000,1270466000,3201835000,155910000,3182118000,-453519000,2884509000,9485000,2893994000,6095829000,146255000,146255000,22985000,-3636000,6693000,172297000,-16889000,-16889000,-188918000,-205807000,-70019000,-296000,2213000,-68102000,-101612000,-101612000,982000,-100630000,251153000,5e+08,322870000,0.28891,0.07172,0.04597,0.05054,0.02399,2.20758,2.38253,1.10637,0.08202,0.93868,0.93186,20.41774,18.51299,2.0722,0.44939,7,0.05193,0.07753,0.47875,0.30092,0.33123
"10","2012_Q3",46.6538095238095,"Up",3337836000,-2365550000,972286000,-704981000,-680246000,-24735000,267305000,267305000,267305000,-98687000,168618000,168618000,168618000,168618000,171577000,171577000,1605696000,1605696000,2333592000,312510000,312510000,4423375000,567013000,1194541000,498288000,240261000,455992000,1761554000,6184929000,1709565000,1599695000,77081000,268691000,268691000,1978256000,5e+08,774851000,485317000,289534000,1274851000,3253107000,155101000,3225152000,-458444000,2921809000,10013000,2931822000,6184929000,168618000,168618000,24735000,858000,54805000,249016000,-34479000,-34479000,-336983000,-371462000,-77168000,-54719000,2058000,-129829000,-252275000,-252275000,-572000.000000001,-252847000,292040000,5e+08,411053000,0.29129,0.08008,0.05052,0.05751,0.02726,2.43778,2.236,1.10959,0.08084,1.08261,1.07565,21.43045,18.75937,2.63915,0.49545,7,0.05843,0.09771,0.45765,1.12458,1.22865
