"","YQ","p","d","revenue","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.0628125,"Down",40676,-545890,-505214,595,595,635,-504619,-504579,-504579,-504579,-504579,-504579,674375,674375,35675,35675,10588,10588,720638,13514,1318712,974762,343950,1332226,2052864,627414,627414,0,347996.225422914,347923.610273432,627414,627414,23184195,-21758745,1425450,1425450,2052864,-504579,8159,98935,98935,-20038,-35000,6746,8216,-417523,-1230,-1230,-41030,-458553,-458553,-458553,-497055,0,-12.42044,-12.40483,-0.35398,-0.24579,1.14858,0.44015,0,-0.03813,-0.03813,0.00307,0.10771,-0.35398,1.35674,1.33483
"2","2011_Q1",1.01903225806452,"Down",12386,-216230,-203844,-105608,-105608,677,-309452,-368577,-368577,-368577,-368577,-368577,1278094,1278094,226000,226000,580051,80051,2084145,13061,1651421,902647,748774,1664482,3748627,629109,608409,20700,225720,225720,854829,1854829,23650550,-21756752,1893798,1893798,3748627,-368576,35514,324101,317898,17627,-190325,-20435,228387,8666,0,0,-54947,603719,603719,603719,-168330,0,-16.45761,-29.75755,-0.19462,-0.09832,2.43808,0.97942,0,-0.02738,-0.02738,0.000920000000000001,0.14069,-0.12737,7.59279,6.26996
"3","2011_Q2",0.996825396825397,"Down",393843,-634281,-240438,-139560,-139560,440,-379998,-379932,-379932,-379932,-379932,-379932,1148923,1148923,338911,338911,518583,18583,2006417,12608,1534434,888970,645464,1547042,3553459,699143,669143,30000,175450,175450,874593,1874593,23900550,-22221684,1678866,1678866,3553459,-379932,30050,125000,125000,133321,-112911,210735,35497,-91561,0,0,-37610,-129171,-129171,-129171,-210388,0,-0.61049,-0.96468,-0.2263,-0.10692,2.29412,1.11658,0,-0.02788,-0.02788,0.0289,0.12319,-0.14183,5.46097,4.77846
"4","2011_Q3",1.27265625,"Up",200174,-620654,-420480,140329,140329,395,-280151,-560183,-560183,-560183,-560183,-560183,969765,969765,140100,140100,614863,114863,1724728,12155,1425077,875294,549783,1437232,3161960,709960,607460,102500,152610,152610,862570,1862570,23953647,-22654367,1299390,1299390,3161960,-560183,30050,235707,125000,160508,198811,50117,-88420,-133918,0,0,-45240,-179158,-179158,-179158,-390430,1.0097419586829e-28,-2.10057,-2.79848,-0.43111,-0.17716,1.99952,1.43342,-6.01853107621011e-36,-0.04039,-0.04039,0.01443,0.09368,-0.24362,2.48384,2.30633
"5","2011_Q4",1.08587301587302,"Down",191593,-600760,-409167,-958369,-958369,206,-1367536,-1087504,-1087504,-1087504,-1087504,-1087504,1019315,1019315,121745,121745,196456,196456,1337516,11702,1300379,861618,438761,1312081,2649597,599140,599140,0,140300,140300,739440,739440,25783903,-23873746,1910157,1910157,2649597,-1087504,30049,746813,857520,-68243,18355,-45121,-41477,-378885,0,0,-71565,49550,49550,49550,-379118,0,-2.13561,-5.67612,-0.56933,-0.41044,1.80882,0.38711,0,-0.07773,-0.07773,0.0137,0.13654,-0.56933,2.68865,2.4912
"6","2012_Q1",0.909032258064516,"Down",325910,-709802,-383892,249,249,249,-383643,-93143.0000000001,-93143.0000000001,-93143.0000000001,-93143.0000000001,-93143.0000000001,959166,959166,471870,471870,119032,119032,1550068,23931,1318488,847941,470547,1342419,2892487,972712,906712,66000,330605,330605,1303317,1303317,25966684,-24377514,1589170,1589170,2892487,-93143,55166,182781,-6704.00000000012,-61949,-350125,88572,199604,82855,-13100,-13100,-85504,-60149,-60149,-60149,-328726,1.61558713389263e-27,-1.17791,-0.28579,-0.05861,-0.0322,1.18933,0.82012,0,-0.00656000000000001,-0.00656000000000001,0.02295,0.11193,-0.0586100000000002,2.91783,2.49853
"7","2012_Q2",1.11460317460317,"Up",329403,-630322,-300919,185,185,185,-300734,-300734,-300734,-300734,-300734,-300734,797503,797503,116458,116458,114000,114000,1027961,24055,1306000,834265,471735,1330055,2358016,746373,746051,322,203153,203153,949526,949526,26086738,-24678248,1408490,1408490,2358016,-300734,46023,120054,-255535.566337941,6653,355412,-159640,-189119,-128004,-1424,-1424,-33659,-161663,-161663,-161663,-254896,0,-0.91353,-0.91297,-0.21352,-0.12754,1.0826,0.67414,0,-0.02119,-0.02119,0.02321,0.09924,-0.21352,3.12874,2.65022
"8","2012_Q3",1.31777777777778,"Up",515423,-591630,-76207,146,146,146,-76061,-76061,-76061,-76061,-76061,-76061,527511,527511,526047,526047,56686,56686,1110244,23449,1281573,820589,460984,1305022,2415266,747511,747511,0,277076,277076,1024587,1024587,26144988,-24754309,1390679,1390679,2415266,-76061,47329,58250,0,-277214,-409589,1137.99999999997,131237,-247696,-806,-806,-22296,-269992,-269992,-269992,-28878,0,-0.14785,-0.14757,-0.05469,-0.03149,1.0836,0.73675,-1.54074395550979e-33,-0.00536,-0.00536,0.03632,0.09799,-0.05469,18.26688,6.92208
"9","2012_Q4",1.17629032258065,"Down",453154,-559305,-106151,-23,-23,77,-106174,-106174,-106174,-106174,-106174,-106174,282630,282630,643649,643649,44892,44892,971171,22067,1231135,806912,424223,1253202,2224373,578476,578476,0,311774,311774,890250,890250,26194606,-24860483,1334123,1334123,2224373,-106174,46735,49618,0,-240145,-117602,-169734,47191,-249966,0,0,5085,-244881,-244881,-244881,-59416,0,-0.23425,-0.2343,-0.07958,-0.04773,1.0909,0.66729,0,-0.00746,-0.00746,0.03185,0.09377,-0.07958,4.7568,2.66253
"10","2013_Q1",1.1435,"Down",691106,-547391,28355,60.9999999999982,60.9999999999982,61,28416,28416,28416,28416,28416,28416,284263,284263,616798,616798,68158,68158,969219,20685,1185500,793236,392264,1206185,2175404,630693,624693,6000,139829,49252,770522,770522,26236949,-24832067,1404882,1404882,2175404,28416.0000000001,47017,49266,96548,-123066,19928.0000000001,46217,-189211,1633,-9.09494701772928e-13,-9.09494701772928e-13,0,1633,1633,1633,75372,4.13590306276514e-25,0.04103,0.04112,0.02023,0.01306,1.25787,0.54846,0,0.00108,0.00108,0.02634,0.05355,0.02023,-3.77147,-10.02515
