"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q4",737.523809523809,"Down",2194275,-877147,1317128,-2785632,-1811491,-691393,-1468504,-142582,-1611086,-1611086,-1611086,-1611086,-1611086,-1611086,712319,712319,796013,796013,310267,310267,2225988,16199449,64585,16713841,18939829,2098572,624418,1474154,3909103,2633486,9919439,2527374,2527374,3615166,13534605,0,46027657,-40543068,5405224,5405224,18939829,-1611086,525092,-91771,-895017,-36017,-35835,423000,-507852,-507852,-517491,4999556,0.60026,-0.66924,-0.73422,-0.29806,-0.08506,0.22441,2.50399,0.26397,-13.87787,-13.87787,18.90145,46.56053,-0.12458,-2.91946
"2","2018_Q1",647.04,"Down",2013096,-1756851,256245,-1580547,-500468,-785790,-1324302,1057498,-266804,-266804,-300500,-300500,-300500,-300500,436869,436869,445388,445388,1035379,1035379,2344634,15852253,81345,16702146,19046780,2522193,882504,1592726,3261264,2076640,5783457,666495,666495,6158429,11941886,0,48025806,-40843568,7104894,7104894,19046780,-300500,-587879,-72853,-440786,-407084,-407084,571100,-276770,-276770,-275450,5491934,0.12729,-0.65784,-0.14927,-0.04229,-0.01578,0.4054,1.6808,0.28834,-0.940909999999997,-0.940909999999997,6.3033,22.24646,-0.02266,-3.81715
"3","2018_Q2",482.625,"Down",2032672,-777739,1254933,-2083307,-1424458,-458748,-828374,-262748,-1091122,-1091122,-1091122,-1091122,-1091122,-1091122,406850,406850,638305,638305,932819,932819,2389104,15724333,78634,16663546,19052650,2244801,557679,1641725,3463157,2463962,5771086,658580,658580,6271304,12042390,0,49063889,-41934690,7010260,7010260,19052650,-1091122,302074,88184,-500763,-170921,-170921,683260,11576,11576,-30019,5675852,0.61738,-0.40753,-0.53679,-0.15565,-0.05727,0.41398,1.71782,0.2979,-8.33193,-8.33193,15.52172,53.53115,-0.08176,-6.36066
"4","2018_Q3",289.752380952381,"Down",1778633,-668386,1110247,-2229520,-1631140,-393394,-1119273,-211205,-1330478,-1330478,-1353887,-1353887,-1353887,-1353887,392005,392005,556167,556167,980240,980240,2451338,15650509,69106,16574795,19026133,2219658,567506,1652152,3759540,2294257,5979198,652601,652601,6902228,12881426,1.77635683940025e-15,49621105,-43288577,6144707,6144707,19026133,-1353887,594184,197810,-356907,-78331,-78331,489375,54137,54137,-14845,6249627,0.62421,-0.62929,-0.7612,-0.22033,-0.07116,0.40998,2.09635,0.32848,-10.27722,-10.27722,13.50142,46.64384,-0.10377,-5.23342
"5","2018_Q4",253.114838709677,"Down",2053185,-813238,1239947,-2037704,-1348652,-482489,-797757,-339263,-1137020,-1137020,-1137020,-1137020,-1137020,-1137020,402582,402582,510241,510241,605568,605568,2065901,15570058,72433,16840752,18906653,2686139,776706,1889218,3308828,1834029,9794967,650210,650210,3424171,13219138,0,50331622,-44425597,5687515,5687515,18906653,-1137020,50429,921063,41035,-451241,-451241,466472,56266,56266,10577,6573961,0.60391,-0.38855,-0.55378,-0.19992,-0.06014,0.21091,2.32424,0.34771,-8.55372,-8.55372,15.44597,42.78678,-0.08806,-7.73591
"6","2019_Q1",240.511206896552,"Down",2779893,-2119295,660598,-1790965,-1371687,-557568,-1130367,-173449,-1303816,-1303816,-1295351,-1295351,-1295351,-1295351,633593,633593,1123493,1123493,449840,449840,2215944,15557866,114601,16594179,18810123,2156419,682285,1433037,2301873,1181645,8963333,653797,653797,3064411,12027744,-2.8421709430404e-14,52392840,-45457207,6782379,6782379,18810123,-846935,849730,-1264352,-1048966,118518,118518,860812,-69636,-69636,231011,6915655,0.23763,-0.40662,-0.46597,-0.19099,-0.06886,0.24722,1.77338,0.36766,-9.36144,-9.36144,20.09015,49.01591,-0.09026,-5.55754
"7","2019_Q2",224.511451612903,"Down",1966860,-814502,1152358,-2077216,-1547819,-306969,-924858,-355313,-1280171,-1643639,-1643639,-1643639,-1643639,-2287844,762500,762500,756862,756862,572097,572097,2099960,16491771,1142577,17507626,19607586,2078034,639319,1438715,2072461,1027430,6362620,1729950,1729950,6698537,13061157,800,53788625,-47100846,6546429,6546429,19607586,-1643639,874530,-4089,-550770,-105241,-105241,773714,117703,117703,128907,7180712,0.58589,-0.47022,-1.1632,-0.34948,-0.11668,0.33005,1.99516,0.36622,-15.67636,-15.67636,13.47697,44.85079,-0.14801,-6.93967
"8","2019_Q3",157.47,"Down",2075081,-1050372,1024709,-1843068,-1257604,-359093,-818359,-294895,-1113254,-1113254,-1113254,-1113254,-1113254,-1209948,856052,856052,900522,900522,336422,336422,2121746,16349015,1079849,17324263,19446009,2427704,792369,1635335,2263046,990796,11451185,1676791,1676791,2113399,13564584,925,54226784,-48214100,5881425,5881425,19446009,-1113254,249259,605388,-32236,-89035,-89035,204857,83586,83586,93552,7197043,0.49382,-0.39437,-0.58308,-0.20572,-0.06222,0.18529,2.30634,0.3701,-8.01661,-8.01661,13.74861,38.96172,-0.082,-7.74842
"9","2019_Q4",115.545,"Down",2233747,-1028892,1204855,-1659564,-1246481,-197111,-454709,-431376,-886085,-879308,-879308,-879308,-879308,-879308,582597,582597,1066117,1066117,392646,392646,2071860,16199530,1019700,17145888,19217748,2427646,1090300,1337346,1990218,772551,11468765,1615263,1615263,1856682,13325447,925,55112299,-49093408,5892301,5892301,19217748,-879308,373553,-250258,-540041,-90353,-90353,352429,-277965,-277965,-273455,7292320,0.53939,-0.20356,-0.39365,-0.14923,-0.04575,0.18065,2.2615,0.37946,-5.76284,-5.76284,14.63961,38.61111,-0.05941,-14.75608
"10","2020_Q1",91.2603225806452,"Down",2021309,-1717195,304114,-1085085,-1204487,-109720,-780971,-97636,-878607,-919698,-955073,-955073,-955073,-955073,506219,506219,545662,545662,329128,329128,1410571,15998321,953224,16850466,18261037,2460002,808520,1651482,1430055,725389,8718713,860327,860327,1365327,10084040,925,58322113,-50048481,8176997,8176997,18261037,-955073,46758,134954,-574138,-8281.99999999999,-8282,476143,-106277,-106277,-76378,5333656,0.15045,-0.38637,-0.4725,-0.1168,-0.0523,0.16179,1.23322,0.29208,-5.77946,-5.77946,12.23161,49.47613,-0.06646,-6.18133
