"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.2425396825397,"Up",437743000,-322299000,115444000,-97803000,-97803000,17641000,-911000,-1214000,303000,16730000,16730000,-5543000,11187000,11187000,11187000,11187000,255841678.820726,255841678.820726,-651414475.96844,-651414475.96844,-63280143.330316,155689032.836566,155689032.836566,-303163907.641464,-105389684.83469,-190380001.555853,-130198948.156407,-124378460.827995,37997924.6760143,-295769686.390543,-598933594.032007,-797432786.593776,-1059581927.01926,-731066043.252072,-731066043.252072,-1164257608.55905,-8261181.674349,-54297212.0124503,-8261169.57801881,-1172518778.13707,135080120.863427,-145847128.376635,511077933.277675,73274258.3406,573585184.105067,573585184.105067,-598933594.032007,11187000,5405000,1878000,31779000,50249000,-1250000,36537901.6898455,-1250000,-6351000,-5e+06,196000,223000,-10932000,38067000,38067000,-22000,38045000,23046000,0,59118000,0.26373,0.0403,0.02556,0.214561259125186,0.173419518510195,5.28453,19.7303454609385,-1.92408563028598,0.380400153376974,0.26461,0.26146,10.35416,13.4014736991774,1.39835,0.15022,0.137832988372304,-0.0835168306582759,0.56771,9.92065433825216,12.2010460648094
"2","2010_Q3",21.6653125,"Up",446253000,-329348000,116905000,-98002000,-98002000,18903000,-1391000,-1333000,-58000,17512000,17512000,-7025000,10487000,10487000,10487000,10487000,291217339.410363,291217339.410363,-144409237.98422,-144409237.98422,56708928.334842,78514516.4182831,78514516.4182831,282031546.179268,-19206842.4173452,22448999.2220734,-15764974.0782037,-25987730.4139973,25284962.3380071,3242156.80472827,285273702.983997,-252676893.296888,-407353963.509629,-292957021.626036,-292957021.626036,-301013304.279527,31325409.1628255,-15771606.0062252,31325415.2109906,-269687889.068537,143655060.431713,-174097564.188317,554332466.638837,31071629.1703,554961592.052533,554961592.052533,285273702.983997,10487000,5412000,1589000,27926000,45414000,-1280000,-1e+05,-1380000,-6348000,-9.31322574615479e-10,9000,28000,-6311000,37723000,37723000,793000,38516000,24315000,7.45058059692383e-09,57986000,0.26197,0.04236,0.0235,0.133815629562593,0.0992597592550975,5.52932,9.54854773046925,-0.397607815142992,0.261825076688487,0.24794,0.24503,10.55046,13.0443618495887,1.37092,0.15008,0.0942814941861522,0.0518265846708621,0.60532,2.81459716912608,3.6888930324047
"3","2010_Q4",24.56296875,"Up",486141000,-355785000,130356000,-103319000,-103319000,27037000,-977000,-1374000,397000,26060000,26060000,-9535000,16525000,16525000,16525000,16525000,252923779.803454,252923779.803454,133057254.00526,133057254.00526,132061642.778281,37876505.472761,37876505.472761,555919182.059756,32567052.5275516,150413666.407358,52522008.6405988,33384089.8620009,18658654.112669,182980718.934909,738899900.994666,36334035.5677041,-50163987.8365429,-49545007.2086786,-49545007.2086786,134995898.573491,54347469.7209418,6409797.99792494,54347471.7369969,189343370.310488,149485686.810571,-188569854.729439,582802155.546279,5838543.05676667,549556530.684178,549556530.684178,738899900.994666,16525000,5351000,1107000,37374000,60357000,-1190000,-1.86264514923096e-09,-1190000,-6355000,0,-2070000,1132000,-7293000,51874000,51874000,189000,52063000,32388000,0,78107000,0.26814,0.05562,0.03399,0.0806452098541976,0.0540265864183658,4.7266,4.19369591015642,0.370837394952336,0.162461692229496,0.39048,0.38565,11.48726,12.9606439498629,1.84563,0.15017,0.0655104980620507,0.0945821948902874,0.38457,-0.78396094362464,-0.687608989198434
"4","2011_Q1",25.5262903225806,"Up",523071000,-370054000,153017000,-106548000,-106548000,46469000,-1754000,-1537000,-217000,44715000,44715000,-17011000,27704000,27704000,27704000,27704000,175777000,175777000,246402000,246402000,173253000,23428000,23428000,618860000,58471000,214189000,85916000,63405000,16375000,272660000,891520000,144636000,94529000,51696000,51696000,271332000,65149000,16589000,65149000,336481000,153185000,-193468000,601370000,-6048000,555039000,555039000,891520000,27704000,5448000,5521000,-10369000,28304000,-2964000,0,-2964000,-6362000,1.86264514923096e-09,-725000,1109000,-5978000,19362000,19362000,149000,19511000,51917000,7.5e+07,55595000,0.29254,0.08884,0.05296,0.04991,0.03108,2.00675,2.28082,0.60623,0.08413,0.65411,0.64416,12.34998,13.10476,1.31263,0.15021,0.049,0.07997,0.22964,-1.94112,-2.16869
"5","2011_Q2",27.0803174603175,"Up",527501000,-384381000,143120000,-108229000,-108229000,34891000,-781000,-1124000,343000,34110000,34110000,-13355000,20755000,20755000,20755000,20755000,94593000,94593000,261042000,261042000,190758000,24822000,24822000,571215000,67044000,234450000,95671000,73743000,16690000,301494000,872709000,147265000,109266000,63292000,63292000,235557000,68074000,19108000,68074000,303631000,155366000,-192996000,614919000,-8211000,569078000,569078000,872709000,20755000,5500000,2562000,-24301000,4516000,-832000,-27697000,-28529000,-7206000,-5e+07,143000,392000,-56671000,-80684000,-80684000,-5e+05,-81184000,40391000,2.5e+07,28613000,0.27132,0.06614,0.03935,0.03647,0.02378,1.37861,2.42495,0.53355,0.02865,0.48985,0.48171,12.44987,13.43115,0.67531,0.17007,0.04223,0.04321,0.34719,-1.72298,-1.99458
"6","2011_Q3",24.24359375,"Down",529517000,-385236000,144281000,-111225000,-111225000,33056000,-37000,-458000,421000,33019000,33019000,-11826000,21193000,21193000,21193000,21193000,53915000,53915000,250671000,250671000,194991000,29392000,29392000,528969000,67357000,233304000,93389000,74587000,17771000,300661000,829630000,129091000,86957000,43049000,43049000,172140000,68249000,18878000,68249000,240389000,156804000,-192598000,628912000,-3877000,589241000,589241000,829630000,21193000,5674000,2216000,-13633000,15450000,-12848000,-42000,-12890000,-7216000,-2.5e+07,195000,-12366000,-44387000,-41827000,-41827000,1149000,-40678000,38730000,-7.45058059692383e-09,24075000,0.27248,0.06243,0.04002,0.03597,0.02555,1.13599,3.0729,0.40796,0,0.49971,0.4889,12.48537,13.89359,0.56766,0.17014,0.04321,0.03662,0.34049,-1.39207,-1.63102
"7","2011_Q4",26.1947619047619,"Up",565970000,-409404000,156566000,-118365000,-118365000,38201000,2593000,-52000,2645000,40794000,40794000,-14258000,26536000,26536000,26536000,26536000,88559000,88559000,280706000,280706000,196427000,26791000,26791000,592483000,67949000,231426000,90324000,75605000,17874000,299375000,891858000,165150000,110143000,43493000,43493000,208643000,70018000,20241000,70018000,278661000,158112000,-196478000,648232000,3331000,613197000,613197000,891858000,26536000,5760000,3061000,8659000,44016000,-1687000,3.72529029846191e-09,35000,-7227000,0,-4352000,472000,-11107000,32944000,32944000,1700000,34644000,43961000,0,65191000,0.27663,0.0675,0.04689,0.04327,0.02975,2.4567,2.8397,0.45444,0,0.62517,0.61244,13.33388,14.44652,1.53586,0.17026,0.04942,0.09542,0.27235,-2.01449,-2.31824
"8","2012_Q1",31.9591935483871,"Up",589861000,-420718000,169143000,-124528000,-124528000,44615000,350000,-34000,384000,44965000,44965000,-16690000,28275000,28275000,28275000,28275000,91092000,91092000,290751000,290751000,204066000,33005000,33005000,618914000,69014000,227003000,89551000,76981000,17024000,296017000,914931000,173922000,108509000,40766000,40766000,214688000,66680000,18950000,66680000,281368000,158307000,-198224000,668421000,5059000,633563000,633563000,914931000,28275000,5682000,4061000,-25158000,12860000,-3738000,-2765000,-6503000,-8102000,0,-1410000,5154000,-4358000,1999000.00000001,1999000.00000001,534000,2533000,50297000,2.3283064365387e-10,38091000,0.28675,0.07564,0.04794,0.04463,0.0309,1.34716,2.88285,0.4441,0,0.66522,0.6537,13.87745,14.90561,0.89615,0.19061,0.05195,0.0544,0.28654,-1.81108,-2.04173
"9","2012_Q2",30.4560317460317,"Down",579574000,-420870000,158704000,-115437000,-115437000,43267000,-1979000,-47000,-1932000,41288000,41288000,-14906000,26382000,26382000,26382000,26382000,73218000,73218000,289450000,289450000,215013000,27532000,27532000,605213000,73079000,221935000,86661000,76783000,16054000,295014000,900227000,154371000,109928000,52582000,52582000,206953000,60460000,16549000,60460000,267413000,160153000,-216190000,686687000,2164000,632814000,632814000,900227000,26382000,5627000,1763000,-17371000,16401000,-6505000,-1241000,-7746000,-8099000,-1502671.96534197,-18094000,149000,-26044000,-17389000,-17389000,-485000,-17874000,48894000,0,39924000,0.27383,0.07465,0.04552,0.04169,0.02931,1.5133,2.9244,0.42258,0,0.62226,0.61409,13.67017,14.92591,0.94167,0.19103,0.04974,0.05759,0.30699,-1.49748,-1.69224
"10","2012_Q3",32.2950793650794,"Up",570397000,-414928000,155469000,-122134000,-122134000,33335000,-788000,-10000,-778000,32547000,32547000,-11612000,20935000,20935000,20935000,20935000,70512000,70512000,280700000,280700000,222626000,36113000,36113000,609951000,76659000,211403000,82968000,75517000,16314000,288062000,898013000,157521000,105591000,41443000,41443000,198964000,52863000,16625000,52863000,251827000,161704000,-216557000,699612000,1427000,646186000,646186000,898013000,20935000,5515000,3240000,-15875000,13815000,-6536000,0,-6536000,-7978000,9.31322574615479e-10,-742000,420000,-8300000,-1021000,-1021000,-1685000,-2706000,38850000,-2.91038304567337e-11,28051000,0.27256,0.05844,0.0367,0.0324,0.02331,1.33991,3.06563,0.38971,0,0.49887,0.49104,13.59221,15.39821,0.66844,0.19011,0.04136,0.04013,0.38108,-1.81498,-2.11525
