"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1.07714285714286,"Down",5616000,-1108000,4508000,-4503000,-2468000,-2035000,5000,18000,18000,23000,23000,-1000,22000,22000,22000,22000,102599115.236902,102599115.236902,-28758539.0716426,-28758539.0716426,-8610171.57061837,-8617278.37972481,68015029.6587954,6293352.45125033,32279.2085321381,6833599.57148752,74848629.230283,15108711.8536498,-2339989.86002328,17281389.9348805,3154430.41205868,3154755.39239171,18263142.2657085,-124999.644803536,-124999.644803536,-124999.644803536,18138142.6209049,115948966.090604,-59211564.344642,56710486.609378,56710486.609378,74848629.230283,22000,129000,345000,-837000,-341000,-47000,-147000,-161000,-161000,-649000,-649000,-649000,134000,0,-749000,0.80271,0.00089,0.00392,-0.882297032156325,-0.830089420913566,-34.04545,-61.9032494764967,0.344100804586456,0,0.0011,0.0011,0.28203,1.4588123441412,-0.03761,-0.857083913893204,12207.0977383703,8208.76259460246
"2","2010_Q3",1.07015625,"Down",4971000,-914000,4057000,-4551000,-2469000,-2082000,-494000,346000,21000,-148000,-148000,0,-148000,-148000,-148000,-148000,67166057.6184509,67166057.6184509,-10718269.5358213,-10718269.5358213,-3680085.78530919,-3683639.18986241,55099514.8293977,6383676.22562517,30639.6042660691,6668299.78574376,61767814.6151415,8003855.92682489,-823494.930011639,8743694.96744027,1801215.20602934,1801377.69619585,9805071.13285423,90500.1775982318,90500.1775982318,90500.1775982318,9895571.31045246,93223483.0453018,-41337782.172321,51872243.304689,51872243.304689,61767814.6151415,-148000,131000,203000,1000.00000000047,187000,-80000,-80000,0,1999.99999999997,109000,109000,109000,-363000,0,-442000,0.81613,-0.09938,-0.02977,-0.373068516078162,-0.351044710456783,2.98648999999999,-19.0983947382483,0.191265402293228,0,-0.00743,-0.00743,0.24946,2.0252561720706,-0.02218,-0.361041956946602,5135.43894918514,3444.22769230123
"3","2010_Q4",1.27484375,"Up",6151000,-1442000,4709000,-4761000,-2680000,-2081000,-52000,128000,28000,76000,76000,0,76000,76000,76000,76000,47641019.2061503,47641019.2061503,-60423.178607095,-60423.178607095,-928695.261769729,-929879.729954135,48704171.6097992,6397558.74187506,28213.201422023,6510433.26191459,55214604.8717138,4003951.9756083,100501.68999612,3875564.98914676,1130071.73534311,1130125.89873195,5134023.71095141,231166.725866077,231166.725866077,231166.725866077,5365190.43681749,81487161.0151006,-31633260.724107,49849414.4348963,49849414.4348963,55214604.8717138,76000,128000,621000,-879000,-54000,-34000,-34000,0,0,-88000,-88000,-88000,76000,0,-837000,0.76557,-0.00845,0.01236,-0.100509505359387,-0.0946115701522609,-11.01316,4.65640842058389,0.106351800764409,0,0.0038,0.00374,0.30755,2.34398872402353,-0.04185,-0.096700652315534,1367.17386639505,901.473650767076
"4","2011_Q1",1.62435483870968,"Up",375000,2750000,3125000,-2428000,-2736000,308000,697000,23000,23000,720000,720000,-999.999999999999,719000,230000,230000,230000,39949000,39949000,4968000,4968000,235000,235000,47015000,6360000,25000,6385000,53400000,2253000,565000,1688000,944000,944000,3197000,320000,320000,320000,3517000,77573000,-27690000,49883000,49883000,53400000,230000,148000,326000,214000,918000,-117000,-17000,0,7000,908000,908000,908000,845000,0,943000,8.33333,1.85867,0.61333,0.00461,0.00431,4.1,14.70597,0.0705,0,0.01147,0.0112,0.01871,2.48867,0.04705,0.00458,-47.27692,-57.31564
"5","2011_Q2",1.43619047619048,"Down",6358000,-1577000,4781000,-4209000,-2248000,-1961000,572000,20000,20000,592000,592000,-2000,590000,590000,590000,590000,40015000,40015000,6120000,6120000,402000,402000,48218000,6296000,21000,6317000,54535000,1895000,703000,1192000,1046000,1046000,2941000,380000,380000,380000,3321000,78314000,-27100000,51214000,51214000,54535000,590000,124000,303000,-1333000,-316000,-56000,-56000,-39000,438000,66000,66000,66000,696000,0,-691000,0.75197,0.08997,0.0928,0.01152,0.01082,-1.17119,16.3951,0.06485,0,0.02918,0.02833,0.31446,2.53296,-0.03418,0.01144,-57.4928200000001,-69.95629
"6","2011_Q3",1.37015625,"Down",5914000,-1538000,4376000,-4658000,-2849000,-1809000,-282000,15000,15000,-267000,-267000,1.45519152283669e-11,-267000,-267000,-267000,-267000,43232000,43232000,5073000,5073000,240000,240000,49958000,6212000,17000,6229000,56187000,1896000,651000,1245000,1208000,1208000,3104000,462000,462000,462000,3566000,79988000,-27367000,52621000,52621000,56187000,-267000,120000,582000,1722000,2157000,-32000.0000000001,-32000,-115000,1092000,3217000,3217000,3217000,-162000,0,1528000,0.73994,-0.0476800000000001,-0.04515,-0.00507,-0.00475,-5.72285,16.09472,0.06777,0,-0.0129,-0.0129,0.2857,2.54208,0.07382,-0.00503,266.8642,153.30496
"7","2011_Q4",1.29793650793651,"Down",2067000,1894000,3961000,-2165000,-1872000,-293000,1796000,12000,12000,1808000,1808000,0,1808000,1284000,1284000,1284000,45525000,45525000,3580000,3580000,340000,340000,50421000,6133000,13000,6146000,56567000,1400000,542000,858000,1233000,1233000,2633000,589000,589000,589000,3222000,79428000,-26083000,53345000,53345000,56567000,1284000,118000,217000,1486000,3105000,-34000,-34000,-70000,-778000,2293000,2293000,2293000,1914000,0,3366000,1.9163,0.86889,0.62119,0.02407,0.0227,2.6215,19.14964,0.0604,0,0.06233,0.06179,0.10034,2.58969,0.16341,0.02381,-23.78527,-25.348
"8","2012_Q1",1.65064516129032,"Up",1860000,-297000,1563000,-149000,-1009000,860000,1414000,36000,36000,1450000,1450000,1.16415321826935e-10,1450000,960000,960000,960000,46577000,46577000,3546000,3546000,213000,213000,50883000,6232000,9000,6968000,57851000,1497000,399000,1098000,1317000,1317000,2814000,462000,462000,462000,3276000,79718000,-25123000,54575000,54575000,57851000,960000,113000,166000,644000,1883000,-208999.999999999,-946000,1.16415321826935e-10,115000,1052000,1052000,1052000,1527000,0,1962000,0.84032,0.76022,0.51613,0.01759,0.01659,2.04375,18.08209,0.06003,0,0.04656,0.04653,0.09021,2.64696,0.09516,0.01744,-30.50229,-32.93989
"9","2012_Q2",2.74873015873016,"Up",4904000,-356000,4548000,-3500000,-2064000,-1436000,1048000,78000,52000,1126000,1126000,-2000,1124000,1118000,1118000,1118000,48444000,48444000,3448000,3448000,256000,256000,52569000,6156000,5000,6707000,59276000,1377000,271000,1106000,1348000,1348000,2725000,370000,370000,370000,3095000,80147000,-24005000,56181000,56181000,59276000,1118000,113000,108000,0,1339000,-33000,246000,-38000,282000,1867000,1867000,1867000,1161000,0,1130000,0.92741,0.2137,0.22798,0.0199,0.01886,1.01073,19.29138,0.05509,0,0.05395,0.05342,0.23663,2.71091,0.05453,0.01977,-41.7261,-46.22519
"10","2012_Q3",3.42269841269841,"Up",4080000,-361000,3719000,-3600000,-2071000,-1529000,119000,99000,40000,218000,71444000,-16668000,54776000,54926000,54926000,54926000,101058000,101058000,4317000,4317000,238000,238000,105878000,6064000,1000,6065000,111943000,6015000,543000,1389000,1715000,1715000,7730000,358000,358000,358000,8088000,98441000,5414000,103855000,103855000,111943000,54926000,122000,-71161000,4294000,-11819000,71200000,71776000,12685000,-7343000,52614000,52614000,52614000,241000,0,92403000,0.91152,0.02917,13.46225,0.52887,0.49066,1.68232,13.69702,0.07788,0,2.52452,2.48545,0.18753,4.77341,4.24705,0.7718,-419.3278,-849.22689
