"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",8.35770491803279,"Up",424031,-282389,141642,-4659886,-998635,-2956153,-705098,-4518244,-165686,-165686,-4683930,-4701208,-4701208,-4701208,-4701208,-4701208,29084661,26149477,0,0,1669058,298730,298730,31052449,765299,162195,162195,927494,31979943,3569636,2709489,860147,88210,3657846,4930464,1818274,1818274,6748738,10406584,74209933,-52636574,21573359,21573359,31979943,-4701208,51558,272064,1417823,-2959763,-5459,-2940643,0,26669840,20769434,20769434,20769434,-4466686,5018674,0.33404,-10.65546,-11.08694,-0.21792,-0.147,8.48927,0.48238,0.15693,-0.55236,-0.55236,0.04982,2.53473,-0.16548,5.38788,5.3264
"2","2014_Q2",8.42206349206349,"Up",1560559,-977030,583529,-6267515,-1134589,-4330457,-802469,-5683986,-225106,-225106,-5909092,-5903872,-5903872,-5903872,-5903872,-5903872,28720999,26517959,484423,484423,984493,597598,597598,30787513,828948,334863,334863,1163811,31951324,4214905,2763872,1451033,88497,4303402,9736029,2008206,2008206,11744235,16047637,74444133,-58540446,15903687,15903687,31951324,-5903872,48299,287649,527594,-5040330,-111948,620194.999999998,4850000,4788617,368482,368482,368482,-5635687,9824526,0.37392,-3.64228,-3.78318,-0.37123,-0.18478,7.15423,1.00905,0.30748,-0.63538,-0.63538,0.16795,1.71158,-0.21286,3.353,3.32451
"3","2014_Q3",9.87984375,"Up",1500319,-940815,559504,-4146824,-1542066,-1783909,-820849,-3587320,-339125,-339125,-3926445,-3961245,-3961245,-3961245,-3961245,-3961245,24182609,17869031,803513,803513,1112601,394886,394886,26493609,1038927,350395,350395,1389322,27882931,3707995,2339722,1368273,88790,3796785,9765001,2018569,2018569,11783570,15580355,74804267,-62501691,12302576,12302576,27882931,-3961245,48564,489419,-873017,-4296279,-258543,-4369080,0,16431,-8648928,-8648928,-8648928,-3538756,9853791,0.37292,-2.39104,-2.64027,-0.32199,-0.14207,6.97791,1.26643,0.3534,-0.42632,-0.42632,0.16147,1.32402,-0.16386,4.04911,3.9943
"4","2014_Q4",11.554375,"Up",1365930,-867681,498249,-3536531,-1035220,-1482929,-1018382,-3038282,-331791,-331791,-3370073,-3384689,-3384689,-3384689,-3384689,-3384689,20271154,13951525,562171,562171,1452556,285662,285662,22571543,2381200,334472,334472,2715672,25287215,4029580,2444904,1584676,89090,4118670,9914849,2008749,2008749,11923598,16042268,75131327,-65886380,9244947,9244947,25287215,-3384689,54199,440347,424275,-2465868,-1396472,-1402524,0,-49114,-3917506,-3917506,-3917506,-2984083,10003939,0.36477,-2.22433,-2.47794,-0.36611,-0.13385,5.4803,1.73525,0.39561,-0.36427,-0.36427,0.147,0.99496,-0.15922,3.44066,3.37928
"5","2015_Q1",10.092131147541,"Down",1488737,-956841,531896,-4240841,-1111994,-1919719,-1209128,-3708945,-375976,-375976,-4084921,-4115081,-3563357,-3563357,-3563357,-3563357,21851705,17199030,383961,383961,1708763,143586,143586,24088015,2840698,94803,94803,2935501,27023516,4108500,1779197,2329303,89397,4197897,14619680,2197289,2197289,16816969,21014866,75458387,-69449737,6008650,6008650,27023516,-3563357,96790,465058,99076,-2902433,-556288,1110666,5e+06,5039272,3247505,3247505,3247505,-3612155,14709077,0.35728,-2.49134,-2.39354,-0.59304,-0.13186,5.73811,3.49744,0.54431,-0.38349,-0.38349,0.16022,0.64666,-0.1555,1.97739,1.92578
"6","2015_Q2",8.64873015873016,"Down",1503106,-909629,593477,-3795814,-1345997,-1401723,-1048094,-3202337,-471058,-471058,-3673395,-3605535,-3605535,-3605535,-3605535,-3605535,28076404,16564190,351443,351443,1940934,613357,613357,30982138,2737762,207780,207780,2945542,33927680,3697102,1778953,1918149,89709,3786811,14940379,1770022,1770022,16710401,20497212,86485740,-73055272,13430468,13430468,33927680,-3605535,117122,444059,-1176421,-4220775,-14186,-6873725,-3345,10459660,-634840,-634840,-634840,-3085215,15030088,0.39483,-2.13048,-2.39872,-0.26846,-0.10627,8.18159,1.52617,0.443,-0.36585,-0.36585,0.15252,1.36276,-0.11927,4.22866,4.074
"7","2015_Q3",9.235625,"Up",1309933,-786315,523618,-4040223,-1437435,-1505910,-1096878,-3516605,-443616,-443616,-3960221,-4679318,-4679318,-4679318,-4679318,-4679318,23752194,7821841,522499,522499,2452896,399327,399327,27126916,2627693,45163,45163,2672856,29799772,3110117,1647556,1462561,89924,3200041,14037230,3042993,3042993,17080223,20280264,87254098,-77734590,9519508,9519508,29799772,-4679318,117577,1202245,-1086871,-4446367,-7508,-4425647,340552,129665,-8742349,-8742349,-8742349,-3399028,14127154,0.39973,-2.68457,-3.57218,-0.49155,-0.15703,8.47705,2.13039,0.47407,-0.43686,-0.43686,0.1223,0.88875,-0.17532,2.8317,2.73703
"8","2015_Q4",8.999375,"Down",1852413,-1112782,739631,-5403829,-2078166,-2111505,-1214158,-4664198,-438226,-438226,-5102424,-5102424,-5102424,-5102424,-5102424,-5102424,20942128,9177767,1200615,1200615,2830814,266784,266784,25240341,2518638,65051,65051,2583689,27824030,4134105,2184686,1949419,164130,4298235,14156155,4455398,4455398,18611553,22909788,87751256,-82837014,4914242,4914242,27824030,-5102424,117930,544295,1767146,-2673053,-8875,4157117,2.3283064365387e-10,-128138,1355926,1355926,1355926,-4546268,14320285,0.39928,-2.5179,-2.75447,-1.03829,-0.18338,5.87226,4.66192,0.51467,-0.47644,-0.47644,0.17297,0.45887,-0.21538,1.45654,1.41972
"9","2016_Q1",5.71114754098361,"Down",2512181,-1502735,1009446,-5140113,-1884370,-1996808,-1258935,-4130667,-451986,-451986,-4582653,-4582653,-4582653,-4582653,-4582653,-4582653,16809136,10440959,924468,924468,3445773,111027,111027,21290404,2396950,27163,27163,2424113,23714517,4056239,2087855,1968384,160293,4216532,14283468,4393543,4393543,18677011,22893543,88240641,-87419667,820974,820974,23714517,-4582653,117192,562223,-174971,-4078209,4496,5400680,0,-59279,1263192,1263192,1263192,-4013475,14443761,0.40182,-1.64426,-1.82417,-5.58197,-0.19324,5.04927,27.88583,0.60907,-0.44177,-0.44177,0.24218,0.07914,-0.23312,0.58936,0.57264
"10","2016_Q2",7.00390625,"Up",2123886,-1266421,857465,-5016001,-1707870,-2027712,-1280419,-4158536,-453933,-453933,-4612469,-4612469,-4612469,-4612469,-4612469,-4612469,11620110,8925132,943950,943950,4049239,744910,744910,17358209,2295994,30717,30717,2326711,19684920,4130392,2468470,1661922,160636,4291028,14413013,4350194,4350194,18763207,23054235,88662821,-92032136,-3369315,-3369315,19684920,-4612469,118393,520018,-1193872,-5167930,-17437,3655762,-3659.00000000023,-3659.00000000093,-1515827,-1515827,-1515827,-4040143,14573649,0.40372,-1.95798,-2.17171,1.36896,-0.23431,4.04523,-6.84240999999999,0.74035,-0.43065,-0.43065,0.1983,-0.31458,-0.29654,-0.73105,-0.71024
