"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",18.2828125,"Up",75702000,-47748000,27954000,-14518000,-14518000,13436000,-95000,-95000,13341000,13341000,-4318000,9023000,9023000,9023000,9023000,8341003.17265943,8341003.17265943,28111696.894567,49976805.102349,1864172.38083746,-1030828.25478559,88293677.5504128,63229521.4433756,147947659.627786,-84718138.1844101,54032825.7647782,34848839.8211332,11267497.3718274,7328137.29983666,117262347.208154,205556024.758567,12742212.213628,13543261.9449878,-801049.731359767,79229.3303880016,79229.3303880016,30903880.8967539,136386.253658993,1663864.16747185,5205040.69943465,-2534365.81240467,136386.253658993,31040267.1504129,57695484.1962946,-32170499.5566419,162756116.494543,-13765343.5260424,174515757.608154,174515757.608154,205556024.758567,9023000,2304000,-1366000,-6801000,3160000,-10835000,-10928000,-2097000,121000,121000,7238000,-530000,-530000,617000,87000,15740000,0,2422000,0.36926,0.17749,0.11919,0.0590639939512879,0.050428235031421,0.26843,3.29113782615365,0.19221555556363,0.0796236827184018,0.30257,0.30064,2.53855,5.8507666895865,0.08122,0.07032,0.0705170366211159,-0.146390327325029,0.23241,1.59835731220532,3.06371549407464
"2","2011_Q1",17.281935483871,"Down",64843000,-40205000,24638000,-14979000,-14979000,9659000,-110000,-110000,9549000,9549000,-3291000,6258000,6258000,6258000,6258000,3089000,3089000,40429000,48316000,5503000,2381000,97337000,66088000,143954000,-77866000,52439000,34170000,9162000,7449000,118527000,215864000,18912000,11159000,7753000,889000,889000,32679000,14802000,12330000,5972000,2472000,14802000,47481000,58841000,-31886000,156101000,-14673000,168383000,168383000,215864000,6258000,2035000,137000,-3698000,4732000,-2276000,-2214000,-2100000,165000,165000,-1695000,823000,823000,-408000,415000,11694000,12878000,9011000,0.37996,0.14896,0.09651,0.03717,0.02899,1.43992,2.97858,0.28198,0.05966,0.20992,0.20852,2.17506,5.64816,0.30226,0.07044,0.04263,0.04596,0.33557,0.8371,1.01346
"3","2011_Q2",16.0044444444444,"Down",57359000,-36922000,20437000,-15199000,-15199000,5238000,-112000,-112000,5126000,5126000,-1866000,3260000,3260000,3260000,3260000,2468165.60911352,2468165.60911352,45330351.0351443,47308731.6325503,7016525.87305418,3727192.7515952,102123774.149862,67071659.5188748,142477446.790738,-75405787.2718633,51210891.4117406,34044553.3929556,8409417.5427242,7219287.56672111,118282550.930615,220406325.080478,22352429.262124,11755912.6850041,10596516.5771199,1052423.55653733,1052423.55653733,31648539.701082,17215371.2487803,14074045.2775094,6205236.43352178,3476955.27080156,17215371.2487803,48863910.9498624,59465005.2679018,-31741000.147786,157776794.501819,-13958385.4913192,171542414.130615,171542414.130615,220406325.080478,3260000,2484000,1214000,-1764000,5194000,-1616000,-5570000,-2101000,104000,104000,-1078000,-1454000,-1454000,682000,-772000,7722000,0,6208000,0.3563,0.09132,0.05684,0.0366995020162374,0.028196421656193,1.90429,3.09008822461545,0.28186648147879,0.0395837724271994,0.10911,0.10825,1.9198,5.74497610347117,0.20778,0.07032,0.0411893211262947,0.11225177577501,0.64448,0.336013395931559,0.18463900197512
"4","2011_Q3",15.0703125,"Down",75148000,-47928000,27220000,-14943000,-14943000,12277000,-96000,-96000,12181000,12181000,-4347000,7834000,7834000,7834000,7834000,4273000,4273000,45611000,47234000,7154000,3744000,104272000,67010000,142837000,-75827000,51823000,34912000,9162000,6814000,118833000,223105000,23716000,13616000,10100000,932000,932000,30763000,14092000,11650000,6138000,2442000,14092000,44855000,59800000,-31690000,163005000,-12865000,178250000,178250000,223105000,7834000,2481000,1125000,1324000,12764000,-750000,-893000,-2106000,547000,547000,-9518000,2353000,2353000,-397000,1956000,14758000,6115000,19679000,0.36222,0.16337,0.10425,0.04395,0.03511,2.512,3.38953,0.25164,0.02741,0.26179,0.26022,2.51124,5.95663,0.65762,0.07038,0.05009,0.09916,0.26883,0.12481,0.15004
"5","2011_Q4",13.2784126984127,"Down",69698000,-46918000,22780000,-14791000,-14791000,7989000,87000,87000,8076000,8076000,-1196000,6880000,6880000,6880000,6880000,5787000,5787000,43195000,47785000,6409000,2992000,103176000,66370000,143822000,-77452000,50930000,34323000,9162000,6439000,117300000,220476000,22233000,13938000,8295000,1004000,1004000,25917000,11817000,10871000,6029000,946000,11817000,37734000,60155000,-31683000,167482000,-13212000,182742000,182742000,220476000,6880000,2252000,-93000,-536000,8503000,-1330000,-1187000,-2408000,68000,68000,-5677000,1639000,1639000,-125000,1514000,10241000,2680000,9571000,0.32684,0.11462,0.09871,0.03765,0.03121,1.39113,3.98102,0.20649,0.01216,0.2295,0.22844,2.32491,6.09572,0.31926,0.08032,0.04709,0.04852,0.35,-0.30339,-0.38891
"6","2012_Q1",14.288064516129,"Up",60710000,-41327000,19383000,-17353000,-17353000,2030000,-64000,-64000,1966000,1966000,-779000,1187000,1187000,1187000,1187000,4975000,4975000,41168000,49436000,5616000,2266000,101195000,66102000,144928000,-78826000,51613000,33680000,9365000,6259000,117715000,218910000,19030000,11365000,7665000,1593000,1593000,22413000,17216000,16138000,6103000,1078000,17216000,39629000,60737000,-31676000,166271000,-16051000,179281000,179281000,218910000,1187000,2274000,3128000,-1733000,4856000,-1640000,-1640000,-2408000,10000.0000000005,10000,-3724000,-508000,-508000,-304000,-812000,4304000,1790000,1710000,0.31927,0.03344,0.01955,0.00662,0.00542,1.44061,4.51501,0.22104,0.00818,0.03958,0.0395,2.02454,5.9786,0.0570200000000001,0.0803,0.01813,0.00862,2.02864,-0.74001,-1.56897
"7","2012_Q2",15.8771428571429,"Up",76233000,-47369000,28864000,-18676000,-18676000,10188000,-205000,-205000,9983000,9983000,-3734000,6249000,6249000,6249000,6249000,6661000,6661000,51053000,57916000,7775000,3694000,123405000,70009000,150759000,-80750000,103524000,62825000,34612000,6087000,173533000,296938000,30678000,18166000,12512000,1406000,1406000,96073000,33090000,15973000,6117000,6670000,33090000,129163000,60726000,-31669000,153644000,-14926000,167775000,167775000,296938000,6249000,3055000,1036000,-133000,10207000,-1294000,-51555000,-2389000,-16781000,232000,43326000,1978000,1978000,-292000,1686000,13243000,63989000,15550000,0.37863,0.13364,0.08197,0.03725,0.02104,2.4884,1.28449,0.76986,0.2155,0.21066,0.20973,2.56992,5.65593,0.52421,0.08054,0.03261,0.05871,0.3823,4.32893,5.62701
"8","2012_Q3",15.8493650793651,"Down",81974000,-51773000,30201000,-18846000,-18846000,11355000,-238000,-238000,11117000,11117000,-3675000,7442000,7442000,7442000,7442000,6564739.68653877,6564739.68653877,56931593.3043752,60776824.2235745,7637394.50811505,3354209.11018002,131910551.722603,69756080.4181962,151063240.097398,-81307159.6792014,115428432.820919,68740467.2874439,41083167.7498949,6254879.0975605,185184513.239115,317095064.961718,35697780.1249233,22747923.1516917,12949856.9732316,1073787.49516627,1073787.49516627,120515610.14213,32709875.1804713,14255276.2903908,5988062.6787332,5186845.56426848,32709875.1804713,153225485.322602,60794132.75037,-31561453.4978371,149402692.321888,-14765791.9353044,163869579.639117,163869579.639117,317095064.961718,7442000,2860000,134000,-6567000,3869000,-1119000,-2375000.00000001,-2287000,-12619000,368000,-948000.000000007,546000,546000,-696000,-150000,14215000,-7.45058059692383e-09,10204000,0.36842,0.13852,0.09078,0.0584839057576965,0.0328710817828925,1.37114,0.416274377122556,0.922717245079036,0.280793990244337,0.2614,0.26008,2.87933,5.6823963257538,0.35841,0.08033,0.0454746369214022,0.0801378526447878,0.30731,5.17902979709129,6.90770602630677
"9","2012_Q4",19.1916129032258,"Up",87130000,-52800000,34330000,-20219000,-20219000,14111000,-286000,-286000,13825000,13825000,-4968000,8857000,8857000,8857000,8857000,6056000,6056000,53689000,60214000,7003000,2960000,126962000,68502000,149786000,-81284000,101206000,59845000,35670000,5691000,169708000,296670000,32177000,20966000,11211000,913000,913000,104271000,25315000,14036000,6068000,1021000,25315000,129586000,61282000,-31467000,152627000,-15358000,167084000,167084000,296670000,8857000,3188000,-678000,-1424000,9943000,-2111000,-2111000,-2431000,121000,121000,-8887000,-1055000,-1055000,6e+05,-455000,17299000,71181000,18732000,0.39401,0.16195,0.10165,0.05301,0.02985,2.11494,1.21762,0.77557,0.23993,0.31345,0.31218,3.08358,5.9132,0.66294,0.08603,0.04283,0.07107,0.27447,3.76467,4.61519
"10","2013_Q1",22.6195,"Up",74323000,-45472000,28851000,-20036000,-20036000,8815000,-269000,-269000,8546000,8546000,-3062000,5484000,5484000,5484000,5484000,6554000,6554000,45584000,60997000,8239000,4343000,121374000,70484000,152760000,-82276000,98595000,58351000,35930000,4314000,169079000,290453000,26469000,15551000,10918000,881000,881000,94080000,25126000,15348000,6489000,1086000,25126000,119206000,62196000,-31461000,155694000,-15182000,171247000,171247000,290453000,5484000,2951000,-752000,3100000,10783000,-3678000,-3679000,-2406000,138000,138000,-6712000,392000,392000,106000,498000,11766000,66730000,14250000,0.38818,0.1186,0.07379,0.03202,0.01888,2.59847,1.29011,0.69611,0.22974,0.19401,0.19303,2.62936,6.0583,0.50413,0.08512,0.02999,0.05416,0.43873,5.1144,6.82655
