"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",17.97328125,"Down",27888000,-19449000,8439000,-4643000,-4643000,-1330000,-3313000,3796000,172000,172000,3968000,343000,-73000,270000,270000,270000,270000,131316000,71215000,1276000,245162000,377754000,1958000,1958000,1958000,379712000,13597000,13597000,13597000,60896000,60896000,74493000,309150000,-3992000,305219000,305219000,379712000,270000,105000,287000,287000,-48078000,-728000,-51079000,2616000,1113000,-47416000,-129000,-60129000,3528000,163854366.838687,158936000,51391000,51391000,51391000,3901000,60896000,-44233000,0.3026,0.13612,0.00968,0.00088,0.00071,-163.82593,27.78216,0.24406,0.16037,0.0125,0.0125,1.29124,14.13188,-2.04802,0.00074,-0.12082,-18.05178,-18.55111
"2","2013_Q3",15.28953125,"Down",51086999.9999999,-38317999.9999999,12769000,-5899000.00000003,-5899000,-1791000.00000001,-4108000,6870000,89000,89000,6959000,3564000,-1489000,2075000,2075000,2075000,2075000,77374000,37537000,1448000,301831000,380653000,2306000,2306000,2306000,382959000,12834000,12834000,12834000,62557000,62557000,75391000.0000001,309667000,-1916999.99999997,307568000,307568000,382959000,2075000,119000.000000004,538000,537999.99999997,-57910000,-172000,-56669000,-3219000,2150000,-55178000,-160999.999999998,19839000,1661000,43735122.2795622,1661000,-33678000,-33678000,-33678000,6989000,62556999.9999999,-49593000,0.24995,0.13448,0.04062,0.00674999999999999,0.00541999999999999,-23.90024,29.65973,0.24512,0.16335,0.0693,0.06927,1.70629,10.27266,-1.65639,0.00561000000000001,-0.13399,-2.12005,-2.15677
"3","2013_Q4",17.14,"Up",708244000,-558925000,149319000,-114381000,-112007000,-62315000,-49692000,34938000,1645000,1478000,36583000,40152000,-14170000,25982000,26366000,26366000,26366000,62231000,32303000,533000,359878000,422642000,8326000,8326000,8326000,430968000,25670000,14598000,25670000,92452000,92452000,118122000,310168000,2769000,312846000,312846000,430968000,26366000,8995000,12965000,3957000,-76012000,-3932000,-71206000,-6991000,6117000,-27686000,-8461000,31159000,137456000,-3169000,-21121000,-17648000,-17648000,-17648000,43933000,92452000,-26370000,0.21083,0.04933,0.03723,0.08428,0.06118,-1.00015,16.46443,0.37757,0.21452,0.08009,0.07904,2.15128,0.95027,-0.0801,0.06505,-0.06506,0.68789,0.86499
"4","2014_Q1",17.5731147540984,"Up",487493000,-369921000,117572000,-46696000,-46216000,-29085000,-17131000,70876000,546000,711000,71422000,-281513000,101893000,-179620000,-178166000,-178166000,-178166000,4510000,4510000,60397000,1465526000,1530433000,380031000,63631000,380031000,1910464000,250358000,59676000,250358000,834589000,834589000,1084947000,334886000,462210000,797096000,825517000,1910464000,-178166000,4270000,225843000,343720000,57329000,49521000,13483000,1056000,-6731000,109276000,-1594000,837999.999999996,-101927000,-8954000,-110881000,-767000,-767000,-767000,75146000,834589000,28988000,0.24118,0.14539,-0.36547,-0.21582,-0.09326,-0.1627,6.11298,1.31426,0.43685,-1.37368,-1.42184,3.75862,6.14569,0.2235,-0.10732,0.01746,11.04622,11.71171
"5","2014_Q2",16.1625396825397,"Down",248132000,-194431000,53701000,-40542000,-38910000,-20905000,-18005000,13159000,667000,735000,13826000,12110000,-4529000,7581000,7581000,7581000,7581000,32046000,32046000,1855000,484483000,518384000,20183000,15572000,20183000,538567000,34767000,16006000,34767000,176933000,176933000,211700000,311457000,15410000,326867000,326867000,538567000,7581000,2882000,2858000,1829000,-38494000,24972000,-67902000,22950000,-18514000,-25173000,-1659000,-2132000,27778000,-1645000,26133000,-1172000,-1172000,-1172000,16041000,176933000,-19583000,0.21642,0.05303,0.03055,0.02319,0.01408,-2.58317,14.91023,0.64766,0.32853,0.05845,0.05845,1.91312,2.52018,-0.15099,0.01505,-0.03887,9.03229,11.01049
"6","2014_Q3",14.225,"Down",342563000,-267474000,75089000,-42549000,-41982000,-23798000,-18184000,32540000,-1545000,-1476000,30995000,30027000,-5802000,24225000,24225000,24225000,24225000,26120000,26120000,3964999.99999999,542037000,572122000,29065000,24454000,29065000,601187000,40106000,20640000,40106000,227128000,227128000,267234000,312419000,21534000,333953000,333953000,601187000,24225000,3348000,121376000,1583000,-19201000,-1394000,-20450000,11620000,-8977000,129748000,-2590000,-1881000,831023000,-13338000,817685000,945552000,945552000,945552000,35888000,227128000,19899000,0.2192,0.09499,0.07072,0.07254,0.0403,0.82142,14.26525,0.80021,0.3778,0.18678,0.18678,2.6412,2.57481,0.15342,0.04318,0.03547,5.60098,6.17726
"7","2014_Q4",14.25765625,"Up",477920000,-387717000,90203000,-49900000,-49344000,-28393000,-20951000,40303000,417000,499000,40720000,16986000,-6021000,10965000,10965000,10965000,10965000,147683000,147683000,26943000,2263740000,2438366000,413030000,103613000,413030000,2851396000,263558000,62464000,263558000,1164258000,1164258000,1427816000,904384000,504981000,1409365000,1423580000,2851396000,10965000,4348000,-93436000,5449000,-166881000,10529000,-161538000,-35392000,19520000,-245004000,-1797000,51194000,-540572000,-66825000,-607397000,-801207000,-801207000,-801207000,44651000,1164258000,-118006000,0.18874,0.08433,0.02294,0.0077,0.00385,-10.76206,9.25172,1.00298,0.40831,0.06885,0.068,3.00102,8.84987,-0.741,0.00424,-0.0456,22.76713,25.22331
"8","2015_Q1",15.0259016393443,"Up",635001000,-506901000,128100000,-56313000,-55722000,-30504000,-25218000,71787000,-861000,-792000,70926000,68841000,-27415000,41426000,41426000,41426000,41426000,170629000,170629000,20118000,2280183000,2470930000,418908000,81719000,418908000,2889838000,278869000,68860000,278869000,1138493000,1138493000,1417362000,907773000,546407000,1454180000,1472476000,2889838000,41426000,845000,-13653000,2568000,-1639000.00000003,6826000,-26425000,6393000.00000001,11567000,26979000,-1781000,-2439000,-3668000.00000024,1898000,-1593999.99999976,22946000,22946000,22946000,72632000,1138493000,96626999.9999999,0.20173,0.11305,0.06524,0.02813,0.01434,2.33252,8.86054,0.96257,0.39396,0.25647,0.25653,3.93129,9.00283,0.59822,0.01587,0.03701,13.32559,13.48244
"9","2015_Q2",14.8653968253968,"Down",377258000,-302215000,75043000,-52001000,-51439000,-23286000,-28153000,23042000,304000,230000,23346000,23124000,-7827000,15297000,15297000,15297000,15297000,106573000,106573000,23012000,2409306000,2538891000,433356000,97394000,433356000,2972247000,271596000,60995000,271596000,1210024000,1210024000,1481620000,908898000,561704000,1470602000,1490627000,2972247000,15297000,1481000,4685000,2667000,-129777000,-2894000,-127304000,-7865000,8286000,-108314000,-378000,-1356000,46723000,-1372000,45614000,-64056000,-64056000,-64056000,24523000,1210024000,-97805000,0.19892,0.06108,0.04055,0.01026,0.00515,-6.39374,9.34804,0.99396,0.40711,0.09472,0.09396,2.33609,9.1064,-0.60564,0.00566,-0.03622,44.99657,47.88868
"10","2015_Q3",14.48015625,"Down",495335000,-353306000,142029000,-54467000,-53895000,-25634000,-28261000,87562000,-61999.9999999998,93000,87500000,87002000,-30240000,56762000,56762000,54930000,54930000,121907000,121907000,34189000,2535753000,2691849000,415338000,87350000,415338000,3107187000,256431000,51009000,256431000,1300049000,1300049000,1556480000,912137000,616634000,1528771000,1550707000,3107187000,56762000,1690000,11930000,4494000,-139163000,-11177000,-128112000,-9986000,10112000,-68781000,-235000,-514000,89507000,-5275000,84629000,15334000,15334000,15334000,89252000,1300049000,-19906000,0.28673,0.17677,0.11089,0.03542,0.01768,-0.36239,10.49736,1.00372,0.4184,0.33973,0.33965,3.06353,9.45509,-0.12311,0.01927,-0.00698,13.20017,13.45495
