"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",32.5449206349206,"Up",1187940000,-967815000,220125000,-150309000,-17951000,-132358000,69816000,-2704000,-2704000,67112000,67112000,-22919000,44193000,44193000,44193000,44193000,368344046.380934,368344046.380934,48882815.0230052,8124418.67238832,192069817.605669,-41614579.8435745,617421097.681996,785385317.051487,103374974.893423,103374974.893423,888760291.94491,1506181389.62691,-1866020733.70508,259926113.546305,-1998605718.29137,-3283648863.59169,16460110303.7226,1313486102.01885,16480730.5244427,360143045.736728,936862325.757677,17773596405.7415,14489947542.1498,-1720575715.74793,-11263190436.775,-12983766152.5229,-12983766152.5229,1506181389.62691,44193000,18189000,8078000,4016000,74476000,-30600000,-636000,-31236000,-4325000,-14433000,525000,525000,78000,-18155000,25085000,25085000,25085000,88005000,0,84340000,0.1853,0.05877,0.0372,0.368069796667515,-0.414316973036263,1.90845,19.9041448803379,63.2950198719297,9.71167352448361,0.86885,0.86659,23.35542,-225.852500929743,1.65816,0.08503,-0.54172684348592,-2.17400117351406,0.09787,146.454650612645,155.707270032556
"2","2010_Q3",34.55390625,"Up",1154964000,-948600000,206364000,-149540000,-18527000,-131013000,56824000,-2707000,-2707000,54117000,54117000,-20525000,33592000,33592000,33592000,33592000,179064523.190467,179064523.190467,27239907.5115026,79924209.3361942,107327908.802834,-18363789.9217872,393556548.840998,914479158.525744,84928487.4467116,84928487.4467116,999407645.972455,1392964194.81345,-816799366.85254,176681556.773153,-866008359.145684,-1392318931.79584,7146074651.86132,729935551.009424,14260865.2622213,239729022.868364,475945662.878839,7876010202.87074,6483691271.0749,-698045357.873963,-4392681718.38748,-5090727076.26145,-5090727076.26145,1392964194.81345,33592000,18491000,7413000,-4765000,54731000,-39723000,-3876000,-43599000,-4327000,-361000,536000,536000,191000,-3961000,7171000,7171000,7171000,75315000,0,51352000,0.17868,0.0492,0.02908,0.153299898333758,-0.177608486518131,1.5287,9.76084244016894,27.3700999359648,4.22517176224181,0.65997,0.65813,22.69121,-87.3678404648717,1.0089,0.08501,-0.23249342174296,-0.965255586757031,0.12881,64.3657903063223,69.655280016278
"3","2010_Q4",36.69765625,"Up",1114377000,-937777000,176600000,-146251000,-18368000,-127883000,30349000,-2748000,-2748000,27601000,27601000,-10359000,17242000,17242000,17242000,17242000,126086507.730156,126086507.730156,15914635.8371675,114683736.445398,51666636.2676114,-4959596.64059575,308351516.280333,980943052.841915,73092829.1489039,73092829.1489039,1054035881.99082,1362387398.27115,-178847122.28418,144011852.257718,-237106453.048561,-300958643.931948,2105558550.62044,381175183.669808,13126288.4207404,170456007.622788,197592887.62628,2486733734.29025,2185775090.3583,-146706785.957988,-676680906.129161,-823387692.087148,-823387692.087148,1362387398.27115,17242000,18359000,3734000,-4444000,34891000,-30111000,-23775000,-53886000,-4328000,-1765000,23000,23000,5000,-6065000,-25060000,-25060000,-25060000,48708000,0,24512000,0.15847,0.02723,0.01547,0.0513566327779193,-0.0431228288393772,1.42164,4.05105748005631,8.03990664532161,1.26520058741394,0.33864,0.33755,21.88695,-12.6190701549572,0.48143,0.085,-0.0562344739143201,-0.27142852891901,0.25101,18.9079701021074,21.0925466720927
"4","2011_Q1",36.4264516129032,"Down",1179806000,-990543000,189263000,-153737000,-18700000,-135037000,35526000,-2774000,-2774000,32752000,32752000,-10817000,21935000,21935000,21935000,21935000,151676000,151676000,12111000,124951000,21347000,1129000,310085000,1010911000,67779000,67779000,1078690000,1388775000,145334000,145334000,24577000,197159000,154754000,212543000,12788000,141229000,58526000,367297000,564456000,64439000,759880000,824319000,824319000,1388775000,21935000,18710000,1068000,8257000,49970000,-27030000,-17401000,-44431000,-4328000,-2672000.00000001,155000,155000,91000,-6754000,-1215000,-1215000,-1215000,54236000,179331000,46280000,0.16042,0.03011,0.01859,0.02661,0.01579,2.10987,1.57277,0.68475,0.12913,0.43078,0.42931,23.16998,16.18864,0.90888,0.085,0.02159,0.03805,0.19731,0.5099,0.77844
"5","2011_Q2",36.377619047619,"Down",1362027000,-1128056000,233971000,-171949000,-19563000,-152386000,62022000,-2527000,-2527000,59495000,59495000,-22209000,37286000,37286000,37286000,37286000,198099000,198099000,13033000,123274000,12630000,2433000,347036000,1030517000,68898000,68898000,1099415000,1446451000,253242000,164065000,55519000,308761000,109853000,169377000,12957000,140953000,15467000,279230000,587991000,66391000,792069000,858460000,858460000,1446451000,37286000,19855000,-288000,46844000,103697000,-39065000,-295000,-39360000,-5097000,-13959000,988000,988000,154000,-17914000,46423000,46423000,46423000,81877000,165372000,111865000,0.17178,0.04554,0.02738,0.04343,0.02578,3.00019,1.12396,0.68494,0.11433,0.73186,0.72783,26.73428,16.85012,2.19572,0.10005,0.03552,0.09375,0.1367,-0.399710000000001,-0.52767
"6","2011_Q3",39.8984375,"Up",1349519000,-1122142000,227377000,-173304000,-20041000,-153263000,54073000,-8195000,-8195000,45878000,34528000,-12836000,21692000,21692000,21692000,21692000,188267000,188267000,15329000,122348000,23141000,1739000,349085000,1075364000,79054000,79054000,1154418000,1503503000,254713000,174232000,5274000,259987000,679159000,187636000,13309000,158440000,15887000,866795000,1126782000,2216000,374505000,376721000,376721000,1503503000,21692000,20024000,27967000,-7757000,61926000,-48043000,-27059000,-75102000,-5121000,507023000,-498894000,2132000,336000,3344000,-9832000,-9832000,-9832000,74097000,684433000,31133000,0.16849,0.04007,0.01607,0.05758,0.01443,1.43523,1.3427,2.99103,0.45523,0.51284,0.50988,31.90539,8.90646,0.73605,0.12107,0.02147,0.02493,0.23608,6.69617,9.17585
"7","2011_Q4",44.5371428571429,"Up",1374199000,-1171668000,202531000,-172275000,-20769000,-151506000,30256000,-8908000,-8908000,21348000,21348000,-8473000,12875000,12875000,12875000,12875000,64446000,64446000,16203000,134721000,49141000,1578000,264511000,1171586000,98158000,98158000,1269744000,1534255000,247245000,159252000,10319000,257564000,678864000,212658000,13555000,182595000,16508000,891522000,1149086000,2912999.99999999,382256000,385169000,385169000,1534255000,12875000,20842000,24342000,-41270000,16789000,-6.7e+07,-73686000,-140686000,-5123000,4750000,345000,345000,104000,76000,-123821000,-123821000,-123821000,51098000,689183000,-48699000,0.14738,0.02202,0.00937,0.03343,0.00839,-3.78245,1.02697,2.98333,0.4492,0.33937,0.33679,36.22185,10.15249,-1.28363,0.13503,0.01398,-0.03784,0.3979,12.22625,20.64837
"8","2012_Q1",47.7483870967742,"Up",1549495000,-1332307000,217188000,-172455000,-21982000,-150473000,44733000,-8867000,-8867000,35866000,35866000,-13096000,22770000,22770000,22770000,22770000,59572000,59572000,20154000,159200000,54961000,1180000,293887000,1217305000,99763000,99763000,1317068000,1610955000,215675000,215675000,1767000,247739000,678680000,280640000,13858000,203078000,63704000,959320000,1207059000,3996000,399900000,403896000,403896000,1610955000,22770000,22622000,21528000,12111000,79031000,-57838000,-12527000,-70365000,-5126000,-8736000,268000,268000,54000,-13540000,-4873999.99999999,-4873999.99999999,-4873999.99999999,67355000,680447000,34724000,0.14017,0.02887,0.0147,0.05638,0.01413,1.52499,1.18628,2.98854,0.42239,0.59991,0.59506,40.82355,10.64119,0.91485,0.13505,0.02044,0.02544,0.22512,9.21795,13.87957
"9","2012_Q2",51.3615873015873,"Up",1873832000,-1607050000,266782000,-194311000,-22895000,-171416000,72471000,-8934000,-8934000,63537000,63537000,-24146000,39391000,39391000,39391000,39391000,139017000,139017000,22337000,163942000,13634000,2439000,338930000,1254103000,116023000,116023000,1370126000,1709056000,343462000,245808000,1002000,344464000,678653000,246297000,13857000,213502000,18938000,924950000,1269414000,6057000,433585000,439642000,439642000,1709056000,39391000,23280000,10229000,89959000,162859000,-47192000,-31115000,-78307000,-5707000,-984000,1316000,1316000,268000,-5107000,79445000,79445000,79445000,95751000,679655000,162664000,0.14237,0.03868,0.02102,0.0896,0.02305,4.12947,0.98393,2.88738,0.39768,1.03594,1.02762,49.27976,11.56211,4.27789,0.15009,0.03302,0.11912,0.14488,5.64629,7.46006
"10","2012_Q3",53.2403174603175,"Up",1782518000,-1519600000,262918000,-195264000,-23432000,-171832000,67654000,-8777000,-8777000,58877000,58877000,-21245000,37632000,37632000,37632000,37632000,86200000,86200000,19752000,159868000,13400000,2007000,279220000,1302983000,116187000,116187000,1419170000,1698390000,282944000,203185000,5845000,288789000,673466000,263077000,13715000,230206000,19156000,936543000,1225332000,7550000,465508000,473058000,473058000,1698390000,37632000,23436000,17888000,-52913000,26043000,-66645000,-6611000,-73256000,-5709000,-344000.000000004,325000,325000,124000,-5604000,-52817000,-52817000,-52817000,91090000,679311000,-7223000.00000003,0.1475,0.03795,0.02111,0.07955,0.02216,-0.19194,0.96687,2.59024,0.39997,0.98886,0.97988,46.83946,12.43061,-0.189800000000001,0.15002,0.03062,-0.0051,0.15171,6.51126,8.76683
