"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2013_Q2",226.70625,"Down",-8339000,-2019000,-6320000,-8323000,-251000,-251000,-991508.944285546,-8574000,-8574000,-8574000,-8574000,-8574000,-8574000,76850000,69949000,1930000,1896000,78780000,246000,205000,439000,79219000,8686000,6199000,2487000,9610000,9279000,18889000,167167000,-106841000,60330000,60330000,79219000,-8574000,273000,458000,-7801000,142530270.48119,142530270.48119,64413000,59002000,59002000,59002000,9861000,-0.14212,-0.10823,8.19771,0.31309,0.12448,-21.97422,-21.97422,154.61917,-0.12176,8.04866
"2","2013_Q3",227.73125,"Up",-11586000,-1940000,-9646000,-11571000,-238000,-237000,-1000,-11809000,-11809000,-11809000,-11809000,-11809000,-11809000,63650000,19474000,2001000,2001000,65651000,373000,373000,541000,66192000,7054000,3772000,3282000,8775000,8308000,17083000,167738000,-118650000,49109000,49109000,66192000,-11809000,575000,-1412000,-12603000,68000,68000,-433000,-50475000,-50475000,-50475000,9895000,-0.24047,-0.17841,7.4816,0.34786,0.14949,-19.52722,-19.52722,81.20606,-0.20014,4.64567
"3","2013_Q4",167.555625,"Down",-11096000,-2101000,-8995000,-11087000,-242000,-319000,77000,-11329000,-11329000,-11329000,-11329000,-11329000,-11329000,54941000,23297000,2068000,1863000,57009000,553000,553000,928000,57937000,9451000,3988000,5463000,12074000,7549000,19623000,168279000,-129979000,38314000,38314000,57937000,-11329000,632000,2273000,-8319000,86999.9999999925,86999.9999999925,58000,3823000,3823000,3823000,9932000,-0.29569,-0.19554,4.72163,0.51216,0.17143,-18.67642,-18.67642,63.16255,-0.23482,4.05962
"4","2014_Q1",144.87868852459,"Down",-9932000,-2253000,-7679000,-9928000,-308000,-193000,-115000,-10236000,-10236000,-10236000,-10236000,-10236000,-10236000,76731000,54220000,991000,742000,77722000,706000,706000,982000,78704000,8040000,3197000,4843000,11382000,6786000,18168000,200748000,-140215000,60536000,60536000,78704000,-10236000,549000,-513000,-10092000,32439000,32439000,31970000,30923000,30923000,30923000,9968000,-0.16909,-0.13006,6.8285,0.30012,0.12665,-12.3995,-12.3995,73.331,-0.14518,6.72472
"5","2014_Q2",85.5746031746032,"Down",-10160000,-2470000,-7690000,-10160000,-248000,-246000,-1999.99999999997,-10408000,-10408000,-10408000,-10408000,-10408000,-10408000,62700000,33397000,970000,765000,63670000,1007000,1007000,2909000,66579000,6712000,1634000,5078000,9899000,6006000,15905000,201298000,-150623000,50674000,50674000,66579000,-10408000,595000,-1586000,-11298000,59000,59000,-752000,-20823000,-20823000,-20823000,9193000,-0.20539,-0.15633,6.43196,0.31387,0.13808,-12.62859,-12.62859,61.4855,-0.17385,5.26644
"6","2014_Q3",68.94375,"Down",-9534000,-2813000,-6721000,-9534000,-280000,-259000,-21000,-9814000,-9814000,-9814000,-9814000,-9814000,-9814000,58034000,9053000,1903000,1698000,59937000,314000,314000,1400000,61337000,6367000,2658000,3709000,11498000,8449000,19947000,201826000,-160437000,41390000,41390000,61337000,-9814000,741000,-441000,-9385000,0,0,4190000,-24344000,-24344000,-24344000,13423000,-0.23711,-0.16,5.21282,0.48193,0.21884,-11.90247,-11.90247,50.198,-0.17853,4.67915
"7","2014_Q4",71.36625,"Up",-7709000,-2624000,-5085000,-7709000,-354000,-324000,-30000,-8063000,-8063000,-8063000,-8063000,-8063000,-8063000,49114000,11270000,1322000,1322000,50436000,332000,332000,671000,51107000,4810000,920000,3890000,9954000,7360000,17314000,202292000,-168500000,33793000,33793000,51107000,-8063000,685000,-1040000,-8394000,1000.00000000093,1000.00000000093,-1294000,2217000,2217000,2217000,12176000,-0.2386,-0.15777,5.06691,0.51235,0.23825,-9.77875,-9.77875,40.98391,-0.1742,4.79154
"8","2015_Q1",22.4229508196721,"Down",-9315000,-2238000,-7077000,-9315000,-398000,-297000,-101000,-9713000,-9713000,-9713000,-9713000,-9713000,-9713000,40713000,10923000,1532000,1532000,42245000,318000,318000,732000,42977000,7020000,1822000,5198000,18053000,311000,18364000,202834000,-178213000,24613000,24613000,42977000,-9713000,704000,2091000,-6862000,13000,13000,-1282000,-347000,-347000,-347000,10928000,-0.39463,-0.226,2.34005,0.74611,0.25428,-11.77796,-11.77796,29.84565,-0.27092,3.19753
"9","2015_Q2",21.1866666666667,"Down",-9342000,-3437000,-5905000,-9342000,-280000,-264000,-16000,-9622000,-9622000,-9622000,-9622000,-9622000,-9622000,30221000,12624000,950000,950000,31171000,306000,306000,779000,31950000,5750000,857000,4893000,15540000,305000,15845000,203942000,-187835000,16105000,16105000,31950000,-9622000,1244000,-685000,-9015000,637081.740739129,637081.740739129,-1295000,1701000,1701000,1701000,9677000,-0.59745,-0.30116,2.00586,0.98386,0.30288,-11.6658,-11.6658,19.52584,-0.36884,2.1991
"10","2015_Q3",13.18375,"Down",-5631000,-2299000,-3332000,-5631000,-409000,-242000,-167000,-6040000,-6040000,-6040000,-6040000,-6040000,-6040000,23029000,16122000,963000,963000,23992000,309000,309000,756000,24748000,5319000,1329000,3990000,13997000,298000,14295000,204328000,-193875000,10453000,10453000,24748000,-6040000,484000,-327000,-5840000,0,0,-1294000,3498000,3498000,3498000,8425000,-0.57782,-0.24406,1.71408,1.36755,0.34043,-7.32256,-7.32256,12.67263,-0.31498,2.5935
"11","2015_Q4",65.10671875,"Up",-6204000,-2359000,-3845000,-6204000,-396000,-220000,-176000,-6600000,-6600000,-6600000,-6600000,-6600000,-6600000,7650000,7650000,8402000,6e+05,16052000,323000,323000,689000,16741000,4772000,1018000,3754000,12335000,268000,12603000,204613000,-200475000,4138000,4138000,16741000,-6600000,386000,-53000,-6214000,0,0,-9155000,-8472000,-8472000,-8472000,7172000,-1.59497,-0.39424,1.30134,3.04567,0.42841,-8.00189,-8.00189,5.01694,-0.57005,0.07705
