"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.56571428571429,"Down",67410000,-60274000,7136000,-10890000,-10890000,-3754000,3000,-3751000,-3620479.96030873,-3751000,635000,-3116000,-3116000,-3116000,-3116000,27304000,27304000,45553000,45553000,11364000,5389000,1065000,84221000,55910000,8162000,6730000,1432000,64072000,148293000,21698000,4173000,17525000,5987000,5148000,27685000,5584000,5584000,5584000,33269000,67519000,44379000,3126000,115024000,115024000,148293000,-3116000,-3116000,4236000,2065000,8656000,11841000,-4854000,-4854000,-4854000,-4355000,3.45152764202275,112000,112000,27000,7513000,7513000,2e+05,7713000,482000,0,3649000,0.10586,-0.05569,-0.04622,-0.02709,-0.02101,-1.17105,3.04212,0.28924,0,-0.21065,-0.21002,4.55719,7.7761,0.24669,-0.02584,0.03026,-56.6473,7.27331
"2","2010_Q3",4.4621875,"Down",67676000,-60041000,7635000,-10268000,-10268000,-2633000,211000,-2422000,-764000,-3186000,-2037000,-5223000,-5223000,-5223000,-5223000,21680000,21680000,47015000,47015000,7351000,4925000,599000,76046000,56456000,4663000,3022000,1641000,61119000,137165000,20727000,4222000,16505000,2985000,1661000,23712000,4993000,4993000,4993000,28705000,68072000,39156000,1232000,108460000,108460000,137165000,-5223000,-5223000,4344000,3030000,-1496000,654999.999999998,-5642000,-5642000,-5642000,-5535000,0,86000,86000,66000,-4814000,-4814000,-810000,-5624000,1711000,0,-3390000,0.11282,-0.03891,-0.07718,-0.04816,-0.03808,0.649050000000001,3.20707,0.26466,0,-0.35087,-0.35087,4.54629,7.28604,-0.22773,-0.04604,-0.02988,-12.67095,8.23395
"3","2010_Q4",4.584375,"Up",65598000,-58964000,6634000,-10327000,-10327000,-3693000,29000,-3664000,-450000,-4114000,-368000,-4482000,-4482000,-4482000,-4482000,21314000,21314000,46948000,46948000,7760000,4419000,1368000,76022000,53250000,8254000,4126000,4128000,61504000,137526000,21415000,4990000,16425000,4102000,2838000,25517000,5091000,5091000,5091000,30608000,68707000,34674000,3537000,106918000,106918000,137526000,-4482000,-4482000,4250000,2258000,1085000,3111000,-3253000,-3253000,-3253000,-3143000,0,74000,74000,53000,21000,21000,-387000,-366000,557000,0,-1243000,0.10113,-0.0563,-0.06833,-0.04192,-0.03259,0.27733,2.97927,0.28628,0,-0.30048,-0.30048,4.39783,7.16801,-0.08333,-0.04001,-0.0111,-38.26571,5.77146
"4","2011_Q1",5.35209677419355,"Up",64692000,-58393000,6299000,-11796000,-11796000,-5497000,30000,-5467000,-1621000,-7088000,526000,-6562000,-6562000,-6562000,-6562000,18740000,18740000,46989000,46989000,12105000,4559000,1254000,77834000,46985000,7936000,4102000,3834000,54921000,132755000,23986000,7344000,16642000,3679000,2839000,27665000,4443000,4443000,4443000,32108000,69373000,28112000,3162000,100647000,100647000,132755000,-6562000,-6562000,4325000,-179000,1526000,-890000,-3193000,-3193000,-3193000,-3028000,0,145000,145000,124000,-3794000,-3794000,1220000,-2574000,-1172000,0,-3365000,0.09737,-0.08497,-0.10143,-0.0652,-0.04943,0.5128,2.81345,0.31902,2.06795153138257e-25,-0.44031,-0.44031,4.34087,6.75347,-0.22579,-0.06244,-0.03202,15.98976,3.40913
"5","2011_Q2",4.7447619047619,"Down",59510000,-53804000,5706000,-7999000,-7999000,-2293000,18000,-2275000,-3534422.59426677,-2275000,-279000,-2554000,-2554000,-2554000,-2554000,20380000,20380000,41571000,41571000,11252000,4354000,1054000,73203000,45333000,7939000,4358000,3581000,53272000,126475000,20006000,4497000,15509000,4034000,3363000,24040000,3886000,3886000,3886000,27926000,69984000,25558000,3007000,98549000,98549000,126475000,-2554000,-2554000,3986000,130000,1817000,3379000,-1928000,-1928000,-1928000,-1763000,-10.3545829260683,160000,160000,139000,1755000,1755000,-115000,1640000,1693000,0,1861000,0.09588,-0.03853,-0.04292,-0.02592,-0.02019,-0.72866,3.04505,0.28337,0,-0.17011,-0.17011,3.96363,6.56381,0.12395,-0.02493,0.01817,-12.0378,8.88792
"6","2011_Q3",3.3596875,"Down",57139000,-52651000,4488000,-11381000,-11381000,-6893000,-12000,-6905000,-3272000,-10177000,525000,-9652000,-9652000,-9652000,-9652000,20151000,20151000,40759000,40759000,12367000,4244000,2506000,73277000,42262000,7656000,4272000,3384000,49918000,123195000,26612000,7754000,18858000,3437000,2735000,30049000,4214000,4214000,4214000,34263000,70414000,15906000,2612000,88932000,88932000,123195000,-9652000,-9652000,4061000,1481000,5514000,1404000,-2250000,-2250000,-2250000,-2085000,-17.2576382101138,11000,11000,-11000,-692000,-692000,463000,-229000,-2832000,4.44089209850063e-16,-92999.9999999991,0.07855,-0.12064,-0.16892,-0.10853,-0.07835,0.00963999999999998,2.43858,0.38527,0,-0.64039,-0.64039,3.79107,5.90048,-0.00617000000000001,-0.10362,-0.001,7.11546999999999,2.9234
"7","2011_Q4",2.37,"Down",51701000,-49594000,2107000,-8633000,-8633000,-6526000,5000,-6521000,-291000,-6812000,17000,-6795000,-6795000,-6795000,-6795000,11516000,11516000,39943000,39943000,10918000,3490000,1803000,62377000,41004000,7294000,3959000,3335000,48298000,110675000,21498000,6951000,14547000,4514000,2724000,26012000,3832000,3832000,3832000,29844000,70774000,9111000,946000,80831000,80831000,110675000,-6795000,-6795000,3901000,502000,-3197000,-5589000,-3239000,-3239000,-3239000,-3074000,-7.99360577730113e-15,34000,34000,12000,-8651000,-8651000,16000,-8635000,-2625000,0,-9078000,0.04075,-0.12623,-0.13143,-0.08406,-0.0614,1.33598,2.39801,0.36921,0,-0.44976,-0.44976,3.42209,5.35021,-0.60087,-0.08026,-0.10723,4.38705,1.76463
"8","2012_Q1",2.46129032258065,"Up",51143000,-47235000,3908000,-9321000,-9321000,-5413000,22000,-5391000,-1933000,-7324000,-137000,-7461000,-7461000,-7461000,-7461000,9719000,9719000,37736000,37736000,8872000,2534000,1937000,56327000,38475000,6631000,3355000,3276000,45106000,101433000,20201000,7385000,12816000,3284000,1997000,23485000,3586000,3586000,3586000,27071000,71210000,1650000,1502000,74362000,74362000,101433000,-7461000,-7461000,3802000,1630000,1567000,-461999.999999999,-1541000,-1541000,-1541000,-1376000,0,29000,29000,9000.00000000001,-1829000,-1829000,32000,-1797000,-1611000,-3.5527136788005e-15,-1448000,0.07641,-0.10584,-0.14589,-0.10033,-0.07356,0.19408,2.39842,0.36404,-5.29395592033938e-23,-0.49274,-0.49274,3.37756,4.91098,-0.09563,-0.09572,-0.01858,6.0329,1.79549
"9","2012_Q2",2.52920634920635,"Up",50859000,-45522000,5337000,-8325000,-8325000,-2988000,103000,-2885000,-3086000,-5971000,-161000,-6132000,-6132000,-6132000,-6132000,10471000,10471000,36692000,36692000,8974000,2882000,1682000,56137000,33512000,6426000,3245000,3181000,39938000,96075000,21024000,8046000,12978000,2903000,1945000,23927000,3146000,3146000,3146000,27073000,71571000,-4482000,1913000,69002000,69002000,96075000,-6132000,-6132000,3810000,3575000,536000,1789000,-1162000,-1162000,-1162000,-997000,0,27000,27000,4000,796000,796000,-44000,752000,822000,0,357000,0.10494,-0.05875,-0.12057,-0.08887,-0.06383,-0.05822,2.34618,0.39235,0,-0.40371,-0.40371,3.34841,4.54289,0.0235,-0.08499,0.00495,-12.73844,3.50435
"10","2012_Q3",2.98238095238095,"Up",44421000,-41150000,3271000,-7328000,-7328000,-4057000,84000,-3973000,-467000,-4440000,163000,-4277000,-4277000,-4277000,-4277000,11368000,11368000,31984000,31984000,10494000,2569000,1670000,53846000,30626000,6119000,3095000,3024000,36745000,90591000,18948000,6844000,12104000,2875000,2163000,21823000,2816000,2816000,2816000,24639000,71960000,-8759000,2751000,65952000,65952000,90591000,-4277000,-4277000,3250000,662000,1839000,1474000,-455000,-455000,-455000,-290000,0,27000,27000,2000,1186000,1186000,-289000,897000,-807000,-5.6843418860808e-14,414000,0.07364,-0.09133,-0.09628,-0.06485,-0.04721,-0.0968,2.4674,0.37359,-8.470329472543e-22,-0.28066,-0.28066,2.91496,4.32784,0.02717,-0.06219,0.00602,14.08674,2.80207
