"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2015_Q3",826.60828125,"Down",14330940,-10086432,4244508,-3446935,-3446935,797573,262600,-189460,452060,1060173,1060173,1081573,1081573,1081573,1081573,503788,503788,3915061,3915061,6229439,1663610,1663610,12311898,7178152,879605,34605,8057757,20369655,4192522,3528911,606611,5621308,8621137,1210585,1210585,9831722,15453030,269602,5071184,4916625,4916625,20369655,1081573,229807,-738259,621394,0,312382,-1548578,-1548578,-614802,-614802,-614802,1027380,10049923,0.29618,0.05565,0.07547,0.21998,0.0531,2.19022,3.14302,0.49338,44.67592,44.59575,591.96004,203.04694,0.06686,11.96898
"2","2015_Q4",767.8559375,"Down",14665748,-10413546,4252202,-3571136,-3571136,681066,246539,-137154,383693,927605,927605,942505,942505,942505,942505,872795,872795,6742915,6742915,6277316,1809896,1809896,15702922,7886997,887691,42691,8774688,24477610,7165592,6563119,540441,9327507,8692865,507855,507855,9200720,18528227,473602,6013689,5949383,5949383,24477610,942505,87325.0000000001,-57033,1176797,-796170,-796170.000000001,-11620.0000000009,-11620,369007,369007,369007,768391,10854780,0.28994,0.04644,0.06427,0.15842,0.0385,1.68351,3.11431,0.44346,38.54912,36.58691,599.83941,243.29305,0.05444,14.65641
"3","2016_Q1",604.505573770492,"Down",14047912,-10245109,3802803,-3181653,-3181653,621150,-88067,-29055,-59012,533083,533083,417166,417166,417166,417166,1486737,1486737,4771044,4771044,6369516,893792,893792,13521089,8142523,880630,35630,9023153,22544242,4769454,4208783,486925,8827185,6472433,119055,119055,6591488,15418673,1027602,6430855,7125569,7125569,22544242,417166,314128,181145,772439,-569654,-569654,411157,411157,613942,613942,613942,935278,8400453,0.2707,0.04422,0.0297,0.05854,0.0185,1.53176,2.16385,0.37262,16.68907,15.64114,561.99829,285.02425,0.02666,11.13051
"4","2016_Q2",697.1925,"Up",13314693,-9441795,3872898,-3405912,-3405912,466986,175235,-175418,350653,642221,642221,692395,692395,692395,692395,2379981,2379981,8145960,8145960,6792217,2071011,1446568,19389169,14757786,957608,201484,15715394,35104563,5916002,5010465,864141,13594889,12285474,113173,113173,12398647,25993536,2783874,7123250,9111027,9111027,35104563,692395,210887,-457318,1549720,-174057,-7561470,6904994,6904994,893244,893244,893244,677873,16247113,0.29087,0.03507,0.052,0.076,0.01972,1.42621,2.85298,0.46282,26.13476,25.88669,502.56901,343.86202,0.02718,29.69496
"5","2016_Q3",1283.1425,"Up",18908100,-13075372,5832728,-4937642,-4937642,895086,-70890,-184743,113853,824196,824196,829896,829896,829896,829896,3281703,3281703,10986777,10986777,6446374,1858144,974606,22572998,14267269,1188857,334652,15456126,38029124,7750835,5790012,1944265,15385299,11929437,228357,228357,12157794,27543093,3279874,7953146,10486031,10486031,38029124,829896,455895,-606206,315490,57542,57541,528691,528691,901722,901722,901722,1350981,16048012,0.30848,0.04734,0.04389,0.07914,0.02182,1.46718,2.62665,0.42199,28.52711,28.29997,649.95318,360.41586,0.03101,14.26266
"6","2016_Q4",1255.28238095238,"Down",24714853,-16556184,8158669,-6461447,-6461447,1697222,-142884,-237665,94781,1554338,1554338,1431040,1431040,1431040,1431040,2376526,2376526,11236903,11236903,14531631,5034913,4150971,33179973,18394744,911299,66298.9999999999,19306043,52486016,13884127,8135336,5577165,23253046,11453092,4659135,4659135,16112227,39365273,4445154,9384186,13120743,13120743,52486016,1431040,458515,-62147,3025951,-249653,-9168859,5237731,5237731,-905177,-905177,-905177,2155737,16306126,0.33011,0.06867,0.0579,0.10907,0.02727,1.42691,3.00023,0.31068,45.48441,45.13296,785.54092,417.00005,0.04198,8.20729
"7","2017_Q1",1437.10177419355,"Up",36766914,-25417539,11349375,-9344771,-9344771,2004604,1058858,-75786,1134644,3063462,3063462,2040714,2040714,2040714,2040714,6045521,6045521,13568727,13568727,14071627,3240863,2475404,36926738,17647888,1458883,540064,19106771,56033509,14507853,7733459,5731805,25154792,11493452,3693307,3599307,15186759,40341551,5240205,11424900,15691958,15691958,56033509,2040714,1170713,-852386,3004050,-297666,-473928,1138873,1138873,3668995,3668995,3668995,3175317,17298339,0.30868,0.05452,0.0555,0.13005,0.03642,1.46798,2.57084,0.30871,60.61248,60.05294,1092.03639,466.04665,0.05563,5.61349
"8","2017_Q2",945.4,"Down",29397257,-19699173,9698084,-7712510,-7712510,1985574,-338894,-397098,58203.9999999998,1646680,1646680,1405693,1405693,1405693,1405693,5053943,5053943,12138022,12138022,12801605,4262448,3214675,34256018,16540839,1121928,203109,17662767,51918785,12024629,5559778,5334408,19752228,10188325,3590575,3496575,13778900,33531128,6819965,12830593,18387657,18387657,51918785,1405693,633513,-423191,279982,183782,183781.999999999,-1455342,-1455342,-991578,-991578,-991578,2619087,14447729,0.3299,0.06754,0.04782,0.07645,0.02707,1.73429,1.82357,0.27828,40.4338,40.17773,845.59205,528.87965,0.03859,4.73102
"9","2017_Q3",899.466666666667,"Down",30504983,-21146719,9358264,-8594850,-8594850,763414,-641022,-346270,-294752,122392,122392,413468,413468,413468,413468,15955975,15955975,13609039,13609039,13615104,3031101,2104883,46211219,15922932,1537715,618896,17460647,63671866,12232301,6263121,4903057,19799956,9780254,94000,0,9874254,29674210,22375770,12911123,33997656,33997656,63671866,413468,610244,-1371861,511418,-473710,-473710,-1459279,11025083,11062791,11062791,11062791,1373658,13300688,0.30678,0.02503,0.01355,0.01216,0.00649,2.33391,0.87283,0.20889,11.51828,10.77048,849.79985,947.0216,0.01575,-3.47817
"10","2017_Q4",779.762222222222,"Down",27806656,-17874750,9931906,-8526625,-8526625,1405281,-50413,-204992,154579,1354868,1354868,1182582,1182582,1182582,849644,13241368,13241368,14576581,14576581,16565678,2981013,2102444,47364640,16860577,1004022,85203.0000000001,17864599,65229239,12641451,8026375,3475856,18564833,9669193,93999.9999999995,0,9763193,28328026,23360769,13938466,36901213,36901213,65229239,1182582,498061,-2704974,-1206475,-376921,-376921,-983161,-1178860,-2762256,-2762256,-2762256,1903342,12204627,0.35718,0.05054,0.03056,0.02302,0.01303,2.55131,0.76767,0.1871,23.68786,23.49062,775.24266,1028.72037,0.02125,-0.737749999999999
