"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",3.10650793650794,"Up",5722000,-3158000,2564000,-6520000,-5270000,-1250000,-3956000,-94000,5000,-98000,-1000,-4050000,-3339000,-3339000,-3339000,-3339000,-3339000,18986000,16813000,2173000,3639000,3639000,6842000,1049000,30516000,1116000,865000,1316000,865000,1981000,32497000,6486000,2898000,3588000,375000,375000,7237000,4511000,3761000,3761000,8272000,15509000,422451000,-415064000,16988000,16988000,32497000,-5273000,187000,1288000,-2096000,-5894000,-62000,518000,463000,4767000,4957000,-474000,-474000,-474000,-3769000,4887000,0.4481,-0.69137,-0.58354,-0.19655,-0.10275,4.21666,0.91294,0.15038,-0.13025,3.74078,3.56395
"2","2010_Q3",3.2215625,"Up",5935000,-2934000,3001000,-6548000,-5304000,-1244000,-3547000,-773000,227000,-975000,-25000,-4320000,-3799000,-3799000,-3799000,-3799000,-3799000,15864000,14139000,1725000,3467000,3467000,6267000,1303000,26901000,1691000,1300000,1316000,1300000,2991000,29892000,7660000,3513000,4147000,4564000,212000,13030000,4047000,737000,737000,4784000,17814000,422929000,-420491000,12078000,12078000,29892000,-5559000,182000,1250000,1751000,-2376000,-779000,452000,-334000,30000,36000,-2674000,-2674000,-2674000,-3365000,4853000,0.50564,-0.59764,-0.6401,-0.31454,-0.12709,2.06454,1.47491,0.16235,-0.21502,3.27221,3.10431
"3","2010_Q4",2.90765625,"Down",4991000,-2324000,2667000,-6371000,-5089000,-1282000,-3704000,593000,-226000,827000,-8000,-3111000,-3631000,-3631000,-3631000,-3631000,-3631000,13209000,11884000,1325000,3512000,3512000,7334000,1245000,25300000,2552000,4308000,1316000,825000,6860000,32160000,8128000,3076000,5052000,5306000,233000,14708000,3599000,1545000,1545000,5144000,19852000,427015000,-424323000,12308000,12308000,32160000,-3631000,192000,1027000,471000,-1941000,-886000,411000,-475000,1000,161000,-2255000,-2255000,-2255000,-3512000,4873000,0.53436,-0.74214,-0.72751,-0.29501,-0.1129,1.72015,1.61293,0.15152,-0.1939,2.37358,2.25054
"4","2011_Q1",3.08387096774194,"Up",6461000,-3630000,2831000,-7400000,-5914000,-1419000,-4569000,-624000,-695000,-570000,641000,-5193000,-6048000,-6048000,-6048000,-6048000,-6048000,30009000,28948000,1061000,4792000,4792000,5957000,997000,41755000,2390000,4022000,1316000,756000,6412000,48167000,9233000,3230000,6003000,248000,248000,11238000,3137000,10060000,10060000,13197000,24435000,441081000,-426953000,23732000,23732000,48167000,-2448000,292000,-1939000,37999.9999999999,-4057000,24000,252000,2207000,-21000,18914000,17064000,17064000,17064000,-4277000,4894000,0.43817,-0.70717,-0.93608,-0.25485,-0.12556,3.71552,1.02962,0.1016,-0.15634,5.87211,5.49683
"5","2011_Q2",2.84746031746032,"Down",6619000,-3529000,3090000,-7386000,-5528000,-1808000,-4296000,476000,-233000,693000,16000,-3820000,-5098000,-5098000,-5098000,-5098000,-5098000,24357000,23599000,758000,4800000,4800000,9126000,1190000,39473000,2274000,3933000,1316000,718000,6207000,45680000,10584000,5231000,5353000,9904000,161000,22309000,2657000,1595000,1595000,4252000,26561000,441563000,-431963000,19119000,19119000,45680000,-5098000,269000,1790000,-2019000,-5058000,-51000,218000,167000,-464000,-454000,-5345000,-5345000,-5345000,-4027000,4478000,0.46684,-0.64904,-0.77021,-0.26665,-0.1116,1.76938,1.38925,0.09803,-0.20237,4.93643,4.62733
"6","2011_Q3",2.3646875,"Down",6753000,-4074000,2679000,-8252000,-6207000,-1994000,-5573000,-497000,-220000,-258000,-19000,-6070000,-6409000,-6409000,-6409000,-6409000,-6409000,17780000,17167000,613000,4420000,4420000,9968000,864000,33032000,2141000,3927000,1316000,762000,6068000,39100000,10016000,4682000,5334000,10205000,123000,22108000,2159000,1588000,1588000,3747000,25855000,442024000,-438276000,13245000,13245000,39100000,-6409000,251000,827000,-648000,-5979000,-109000,123000,34000,-481000,-491000,-6436000,-6436000,-6436000,-5322000,4046000,0.39671,-0.82526,-0.94906,-0.48388,-0.16391,1.49412,1.95206,0.10348,-0.33948,2.58061,2.46438
"7","2011_Q4",2.75253968253968,"Up",9249000,-4726000,4523000,-7245000,-5380000,-1814000,-2722000,-457000,-394000,-41000,-22000,-3179000,2260000,2260000,2260000,2260000,2260000,15218000,14761000,457000,4783000,4783000,9591000,1082000,30674000,2045000,3833000,1316000,719000,5878000,36552000,9467000,3780000,5687000,4717000,74000,14184000,4910000,1290000,1290000,6200000,20384000,442609000,-435938000,16168000,16168000,36552000,2260000,177000,-5073000,-877000,-3513000,-47000,156000,89000,876000,1018000,-2406000,-2406000,-2406000,-2545000,4910000,0.48903,-0.2943,0.24435,0.13978,0.06183,2.16258,1.26076,0.13433,0.10104,4.05029,3.78692
"8","2012_Q1",3.41032258064516,"Up",10423000,-6206000,4217000,-7550000,-5938000,-1562000,-3333000,-923000,-117000,-923000,117000,-4256000,-7592000,-7592000,-7592000,-7592000,-7592000,25784000,25497000,287000,6096000,6096000,6444000,1415000,39739000,2032000,3596000,1316000,532000,5628000,45367000,10505000,4680000,5825000,8090000,111000,21114000,4697000,1243000,1243000,5940000,27054000,452752000,-443935000,18313000,18313000,45367000,-7735000,225000,3825000,2603000,-1082000,104000,169000,273000,2271000,11545000,10736000,10736000,10736000,-3108000,7216000,0.40459,-0.31977,-0.72839,-0.41457,-0.16735,1.88212,1.47731,0.15906,-0.28358,5.97426,5.57096
"9","2012_Q2",3.55936507936508,"Up",8782000,-5514000,3268000,-7840000,-5966000,-1824000,-4572000,234000,-139000,371000,2000,-4338000,-8799000,-8799000,-8799000,-8799000,-8799000,31536000,31449000,87000,5022000,5022000,8903000,1137000,46598000,1917000,3505000,1316000,491000,5422000,52020000,11647000,4150000,7497000,12637000,197000,27383000,4126000,1203000,1203000,5329000,32712000,462581000,-452769000,19308000,19308000,52020000,-8834000,208000,5009000,-287000,-3904000,-2000,198000,196000,-29000,9660000,5952000,5952000,5952000,-4364000,7225000,0.37212,-0.52061,-1.00194,-0.45572,-0.16915,1.70171,1.69422,0.13889,-0.31724,5.57081,5.31737
"10","2012_Q3",3.31126984126984,"Down",9224000,-5574000,3650000,-8449000,-6686000,-1712000,-4799000,-741000,-135000,-611000,5000,-5540000,-1866000,-1866000,-1866000,-1866000,-1866000,26667000,26667000,0,3725000,3725000,9373000,1024000,40789000,1866000,3408000,1316000,445000,5274000,46063000,10083000,3508000,6575000,8885000,136000,22660000,3717000,1167000,1167000,4884000,27544000,473195000,-454676000,18519000,18519000,46063000,-1907000,194000,-2996000,-677000,-5386000,-59000,89000,256000,161000,348000,-4782000,-4782000,-4782000,-4605000,7409000,0.39571,-0.52027,-0.2023,-0.10076,-0.04051,1.80004,1.48734,0.16084,-0.06887,4.18198,4.01292
"11","2012_Q4",3.21290322580645,"Down",8252000,-4411000,3841000,-8172000,-6219000,-1903000,-4331000,53000,-136000,187000,2000,-4278000,-3405000,-3405000,-3405000,-3405000,-3405000,26661000,26661000,0,3950000,3950000,9682000,3243000,43536000,1801000,3316000,1316000,403000,5117000,48653000,13787000,5700000,8087000,8592000,716000,27298000,3307000,1132000,1132000,4439000,31737000,475052000,-458136000,16916000,16916000,48653000,-3460000,180000,-182000,1710000,-1752000,-35000,0,20000,779000,1726000,-6000,-6000,-6000,-4151000,8226000,0.46546,-0.52484,-0.41263,-0.20129,-0.06999,1.59484,1.87615,0.16907,-0.1296,4.4411,4.25652
"12","2013_Q1",3.49566666666667,"Up",10528000,-5117000,5411000,-9009000,-6794000,-2164000,-3598000,20000,-141000,139000,22000,-3578000,-1605000,-1605000,-1605000,-1605000,-1605000,26696000,26696000,5380175.03292839,4444000,4444000,10180000,2676000,43996000,1698000,3225000,1316000,363000,4923000,48919000,14805000,7186000,7619000,5980000,77000.0000000001,25613000,2896000,1303000,1241000,4199000,29812000,478959000,-459852000,19107000,19107000,48919000,-1716000,162000,-1267000,-54000,-2875000,15000,0,-267000,-558000,3177000,34999.9999999963,34999.9999999963,34999.9999999963,-3436000,7724000,0.51396,-0.34176,-0.15245,-0.084,-0.03281,1.71772,1.56027,0.15789,-0.05705,5.52154,5.27293
"13","2013_Q2",4.83953125,"Up",9733000,-5090000,4643000,-9603000,-6853000,-2700000,-4960000,-168000,-131000,-54000,17000,-5128000,-10201000,-10201000,-10201000,-10201000,-10201000,69163000,69163000,14549712.7271485,4733000,4733000,11756000,1788000,87440000,1595000,3172000,1316000,360000,4767000,92207000,12036000,3887000,8149000,11150000,174000,27656000,2485000,1278000,1209000,3763000,31419000,530892000,-470104000,60788000,60788000,92207000,-10252000,167000,5853000,-4120000,-8352000,-26000,0,-26000,-809000,50845000,42467000,42467000,42467000,-4793000,6955000,0.47704,-0.50961,-1.04808,-0.16781,-0.11063,3.1617,0.51686,0.07543,-0.1478,12.97893,12.54194
"14","2013_Q3",5.43296875,"Up",10150000,-5747000,4403000,-11511000,-7954000,-3506000,-7108000,-248000,-107000,-157000,16000,-7356000,-6670000,-6670000,-6670000,-6670000,-6670000,58201000,58201000,23687144.0577944,5868000,5868000,12762000,939000,77770000,1641000,3137000,1316000,376000,4778000,82548000,13783000,5035000,8748000,10443000,153000,26383000,0,1220000,1145000,1220000,27603000,531773000,-476828000,54945000,54945000,82548000,-6724000,116000,157000.000000002,762000,-5689000,-154000,-12999.9999999981,-166999.999999998,-4623000,-5106000.00000001,-10962000,-10962000,-10962000,-6992000,2157000,0.43379,-0.7003,-0.65714,-0.12139,-0.0808,2.94773,0.50238,0.02613,-0.11437,8.01545,7.88464
"15","2013_Q4",6.28109375,"Up",10542000,-6826000,3716000,-12141000,-7728000,-4363000,-8425000,4e+05,-41000,409000,32000,-8025000,-20441000,-20441000,-20441000,-20441000,-20441000,53326000,24355000,28971000,7025000,7025000,12686000,1465000,74502000,1848000,3089000,1316000,378000,4937000,79439000,16136000,4076000,12060000,22817000,111000,42591000,-1633294.9344892,1202000,1120000,1202000,43793000,533008000,-497329000,35646000,35646000,79439000,-20501000,127000,13324000,958000,-6092000,-260000,-29163000,-29423000,1264000,1669000,-33846000,-33846000,-33846000,-8298000,3638000,0.35249,-0.79918,-1.93901,-0.57344,-0.25732,1.74924,1.22855,0.0458,-0.50489,5.98795,5.89769
