"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.49734375,"Up",357813000,-277478000,80335000,-34630000,-30977000,-9055000,-21922000,-3653000,45705000,-4121000,-6690000,2569000,41584000,41584000,-9439000,32145000,32145000,29091000,29091000,98459343.8070256,105671997.282501,272354826.081775,272354826.081775,181473340.08929,37734213.7597213,30041843.933888,590021723.737811,797191098.144919,354206892.289058,101395678.944086,14133790.2095137,1151397990.43398,1741419714.17179,415930559.633633,185526776.416377,230403783.217256,389170653.468134,404056253.745217,68104355.9428918,61446840.7047021,472160609.688109,861331263.156243,504601860.183592,265949009.529107,5410406.45663015,775961276.16933,880088451.015545,1741419714.17179,32145000,18613000,7824000,-41760000,16822000,-6011000,-6011000,-58001000,-47190000,-47190000,-1766000,-48956000,64318000,0,25986000,0.22452,0.12773,0.0813,0.344817227076058,0.168641535187309,0.89327,1.5498301346269,0.988060420196426,0.218786220082296,0.41428,0.41078,5.0956,13.0951377896811,0.37007,0.211941166539196,0.0826439062406456,3.15979942008063,3.36104495892497
"2","2011_Q1",16.8232258064516,"Up",373391000,-283388000,90003000,-37433000,-32820000,-9460000,-23360000,-4613000,52570000,-3782000,-6373000,2591000,48788000,48848000,-12319000,36529000,36529000,33026000,33026000,216078000,216078000,287703000,287703000,135385000,37333000,30125000,676499000,740630000,344823000,97873000,25409000,1085453000,1761952000,351077000,154600000,196477000,418200000,458278000,52616000,40008000,510894000,929094000,519131000,193814000,15310000,728255000,832858000,1761952000,36529000,21277000,13288000,18153000,89247000,-39039000,-39039000,1986000,52194000,52194000,-346000,51848000,73847000,525401000,65280000,0.24104,0.14079,0.08845,0.03965,0.01874,1.97662,1.61764,1.11555,0.29819,0.47032,0.46634,5.31745,10.37105,0.92965,0.02341,0.04627,4.1887,5.88402
"3","2011_Q2",16.4865079365079,"Down",342801000,-260875000,81926000,-36242000,-32084000,-9033000,-23051000,-4158000,45684000,-5314000,-6291000,977000,40370000,40370000,-11282000,29088000,29088000,27123000,27123000,252458218.730991,248975167.5725,293444807.972742,293444807.972742,128717803.30357,38838678.7467596,31719385.3553707,713459508.754063,725666133.951694,339586035.903647,93712357.0186379,29088069.9301621,1065252169.85534,1778711678.6094,345455896.788789,154504991.194541,190950905.594248,456861448.843955,446802082.084928,38696048.0190361,23107553.0984326,485498130.103964,942359578.947919,527484046.605469,180485913.490298,22064031.1811233,730033991.27689,836352099.661485,1778711678.6094,29088000,19883000,9489000,-21375000,37085000,-26469000,-26469000,-24491000,-13875000,-13875000,137000,-13738000,65567000,0,29005000,0.23899,0.13327,0.07912,-0.052918242358686,-0.0263796783957697,1.06939,1.5624982884577,1.12343235993452,0.313751259972568,0.33611,0.32955,4.24805,9.32588490343964,0.35944,-0.0332412221797321,0.0304720312531181,4.60748935997313,6.89639418035834
"4","2011_Q3",12.258125,"Down",366117000,-288782000,77335000,-37755000,-33434000,-9323000,-24111000,-4321000,39580000,-3249000,-6684000,3435000,36331000,-11794000,-8474000,-20268000,-20268000,-20903000,-20903000,240252000,235898000,294615000,294615000,141152000,39847000,32639000,715866000,736548000,334573000,89155000,28071000,1071121000,1786987000,363989000,167062000,196927000,487160000,403993000,28340000,11915000,432333000,919493000,531665000,200034000,27004000,758703000,867494000,1786987000,-20268000,21176000,55657000,11205000,67770000,-44130000,-44130000,10885000,34525000,34525000,-967000,33558000,60756000,527164000,36305000,0.21123,0.10811,-0.05709,-0.0241,-0.0117,-1.73683,1.46947,1.05994,0.295,-0.25704,-0.25341,4.50207,9.32962,0.44644,-0.01469,0.02551,4.72236,7.24891
"5","2011_Q4",10.9319047619048,"Down",358261000,-287587000,70674000,-34325000,-30010000,-8668000,-21342000,-4315000,36349000,-5381000,-6734000,1353000,30968000,30968000,-4921000,26047000,26047000,24478000,24478000,211710000,207666000,301194000,301194000,147637000,36140000,28932000,696681000,755258000,326314000,84702000,25843000,1081572000,1778253000,365243000,170957000,194286000,486020000,366722000,24091000,8242000,390813000,876833000,533720000,224512000,31772000,790004000,901420000,1778253000,26047000,21574000,4856000,-9884000,42593000,-28296000,-28296000,-41274000,-26977000,-26977000,-1255000,-28232000,57923000,487499000,24664000,0.19727,0.10146,0.06832,0.02715,0.01377,1.0076,1.43344,0.97272,0.27414,0.30094,0.30221,4.40454,9.71249,0.30322,0.01732,0.01745,4.7613,7.58725
"6","2012_Q1",11.9753225806452,"Up",361460000,-290082000,71378000,-38562000,-34045000,-9867000,-24178000,-4517000,32816000,-3944000,-6795000,2851000,28872000,13688000,-1328000,12360000,12360000,11170000,11170000,199618000,196052000,316568000,316568000,129430000,25918000,19001000,671534000,766800000,310735000,80508000,25109000,1077535000,1749069000,316258000,149055000,167203000,437140000,368518000,27762000,13044000,396280000,833420000,535639000,228661000,37596000,801896000,915649000,1749069000,12360000,24492000,14893000,-19848000,31897000,-41722000,-41722000,-335000.000000007,-10160000,-10160000,-1454000,-11614000,57308000,489400000,-2934000,0.19747,0.09079,0.0309,0.0122,0.00639,-0.26267,1.5362,0.9102,0.27981,0.13731,0.13624,4.44343,9.85772,-0.03607,0.0078,-0.00205,5.05657,8.83051
"7","2012_Q2",9.78111111111111,"Down",300499000,-244021000,56478000,-34673000,-30757000,-8622000,-22135000,-3916000,21805000,-4830000,-6417000,1587000,16975000,16975000,-4643000,12332000,12332000,12595000,12595000,224380000,223764000,293739000,293739000,133320000,29861000,22944000,681300000,789985000,300115000,76514000,20070000,1090100000,1771400000,296285000,139213000,157072000,417237000,387449000,34583000,19527000,422032000,839269000,538304000,241256000,38860000,818420000,932131000,1771400000,12332000,23009000,5828000,-7665000,33504000,-26588000,-26588000,20862000,27778000,27778000,-66000,27712000,44814000,508401000,15204000,0.18795,0.07256,0.04191,0.01351,0.00711,1.20715,1.63288,0.90038,0.28701,0.15471,0.15317,3.69104,10.05269,0.18675,0.00854,0.01031,6.33777,13.0255
"8","2012_Q3",9.96793650793651,"Up",327423000,-272732000,54691000,-36563000,-32461000,-9008000,-23453000,-4102000,18128000,-6568000,-6380000,-188000,11560000,11560000,-4009000,7551000,7551000,7410000,7410000,248940000,248486000,309982000,309982000,131889000,33164000,26247000,723975000,809499000,287816000,72492000,13407000,1097315000,1821290000,329825000,154260000,175565000,441585000,415877000,42142000,28362000,458019000,899604000,541127000,243120000,33916000,818163000,921686000,1821290000,7551000,24334000,6166999.99999999,753000,38805000,-32963000,-32963000,18100000,23942000,23942000,780000,24722000,42462000,527637000,14261000,0.16703,0.05537,0.02263,0.00803999999999998,0.00407,1.92456,1.63949,0.97604,0.28971,0.0904699999999999,0.0900700000000001,3.9974,9.98868,0.17411,0.00496999999999999,0.00956,6.56344,15.37384
"9","2012_Q4",9.04741935483871,"Down",339011000,-286695000,52316000,-36574000,-32470000,-8735000,-23735000,-4104000,15742000,-5312000,-6429000,1117000,10430000,-213514000,850000,-212664000,-212664000,-208342000,-208342000,281300000,280796000,313607000,313607000,141878000,43698000,36781000,780483000,817427000,70821000,39493000,11104000,888248000,1668731000,353828000,175814000,178014000,395043000,525897000,29204000,25146000,555101000,950144000,543321000,34778000,40539000,618638000,718587000,1668731000,-212664000,25150000,229092000,1929000,43507000,-27266000,-27266000,17313000,33554000,33554000,-1244000,32310000,40892000,567112000,14705000,0.15432,0.04644,-0.61456,-0.28993,-0.12485,-0.07058,1.97569,1.32224,0.33985,-2.5428,-2.57977,4.13761,7.55044,0.17947,-0.15845,0.01118,6.98944,18.15602
"10","2013_Q1",8.2625,"Down",381735000,-320221000,61514000,-40789000,-38274000,-9592000,-28682000,-2515000,20725000,-4118000,-6558000,2440000,16607000,16607000.0000001,-4926000,11681000,11681000,13742000,13742000,285433000,285433000,301557000,301557000,146012000,32610000,32610000,765612000,833678000,77672000,49104000,28568000,911350000,1676962000,339876000,186745000,153131000,369880000,527541000,41877000,41877000,569418000,939298000,546111000,45921000,46749000,638781000,737664000,1676962000,11681000,26477000,1396000,27195000,66749000,-49627000,-49627000,-11207000,5915000,5915000,-1278000,4637000,47202000,557545000,29696000,0.16114,0.05429,0.0360000000000001,0.01863,0.00818999999999999,2.16097,2.06989,1.27334,0.33247,0.1677,0.1677,4.65849,7.79534,0.36239,0.01028,0.02221,5.76484,13.12965
