"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2016_Q2",9.888125,"Up",0,-430243,-430243,-430243,47097,47097,-383146,-383146,-1500,-384646,-384646,-384646,-384646,78804,78804,10265,89069,46050791,46050791,46050791,46139860,455550,455550,125000,580550,580550,5914125,-914005,45559310,45559310,46139860,54643447.048183,-4569981.54464592,51766090.10042,-133261649.89518,242275063.279333,-226066135.133405,16204298.0128106,-65291261.7819496,-65291261.7819496,-65291261.7819496,125000,-0.00844,-0.00834,0.15342,0.01274,0.00271,-0.20751,-0.20751,0,2.6975,-0.00842,-0.10737
"2","2016_Q3",9.89421875,"Up",0,-602842,-602841.999999998,-602842,43635,43635,-559207,-559207,0,-559207.000000001,-559207.000000001,-559207.000000001,-559207,63185,63185,1035,64220,46014426,46014426,46014426,46078646,953543.000000015,953543.000000007,125000,1078543,1078543,6514125,-1473212,45000103,45000103,46078646,17987482.3493943,-21036327.1815486,-3050636.63319334,-52696216.6317267,132409354.426444,-93346045.0444683,39061766.0042702,-16685087.2606499,-16685087.2606499,-16685087.2606499,125000,-0.01243,-0.01214,0.0595400000000003,0.0239700000000003,0.00271,-0.29555,-0.29555,0,2.66422,-0.01239,-0.102540000000002
"3","2016_Q4",14.0777777777778,"Up",91889000,-11661000,-10207000,410000,-853000,-853000,-443000,-464000,2277000,1813000,1813000,1813000,1653000,546000,546000,31044000,153896000,35084000,619000,54222000,208118000,69576000,48997000,4378000,117359000,165024000,37927000,-4941000,43094000,43094000,208118000,1813000,-17609000,-15383000,-13013000,53599000,-24917000,28682000,286000,286000,286000,50778000,0.03836,0.00794,1.31133,3.8294,0.24399,0.27885,0.2457,15.50133,5.56462,0.01737,122.51707
"4","2017_Q2",12.7149206349206,"Down",115190000,-15575000,-14567000,-1806000,-454000,-454000,-2260000,-2297000,1083000,-1214000,-1214000,-1214000,-1452000,6291000,6291000,34277000,148043000,33195000,557999.999999996,51076000,199119000,74911000,53837000,5989000,115015000,142509000,55163000,-9167000,56610000,56610000,199119000,-1214000,-5426000,-4727000,-623000,4826000,-591000,4235000,-1115000,-1115000,-1115000,32761000,-0.02565,-0.00729,1.28716,2.51738,0.16453,-0.19478,-0.19478,15.45243,6.17024,-0.01612,-14.6567
"5","2017_Q3",12.7457142857143,"Up",117838000,-13802000,-12786000,1735000,-563000,-563000,1172000,1073000,-404000,669000,669000,669000,425000,685000,685000,34173000,137367000,31745000,527000,49183000,186550000,74652000,45833000,5390000,110245000,129269000,55163000,-8742000,57281000,57281000,186550000,669000,1110000,5021000,-1026000,-9028000,-573000,-9601000,-5606000,-5606000,-5606000,23500000,0.00742,0.00228,1.24602,2.25675,0.12597,0.05701,0.05701,15.8075,6.22719,0.0052,13.14986
"6","2017_Q4",13.3757142857143,"Up",121299000,-14417000,-13610000,994000,-545000,-545000,449000,455000,-327000,128000,128000,128000,-868000,761000,761000,33590000,153746000,30578000,497000,48061000,201807000,79153000,56330000,5010000,117230000,147551000,54186000,-7709000,54256000,54256000,201807000,128000,-9139000,-5635000,-633000,11019000,-4675000,6344000,76000,76000,76000,34576000,-0.016,-0.0043,1.31149,2.71953,0.17133,-0.11617,-0.11617,16.2347,6.2205,-0.00969,34.01911
"7","2018_Q1",12.9111475409836,"Down",131412000,-15811000,-15060000,5095000,-472000,-472000,4623000,4632000,-3503000,1129000,1129000,1129000,951000,626000,626000,36291000,166260000,28842000,465000,46760000,213020000,100583000,67438000,6358000,135484000,156901000,54739000,-6579000,56119000,56119000,213020000,1129000,-3281000,1276000,-952000,33000,-247000,-459000,-135000,-135000,-135000,26914000,0.01695,0.00446,1.22716,2.79586,0.12634,0.12672,0.12672,17.5103,6.41719,0.01426,5.15957
"8","2018_Q2",12.16796875,"Down",120549000,-16001000,-15666000,-2714000,-769000,-769000,-3483000,-3467000,1043000,-2424000,-2424000,-2424000,-4530000,375000,375000,34382000,161600000,29578000,493000,47898000,209498000,90693000,62077000,7301000,129175000,165401000,53100000,-9003000,44097000,44097000,209498000,-2424000,1483000,-74000,-703000,10673000,-9272000,525999.999999998,-251000,-251000,-251000,42489000,-0.10273,-0.02162,1.25102,3.75084,0.20281,-0.60068,-0.60068,15.98492,5.84731,-0.04171,-15.51732
"9","2018_Q3",10.631746031746,"Down",139531000,-14021000,-13685000,1777000,-799000,-799000,978000,1002000,-293000,709000,709000,709000,709000,256000,256000,37402000,175015000,28947000,490000,48296000,223311000,98243000,61422000,13479000,155672000,177851000,53754000,-8294000,45460000,45460000,223311000,709000,-2408000,754000,-1291000,420000,-2000,418000,-119000,-119000,-119000,34542000,0.0156,0.00317,1.12425,3.91225,0.15468,0.094,0.094,18.4993,6.02718,0.00874,19.29432
"10","2018_Q4",7.32571428571429,"Down",135062000,-13629000,-13325000,-2939000,-787000,-787000,-3726000,-3690000,186000,-3504000,-3504000,-3504000,-3504000,526000,526000,69320000,210175000,28468000,35000,48497000,258672000,123295000,60138000,36628000,212343000,216174000,54296000,-11798000,42498000,42498000,258672000,-3504000,3305000,1539000,-1293000,150999.999999998,-127000,24000,270000,270000,270000,39272000,-0.08245,-0.01355,0.98979,5.08669,0.15182,-0.4626,-0.4626,17.83104,5.61063,-0.04224,-13.1834
"11","2019_Q1",5.70344262295082,"Down",151384000,-14710000,-14413000,4946000,-950000,-950000,3996000,3675000,-301000,3374000,3374000,3374000,3374000,1619000,1619000,67680000,204986000,28121000,271000,48648000,253634000,128154000,74353000,3141000,182138000,207266000,54792000,-8424000,46368000,46368000,253634000,3374000,17008000,23103000,-392000,-20852000,-766000,-21618000,1093000,1093000,1093000,26755000,0.07277,0.0133,1.12544,4.47002,0.10549,0.44442,0.44442,19.94027,6.10758,0.04521,5.08209
