"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2011_Q1",21.0941935483871,"Up",5580000,-5513000,67000,-1629000,-1629000,-1562000,-4028000,-4229000,-261000,462000,-5590000,-5590000,2699000,-2891000,-2891000,-2891000,-2891000,12365000,10926000,4389000,4389000,18601000,2086000,1014000,37441000,124973000,13704000,4545000,151376000,188817000,3751000,1988000,1763000,1281000,2880000,2880000,7912000,72179000,3489000,3489000,75668000,83580000,16689000,-172000,88720000,105237000,105237000,188817000,-5682000,-1727000,-37582000,-39309000,0,36674000,36502000,-8489000,-8489000,-8489000,73460000,0.01201,-0.27993,-0.5181,-0.02747,-0.01531,4.73218,0.79421,0.38905,-0.39333,-0.39333,0.75918,14.31796,0,-0.01587,0,-39.11332
"2","2011_Q4",17.017619047619,"Down",39341000,-27502000,11839000,-1766000,-1766000,10073000,-331000,-502000,57000,114000,9742000,9742000,-3771000,5971000,5971000,5971000,5971000,2325000,1336000,2928000,2928000,22373000,1555000,856000,29181000,128780000,11791000,3119000,150854000,180035000,5547000,2946000,2601000,3279000,3001000,3001000,11827000,53879000,3667000,3667000,57546000,69373000,16589000,-862000,94935000,110662000,110662000,180035000,-1753000,-1409000,708000.000000007,-700999.999999993,0,-434000,-456000,-2910000,-2910000,-2910000,57158000,0.30093,0.25604,0.15178,0.05396,0.03317,2.46732,0.62689,0.31748,0.81062,0.81062,5.34089,15.02335,0,0.03482,2.77555756156289e-17,5.44355999999999
"3","2012_Q1",19.1435483870968,"Up",6206000,-5173000,1033000,-2822000,-2822000,-1789000,348000,-448000,282000,514000,-1441000,-1441000,-52000,-1493000,-1493000,-1493000,-1493000,2325000,1336000,2928000,2928000,22373000,1555000,856000,29181000,128780000,11791000,3119000,150854000,180035000,5547000,2946000,2601000,3279000,3001000,3001000,11827000,53879000,3667000,3667000,57546000,69373000,16589000,-862000,94935000,110662000,110662000,180035000,9562000,-2952000,202000,-2750000,0,-8392000,-8550000,-1738000,-1738000,-1738000,57158000,0.16645,-0.28827,-0.24057,-0.01349,-0.00829,2.46732,0.62689,0.31748,-0.20302,-0.20302,0.84389,15.04787,0,-0.00871,0,-30.65008
"4","2012_Q2",20.3525396825397,"Up",26047000,-20533000,5514000,-1990000,-1990000,3524000,-360000,-469000,108000,1000,3164000,3164000,-1231000,1933000,1933000,1933000,1933000,2070433.85163141,1436442.7599119,10317535.5737288,10317535.5737288,19407440.7865655,-4708730.23794863,409860.292406784,27086679.9739771,132571267.709255,11721937.7181728,3037014.22725542,154831048.829693,181917728.80367,7691946.77788399,5946046.00601147,2126702.97278338,3231512.8801015,1925314.94923789,1925307.98500143,12848774.6072234,52925176.8358231,3686537.47464481,3684284.00188164,56611714.3104679,69460488.9176913,16534051.1878793,-812932.658474795,96736123.581096,112457242.1105,112457239.885979,181917728.80367,-237000.000000002,-4205000,-715000,-4920000,-882000,5370000,4488000,-669000,-669000,-669000,0,0.21169,0.13529,0.0742099999999999,-0.00151256841588789,-0.00107400829566257,2.21467818078933,0.615745003274867,0.308183541628047,0.26285,0.26285,3.54188,15.2969429196651,0.11993,-0.000261051476025906,0.45629,-26.0805211628079
"5","2012_Q3",25.8615873015873,"Up",54097000,-39859000,14238000,-1807000,-1807000,12431000,-502000,-467000,-66000,31000,11929000,11929000,-4515000,7414000,7414000,7414000,7414000,1022000,768000,13514000,13514000,17818000,918000,278000,33272000,131567000,11686000,3014000,152205000,185477000,11066000,7055000,1879000,3271000,1606000,1606000,15943000,46429000,3730000,3730000,50159000,66102000,16474000,-793000,103694000,119375000,119375000,185477000,13837000,-3146000,443000,-2703000,-293000,-10452000,-11033000,101000,101000,101000,49700000,0.26319,0.22979,0.13705,0.06211,0.03997,2.08693,0.55373,0.26796,1.00802,1.00802,7.35513,16.23046,0.03984,0.0446,0.03952,3.91586
"6","2012_Q4",28.2788709677419,"Up",40401000,-29892000,10509000,-1871000,-1871000,8638000,6888000,-354000,-15999.9999999995,7258000,15526000,15526000,-5919000,9607000,9607000,9607000,9607000,4222000,3967000,4639000,4639000,21648000,21604000,973000,52113000,121395000,10560000,3254000,137505000,189618000,12553000,3584000,2518000,3267000,3774000,3774000,19594000,37450000,3761000,3761000,41211000,60805000,16466000,-660000,113007000,128813000,128813000,189618000,12026000,7799000,-8169000,-370000,-294000,-8163000,-8457000,3199000,3199000,3199000,40717000,0.26012,0.21381,0.23779,0.07458,0.05067,2.65964,0.47204,0.21473,1.30636,1.30636,5.49374,17.51605,0.03998,0.05714,0.0306,4.22494
"7","2013_Q1",36.0093333333333,"Up",6642000,-4671000,1971000,-2822000,-2822000,-851000,1612000,-326000,9184000,-7246000,761000,-1157000,692000,-465000,-465000,-465000,-465000,13585000,13328000,3071000,3071000,27290000,7521000.00000001,1219000,51467000,122834000,5175000,3007000,133616000,185083000,8784000,4929000,3371000,3267000,5097000,5097000,17148000,36633000,3756000,3756000,40389000,57537000,16430000,-543000,111659000,127546000,127546000,185083000,-1991000,4226000,7434000,11660000,-296000,-2000,-308000,9361000,9361000,9361000,39900000,0.29675,-0.12812,-0.07001,-0.00365,-0.00250999999999999,3.00134,0.45111,0.21558,-0.06321,-0.06321,0.90281,17.33669,0.04023,-0.000989999999999998,-0.63656,-30.92244
"8","2013_Q2",37.16390625,"Up",21356000,-17570000,3786000,-1808000,-1808000,1978000,-304000,-367000,86000.0000000019,-23000,1674000,1674000,-635999.999999999,1038000,1038000,1038000,1038000,1160000,902000,7778000,7778000,25145000,2500000,1469000,36583000,128577000,5206000,3038000,139469000,176052000,6665000,4410000,2255000,2e+06,780000,780000,9445000,35500000,3792000,3792000,39292000,48737000,16433000,-1816000,112698000,127315000,127315000,176052000,-2939000,-7892000,110000,-7782000,-294000,-4.65661287307739e-10,-1705000,-12426000,-12426000,-12426000,37500000,0.17728,0.09262,0.0486,0.00815,0.0059,3.87327,0.38281,0.21301,0.14115,0.14115,2.904,17.31235,0.03998,0.0079,0.28324,18.37209
"9","2013_Q3",36.6540625,"Down",38410000,-31396000,7014000,-2464000,-2464000,4550000,23000,-311000,275000,59000,4573000,4573000,-1800000,2773000,2773000,2773000,2773000,3772000,3513000,9062000,9062000,22345000,1461000,1388000,36640000,130906000,5078000,2910000,141916000,178556000,7975000,5367000,1841000,2e+06,1472000,1472000,11447000,3.5e+07,3828000,3828000,38828000,50275000,16524000,-3132000,114889000,128281000,128281000,178556000,9881000,-4787000,-497000,-5284000,-587000,0,-1986000,2611000,2611000,2611000,3.7e+07,0.18261,0.11846,0.07219,0.02162,0.01553,3.20084,0.39191,0.20722,0.38018,0.37883,5.26597,17.58719,0.08048,0.01987,0.21168,7.30286
"10","2013_Q4",33.240625,"Down",35229000,-26164000,9065000,-2253000,-2253000,6812000,-167000,-290000,169000,-46000,6645000,6645000,-2566000,4079000,4079000,4079000,4079000,7063000,6803000,7801000,7801000,22766000,1566000,1513000,39196000,132248000,5110000,2942000,143456000,182652000,7536000,2448000,1828000,2e+06,2575000,2575000,12111000,34500000,3863000,3863000,38363000,50474000,16759000,-2966000,118385000,132178000,132178000,182652000,7811000,-3688000,-483000,-4171000,-283000,0,-350000,3290000,3290000,3290000,36500000,0.25732,0.19336,0.11579,0.03086,0.02233,3.2364,0.38186,0.19983,0.55877,0.55301,4.82589,18.10658,0.03877,0.02528,0.06938,4.32134
