"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.1961904761905,"Up",269833000,-193541000,76292000,-84180000,-84180000,-7888000,-2354000,-10242000,-10242000,4025000,-6111000,-6111000,-6111000,-6111000,11494000,11494000,157568000,157568000,382380000,24194000,13513000,575636000,32206000,1087000,218933000,176923000,13454000,28556000,252226000,827862000,277019000,251590000,25429000,36223000,313242000,242150000,29625000,21979000,7646000,271775000,585017000,207852000,33066000,1927000,242845000,242845000,827862000,-6111000,2791000,970000,-22934000,-25284000,-3133000,-25888157.560275,-3133000,-6418000,41450000,820000,2353000,-1533000,-11393000,24459000,-3958000,-3958000,-391000,-4349000,-5097000,278373000,-35189000,0.28274,-0.02923,-0.02265,-0.02516,-0.00738,5.7583,1.83767,2.40901,0.33626,-0.12422,-0.12422,5.48508,4.93648,-0.71531,0.13046,-182.205150780918,0.00056,-0.06388,-1.05024,-52.36002,-33.83354
"2","2010_Q3",17.58890625,"Down",647467000,-456933000,190534000,-101665000,-101665000,88869000,-1928000,86941000,86941000,-34167000,52770000,52770000,52770000,52770000,36985000,36985000,238638000,238638000,331537000,18682000,8001000,625842000,32162000,1083000,220784000,178087000,13861000,28836000,254029000,879871000,292190000,221374000,70816000,24220000,316410000,242131000,29879000,22132000,7747000,272010000,588420000,211141000,79395000,915000,291451000,291451000,879871000,52770000,2868000,1860000,-3499000,53999000,-1951000,-4872000,-6823000,-6440000,-2548000,818000,819000,-1000,-12268000,-20438000,26738000,26738000,-1247000,25491000,91737000,266351000,120454000,0.29428,0.13726,0.0815,0.18106,0.05997,2.28262,1.97795,2.01893,0.30272,1.06578,1.04609,13.07671,5.88635,2.43278,0.13007,-106.470100520612,0.10075,0.20496,0.12204,2.50026,2.58094
"3","2010_Q4",18.3596875,"Up",455020000,-324151000,130869000,-93822000,-93822000,37047000,-376000,36671000,36671000,-13902000,22784000,22784000,22784000,22784000,32561000,32561000,155252000,155252000,306609000,17577000,6915000,511999000,31328000,978000,220744000,178087000,13353000,29304000,253050000,765049000,194209000,127995000,66214000,12193000,206402000,219200000,29182000,22178000,7004000,248382000,454784000,214733000,95728000,-196000,310265000,310265000,765049000,22784000,2900000,1694000,9149000,36527000,-1516000,0,-1516000,-6450000,-22931000,1545000,1545000,0,-11873000,-39709000,-4698000,-4698000,274000,-4424000,39947000,231393000,61482000,0.28761,0.08142,0.05007,0.07343,0.02978,2.69847,2.48059,1.46579,0.30246,0.45922,0.45415,9.17102,6.25345,1.23918,0.13,-53.6820603123672,0.05121,0.1077,0.28309,4.9774,5.36702
"4","2011_Q1",20.873064516129,"Up",241426000,-167859000,73567000,-90350000,-90350000,-16783000,-1961000,-18744000,-18744000,6951000,-11805000,-11805000,-11805000,-11805000,9721000,9721000,101543000,101543000,347439000,17889000,7678000,476592000,30685000,966000,220302000,178516000,12965000,28821000,251953000,728545000,211404000,169700000,41704000,133999.999999996,211538000,198700000,33125000,25593000,7532000,231825000,443363000,218793000,67681000,1052000,285182000,285182000,728545000,-11805000,2769000,-3140000,40893000,28717000,-1478000,-1301000,-2779000,-6438000,-20500000,-10573000,1576000,-12149000,-11959000,-49470000,-23532000,-23532000,692000,-22840000,-14014000,198834000,18450000,0.30472,-0.06952,-0.0489,-0.04139,-0.0162,-1.5629,2.25299,1.55467,0.27292,-0.23822,-0.23221,4.87198,5.75497,0.37232,0.12992,-19.8410301561836,-0.01038,0.03568,-0.545359999999999,-13.49458,-11.26813
"5","2011_Q2",24.3039682539683,"Up",312889000,-221479000,91410000,-90834000,-90834000,576000,-1645000,-1069000,-1069000,419000,-638000,-638000,-638000,-638000,11420000,11420000,173787000,173787000,438791000,17061000,6850000,641059000,34746000,903000,219935000,178516000,12597000,28822000,255584000,896643000,332491000,303395000,29096000,100064000,432555000,180157000,33361000,25870000,7491000,213518000,646073000,226602000,22426000,1542000,250570000,250570000,896643000,-638000,2651000,475000,-39616000,-37128000,-6246000,0,-6246000,-6321000,81457000,-31441000,4512000,-35953000,1316000,45011000,1637000,1637000,62000,1699000,3227000,280221000,-43054000,0.29215,0.00184,-0.00204,-0.00255,-0.00071,67.48276,1.48203,2.57841,0.31252,-0.01306,-0.01306,6.40326,5.12791,-0.8811,0.12936,-0.947010052061204,0.01007,-0.07632,-9.90752,83.29749,466.6684
"6","2011_Q3",23.0678125,"Down",706423000,-494984000,211439000,-113518000,-113518000,97921000,-1824000,96097000,96097000,-37670000,58577000,58577000,58577000,58577000,37218000,37218000,266032000,266032000,389763000,17903000,7692000,710916000,38732000,1052000,219850000,178516000,12221000,29113000,259634000,970550000,327698000,247904000,79794000,100033000,427731000,206049000,33814000,26151000,7663000,239863000,667594000,232724000,66478000,3754000,302956000,302956000,970550000,58577000,2717000,1426000,-44531000,18189000,-6181000,-2637000,-8931000,-6753000,25892000,-4458000,3314000,-7772000,80000,14761000,24019000,24019000,1779000,25798000,100638000,306082000,87596000,0.29931,0.13862,0.08292,0.19335,0.06035,1.49539999999999,1.66206,2.2036,0.31537,1.21451,1.19263,14.64666,6.28135,1.81618,0.14001,7,0.10163,0.13626,0.115280000000004,2.67159999999998,2.74571999999989
"7","2011_Q4",25.341746031746,"Up",503584000,-355678000,147906000,-106993000,-106993000,40913000,-1641000,39272000,39272000,-15126000,24169000,24169000,24169000,24169000,20656000,20656000,160647000,160647000,337698000,17499000,7354000,536500000,40774000,976000,219962000,178516000,11953000,29493000,261712000,798212000,190939000,120221000,70718000,22000,190961000,268700000,34052000,26549000,7503000,302752000,493713000,236671000,64805000,3023000,304499000,304499000,798212000,24169000,2946000,1828000,21970000,50913000,-4532000,-323999.999999999,-4920000,-6724000,-37349000,-17437000,1680000,-19117000,188000,-61322000,-15329000,-15329000,-1233000,-16562000,43859000,268722000,76423000,0.29371,0.08124,0.04799,0.07937,0.03028,3.16203,2.80947,1.62139,0.33665,0.50366,0.48835,10.49418,6.34545,1.59258,0.14012,8,0.05087,0.12585,0.27821,5.65599,6.06326
"8","2012_Q1",30.766935483871,"Up",270422000,-189587000,80835000,-93628000,-93628000,-12793000,-2854000,-15647000,-17197000,7058000.00000001,-10115000,-10115000,-10115000,-10115000,17487000,17487000,109273000,109273000,386924000,18382000,11298000,532066000,41394000,980000,196462000,177103000,11738000,7621000,238836000,770902000,226577000,177437000,49140000,22000,226599000,247300000,17257000,9531000,7726000,264557000,491156000,243227000,34299000,2220000,279746000,279746000,770902000,-10115000,2991000,4974000,45279000,43129000,-2495000,-2973000,-5481000,-6672000,-21400000,-10143000,3579000,-13722000,-788999.999999996,-39004000,-1356000,-1356000,-1813000,-3168999.99999999,-9802000,247322000,25924000,0.29892,-0.04731,-0.0374,-0.03616,-0.01312,-2.56293,2.34805,1.75572,0.32082,-0.21272,-0.20866,5.68711,5.8832,0.54519,0.14032,6,-0.00633000000000001,0.04763,-0.659610000000001,-23.44777,-17.96568
"9","2012_Q2",32.6868253968254,"Up",361954000,-257391000,104563000,-98542000,-98542000,6021000,-1477000,4544000,4544000,-1037000,3651000,3651000,3651000,3651000,20681000,20681000,200640000,200640000,462810000,19668000,12590000,703799000,45355000,1099000,196555000,177103000,11717000,7735000,243009000,946808000,349573000,319462000,30111000,23000,349596000,299011000,16635000,9629000,7006000,315646000,665242000,250643000,28913000,2010000,281566000,281566000,946808000,3651000,2984000,819000,-41481000,-34027000,-6661000,-3855000,-10569000,-6668000,151711000,1809000,4178000,-2369000,-98867000,47985000,3389000,3389000,-195000,3194000,9005000,299034000,-38100000,0.28888,0.01663,0.01009,0.01297,0.00386,-10.4355,2.01318,2.36265,0.31583,0.07683,0.07513,7.61704,5.92534,-0.80178,0.14032,5,0.01728,-0.06379,1.82635,30.91094,46.23036
"10","2012_Q3",34.5295238095238,"Up",757175000,-534770000,222405000,-114271000,-114271000,108134000,-2200000,105934000,105934000,-41018000,64943000,64943000,64943000,64943000,50311000,50311000,269060000,269060000,402266000,15535000,8437000,737172000,45409000,1089000,196457000,177103000,11497000,7857000,242955000,980127000,351599000,267990000,83609000,22000.0000000009,351621000,309813000,16315000,9257000,7058000,326128000,677749000,257020000,44804000,554000,302378000,302378000,980127000,64943000,3213000,1707000,-2315000.00000001,67548000,-2859000,-574000,-3546000,-7555000,10802000,-37796000,3701000,-41497000,464000,-34085000,29917000,29917000,-287000,29630000,111347000,309835000,147191000,0.29373,0.14281,0.08577,0.21477,0.06626,2.26646,2.0965,2.2414,0.31612,1.3776,1.34491,16.06158,6.4142,3.12229,0.16026,7,0.11535,0.23418,0.11633,2.33077000000002,2.40001999999998
