"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.97625,"Up",6606000,4469000,6039000,-1570000,2137000,-251000,833000,1330000,225000,-5e+05,6106000,-4762000,-113000,-4649000,1344000,1344000,1344000,-241000,1103000,1103000,1103000,1103000,21944008.8517778,136281976.113428,15826902.6402447,2137596.62823662,12888814.0831126,31799456.5643221,518028803.807856,413442889.608885,367235404.689759,46207484.9191262,36452146.6905535,463464766.46025,23597567.1761523,30507503.4811173,458966.690335557,54564037.3476052,54564037.3476052,518028803.807856,1103000,451000,5e+05,45668000,-44773000,2949000,-101000,1570000,10453000,11922000,-476000,-8625000,0,3417000,-11484000,3387000,3387000,3387000,1795000,0,-42838000,0.20345,0.16697,0.0735319149633403,0.0074227233949032,-38.83772,8.5674098691244,0.0323144582520793,0.24533,0.24524,1.46934,12.1971013629015,-9.52825,0.10587,0.00824963702975609,-0.242323448667196,0.43155,-49.8696242269975,-82.6524344268163
"2","2011_Q1",5.73290322580645,"Up",7148000,4437000,5801000,-1364000,2711000,2.91038304567337e-11,1209000,1236000,266000,-7e+05,6448000,-5688000,-398000,-5290000,760000,760000,760000,84000,844000,844000,844000,844000,9735000,188952000,15225000,2233000,12894000,25799000,561506000,431314000,378631000,52683000,32075000,507689000,27128000,25767000,922000,53817000,53817000,561506000,844000,463000,7e+05,54788000,-58128000,-1333000,-156000,-14135000,16549000,2258000,-481000,1608000,85000,-4853000,-4232000,-3307000,-3307000,-3307000,1223000,44300000,-57145000,0.10632,0.11807,0.01568,0.0015,-67.70735,9.43362,0.07889,0.18773,0.18765,1.58989,11.97025,-12.71048,0.10699,0.00236,-0.10177,0.56991,28.26247,45.48026
"3","2011_Q2",5.6147619047619,"Down",6351000,4314000,5561000,-1247000,2037000,0,619000,1137000,281000,-4e+05,5951000,-4831000,-285000,-4546000,1120000,1120000,1120000,-142000,978000,978000,978000,978000,7193997.0494074,208535674.628857,14940782.4532518,2145467.79058779,12895728.6389625,21812681.145226,576626398.730715,441988870.130372,386318948.436747,55669921.6936246,31576951.1031488,521994661.179917,27812227.6079492,25084082.1729609,1735427.76988815,54631737.5507983,54631737.5507983,576626398.730715,978000,407000,4e+05,30141000,-20298000,11628000,-41000,-13497000,-2912000,-18950000,-502000,-683000,28000,17779000,8127000,805000,805000,805000,1527000,0,-18670000,0.17635,0.15399,0.00196936167888655,0.000115758868365602,-19.08998,9.5412700436252,0.0838226805826402,0.21753,0.21745,1.41262,12.1013003790328,-4.15268,0.11166,0.000987620990081305,-0.0464888504442678,0.51329,44.0123022423325,70.7606906422721
"4","2011_Q3",5.4221875,"Down",6643000,4535000,5707000,-1172000,2108000,-7.27595761418343e-12,463000,1217000,428000,-7e+05,5943000,-5227000,-746000,-4481000,716000,716000,716000,6000.00000000006,722000,722000,722000,722000,10642000,209834000,14854000,1982000,12894000,19695000,577445000,448437000,390987000,57450000,33135000,521153000,27200000,26462000,2630000,56292000,56292000,577445000,722000,396000,7e+05,22988000,-26470000,-1664000,-30000,-2306000,1581000,-755000,-503000,-120000,0,-655999.999999996,2521000,102000,102000,102000,1112000,39581000,-25394000,0.10778,0.10869,0.01283,0.00125,-35.17175,9.25803,0.06855,0.15949,0.15953,1.46745,12.43502,-5.60959,0.11111,0.00212,-0.04398,0.69668,26.02428,40.4176
"5","2011_Q4",5.95857142857143,"Up",7099000,4551000,5691000,-1140000,2548000,167000,841000,1271000,269000,-5e+05,6599000,-4673000,-159000,-4514000,1926000,1926000,1926000,-437000,1489000,1489000,1489000,1489000,15167000,209249000,14807000,1875000,12894000,19157000,580208000,451229000,391072000,60157000,35187000,522188000,27237000,27449000,3334000,58020000,58020000,580208000,1489000,417000,5e+05,34764000,-35376000,1794000,-181000,1813000,597000,2229000,-502000,2012000,0,2792000,502000,4525000,4525000,4525000,2343000,35772000,-32777000,0.27131,0.20975,0.02566,0.00257,-22.01276,9.00014,0.06165,0.32869,0.32877,1.56709,12.80783,-7.23547,0.11082,0.00343,-0.05649,0.33714,8.79428,10.69834
"6","2012_Q1",7.06564516129032,"Up",6849000,4527000,5627000,-1100000,2322000,-53000,852000,1261000,262000,-4e+05,6449000,-5223000,-244000,-4979000,1226000,1226000,1226000,69000.0000000001,1295000,1295000,1295000,1295000,17501000,221048000,14692000,1923000,12894000,20101000,598240000,454134000,388012000,66122000,35823000,539120000,29341000,26200000,3579000,59120000,59120000,598240000,1295000,439000,4e+05,32543000,-33365000,1312000,-97000,-11517000,-3385000,-14999000,-507000,5087000,29000,2905000,16021000,2334000,2334000,2334000,1665000,49163000,-31866000,0.179,0.18908,0.0219,0.00216,-24.60695,9.11908,0.08218,0.28623,0.28623,1.51383,13.06728,-7.04333,0.11206,0.00301,-0.05327,0.39151,19.01622,25.82545
"7","2012_Q2",7.64888888888889,"Up",7328000,4492000,5531000,-1039000,2836000,164000,1204000,1174000,294000,-3e+05,7028000,-4729000,-273000,-4456000,2299000,2299000,2299000,-572000,1727000,1727000,1727000,1727000,28824000,240348000,14955000,1994000,12894000,21629000,619549000,492345000,414582000,77763000,31361000,559460000,29371000,27398000,3320000,60089000,60089000,619549000,1727000,444000,3e+05,46109000,-48464000,116000,-496000,-19624000,10897000,-9223000,-529000,-17252000,0,38211000,20430000,11323000,11323000,11323000,2743000,35754000,-45645000,0.31373,0.23567,0.02874,0.00279,-26.43023,9.31052,0.05771,0.38099,0.37942,1.61661,13.25611,-10.06965,0.1167,0.00364,-0.07367,0.30631,2.52643,3.01435
"8","2012_Q3",7.63079365079365,"Down",7874000,4714000,5729000,-1015000,3160000,132000,1425000,1317000,286000,-3e+05,7574000,-5130000,-294000,-4836000,2444000,2444000,2444000,-626000,1818000,1818000,1818000,1818000,31486000,276328000,15292000,2408000,13075000,17750000,660467000,533875000,450264000,83611000,29389000,599009000,29398000,28687000,3373000,61458000,61458000,660467000,1818000,460000,3e+05,55847000,-51806000,6619000,-173000,-21649000,9840000,-8017000,-529000,-1961000,5000,6544000,4060000,2662000,2662000,2662000,2904000,35745000,-48449000,0.31039,0.23089,0.02958,0.00275,-26.64961,9.74664,0.05412,0.40103,0.39702,1.73692,13.55696,-10.68732,0.11669,0.00355,-0.07336,0.29098,1.4666,1.74264
"9","2012_Q4",8.25822580645161,"Up",7740000,4525000,5489000,-964000,3215000,0,1626000,1360000,229000,-1e+06,6740000,-5268000,-281000,-4987000,1472000,1472000,1472000,-267000,1205000,1205000,1205000,1205000,23117000,261293000,15106000,2266000,13075000,22069000,644218000,514820000,442173000,72647000,30742000,581297000,29414000,29363000,4144000,62921000,62921000,644218000,1205000,719000,1e+06,53528000,-58634000,-2182000,-52000,15939000,-4153000,11734000,-529000,1647000,0,-19039000,-17921000,-8369000,-8369000,-8369000,2191000,35735000,-56228000,0.19018,0.15568,0.01915,0.00187,-46.66224,9.23852,0.05547,0.26579,0.26351,1.70723,13.87864,-12.40235,0.11668,0.00269,-0.08728,0.439,5.75901,8.57201
"10","2013_Q1",8.669,"Up",7643000,4411000,5303000,-892000,3232000,127000,1425000,1420000,260000,-3e+05,7343000,-5230000,-113000,-5117000,2113000,2113000,1966000,-349000,1617000,1617000,1617000,1617000,14920000,235239000,14967000,2394000,13075000,17558000,614067000,482500000,406609000,75891000,29808000,550734000,32252000,27623000,3458000,63333000,63333000,614067000,1617000,508000,3e+05,57763000,-52356000,7832000,-78000,21362000,-8895000,15889000,-534000,936000,1000,-32320000,-31918000,-8197000,-8197000,-8197000,2621000,38426000,-49464000,0.27646,0.21157,0.02553,0.00263,-30.58998,8.69585,0.06258,0.35678,0.35274,1.68637,13.97397,-10.91388,0.11782,0.0035,-0.08055,0.33024,8.96833,11.12447
"11","2013_Q2",9.1275,"Up",7016000,4382000,5177000,-795000,2634000,101800.670828884,1030000,1308000,296000,-3e+05,6716000,-4881000,-225000,-4656000,1835000,1835000,1835000,-395000,1440000,1440000,1440000,1440000,35942000,254111000,14829000,2429000,13075000,15980000,650635000,507612000,427072000,80540000,43158000,586487000,32287000,28508000,3353000,64148000,64148000,650635000,1440000,456000,3e+05,40255000,-26878000,15573000,-95000,-19191000,1598000,-17688000,-555000,-1455000,19000,25127000,23137000,21022000,21022000,21022000,2291000,35717000,-24287000,0.26155,0.20525,0.02245,0.00221,-16.86597,9.14272,0.0549,0.33347,0.32803,1.62476,14.85531,-5.62435,0.12853,0.00307,-0.03733,0.38542,-0.09821,-0.12262
"12","2013_Q3",8.77546875,"Down",6989000,4446000,5204000,-758000,2543000,-5.82076609134674e-11,879000,1405000,259000,-3e+05,6689000,-4863000,-257000,-4606000,1826000,1826000,1826000,-417000,1409000,1409000,1409000,1409000,10209000,260751000,14635000,2694000,13075000,19220000,641886000,500214000,419279000,80935000,33455000,579477000,32528000,29362000,519000,62409000,62409000,641886000,1409000,248000,3e+05,45573000,-57020000,-9490000,-37000,-11419000,-7398000,-18854000,-555000,10328000,199000,-7389000,2611000,-25733000,-25733000,-25733000,2074000,45808000,-54566000,0.26127,0.2016,0.02258,0.0022,-38.72676,9.28515,0.07136,0.29631,0.29051,1.46977,13.12444,-11.47508,0.11671,0.00306,-0.08501,0.3939,17.16442,19.49562
"13","2013_Q4",9.05640625,"Up",7371000,4592000,5323000,-731000,2779000,0,1047000,1463000,269000,-2e+05,7171000,-5368000,-217000,-5151000,1803000,1803000,1627000,-342000,1285000,1285000,1285000,1285000,12130000,254882000,14636000,2712000,13075000,13095000,630053000,499107000,411697000,87410000,32032000,566837000,32543000,30089000,584000,63216000,63216000,630053000,1285000,468000,2e+05,36666000,-35189000,3430000,-231000,5745000,3242000,8756000,-558000,-8608000,0,-1099000,-10265000,1921000,1921000,1921000,2271000,35698000,-32807000,0.24461,0.17433,0.02033,0.00204,-25.53074,8.96667,0.05666,0.28213,0.27796,1.61835,13.87948,-7.20299,0.12251,0.00293,-0.05207,0.43424,10.37781,13.07155
"14","2014_Q1",9.51475409836066,"Up",8360000,5611000,6408000,-797000,2749000,0,821000,1581000,347000,-2.91038304567337e-11,8360000,-6537000,-403000,-6134000,1823000,1823000,113000,408000,521000,521000,521000,521000,29735000,322859000,20634000,4811000,17532000,19168000,828755000,687486000,563006000,124480000,22204000,766063000,36431000,27187000,-926000,62692000,62692000,828755000,521000,537000,0,41830000,-40303000,2585000,-287000,-17478000,722000,11188000,-575000,-3132000,1055000,6513000,3832000,17605000,17605000,17605000,2360000,56373000,-38638000,0.21806,0.06232,0.00831,0.00063,-74.16123,12.21947,0.06802,0.11323,0.1122,1.8169,13.62503,-8.39731,0.12497,0.00132,-0.04662,1.10365,11.28729,14.61218
"15","2014_Q2",9.70984126984127,"Up",9236000,6e+06,6805000,-805000,3236000,0,1116000,1670000,450000,-150000,9086000,-6811000,-286000,-6525000,2275000,2275000,2275000,-576000,1699000,1699000,1699000,1699000,26337000,324021000,21006000,4613000,17532000,20313000,825373000,678182000,544238000,133944000,45975000,759837000,36954000,28286000,296000,65536000,65536000,825373000,1699000,586000,150000,31468000,-33162000,741000,-662000,-470000,2698000,2500000,-6e+05,2749000,508000,-9296000,-6639000,-3398000,-3398000,-3398000,2861000,35680000,-30387000,0.24632,0.18395,0.02592,0.00206,-17.88523,11.59419,0.04323,0.36517,0.36074,1.98511,14.08576,-6.53113,0.12896,0.00279,-0.03682,0.35315,3.26564,4.10681
"16","2014_Q3",10.49875,"Up",10262000,6076000,6873000,-797000,4186000,39000,1846000,1922000,379000,-3e+05,9962000,-7093000,-329000,-6764000,2869000,2869000,2869000,-792000,2077000,2077000,2077000,2077000,18003000,340008000,20851000,4481000,17532000,22458000,836011000,684536000,552463000,132073000,47094000,767301000,36968000,29760000,1982000,68710000,68710000,836011000,2077000,613000,3e+05,61978000,-66757000,-1789000,-127000,-9445000,-1159000,-9266000,-603000,-3036000,0,6360000,2721000,-8334000,-8334000,-8334000,3482000,35671000,-62610000,0.27958,0.2024,0.03023,0.00248,-30.14444,11.16724,0.04267,0.44278,0.4373,2.1877,14.64788,-13.34746,0.12855,0.00321,-0.07489,0.29032,5.0741,6.15824
"17","2014_Q4",11.58046875,"Up",10117000,6263000,7060000,-797000,3854000,0,1526000,1929000,399000,-150000,9967000,-6993000,-228000,-6765000,2974000,2974000,2974000,-8e+05,2174000,2174000,2174000,2174000,13365000,357919000,20657000,4434000,17532000,22092000,851863000,688335000,552137000,136198000,43824000,781821000,36993000,31330000,1719000,70042000,70042000,851863000,2174000,608000,150000,58955000,-56844000,5043000,-80000,-25331000,-3261000,-27574000,-604000,14698000,0,3799000,17893000,-4638000,-4638000,-4638000,3582000,49662000,-52542000,0.29396,0.21489,0.03104,0.00255,-24.16835,11.16217,0.0583,0.46346,0.45521,2.15676,14.93167,-11.20099,0.12876,0.00326,-0.06168,0.27783,10.13317,12.20477
"18","2015_Q1",12.5780327868852,"Up",10120000,6325000,7112000,-787000,3795000,60000,1392000,1903000,440000,0,10120000,-7163000,-253000,-6910000,2957000,2957000,2957000,-858000,2099000,2099000,2099000,2099000,12760000,370588000,20954000,4370000,17532000,21076000,863470000,704555000,574063000,130492000,23133000,791825000,40506000,29321000,1818000,71645000,71645000,863470000,2099000,615000,5.82076609134674e-11,56568000,-54604000,4678000,-592000,-15495000,-578000,-14109000,-608000,-6808000,12000,16230000,8826000,-605000,-605000,-605000,3572000,64137000,-50766000,0.29219,0.20741,0.0293,0.00243,-24.1858,11.05206,0.07428,0.44747,0.43663,2.15739,15.27336,-10.82235,0.12961,0.00314,-0.05879,0.28966,14.38326,17.3747
"19","2015_Q2",13.43,"Up",10057000,6294000,7063000,-769000,3763000,-254000,1943000,1682000,392000,1e+06,11057000,-7111000,-234000,-6877000,3946000,3946000,3946000,-1169000,2777000,2777000,2777000,2777000,25967000,358859000,21311000,4337000,17532000,26955000,872108000,713736000,566978000,146758000,27194000,796864000,40597000,31464000,3183000,75244000,75244000,872108000,2777000,621000,-1e+06,55434000,-58920000,-1088000,-643000,11466000,210000,12961000,-634000,-7298000,79000,9187000,1334000,13207000,13207000,13207000,4567000,55934000,-53827000,0.39236,0.27613,0.03691,0.00318,-19.38315,10.5904,0.06414,0.59161,0.57553,2.14255,16.03005,-11.46735,0.13507,0.00391,-0.06172,0.2283,6.56164,7.59427
"20","2015_Q3",14.14515625,"Up",11306000,6624000,7393000,-769000,4682000,5.82076609134674e-11,2251000,1813000,618000,-2e+05,11106000,-7443000,-259000,-7184000,3663000,3663000,3663000,-1047000,2616000,2616000,2616000,2616000,15135000,381357000,21127000,4399000,17532000,29114000,889714000,699542000,551789000,147753000,23433000,814518000,40601000,33446000,1149000,75196000,75196000,889714000,2616000,637000,2e+05,89108000,-95177000,-2616000,134000,-26031000,-3650000,-26706000,-634000,33316000,0,-14192000,18490000,-10832000,-10832000,-10832000,4300000,91543000,-89696000,0.32399,0.23138,0.03479,0.00294,-34.28746,10.83193,0.10289,0.55706,0.54016,2.40753,16.01243,-19.10009,0.13501,0.00365,-0.10081,0.24235,17.7693,20.8594
"21","2015_Q4",14.5971875,"Up",10903000,6427000,7200000,-773000,4476000,135000,2013000,1922000,406000,-1e+05,10803000,-7308000,-233000,-7075000,3495000,3495000,3495000,-966000,2529000,2529000,2529000,2529000,12674000,374938000,21076000,4387000,17532000,19511000,866915000,687535000,544205000,143330000,30965000,787834000,40651000,35340000,3090000,79081000,79081000,866915000,2529000,632000,1e+05,79155000,-68428000,13988000,-540000,6651000,4500000,14616000,-635000,-18473000,50000,-12007000,-31065000,-2461000,-2461000,-2461000,4127000,69334000,-63875000,0.32055,0.23195,0.03198,0.00292,-25.25702,9.96237,0.07998,0.5382,0.52143,2.32028,16.8293,-13.59329,0.13513,0.00365,-0.07368,0.25109,13.7291,16.21173
"22","2016_Q1",14.2608196721311,"Down",10660000,6571000,7341000,-770000,4089000,0,1786000,1914000,389000,0,10660000,-7344000,-322000,-7022000,3316000,3316000,3316000,-732000,2584000,2584000,2584000,2584000,13569000,376099000,20958000,4304000,17532000,25991000,878376000,714727000,571111000,143616000,24395000,797806000,45407000,32988000,2175000,80570000,80570000,878376000,2584000,627000,0,60409000,-66866000,-3246000,-174000,-9579000,-4126000,-9241000.00000001,-644000,-13634000,464000,27196000,13382000,895000,895000,895000,3943000,58684000,-62365000,0.31107,0.2424,0.03207,0.00294,-24.13506,9.90202,0.06681,0.54844,0.53348,2.26251,17.10044,-13.23655,0.13668,0.00367,-0.071,0.24923,11.4418,13.60525
"23","2016_Q2",14.751875,"Up",10298000,6404000,7174000,-770000,3894000,12000,1794000,1729000,359000,-50000,10248000,-7162000,-219000,-6943000,3086000,3086000,3086000,-693000,2393000,2393000,2393000,2393000,9853000,396054000,20844000,4188000,17532000,24104000,892454000,708392000,555158000,153234000,30617000,807254000,46348000,34552000,4300000,85200000,85200000,892454000,2393000,629000,50000,55286000,-57306000,1052000,-178000,-10828000,639000,-9206000,-713000,10659000,825000,-6333000,4438000,-3716000,-3716000,-3716000,3715000,68245000,-53076000,0.29967,0.23238,0.02809,0.00268,-22.17969,9.47481,0.07647,0.50205,0.48893,2.16052,17.87494,-11.13533,0.14959,0.00348,-0.05947,0.29795,15.7179,18.92158
"24","2016_Q3",15.2040625,"Up",10510000,6562000,7372000,-810000,3948000,285000,1405000,1847000,411000,-3e+05,10210000,-7211000,-282000,-6929000,2999000,2999000,2999000,-673000,2326000,2326000,2326000,2326000,14317000,389250000,20760000,4148000,17532000,20251000,896322000,715621000,564572000,151049000,22150000,806955000,46799000,36073000,6495000,89367000,89367000,896322000,2326000,620000,3e+05,63666000,-60712000,6200000,-208000,925000,-10822000,-7906000,-724000,-706000,370000,7230000.00000001,6170000,4464000,4464000,4464000,3619000,69184000,-56628000,0.28535,0.22131,0.02603,0.0026,-24.34566,9.02968,0.07719,0.48031,0.47315,2.17029,18.45409,-11.69356,0.1495,0.0034,-0.06318,0.31126,15.16082,18.2951
"25","2016_Q4",16.4822222222222,"Up",10294000,6552000,7350000,-798000,3742000,261000,1219000,1873000,389000,-150000,10144000,-7394000,-258000,-7136000,2750000,2750000,2750000,-594000,2156000,2156000,2156000,2156000,17650000,397491000,20607000,4042000,17532000,20308000,907684000,715711000,556313000,159398000,28253000,817898000,47331000,37437000,5018000,89786000,89786000,907684000,2156000,658000,150000,51668000,-46705000,7927000,-132000,-10998000,-654000,-10100000,-730000,5698000,447000,91000,5506000,3333000,3333000,3333000,3408000,73934000,-42835000,0.26715,0.20944,0.02401,0.00238,-19.86781,9.10942,0.08145,0.44126,0.43514,2.10681,18.37594,-8.76677,0.1494,0.00318,-0.04719,0.33859,16.51526,20.46691
"26","2017_Q1",19.3540322580645,"Up",9787000,6521000,7334000,-813000,3266000,0,1058000,1819000,389000,0,9787000,-7347000,-322000,-7025000,2440000,2440000,2440000,-354000,2086000,2086000,2086000,2086000,19996000,409176000,20407000,3986000,17532000,19824000,911382000,741521000,589509000,152012000,24526000,826431000,52006000,34293000,-1348000,84951000,84951000,911382000,2086000,634000,0,48530000,-47412000,3838000,-78000,-22484000,9491000,-13071000,-745000,-13642000,154000,25812000,11579000,2346000,2346000,2346000,3074000,60384000,-44062000,0.24931,0.21314,0.02456,0.00229,-21.12272,9.72833,0.06626,0.42237,0.41701,1.98166,17.20077,-8.92162,0.15085,0.00311,-0.04835,0.35714,13.13858,16.55246
