"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q3",8.4765625,"Down",24480000,-6075000,18405000,-21656000,-8652000,-13004000,-3251000,-608000,46000,-654000,-3859000,-3859000,-87000,-3946000,-3946000,-3946000,-3946000,51413000,51413000,7197000,7197000,2176000,53774000,4788000,114560000,21332000,7783000,3241000,3892000,29115000,143675000,20895000,8036000,12859000,4585000,4585000,25480000,8533000,1764000,6769000,13900000,39380000,269081000,-164923000,104295000,104295000,143675000,-3946000,1902000,2923000,-7567000,-6688000,-1872000,-40903000,72653000,72653000,69841000,22250000,22250000,22216000,-1349000,5367000,-10701000,0.75184,-0.1328,-0.16119,-0.03783,-0.02746,2.71186,4.49608,0.37758,0.03736,-0.16045,-0.16045,0.99536,4.24067,-0.43511,-0.03339,-0.09054,34.13343,14.16364
"2","2010_Q4",10.2784375,"Up",27113000,-8563000,18550000,-21010000,-7940000,-13070000,-2460000,26000,61000,-35000,-2434000,-2434000,-298000,-2732000,-2732000,-2732000,-2732000,99274000,99274000,13841000,13841000,3245000,3408000,1871000,119768000,21018000,7290000,3241000,3487000,28308000,148076000,23028000,8639000,14389000,9326000,9326000,32354000,7557000,1718000,5839000,11589000,43943000,271836000,-167656000,104133000,104133000,148076000,-2732000,1960000,2809000,624000,2661000,-1548000,47188000,37000.0000000149,37000.0000000149,-2025000,47824000,47824000,47861000,-5e+05,4032000,-1126000,0.68417,-0.09073,-0.10076,-0.02624,-0.01845,0.412149999999999,3.7018,0.42199,0.02723,-0.11108,-0.11108,1.10242,4.23408,-0.04578,-0.02361,-0.00973,190.484,38.71626
"3","2011_Q1",10.4045161290323,"Up",29811000,-8126000,21685000,-21998000,-8649000,-13349000,-313000,-121000,31000,-152000,-434000,-434000,-60000,-494000,-494000,-494000,-494000,72396000,72396000,15333000,15333000,2817000,1646000,1646000,92192000,21452000,27656000,3241000,4257000,49108000,141300000,22945000,9208000,13737000,4539000,4539000,27484000,6455000,5074000,1381000,6455000,33939000,275544000,-168149000,107361000,107361000,141300000,-494000,2609000,2982000,-5428000,-331000,-2235000,-23741000,1305000,1305000,-2742000,-26814000,-26814000,-26878000,2296000,0,-5307000,0.72742,-0.0105,-0.01657,-0.0046,-0.0035,10.74291,3.35439,0.31612,0,-0.02009,-0.02009,1.21212,4.36533,-0.21578,-0.00434,-0.04663,-31.53136,231.29712
"4","2011_Q2",10.2628571428571,"Down",31034000,-11650000,19384000,-22763000,-9013000,-13750000,-3379000,66000,49000,17000,-3313000,-3313000,-158000,-3471000,-3471000,-3471000,-3471000,53152000,53152000,11322000,11322000,3224000,15157000,2617000,82855000,20239000,41454000,3241000,18983000,61693000,144548000,21479000,10245000,11234000,9461000,9461000,30940000,5602000,1625000,3977000,5602000,36542000,279578000,-171621000,108006000,108006000,144548000,-3471000,2836000,2197000,5724000,7286000,-891000,-28041000,1485000,1485000,1485000,-19270000,-19270000,-19244000,-543000,-4.65661287307739e-10,4448000,0.62461,-0.10888,-0.11185,-0.03214,-0.02401,-1.28148,2.67793,0.33833,0,-0.09884,-0.09884,0.88376,3.07569,0.12667,-0.03055,0.03915,97.88582,15.7301
"5","2011_Q3",6.9425,"Down",26055000,-7106000,18949000,-24241000,-9276000,-14965000,-5292000,88000,71000,17000,-5204000,-5204000,164000,-5040000,-5040000,-5040000,-5040000,32082000,32082000,11306000,11306000,4187000,16973000,2380000,64548000,21611000,49976000,3241000,28434000,71587000,136135000,20139000,7714000,12425000,4470000,4470000,24609000,4740000,1579000,3161000,4740000,29349000,283032000,-176661000,106786000,106786000,136135000,-5040000,2782000,2674000,-8045000,-7629000,-3296000,-14344000,905000,905000,905000,-21068000,-21068000,-21070000,-2510000,0,-14015000,0.72727,-0.20311,-0.19344,-0.0472,-0.03702,2.78075,2.62294,0.27484,0,-0.14124,-0.14124,0.73014,2.99246,-0.39274,-0.04519,-0.12567,12.78167,6.06236
"6","2011_Q4",5.05365079365079,"Down",33283000,-9957000,23326000,-25658000,-8871000,-16787000,-2332000,-337000,75000,-412000,-2669000,-2669000,-73999.9999999999,-2743000,-2743000,-2743000,-2743000,30132000,30132000,19325000,19325000,5240000,22340000,2837000,77037000,23321000,44264000,3241000,23651000,67585000,144622000,25774000,7509000,18265000,8632000,8632000,34406000,3741000,1871000,1870000,3741000,38147000,285654000,-179402000,106475000,106475000,144622000,-2743000,2847000,2957000,-312000,2749000,-3626000,-4866000,86000,86000,86000,-2031000,-2031000,-1950000,515000,0,-3349000,0.70084,-0.07007,-0.08241,-0.02576,-0.01897,1.22093,2.23906,0.35827,-2.16840434497101e-19,-0.07635,-0.07635,0.92641,2.96365,-0.0932199999999999,-0.02489,-0.03039,-58.50874,12.9211
"7","2012_Q1",4.62306451612903,"Down",33493000,-13068000,20425000,-25329000,-9782000,-15547000,-4904000,-219000,78000,-297000,-5123000,-5123000,-173000,-5296000,-5296000,-5296000,-5296000,25762000,25762000,18917000,18917000,4488000,30065000,2345000,79232000,24176000,32514000,3241000,12831000,56690000,135922000,24503000,10364000,14139000,3789000,3789000,28292000,4940000,1485000,3455000,4940000,33232000,287796000,-184699000,102690000,102690000,135922000,-5296000,3006000,2338000,-2944000,-2896000,-2923000,-1557000,103000,103000,103000,-4350000,-4350000,-4370000,-1898000,0,-7592000,0.60983,-0.14642,-0.15812,-0.05157,-0.03896,1.43353,2.80051,0.32361,0,-0.14724,-0.14724,0.93119,2.85504,-0.21108,-0.04921,-0.07054,13.57323,5.25326
"8","2012_Q2",3.5015873015873,"Down",31136000,-12642000,18494000,-25744000,-9395000,-16349000,-7250000,-43000,75000,-118000,-7293000,-7293000,-197000,-7490000,-7490000,-7490000,-7490000,26604000,26604000,18548000,18548000,4814000,30742000,4063000,80708000,24001000,29892000,3241000,11125000,53893000,134601000,24178000,8978000,15200000,9070000,9070000,33248000,5088000,1439000,3649000,5088000,38336000,288995000,-192189000,96265000,96265000,134601000,-7490000,3119000,1411000,3553000,593000,-2107000,-8999.99999999953,94000,94000,94000,678000,678000,842000,-4131000,-1.81898940354586e-12,-2488000,0.59397,-0.23285,-0.24056,-0.07781,-0.05565,0.33218,2.42745,0.39823,-1.35525271560688e-20,-0.20773,-0.20773,0.86352,2.6698,-0.0690000000000001,-0.0739,-0.02455,6.44008999999999,3.66952
"9","2012_Q3",3.00920634920635,"Down",22909000,-5829000,17080000,-22439000,-6789000,-15650000,-5359000,-83000,74000,-157000,-5442000,-5442000,-77000,-5519000,-5519000,-5519000,-5519000,16693000,16693000,8124000,8124000,4201000,39815000,5144000,68833000,22073000,26766000,3241000,8889000,48839000,117672000,15998000,4313000,11685000,3647000,3647000,19645000,5519000,1393000,4126000,5519000,25164000,291094000,-197708000,92508000,92508000,117672000,-5519000,3231000,2167000,-3764000,-3885000,-444000,-6219000,193000,193000,193000,-9911000,-9911000,-9911000,-2128000,0,-6259000,0.74556,-0.23393,-0.24091,-0.05966,-0.0469,1.13408,3.50384,0.27202,0,-0.15206,-0.15206,0.63117,2.54871,-0.17244,-0.0563,-0.06385,7.84445,3.11495
"10","2012_Q4",2.45564516129032,"Down",26341000,-6397000,19944000,-22100000,-7909000,-14191000,-2156000,16000,61000,-45000,-2140000,-2140000,-169000,-2309000,-2309000,-2309000,-2309000,25573000,25573000,16527000,16527000,2760000,29949000,5169000,74809000,19892000,24335000,3241000,7317000,44227000,119036000,18414000,6287000,12127000,2286000,2286000,20700000,5340000,1346000,3994000,5340000,26040000,293167000,-200017000,92996000,92996000,119036000,-2309000,3137000,2341000,-7032000,-3863000,-81000,12134000,607000,607000,607000,8878000,8878000,8880000,981000,0,-5963000,0.75715,-0.0818499999999999,-0.08766,-0.02483,-0.0194,2.5825,3.61396,0.28001,0,-0.06219,-0.06219,0.70945,2.50467,-0.1606,-0.02348,-0.06064,-26.0683,11.86132
