"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"1","2014_Q1",24.1332786885246,"Up",3515957000,-3179245000,336712000,-201338000,-63702000,-137636000,135374000,-82445000,-82445000,52929000,52929000,-12733000,40196000,39166000,-210000,38956000,38956000,39118000,137636000,7547000,375306000,559607000,-126917000,22619000,-29090000,-133388000,0,-409489000,-3302000,697000,-278000,-413069000,13150000,13150000,13150000,273010000,5824070000,534132000,0.09577,0.0385,0.01108,13.71116,0.19205,0.17822,17.33356,2.63325,0,0
"2","2014_Q2",24.3790476190476,"Up",3763081000,-3354819000,408262000,-251040000,-114216000,-136824000,157222000,-83353000,-83353000,73869000,73869000,-28953000,44916000,44916000,-154000,44762000,44762000,44916000,136824000,30547000,-493545000,-281258000,-76931000,15824000,2278000,-58829000,0,344516000,1837000,1837000,-1665999.99999999,344687000,4600000,4600000,4600000.00000001,294046000,5644715000,-247477000,0.10849,0.04178,0.0119,-5.52873,0.21681,0.20791,18.22651,-1.19866,1.38777878078145e-17,-4.44089209850063e-16
"3","2014_Q3",24.20171875,"Down",3502007000,-3159808000,342199000,-221392000,-96075000,-125317000,120807000,-102074000,-102074000,18733000,18733000,-5616000,13117000,13117000,-201000,12916000,12916000,13117000,125317000,29097000,-13693000,153838000,-82656000,-2644000,2851000,-82449000,-17306000,-3160000,1582000,1582000,-28919000,-47803000,23586000,23586000,23586000,246124000,5637541000,155391000,0.09772,0.0345,0.00369,12.03089,0.05599,0.05307,15.18038,0.67358,0.07502,1.33989
"4","2014_Q4",25.6846875,"Up",3620057000,-3275409000,344648000,-203365000,-78448000,-124917000,141283000,-71186000,-71186000,70097000,70097000,-23181000,46916000,46916000,-43000,46873000,46873000,46916000,124917000,-6659000.00000001,-55194000,109980000,-150923000,-9515000,3445000,-156993000,-17390000,-12208000,282000,282000,59564000,30247999.9999999,-16765000,-16765000,-16765000,266200000,5689709000,83264000,0.09521,0.03903,0.01295,1.77637,0.20217,0.19231,15.61352,0.35912,0.075,0.371
"5","2015_Q1",28.8675409836066,"Up",3947755000,-3573882000,373873000,-228635000,-94112000,-134523000,145238000,-78287000,-78287000,66951000,66951000,-22468000,44483000,44483000,-105000,44378000,44378000,44510000,134523000,100756000,135810000,415599000,-212871000,20335000,-14415000,-206951000,-17490000,-212855000,-4023000,707000,14991000,-219377000,-10729000,-10729000,-10729000,279761000,5445594000,225168000,0.09471,0.03679,0.01124,5.07387,0.18928,0.17938,16.83801,0.96039,0.0746,0.39411
"6","2015_Q2",28.5438095238095,"Down",3702353000,-3287281000,415072000,-213169000,-87886000,-125283000,201903000,-71923000,-71923000,129980000,129980000,-44360000,85620000,85620000,-123000,85497000,85497000,85620000,125283000,271000,-455004000,-243830000,-125919000,-944000,2225000,-124638000,-20225000,356115000,3784000,3784000,37918000,377592000,9124000,9124000,9124000,327186000,5807887000,-209377000,0.11211,0.05453,0.02309,-2.44894,0.3644,0.34936,15.78014,-0.89241,0.0862,0.23656
"7","2015_Q3",28.944375,"Up",3594627000,-3239214000,355413000,-200560000,-75418000,-125142000,154853000,-71206000,-71206000,83647000,83647000,-23542000,60105000,60105000,-282000,59823000,59823000,60105000,125142000,41659000,95641000,322547000,-94819000,-530000,16000,-95333000,-20460000,-208485000,12868000,12868000,2803000,-213274000,13940000,13940000,13940000,279995000,5567223000,304359000,0.09887,0.04308,0.01664,5.08766,0.25194,0.24316,15.13827,1.28177,0.08616,0.34201
"8","2015_Q4",29.03296875,"Up",3486203000,-3164700000,321503000,-204625000,-79293000,-125332000,116878000,-71225000,-71225000,45653000,45653000,-11615000,34038000,34038000,-277000,33761000,33761000,34038000,125332000,39626000,-120129000,78866999.9999999,-125733000,-1875000,732000,-126876000,-20551000,47373000.0000001,7457000,7457000,-3187999.99999999,31091000.0000001,-16918000,-16918000,-16918000,242210000,5617964000,7963000.00000006,0.09222,0.03353,0.00968,0.23586,0.14143,0.13656,14.60385,0.0333599999999996,0.08609,0.60872
"9","2016_Q1",29.224262295082,"Up",3545952000,-3189229000,356723000,-202419000,-74143000,-128276000,154304000,-71588000,-71588000,82716000,82716000,-25503000,57213000,57213000,-348000,56865000,56865000,57213000,128276000,-1344000,460463000,644608000,-158785000,3349000,-2051000,-157487000,-20662000,-332698000,-34339000,15837000,-94842000,-482541000,4580000,4580000,4580000,282580000,5266024000,609761000,0.1006,0.04352,0.01604,10.72296,0.23726,0.22884,14.79502,2.54415,0.08621,0.36335
"10","2016_Q2",30.77890625,"Up",3710275000,-3294523000,415752000,-201659000,-74141000,-127518000,214093000,-71320000,-71320000,142773000,142773000,-49337000,93436000,93436000,-93000,93343000,93343000,93436000,127518000,39848000,-429795000,-168993000,-89482000,-230999.999999998,3579000,-86134000,-22853000,259214000,7512000,7512000,4196000,248069000,-7058000,-7058000,-7058000,341611000,0,-128329000,0.11205,0.0577,0.02516,-1.37481,0.38809,0.37697,15.42599,-0.53355,0.09501,0.24483
"11","2016_Q3",33.87484375,"Up",3574822000,-3209710000,365112000,-192998000,-72707000,-120291000,172114000,-71751000,-71751000,100363000,100363000,-33866000,66497000,66497000,-143000,66354000,66354000,66497000,120291000,22440000,169564000,378792000,-144351000,-57865000,-984000,-203200000,-22942000,-136061000,9012000,9012000,6765000,-143226000,32366000,32366000,32366000,292405000,0,351484000,0.10213,0.04815,0.01856,5.2971,0.2743,0.26727,14.77804,1.45301,0.09484,0.34575
