"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.6928571428571,"Up",4.168e+09,-1.928e+09,2.24e+09,-1.506e+09,-2.69e+08,-1.237e+09,7.34e+08,-1.12e+08,-1.83e+08,7.1e+07,6.22e+08,6.22e+08,-2.95e+08,3.27e+08,1.78e+08,-4e+06,1.74e+08,1.74e+08,8.5e+07,8.5e+07,1.955e+09,1.955e+09,9.84e+08,3.009e+09,1.224e+09,6.033e+09,2.6038e+10,3.9729e+10,-1.3691e+10,1.0092e+10,3.275e+09,6.01e+08,6.216e+09,3.613e+10,4.2163e+10,2.096e+09,1.324e+09,1.549e+09,2.95e+08,1.254e+09,2.847e+09,1.721e+09,6.492e+09,1.5364e+10,1.5364e+10,8.999e+09,4.251e+09,3.363e+09,2.4363e+10,3.0855e+10,6.507e+09,6.369e+09,4.585e+09,-4.1e+07,1.1308e+10,1.1308e+10,4.2163e+10,1.78e+08,3.2e+08,2.93e+08,2.93e+08,8.59e+08,1.26e+08,2.13e+08,-9e+07,6.1e+08,1.65e+09,-9.04e+08,-9.04e+08,-9.04e+08,-2.6e+07,5.13e+08,-5.39e+08,2.2e+07,-1.71e+08,-2.75e+08,-1e+09,-1e+09,0,-6403305124.60519,-1.64e+08,2.7e+07,-5e+06,-1.444e+09,3.5e+07,3.5e+07,3.5e+07,1.054e+09,1.6913e+10,1.304e+09,0.53743,0.1761,0.04175,0.01539,0.00413,7.49425,0.9293,2.7286,0.40113,0.29005,0.28957,6.94782,18.4214,2.1737,0.45841,13.8340197428606,0.01206,0.03503,1.58046,15.96584,22.92643
"2","2010_Q3",26.28109375,"Up",3.333e+09,-1.456e+09,1.877e+09,-1.234e+09,-2.62e+08,-9.72e+08,6.43e+08,-2.13e+08,-1.88e+08,-2.5e+07,4.3e+08,2.897e+09,-1.134e+09,1.763e+09,1.765e+09,-4e+06,1.761e+09,1.761e+09,4.11e+08,4.11e+08,1.739e+09,1.739e+09,1.107e+09,2.218e+09,1.082e+09,5.475e+09,2.5458e+10,3.835e+10,-1.2892e+10,9.955e+09,3.141e+09,5.81e+08,6.233e+09,3.6313e+10,4.1788e+10,1.678e+09,1.286e+09,8.95e+08,-1086860855.14668,8.95e+08,3.098e+09,1.298e+09,5.671e+09,1.5349e+10,1.5349e+10,8.365e+09,4e+09,3.22e+09,2.3714e+10,2.9385e+10,6.269e+09,6.079e+09,6.077e+09,-2e+08,1.2403e+10,1.2403e+10,4.1788e+10,1.765e+09,3.09e+08,-2.852e+09,-2.852e+09,5.34e+08,1.86e+08,-1.22e+08,-4.1e+07,5.11e+08,-2.44e+08,-7.5e+08,-7.5e+08,-7.5e+08,-8.98e+08,6.27e+08,-1.525e+09,2.6e+07,-1.618e+09,-2.69e+08,2.744e+09,3.155e+09,-4.11e+08,-4.11e+08,-2.88e+08,2.1e+07,999999.999999998,2.188e+09,3.26e+08,3.26e+08,3.26e+08,9.52e+08,1.6244e+10,1.87e+09,0.56316,0.19292,0.52835,0.14198,0.04214,1.0619,0.96544,2.36918,0.38872,2.98323,2.97818,5.64628,20.57598,3.16788,0.4557,9.57814386285897,0.05485,0.05052,0.15275,16.6313,24.62364
"3","2010_Q4",26.69140625,"Up",3.95e+09,-1.663e+09,2.287e+09,-1.168e+09,-2.63e+08,-9.05e+08,1.119e+09,-1.66e+08,-2.29e+08,6.3e+07,9.53e+08,9.53e+08,-3.74e+08,5.79e+08,5.79e+08,-4e+06,5.75e+08,5.75e+08,4.46e+08,4.46e+08,1.728e+09,1.728e+09,1.222e+09,2.599e+09,1.41e+09,5.995e+09,2.6056e+10,3.9112e+10,-1.3056e+10,1.0178e+10,3.141e+09,5.91e+08,6.446e+09,3.6234e+10,4.2229e+10,2.295e+09,1.342e+09,8.76e+08,99999999.999999,7.76e+08,1.756e+09,1.002e+09,4.927e+09,1.6023e+10,1.6023e+10,8.927e+09,4.366e+09,3.402e+09,2.495e+10,2.9877e+10,5.895e+09,5.702e+09,6.386e+09,-1.86e+08,1.2352e+10,1.2352e+10,4.2229e+10,5.79e+08,3.17e+08,2.56e+08,2.56e+08,-6.74e+08,4.8e+07,-1.14e+08,8e+07,-6.88e+08,4.78e+08,-8.55e+08,-8.55e+08,-8.55e+08,3.92e+08,7.98e+08,-4.06e+08,2.7e+07,-4.36e+08,-2.66e+08,6.47e+08,1e+08,5.47e+08,-3e+06,-3.82e+08,1.8e+07,-6e+06,-7e+06,3.5e+07,3.5e+07,3.5e+07,1.436e+09,1.6899e+10,2.81e+08,0.57899,0.28329,0.14557,0.04655,0.01362,0.4887,1.21676,2.4188,0.40018,0.98291,0.98089,6.75214,20.67521,0.48034,0.4547,6.71680394857211,0.02203,0.00736,0.46261,11.45752,14.70331
"4","2011_Q1",27.5466129032258,"Up",3.476e+09,-1.489e+09,1.987e+09,-1.099e+09,-2.41e+08,-8.58e+08,8.88e+08,-1.65e+08,-2.26e+08,6.1e+07,7.23e+08,7.23e+08,-3.09e+08,4.14e+08,3.03e+08,-5e+06,2.98e+08,2.98e+08,6.2e+07,6.2e+07,2.158e+09,2.158e+09,1.163e+09,2.017e+09,1.001e+09,5.4e+09,2.6713e+10,3.9855e+10,-1.3142e+10,1.0704e+10,3.141e+09,5.71e+08,5.638e+09,3.7417e+10,4.2817e+10,2.543e+09,1.562e+09,1.883e+09,1.386e+09,4.97e+08,1.347e+09,7.14e+08,5.773e+09,1.5758e+10,1.5758e+10,9.032e+09,4.708e+09,3.559e+09,2.479e+10,3.0563e+10,5.909e+09,5.715e+09,6.418e+09,-3.3e+08,1.2254e+10,1.2254e+10,4.2817e+10,3.03e+08,3.12e+08,-1.36e+08,-1.36e+08,-5.38e+08,-4.2e+08,5.8e+07,1.7e+08,-3.46e+08,-5.9e+07,-9.13e+08,-9.13e+08,-9.13e+08,4.95e+08,8.76e+08,-3.81e+08,-3.88e+08,-1.547e+09,-2.66e+08,1.489e+09,2.027e+09,-5.38e+08,-1.078e+09,8e+06,8e+06,-9e+06,1.222e+09,-3.84e+08,-3.84e+08,-3.84e+08,1.2e+09,1.7641e+10,5.8e+07,0.57163,0.25547,0.08573,0.02432,0.00696,0.19463,0.93539,2.49412,0.41201,0.51344,0.51203,5.98897,20.67023,0.0999300000000001,0.4583,5,0.01449,0.00148999999999999,0.89262,14.64917,19.79617
"5","2011_Q2",29.5225396825397,"Up",4.057e+09,-1.81e+09,2.247e+09,-1.284e+09,-2.62e+08,-1.022e+09,9.63e+08,-1.7e+08,-2.27e+08,5.7e+07,7.93e+08,7.93e+08,-3.1e+08,4.83e+08,4.83e+08,-4e+06,4.79e+08,4.79e+08,1.88e+08,1.88e+08,1.837e+09,1.837e+09,1.044e+09,1.863e+09,1.31e+09,4.932e+09,2.7082e+10,4.039e+10,-1.3308e+10,1.0763e+10,3.141e+09,5.67e+08,7.055e+09,3.7845e+10,4.2777e+10,1.909e+09,1.189e+09,1.345e+09,8.48e+08,4.97e+08,1.247e+09,1.247e+09,4.501e+09,1.6798e+10,1.6798e+10,9.278e+09,4.91e+09,4.368e+09,2.6076e+10,3.0577e+10,5.658e+09,5.464e+09,6.612e+09,-3.27e+08,1.22e+10,1.22e+10,4.2777e+10,4.83e+08,3.18e+08,1.81e+08,1.81e+08,-7e+07,2.92e+08,1.19e+08,-2.99e+08,-1.82e+08,9.12e+08,-8.06e+08,-8.06e+08,-8.06e+08,-2e+07,5.02e+08,-5.22e+08,7.4e+07,-7.52e+08,-2.85e+08,5.2e+08,-5.38e+08,1.058e+09,-2e+06,-2.57e+08,1.7e+07,-1.2e+07,-3.4e+07,1.26e+08,1.26e+08,1.26e+08,1.281e+09,1.8143e+10,7.15e+08,0.55386,0.23737,0.11807,0.03926,0.0112,1.49269,1.09576,2.50631,0.42413,0.82615,0.82515,6.99724,20.59848,1.23318,0.49155,4.17773201714263,0.01928,0.01805,0.59499,14.01639,18.64486
"6","2011_Q3",31.195625,"Up",3.214e+09,-1.41e+09,1.804e+09,-1.041e+09,-2.53e+08,-7.88e+08,7.63e+08,-1.76e+08,-2.15e+08,3.9e+07,5.87e+08,5.87e+08,-2.17e+08,3.7e+08,3.4e+08,-4e+06,3.36e+08,3.36e+08,79999999.9999999,79999999.9999999,1.695e+09,1.695e+09,1.194e+09,1.993e+09,1.517e+09,4.962e+09,2.7651e+10,4.1163e+10,-1.3512e+10,1.0798e+10,3.141e+09,5.6e+08,7.097e+09,3.8449e+10,4.3411e+10,1.707e+09,1.125e+09,2.599e+09,1.786e+09,8.13e+08,1.208e+09,1.208e+09,5.514e+09,1.65e+10,1.65e+10,9.46e+09,5.081e+09,4.379e+09,2.596e+10,3.1474e+10,5.344e+09,5.15e+09,6.665e+09,-3.29e+08,1.1937e+10,1.1937e+10,4.3411e+10,3.4e+08,3.09e+08,1.48e+08,1.48e+08,-4.22e+08,-1.6e+07,-1.5e+08,-94999999.9999999,-1.61e+08,3.75e+08,-8.29e+08,-8.29e+08,-8.29e+08,-2.5e+07,4.36e+08,-4.61e+08,70999999.9999999,-7.83e+08,-2.83e+08,9.03e+08,9.39e+08,-36000000.0000005,-3.6e+07,-3.12e+08,1.5e+07,-8e+06,3e+08,-1.08e+08,-1.08e+08,-1.08e+08,1.072e+09,1.9099e+10,37999999.9999998,0.56129,0.2374,0.10454,0.02815,0.00774,0.1131,0.89989,2.63668,0.43996,0.58598,0.58414,5.60516,20.36972,0.0662699999999998,0.49355,4,0.01529,0.000939999999999996,0.84226,17.7416,24.92661
"7","2011_Q4",32.924126984127,"Up",3.745e+09,-1.661e+09,2.084e+09,-1.256e+09,-2.68e+08,-9.88e+08,8.28e+08,-2.33e+08,-2.49e+08,1.6e+07,5.95e+08,5.95e+08,-2.03e+08,3.92e+08,3.96e+08,-4e+06,3.92e+08,3.92e+08,2.12e+08,2.12e+08,1.646e+09,1.646e+09,1.326e+09,2.083e+09,1.485e+09,5.267e+09,2.8411e+10,4.2155e+10,-1.3744e+10,1.0352e+10,3.141e+09,5.59e+08,6.652e+09,3.8763e+10,4.403e+10,1.785e+09,1.138e+09,2.11e+09,7.83e+08,1.327e+09,1.601e+09,1.601e+09,5.496e+09,1.7153e+10,1.7153e+10,9.492e+09,5.13e+09,4.362e+09,2.6645e+10,3.2141e+10,5.353e+09,5.171e+09,6.778e+09,-4.99e+08,1.1889e+10,1.1889e+10,4.403e+10,3.96e+08,3.24e+08,2.09e+08,2.09e+08,1.82e+08,2.51e+08,-1.31e+08,-2.5e+07,8.7e+07,1.111e+09,-9.81e+08,-9.81e+08,-9.81e+08,-1e+07,4.66e+08,-4.76e+08,1.62e+08,-8.29e+08,-2.8e+08,1.46e+08,-1.003e+09,1.149e+09,-35999999.9999999,5e+06,5e+06,-2.1e+07,-1.5e+08,1.32e+08,1.32e+08,1.32e+08,1.152e+09,1.9263e+10,5.56e+08,0.55648,0.22109,0.10467,0.03297,0.0089,1.41837,0.95833,2.70342,0.4375,0.68844,0.68639,6.5771,20.42852,0.97647,0.49175,4,0.01653,0.01368,0.71429,16.53733,23.00845
"8","2012_Q1",32.9858064516129,"Up",2.749e+09,-1.279e+09,1.47e+09,-1.144e+09,-2.35e+08,-9.09e+08,3.26e+08,-3.9e+07,-1.05e+08,6.6e+07,2.87e+08,2.87e+08,-4.8e+07,2.39e+08,2.07e+08,-6e+06,2.01e+08,2.01e+08,1.02e+08,1.02e+08,1.78e+09,1.78e+09,1.348e+09,2.2e+09,1.224e+09,5.43e+09,2.967e+10,4.299e+10,-1.332e+10,1.0514e+10,3.141e+09,5.53e+08,5.502e+09,4.0184e+10,4.5614e+10,1.898e+09,1.25e+09,3.293e+09,1.814e+09,1.479e+09,1.771e+09,8.2e+08,6.962e+09,1.7394e+10,1.7394e+10,9.498e+09,5.216e+09,3.32e+09,2.6892e+10,3.3854e+10,5.359e+09,5.18e+09,6.697e+09,-6.1e+08,1.1703e+10,1.176e+10,4.5614e+10,2.07e+08,3.37e+08,2.97e+08,2.97e+08,-2.56e+08,-1.62e+08,-2.3e+07,6e+06,-7.7e+07,5.85e+08,-1.036e+09,-1.036e+09,-1.036e+09,-1.2e+07,3.53e+08,-3.65e+08,9.1e+07,-9.57e+08,-2.81e+08,5.43e+08,1.031e+09,-4.88e+08,-5.63e+08,999999.99999997,1e+06,-999999.999999996,2.62e+08,-1.1e+08,-1.1e+08,-1.1e+08,6.63e+08,2.0687e+10,-5.81e+08,0.53474,0.11859,0.07312,0.01709,0.00441,-2.89055,0.77995,2.87874,0.45352,0.35276,0.35164,4.8245,20.08775,-1.01966,0.49316,4,0.01149,-0.01385,1.39801,31.04827,63.14417
"9","2012_Q2",34.3166666666667,"Up",3.397e+09,-1.437e+09,1.96e+09,-1.042e+09,-2.73e+08,-7.69e+08,9.18e+08,-1.38e+08,-2.12e+08,7.4e+07,7.8e+08,7.8e+08,-2.69e+08,5.11e+08,5.01e+08,-7e+06,4.94e+08,4.94e+08,1.33e+08,1.33e+08,1.539e+09,1.539e+09,1.249e+09,2.098e+09,1.276e+09,5.019e+09,3.0288e+10,4.3852e+10,-1.3564e+10,1.0786e+10,3.141e+09,5.52e+08,7.093e+09,4.1074e+10,4.6093e+10,9.35e+08,9.35e+08,3.188e+09,1.057e+09,2.131e+09,2.531e+09,1.66e+09,6.654e+09,1.7079e+10,1.7079e+10,1.0134e+10,5.719e+09,4.415e+09,2.7213e+10,3.3867e+10,5.429e+09,5.256e+09,6.891e+09,-4.11e+08,1.2166e+10,1.2226e+10,4.6093e+10,5.01e+08,3.53e+08,1.42e+08,1.42e+08,6.27e+08,3.27e+08,9.9e+07,-2.75e+08,4.76e+08,1.623e+09,-9.81e+08,-9.81e+08,-9.81e+08,-5e+06,4.15e+08,-4.2e+08,4e+07,-9.46e+08,-3.01e+08,-4.11e+08,-7.57e+08,3.46e+08,-1.04e+08,6.9e+07,6.9e+07,-3e+06,-6.46e+08,3.1e+07,3.1e+07,3.1e+07,1.271e+09,2.0267e+10,1.186e+09,0.57698,0.27024,0.14542,0.04041,0.01072,2.40081,0.75428,2.77008,0.4397,0.86591,0.86379,5.95443,20.87467,2.07888,0.52761,6,0.01865,0.02782,0.60931,15.84107,21.93246
"10","2012_Q3",35.5725396825397,"Up",3.005e+09,-1.208e+09,1.797e+09,-1.169e+09,-2.75e+08,-8.94e+08,6.28e+08,-1.65e+08,-2.09e+08,4.4e+07,4.63e+08,4.63e+08,-1.66e+08,2.97e+08,2.65e+08,-7e+06,2.58e+08,2.58e+08,1.62e+08,1.62e+08,1.494e+09,1.494e+09,1.251e+09,1.805e+09,1.144e+09,4.712e+09,3.0921e+10,4.4689e+10,-1.3768e+10,1.0783e+10,3.141e+09,5.37e+08,7.105e+09,4.1704e+10,4.6416e+10,9.17e+08,9.17e+08,3.671e+09,1.53e+09,2.141e+09,2.218e+09,1.466e+09,6.806e+09,1.7003e+10,1.7003e+10,1.0397e+10,6.026e+09,4.371e+09,2.74e+10,3.4206e+10,5.504e+09,5.351e+09,6.847e+09,-4.55e+08,1.2153e+10,1.221e+10,4.6416e+10,2.65e+08,3.51e+08,1.31e+08,1.31e+08,2.8e+07,3.6e+07,-2.4e+07,1e+07,5999999.99999988,7.75e+08,-9.79e+08,-9.79e+08,-9.79e+08,6e+06,3.49e+08,-3.43e+08,5.5e+07,-9.18e+08,-3.02e+08,4.09e+08,4.73e+08,-6.4e+07,-6.4e+07,7e+07,7e+07,-5e+06,1.72e+08,2.9e+07,2.9e+07,2.9e+07,9.79e+08,2.0674e+10,1.94e+08,0.598,0.20899,0.08586,0.02113,0.00556,0.75194,0.69233,2.80147,0.44541,0.45097,0.45018,5.25258,20.79357,0.339099999999999,0.52788,6,0.01294,0.00448000000000001,1.17054,20.95199,32.66242
