"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",55.4939682539683,"Down",142533000,-81815000,60718000,-19334000,-13433000,41384000,34000,34000,41418000,-6786000,34632000,-8935000,25697000,25697000,25697000,25697000,60006174.5382904,60006174.5382904,251618561.524839,251618561.524839,175180110.99712,40049347.4440429,28016536.792359,526854194.504292,172778641.537653,18366692.0671989,18366692.0671967,191145333.604852,717999528.109145,53125535.9982246,55310663.4366795,-28719802.4894405,26534675.0509856,-32657022.9512736,-32657022.9512736,21073415.1273478,11684825.7877758,11684825.7877758,1.70845388472614e-07,11799817.0158627,32873232.1432105,163268553.12737,594528555.021489,-72670812.1829253,685126295.965934,685126295.965934,717999528.109145,25697000,4884000,-5448000,-2224000,22909000,-7112000,-7112000,3717000,833000,4379000,20176000,20176000,-549000,19627000,46268000,0,45867000,0.42599,0.29035,0.18029,0.0143696461793204,0.0149746585585569,1.78492,10.7264576947964,0.0580247293353062,0.000902875122530574,0.64682,0.64288,3.58772,17.1299638377013,1.15453,0.0140236172301334,-0.277877500562551,-5.10467353083566,-6.55753722932266
"2","2010_Q3",53.505625,"Down",1.42e+08,-79549000,62451000,-16077000,-16077000,46374000,58000,58000,46432000,-7051000,39381000,-11383000,27998000,27998000,27998000,27998000,225903000,225903000,137480000,137480000,239957000,31666000,8710000,635006000,202851000,1e+07,1e+07,212851000,847857000,63740000,28523000,5159000,30058000,21873000,21873000,86183000,7422000,7422000,9.4914104707008e-08,7492000,93675000,137280000,636982000,-20080000,754182000,754182000,847857000,27998000,5196000,1883000,-14246000,20831000,-13790000,-13790000,509000,277000,620000,7661000,7661000,823000,8484000,51570000,640000,34917000,0.4398,0.32658,0.19717,0.03712,0.03302,1.24712,7.36811,0.12421,0.00075,0.70311,0.69967,3.56605,18.93978,0.87687,0.03673,0.04581,-4.3681,-4.85753
"3","2010_Q4",73.44328125,"Up",140123000,-79421000,60702000,-15601000,-15601000,45101000,90000,90000,45191000,-7387000,37804000,-10147000,27657000,27657000,27657000,27657000,257974000,257974000,131144000,131144000,250277000,34717000,10596000,674112000,227429000,10263000,10263000,237692000,911804000,63563000,25231000,7598000,30734000,42687000,42687000,106681000,7614000,7614000,3.79656418828032e-08,7682000,114363000,140261000,664639000,-7459000,797441000,797441000,911804000,27657000,5206000,6654000,17761000,57278000,-26454000,-26454000,1628000,2000,1457000,32281000,32281000,-210000,32071000,50307000,499000,51761000,0.43321,0.32187,0.19738,0.03468,0.03033,1.87153,6.31895,0.14341,0.00055,0.69436,0.6908,3.51794,20.02061,1.29952,0.03433,0.06426,-5.11808,-5.70885
"4","2011_Q1",76.6841935483871,"Up",141595000,-81822000,59773000,-24717000,-15958000,35056000,8000,8000,35064000,-7978000,27086000,-6212000,20874000,20874000,20874000,20874000,245850000,245850000,158894000,158894000,243432000,40073000,18131000,688249000,247158000,13144000,13144000,260302000,948551000,62172000,31149000,1985000,29038000,48889000,48889000,111329000,9150000,9150000,0,9208000,120537000,151818000,685513000,-9317000,828014000,828014000,948551000,20874000,5589000,-1067000,-19254000,6142000,-25594000,-25594000,6689000,1658000,8178000,-11274000,-11274000,-850000,-12124000,40645000,326000,2009000,0.42214,0.24758,0.14742,0.02521,0.02201,0.0962399999999999,6.18212,0.14557,0.00034,0.52273,0.51905,3.54581,20.73508,0.0503100000000001,0.02492,0.0024,-6.04069,-7.00377
"5","2011_Q2",70.4039682539683,"Down",137667000,-80113000,57554000,-18261000,-18261000,39293000,88000,88000,39381000,-8698000,30683000,-9011000,21672000,21672000,21672000,21672000,268276000,268276000,157210000,157210000,253820000,39592000,17362000,718898000,262580000,13207000,13207000,275787000,994685000,68519000,33654000,8689000,26176000,58264000,58264000,126938000,9198000,9198000,-1.89828209414016e-08,9198000,136136000,153376000,707185000,-2012000,858549000,858549000,994685000,21672000,5755000,581000,12563000,40571000,-18764000,-18764000,310000,48000,186000,21993000,21993000,433000,22426000,45048000,155000,47858000,0.41807,0.28542,0.15742,0.02524,0.02179,2.20829,5.66338,0.15857,0.00016,0.54114,0.5375,3.43746,21.43746,1.19499,0.02497,0.05514,-5.9519,-6.82363
"6","2011_Q3",63.4171875,"Down",136994000,-8.2e+07,54994000,-16037000,-16037000,38957000,75000,75000,39032000,-8529000,30503000,-8295000,22208000,22208000,22208000,22208000,250118000,250118000,193161000,193161000,265471000,39800000,17956000,748550000,271107000,13482000,13482000,284589000,1033139000,75907000,39322000,5829000,30756000,62989000,62989000,138975000,9311000,9311000,-1.89828209414016e-08,9311000,148286000,154825000,729393000,635000,884853000,884853000,1033139000,22208000,4851000,1470000,-33658000,-5128999.99999999,-12052000,-12052000,76000,201000,202000,-16979000,-16979000,-1179000,-18158000,43808000,79000,6392999.99999999,0.40143,0.28437,0.16211,0.0251,0.0215,0.28787,5.38622,0.16758,8e-05,0.55438,0.5509,3.41981,22.08874,0.15959,0.02483,0.00715,-5.70761,-6.41833
"7","2011_Q4",64.521746031746,"Up",155035000,-96487000,58548000,-18274000,-18274000,40274000,69000,69000,40343000,-8498000,31845000,-8582000,23263000,23263000,23263000,23263000,255572000,255572000,185514000,185514000,269662000,39242000,16322000,749990000,270341000,12132000,12132000,282473000,1032463000,71262000,31510000,6403000,33349000,60266000,60266000,131598000,9303000,9303000,0,9303000,140901000,155937000,752656000,-17031000,891562000,891562000,1032463000,23263000,6367000,-383000,-13444000,15803000,-12040000,-12040000,18000,48000,56000,3819000,3819000,1635000,5454000,46641000,70000,29739000,0.37764,0.25977,0.15005,0.02609,0.02253,1.27838,5.6991,0.15804,7e-05,0.58075,0.57723,3.87036,22.25733,0.74242,0.02582,0.03301,-5.47806,-6.34409
"8","2012_Q1",68.6804838709677,"Up",171646000,-103248000,68398000,-22657000,-17938000,45741000,133000,133000,45874000,-8901000,36973000,-8849000,28124000,28124000,28124000,28124000,298576000,298576000,180095000,180095000,277802000,42829000,18961000,799302000,274599000,11957000,11957000,286556000,1085858000,74333000,35580000,5447000,33306000,76610000,76610000,1.51e+08,9614000,9614000,0,9614000,160614000,162907000,780780000,-18443000,925244000,925244000,1085858000,28124000,6040000,1425000,15020000,50609000,-11331000,-11331000,3791000,875000,4654000,43932000,43932000,-928000.000000001,43004000,51781000,57000,64319000,0.39848,0.26648,0.16385,0.0304,0.0259,2.28698,5.29339,0.17359,5e-05,0.70101,0.69691,4.27842,23.06249,1.60321,0.03008,0.0688,-5.76503,-6.52629
"9","2012_Q2",63.7779365079365,"Down",177124000,-107050000,70074000,-20432000,-20432000,49642000,98000,98000,49740000,-9610000,40130000,-11333000,28797000,28797000,28797000,28797000,285488000,285488000,190840000,190840000,306845000,46114000,21932000,829287000,284301000,12114000,12114000,296415000,1125702000,79616000,36553000,11535000,31528000,71838000,71838000,151500000,9548000,9548000,1.32348898008484e-23,9548000,161048000,164895000,809577000,-9818000,964654000,964654000,1125702000,28797000,6058000,1071000,-37410000,-1484000,-13710000,-13710000,491000,53000,544000,-14650000,-14650000,1562000,-13088000,55700000,46000,15913000,0.39562,0.28027,0.16258,0.02985,0.02558,0.55259,5.47384,0.16695,4e-05,0.71663,0.7126,4.40782,24.00592,0.396,0.02956,0.01633,-5.12463,-5.75001
"10","2012_Q3",71.1715873015873,"Up",176570000,-108325000,68245000,-17418000,-17418000,50827000,69000,69000,50896000,-9478000,41418000,-11615000,29803000,29803000,29803000,29803000,248143000,248143000,220107000,220107000,340035000,43746000,19687000,852031000,286510000,11397000,11397000,297907000,1149938000,86761000,41666000,8144000,36951000,63037000,63037000,149798000,9503000,9503000,0,9503000,159301000,173393000,839380000,-22136000,990637000,990637000,1149938000,29803000,6373000,229000,-67416000,-31011000,-12937000,-12937000,6713000,956000,7669000,-36279000,-36279000,-1066000,-37345000,57200000,0,-11538000,0.3865,0.28786,0.16879,0.03008,0.02592,-0.38714,5.68787,0.16081,0,0.74012,0.73673,4.38487,24.6011,-0.28653,0.0298,-0.01154,-4.33816,-4.88211
