"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2015_Q3",6.4234375,"Down",-2626914,-1526008,-1100906,-2626914,-29814,-29814,-2656728,-5208338,-7865066,-7865066,-7865066,-7865066,-7865066,21659451,9497200,610198,610198,22269649,1230638.73685393,1230638.73685393,1230638.73685393,22269649,1249035,1008277,240758,4876110,4876110,53123938,-35717938,17393539,17393539,22269649,-7865066,6683977,-439620,-1620709,-2429645,22964969,9170193,9170193,9170193,1670509,-0.45218,-0.35317,4.56709,0.28034,0.07501,-1.07272,-1.07272,2.37232,-0.41256,7.60929
"2","2015_Q4",4.488125,"Down",-4288221,-1780668,-2507553,-4288221,-10312,-10312,-4298533,-438010.999999999,-4736544,-4736544,-4736544,-4736544,-4736544,17489622,2140115,1442629,1442629,18932251,80000,80000,80000,19012251,1657465,401672,1255793,5722551,5741700,53729881,-40454482,13270551,13270551,19012251,-4736544,1103165,232925,-3400454,-704656,-704656,-7357085,-7357085,-7357085,1911024,-0.35692,-0.24913,3.30836,0.43266,0.10052,-0.52937,-0.52937,1.48316,-0.3116,3.63288
"3","2016_Q1",2.01032786885246,"Down",-4620303,-1400889,-3219414,-4620303,-13303,-13303,-4633606,-457357,-5090963,-5090963,-5090963,-5090963,-5090963,14104049,768550,1097599,1097599,15201648,237455,237455,237455,15439103,2160423,592414,1568009,2160423,6714105,54277813,-45545445,8724998,8724998,15439103,-5090963,1049008,742565,-3299390,-48664,-28175,-1371565,-1371565,-1371565,2151540,-0.58349,-0.32974,7.03642,0.76953,0.13936,-1.00403,-1.00403,1.72073,-0.38339,2.58695
"4","2016_Q2",1.31828125,"Down",-3267417,-1390239,-1877178,-3267417,-15461,-15461,-3282878,-304110,-3586988,-3586988,-3586988,-3586988,-3586988,11251626,3958763,909895,909895,12161521,595381,595381,595381,12756902,2121007,1172351,948656,2121007,6987163,54902367,-49132433,5769739,5769739,12756902,-3586988,977139,-115275,-2725124,-57303,-57303,3190213,3190213,3190213,3139861,-0.62169,-0.28118,5.73384,1.211,0.24613,-0.39786,-0.39786,0.63996,-0.33725,2.48262
"5","2016_Q3",1.32296875,"Up",-3578052,-1206994,-2371058,-3578052,-1814,-1814,-3579866,-112927,-3692793,-3692793,-3692793,-3692793,-3692793,17196469,5159930,1113696,1113696,18310165,238842,238842,238842,18549007,2069583,1206384,863199,5738892,5763538,65617481,-52825226,12785469,12785469,18549007,-3692793,639708,-173755,-3226840,-575706,9259126,1201167,1201167,1201167,2382688,-0.28883,-0.19908,3.19054,0.45079,0.12845,-0.21588,-0.21588,0.74745,-0.24306,4.14018
"6","2016_Q4",1.12730158730159,"Down",-3264282,-1159488,-2104794,-3264282,-1557,-1557,-3265839,-541593,-3807432,-3807432,-3807432,-3807432,-3807432,14617842,3054892,1005471,1005471,15623313,694380,694380,694380,16317693,1900422,881311,1019111,6077692,6098168,66858320,-56632658,10219525,10219525,16317693,-3807432,894497,258520,-2654415,-417423,108349,-2105038,-2105038,-2105038,2826135,-0.37256,-0.23333,2.5706,0.59672,0.17319,-0.20048,-0.20048,0.5381,-0.2914,3.61234
"7","2017_Q1",1.39741935483871,"Up",-3737524,-1090055,-2647469,-3737524,-3096,-3096,-3740620,96011,-3644609,-3644609,-3644609,-3644609,-3644609,13150560,3075502,824269,282666,13974829,560879,560879,560879,14535708,2475904,1203888,1272016,6476534,6492841,68327026,-60277267,8042867,8042867,14535708,-3644609,299337,880388,-2464884,-76834,1038278,20610,20610,20610,3269582,-0.45315,-0.25073,2.15776,0.80728,0.22493,-0.18223,-0.18223,0.40214,-0.32171,2.64372
"8","2017_Q2",1.27238095238095,"Down",-4969000,-1441000,-3528000,-4969000,-2000,-2000,-4971000,-251000,-5222000,-5222000,-5222000,-5222000,-5222000,12313286,4359046,2360631,177451,14673917,478690,478690,478690,15152607,3429279,1726824,1702455,3429279,7606520,73052753,-65499167,7546087,7546087,15152607,-5222000,726000,1216000,-3280000,-16000,2524000,1283000,1283000,1283000,3713029,-0.69201,-0.34463,4.27901,1.00801,0.24504,-0.23362,-0.23362,0.33759,-0.44544,1.73078
"9","2017_Q3",1.13571428571429,"Down",-4982000,-1267000,-3715000,-4982000,-1000,-1000,-4983000,-189000,-5172000,-5172000,-5172000,-5172000,-5172000,12083281,3393651,2180721,447932,14264002,56908.9999999999,56908.9999999999,56908.9999999999,14320911,3782399,1304711,2477688,7726978,7733032,77264679,-70670801,6587879,6587879,14320911,-5172000,906000,64000,-4202000,-60000,4002000,-965000,-965000,-965000,3050427,-0.78508,-0.36115,1.846,1.17383,0.21301,-0.21444,-0.21444,0.27314,-0.53627,1.8131
"10","2017_Q4",2.90444444444444,"Up",-4692000,-1227000,-3465000,-4692000,2000,2000,-4690000,-1409000,-6099000,-6099000,-6099000,-6099000,-6099000,9838782,2568063,1686292,340121,11525074,314370,314370,314370,11839444,4402846,1555472,2847374,9613483,9613483,78999978,-76770459,2225961,2225961,11839444,-6099000,2032000,738000,-3329000,-62000,1111000,-826000,-826000,-826000,3180411,-2.73994,-0.51514,1.19884,4.3188,0.26863,-0.22202,-0.22202,0.08103,-1.12811,1.41909
"11","2018_Q1",5.53213114754098,"Up",-4427000,-1394000,-3033000,-4427000,2000,2000,-4425000,340000,-4085000,-4085000,-4085000,-4085000,-4085000,20575000,8988000,1276000,389000,21851000,270000,270000,270000,22121000,3808000,1529000,2279000,8657000,8657000,94339000,-80855000,13464000,13464000,22121000,-4085000,385000,-247000,-3947000,-384000,14763000,6420000,6420000,6420000,3451000,-0.3034,-0.18467,2.52408,0.64297,0.15601,-0.1363,-0.1363,0.44924,-0.2415,3.86808
"12","2018_Q2",6.6515625,"Up",-4805000,-1762000,-3043000,-4805000,181000,181000,-4624000,1073000,-3551000,-3551000,-3551000,-3551000,-3551000,77468000,36356000,1263000,249000,78731000,240000,240000,240000,78971000,2581000,658000,1923000,6339000,6339000,157147000,-84406000,72632000,72632000,78971000,-3551000,-176000,-1576000,-5303000,-146000,62298000,27368000,27368000,27368000,3721000,-0.0488900000000002,-0.04497,12.4201,0.0872799999999998,0.04712,-0.07953,-0.07838,1.62674,-0.04651,15.34797
