"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",30.10171875,"Up",51870000,-41555000,10315000,-4001000,-4001000,6314000,-116000,-126000,10000,6198000,6198000,-2107000,4091000,4091000,4091000,4091000,-56633185.3460553,-56633185.3460553,57178664.4353701,57178664.4353701,26288609.4170735,37508030.3619898,-30689384.9595793,64342118.8683781,392492824.643829,85778342.4015045,11423016.120844,478271167.045333,542613285.913711,4069004.42036268,-7363793.21711946,14601429.0842738,-3899510.83278485,1095421.91832291,1095421.91832291,1026341.66583396,332333118.03552,58055593.0852937,58604274.9524034,-548681.867109689,390388711.120814,391415052.786648,40004348.2856076,112792593.133121,151198233.127064,151198233.127064,542613285.913711,4091000,1389000,1590000,-1923000,5147000,-1727000,-1727000,-707000,-86000,174000,-702000,2718000,2718000,2718000,7703000,0,6160000,0.19886,0.12173,0.07887,-0.0305787124873663,-0.0405215108167355,1.50574,6.09970559462433,2.30510709693043,0.987894998704942,0.60288,0.59662,7.64395,33.202628456873,0.90778,-0.0497382879930686,-2.27528118442759,42.2594401256201,47.7307980883974
"2","2011_Q1",31.7114516129032,"Up",51583000,-42742000,8841000,-3397000,-3397000,5444000,-37000,-118000,81000,5407000,5407000,-1838000,3569000,3569000,3569000,3569000,34400000,34400000,29273000,29273000,69710000,5537000,1198000,138920000,71581000,1e+05,1e+05,71681000,210601000,25510000,20022000,5488000,2833000,481000,481000,28824000,7990000,14164000,13877000,287000,22154000,50978000,41348000,120376000,159623000,159623000,210601000,3569000,1431000,101000,-5736000,-635000,-1754000,-1754000,-708000,359000,359000,-305000,-2694000,-2694000,-2694000,6875000,10823000,1223000,0.17139,0.10554,0.06919,0.02236,0.01695,0.34267,4.81959,0.31937,0.05139,0.52512,0.51561,7.58958,23.48586,0.17994,0.01933,0.00662,-3.42938,-4.33082
"3","2011_Q2",35.6320634920635,"Up",59811000,-49013000,10798000,-3830000,-3830000,6968000,-125000,-125000,150216.775528001,6843000,6843000,-2395000,4448000,4448000,4448000,4448000,51600228.4486851,51600228.4486851,24876695.18821,24876695.18821,84479963.5276422,-1196093.45399658,10840294.9865264,159760793.710541,1284975.11872377,-17953947.4671682,-1701755.37361468,-16668972.3484444,143091821.362096,30920748.5265458,26723431.0723732,3243773.63857541,4169920.27759495,534776.027225697,534776.027225697,35704969.444722,-63419872.6785067,4912885.63823542,4460075.01586553,452810.622369896,-58506987.0402712,-22802017.5955492,42135633.9047975,125955135.622293,165893838.957645,165893838.957645,143091821.362096,4448000,1461000,-184000,-8574000,-2849000,-1232000,-1232000,-709000,99000,99000,-538000,-4619000,-4619000,-4619000,8429000,0,1018000,0.18054,0.1165,0.07437,0.0379279041624554,0.0325871702722452,0.22887,4.54272896845856,-0.117711532310143,-0.156262499568314,0.71939,0.6398,9.67343,21.0797946810423,0.16464,0.0380177626643562,0.480456228142528,-12.6368433752067,-14.8032476961325
"4","2011_Q3",37.0503125,"Up",63318000,-51146000,12172000,-3697000,-3697000,8475000,25000,-118000,143000,8500000,8500000,-2975000,5525000,5525000,5525000,5525000,28034000,28034000,32966000,32966000,83118000,7571000.00000001,7571000,151689000,73275000,1457000.00000001,1457000,74732000,226421000,28500000,23014000,4870000,2694000,990000,990000,32184000,6713000,16633000,16387000,246000,23346000,55530000,42617000,130349000,170891000,170891000,226421000,5525000,1470000,718000,-6606000,1107000,-2440000,-2440000,-707000,305000,305000,-413999.999999996,-1747000,-1747000,-1747000,9945000,9407000,3874000,0.19224,0.13385,0.08726,0.03233,0.0244,0.701180000000001,4.71318,0.32494,0.0415499999999999,0.74145,0.7898,8.49722,22.93342,0.51989,0.02806,0.0196699999999993,-1.873,-2.19788
"5","2011_Q4",35.2969841269841,"Down",67299000,-54725000,12574000,-5343000,-5343000,7231000,-564000,-609000,45000,6667000,6667000,-2774000,3893000,3893000,3893000,3893000,295000,295000,39535000,39535000,79273000,23160000,1686000,142263000,168854000,24833000,4354000,193687000,335950000,28134000,20838000,7296000,1500000,1178000,1178000,30812000,94100000,35648000,35648000,0,129748000,160560000,43067000,134242000,175390000,175390000,335950000,3893000,1870000,14136000,-20026000,-127000,-87606000,-92461000,66193000,11000,11000,64849000,-27739000,-27739000,-27739000,9101000,95600000,-95757000,0.18684,0.10745,0.05785,0.0222,0.01159,-24.59723,4.61713,0.91545,0.28457,0.56989,0.54034,9.85171,25.67485,-14.0176,0.0127,-0.31228,10.47193,13.18006
"6","2012_Q1",38.993064516129,"Up",62168000,-50264000,11904000,-4870000,-4870000,7034000,-545000,-569000,24000,6489000,6468000,-2212000,4256000,4256000,4256000,4256000,274000.000000002,274000.000000002,34554000,34554000,85088000,35480000,2198000,155396000,183148000,23128000,2649000,206276000,361672000,37459000,29912000,7547000,3e+06,966000,966000,41425000,91650000,48291000,48291000,1.45519152283669e-11,139941000,181366000,43727000,138498000,180306000,180306000,361672000,4256000,4050000,-3037999.99999999,7459999.99999999,12728000,74508000,-11935000,-949999.99999997,212000,212000,-813999.999999993,-21000.0000000037,-21000.0000000037,-21000.0000000037,11084000,94650000,95264000,0.19148,0.11315,0.06846,0.0236,0.01177,22.38346,3.75126,1.00588,0.2617,0.62221,0.57491,9.08872,26.36003,13.92722,0.01317,0.29471,8.51462,13.41712
"7","2012_Q2",42.4879365079365,"Up",74614000,-60339000,14275000,-4583000,-4583000,9692000,-681000,-704000,23000,9011000,9011000,-2725000,6286000,6286000,6286000,6286000,378000,378000,45293000,45293000,93673000,28969000,2148000,168313000,190013000,23336000,2857000,213349000,381662000,38235000,32838000,5397000,1775686.94974649,3721000,3721000,41956000,103850000,48731000,48731000,0,152581000,194537000,44494000,144784000,187125000,187125000,381662000,6286000,2985000,3063000,-16156000,-3822000,-4986000,-4986000,9200000,-4000,229000,8912000,104000,104000,104000,12677000,103850000,-5740000,0.19132,0.1299,0.08425,0.03359,0.01647,-0.91314,4.01166,1.03961,0.2721,0.91784,0.84568,10.8946,27.32264,-0.83811,0.0185,-0.0169,8.16218,10.67602
"8","2012_Q3",37.0815873015873,"Down",67866000,-56296000,11570000,-4263000,-4263000,7307000,-580000,-618000,38000,6727000,6727000,-2222000,4505000,4505000,4505000,4505000,180000,180000,40847000,40847000,103086000,29284000,2349000,173397000,197398000,24493000,4014000,221891000,395288000,33924000,28952000,4972000,0,1788000,1788000,35712000,114731000,52210000,52038000,172000,166941000,202653000,45499000,149289000,192635000,192635000,395288000,4505000,3862000,7949000,-16827000,-511000.000000002,-11210000,-11210000,10881000,541000,541000,11523000,-198000,-198000,-198000,11169000,114731000,-14646000,0.17048,0.10767,0.06638,0.02339,0.0114,-3.25105,4.85543,1.05201,0.29025,0.65633,0.60407,9.88738,28.06493,-2.13377,0.01253,-0.04073,10.25616,15.67689
"9","2012_Q4",34.9620967741935,"Down",61360000,-52023000,9337000,-4304000,-4304000,5033000,-574000,-602000,28000,4459000,4078000,-1333000,2745000,2745000,2745000,2745000,250000,250000,33716000,33716000,101580000,23587000,2368000,159133000,205005000,22831000,2563000,227836000,386969000,24419000,18473000,5946000,750000,1223000,1223000,26392000,112691000,51883000,51711000,172000,164574000,190966000,46122000,152034000,196003000,196003000,386969000,2745000,3509000,2203000,3972000,12429000,-11321000,-11321000,-1290000,189000,190000,-1038000,70000,70000,70000,8542000,113441000,2526000,0.15217,0.08202,0.04474,0.014,0.00709,0.92022,6.02959,0.9743,0.29315,0.39909,0.36847,8.9211,28.49679,0.36725,0.0076,0.00699,13.25111,22.48977
"10","2013_Q1",35.6975,"Up",47150000,-41183000,5967000,-4596000,-4596000,1371000,-617000,-668000,51000,754000,1135000,-54000,1081000,1081000,1081000,1081000,321000,321000,24781000,24781000,95749000,26011000,3272000,146862000,206150000,22686000,2418000,228836000,375698000,15281000,10610000,4671000,1500000,735000,735000,17516000,105242000,55227000,55227000,0,160469000,177985000,46751000,153115000,197713000,197713000,375698000,1081000,4012000,1057000,7726000,13876000,-7526000,-7526000,-6699000,648000,648000,-6279000,70999.9999999999,70999.9999999999,70999.9999999999,5383000,106742000,5637000,0.12655,0.02908,0.02293,0.00547,0.00288,5.21462,8.38445,0.90022,0.28412,0.15649,0.1446,6.82544,28.62094,0.81601,0.00301,0.01567,19.76983,77.6229
